Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Mallee (81774)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Harrow		13	5.58		6	2.58		2	0.86		0	0.00		0	0.00		0	0.00		20	8.58		132	56.65		0	0.00		0	0.00		40	17.17		0	0.00		11	4.72		0	0.00		0	0.00		9	3.86		0	0.00		0	0.00		233	94.72		13	5.28		246	0.31
Haven		49	7.52		16	2.45		11	1.69		0	0.00		1	0.15		0	0.00		63	9.66		367	56.29		4	0.61		6	0.92		89	13.65		5	0.77		27	4.14		0	0.00		1	0.15		13	1.99		0	0.00		0	0.00		652	94.36		39	5.64		691	0.88
Hopetoun		55	9.73		5	0.88		5	0.88		1	0.18		0	0.00		1	0.18		31	5.49		355	62.83		1	0.18		8	1.42		74	13.10		3	0.53		17	3.01		0	0.00		2	0.35		6	1.06		1	0.18		0	0.00		565	97.75		13	2.25		578	0.73
Horsham		270	7.33		65	1.76		47	1.28		4	0.11		3	0.08		4	0.11		209	5.67		1957	53.11		12	0.33		12	0.33		779	21.14		16	0.43		209	5.67		1	0.03		5	0.14		89	2.42		1	0.03		2	0.05		3685	96.26		143	3.74		3828	4.86
Horsham North		122	8.16		48	3.21		26	1.74		2	0.13		1	0.07		3	0.20		130	8.69		614	41.04		11	0.74		13	0.87		432	28.88		10	0.67		53	3.54		0	0.00		1	0.07		30	2.01		0	0.00		0	0.00		1496	95.10		77	4.90		1573	2.00
Horsham West		125	7.83		32	2.01		16	1.00		1	0.06		1	0.06		1	0.06		84	5.26		886	55.51		1	0.06		0	0.00		338	21.18		8	0.50		71	4.45		0	0.00		2	0.13		29	1.82		0	0.00		1	0.06		1596	96.32		61	3.68		1657	2.11
Irymple		231	10.59		45	2.06		30	1.38		6	0.28		2	0.09		1	0.05		201	9.22		1046	47.96		5	0.23		5	0.23		447	20.50		21	0.96		90	4.13		1	0.05		0	0.00		49	2.25		0	0.00		1	0.05		2181	95.57		101	4.43		2282	2.90
Jeparit		37	10.95		8	2.37		3	0.89		0	0.00		1	0.30		0	0.00		21	6.21		178	52.66		3	0.89		2	0.59		70	20.71		0	0.00		5	1.48		0	0.00		1	0.30		8	2.37		0	0.00		1	0.30		338	96.85		11	3.15		349	0.44
Jung		7	8.97		1	1.28		2	2.56		0	0.00		0	0.00		0	0.00		3	3.85		38	48.72		1	1.28		1	1.28		18	23.08		0	0.00		2	2.56		0	0.00		0	0.00		5	6.41		0	0.00		0	0.00		78	96.30		3	3.70		81	0.10
Kaniva		58	7.68		10	1.32		12	1.59		0	0.00		1	0.13		0	0.00		91	12.05		455	60.26		1	0.13		1	0.13		82	10.86		11	1.46		21	2.78		0	0.00		1	0.13		11	1.46		0	0.00		0	0.00		755	95.33		37	4.67		792	1.01
