Senate - 2001 Election: Victoria 																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Indi (85758)																																																																																																																																																																																																																																																												
		   	 A liberals for forests												 B Democratic Labor Party (DLP) of Australia																					 C Phil Cleary - Independent Australia												 D Citizens Electoral Council of Australia												 E 												 F 												 G Pauline Hanson's One Nation												 H Liberal/National Party																								 I Unity - Say No To Hanson															 J 												 K Australian Labor Party (Victorian Branch)																		 L Christian Democratic Party (Fred Nile Group)												 M Australian Democrats																		 N 												 O Hope Party Australia												 P Australian Greens																		 Q 															
	    		TICKET VOTES			PATHY			LUGG			Group Total			TICKET VOTES			MULHOLLAND			CREA			KING			MAURUS			WELLS			Group Total			TICKET VOTES			CLEARY			ZOMBOLAS			Group Total			TICKET VOTES			ISHERWOOD			BARWICK			Group Total			TICKET VOTES			TOSCANO			REGHENZANI			Group Total			TICKET VOTES			RASKOVY			KENNEDY			Group Total			TICKET VOTES			SPENCER			MCINTYRE			Group Total			TICKET VOTES			# ALSTON			# KEMP			# PATTERSON			HAWKER			DE MARCHI			TRAN			Group Total			TICKET VOTES			LEE			WOLOWSKI			COPE			Group Total			TICKET VOTES			BAKER			BARBER			Group Total			TICKET VOTES			# RAY			# MARSHALL			MURPHY			CHONG			Group Total			TICKET VOTES			GRAHAM			JAGO			Group Total			TICKET VOTES			# ALLISON			HARCOURT			WARK			ALESICH			Group Total			TICKET VOTES			DAVIS			BROCAS			Group Total			TICKET VOTES			PETHERBRIDGE			POYNTON			Group Total			TICKET VOTES			KINNEAR			MULLANE			MATHEW			CONOR			Group Total			TICKET VOTES			THORNE			PEART			DEWBERRY			Group Total			
	    					Suresh			John									John			Pat			Gail			Rosemary			Ken									Phil			Eileen									Noelene			Robert									Joseph			Stephen									Steve			Elizabeth									Robyn			Neville									Richard Kenneth Robert			Rod			Kay			Tim			Dino			Duc-Dung									Wellington			Diana			Bill									A.T.			Pam									Robert			Gavin			Ted			Robert									Murray			Arnold Hartley									Lyn			Pierre			David			Simone									Craig			Donna									Tim			Lee-anne									Scott			Eleisha			Dinesh			Liz									Alison			Sarah			Tony						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		
	Boorhaman		7	4.58		0	0.00		0	0.00		7	4.58		1	0.65		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.65		4	2.61		0	0.00		0	0.00		4	2.61		0	0.00		0	0.00		0	0.00		0	0.00		1	0.65		0	0.00		0	0.00		1	0.65		0	0.00		0	0.00		0	0.00		0	0.00		10	6.54		0	0.00		0	0.00		10	6.54		107	69.93		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		107	69.93		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		13	8.50		0	0.00		0	0.00		0	0.00		0	0.00		13	8.50		1	0.65		0	0.00		0	0.00		1	0.65		6	3.92		0	0.00		0	0.00		0	0.00		0	0.00		6	3.92		1	0.65		0	0.00		0	0.00		1	0.65		0	0.00		0	0.00		0	0.00		0	0.00		2	1.31		0	0.00		0	0.00		0	0.00		0	0.00		2	1.31		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Boosey		4	3.39		0	0.00		0	0.00		4	3.39		2	1.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	4.24		0	0.00		0	0.00		5	4.24		79	66.95		1	0.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		80	67.80		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	12.71		0	0.00		0	0.00		0	0.00		0	0.00		15	12.71		0	0.00		0	0.00		0	0.00		0	0.00		10	8.47		0	0.00		0	0.00		0	0.00		0	0.00		10	8.47		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.69		0	0.00		0	0.00		0	0.00		0	0.00		2	1.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Bright		29	2.01		4	0.28		0	0.00		33	2.29		30	2.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		30	2.08		16	1.11		3	0.21		0	0.00		19	1.32		0	0.00		0	0.00		0	0.00		0	0.00		2	0.14		0	0.00		0	0.00		2	0.14		1	0.07		0	0.00		0	0.00		1	0.07		63	4.38		4	0.28		0	0.00		67	4.65		670	46.53		11	0.76		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		682	47.36		4	0.28		0	0.00		0	0.00		0	0.00		4	0.28		0	0.00		0	0.00		0	0.00		0	0.00		351	24.38		11	0.76		0	0.00		0	0.00		0	0.00		362	25.14		17	1.18		2	0.14		0	0.00		19	1.32		82	5.69		6	0.42		0	0.00		1	0.07		2	0.14		91	6.32		1	0.07		0	0.00		0	0.00		1	0.07		3	0.21		0	0.00		0	0.00		3	0.21		111	7.71		12	0.83		0	0.00		0	0.00		1	0.07		124	8.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Bullioh		2	1.46		0	0.00		0	0.00		2	1.46		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	10.95		0	0.00		0	0.00		15	10.95		75	54.74		4	2.92		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		79	57.66		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		31	22.63		0	0.00		0	0.00		0	0.00		0	0.00		31	22.63		1	0.73		0	0.00		0	0.00		1	0.73		1	0.73		1	0.73		0	0.00		0	0.00		0	0.00		2	1.46		0	0.00		0	0.00		0	0.00		0	0.00		1	0.73		0	0.00		0	0.00		1	0.73		5	3.65		1	0.73		0	0.00		0	0.00		0	0.00		6	4.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Bundalong		6	2.42		1	0.40		0	0.00		7	2.82		4	1.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	1.61		5	2.02		0	0.00		1	0.40		6	2.42		1	0.40		0	0.00		0	0.00		1	0.40		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	4.44		2	0.81		0	0.00		13	5.24		150	60.48		1	0.40		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		151	60.89		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		58	23.39		0	0.00		0	0.00		0	0.00		0	0.00		58	23.39		0	0.00		0	0.00		0	0.00		0	0.00		4	1.61		0	0.00		0	0.00		0	0.00		0	0.00		4	1.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	1.61		0	0.00		0	0.00		0	0.00		0	0.00		4	1.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Caniambo		1	1.28		0	0.00		0	0.00		1	1.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	2.56		0	0.00		0	0.00		2	2.56		64	82.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		64	82.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.28		0	0.00		0	0.00		1	1.28		5	6.41		0	0.00		0	0.00		0	0.00		0	0.00		5	6.41		0	0.00		1	1.28		0	0.00		1	1.28		2	2.56		0	0.00		0	0.00		0	0.00		0	0.00		2	2.56		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	2.56		0	0.00		0	0.00		0	0.00		0	0.00		2	2.56		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Cheshunt		3	1.84		0	0.00		0	0.00		3	1.84		1	0.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.61		1	0.61		0	0.00		0	0.00		1	0.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	4.91		1	0.61		0	0.00		9	5.52		89	54.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		89	54.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.61		0	0.00		0	0.00		1	0.61		46	28.22		1	0.61		0	0.00		0	0.00		0	0.00		47	28.83		0	0.00		0	0.00		0	0.00		0	0.00		6	3.68		0	0.00		0	0.00		0	0.00		0	0.00		6	3.68		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	3.07		1	0.61		0	0.00		0	0.00		0	0.00		6	3.68		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Chiltern		20	2.20		3	0.33		0	0.00		23	2.53		26	2.86		1	0.11		0	0.00		0	0.00		0	0.00		0	0.00		27	2.97		10	1.10		1	0.11		0	0.00		11	1.21		0	0.00		0	0.00		0	0.00		0	0.00		1	0.11		0	0.00		0	0.00		1	0.11		0	0.00		0	0.00		0	0.00		0	0.00		61	6.71		8	0.88		0	0.00		69	7.59		350	38.50		4	0.44		2	0.22		0	0.00		0	0.00		0	0.00		0	0.00		356	39.16		5	0.55		0	0.00		0	0.00		0	0.00		5	0.55		1	0.11		0	0.00		0	0.00		1	0.11		303	33.33		3	0.33		0	0.00		2	0.22		0	0.00		308	33.88		4	0.44		5	0.55		0	0.00		9	0.99		50	5.50		11	1.21		0	0.00		0	0.00		0	0.00		61	6.71		0	0.00		0	0.00		0	0.00		0	0.00		1	0.11		0	0.00		0	0.00		1	0.11		31	3.41		4	0.44		0	0.00		0	0.00		0	0.00		35	3.85		1	0.11		0	0.00		0	0.00		0	0.00		1	0.11	
	Corryong		23	2.29		0	0.00		1	0.10		24	2.39		15	1.49		1	0.10		0	0.00		0	0.00		0	0.00		0	0.00		16	1.59		16	1.59		0	0.00		0	0.00		16	1.59		2	0.20		1	0.10		0	0.00		3	0.30		2	0.20		0	0.00		0	0.00		2	0.20		2	0.20		0	0.00		0	0.00		2	0.20		64	6.36		6	0.60		0	0.00		70	6.96		571	56.76		8	0.80		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		579	57.55		5	0.50		0	0.00		0	0.00		0	0.00		5	0.50		0	0.00		0	0.00		0	0.00		0	0.00		206	20.48		6	0.60		0	0.00		0	0.00		0	0.00		212	21.07		8	0.80		0	0.00		0	0.00		8	0.80		37	3.68		2	0.20		0	0.00		0	0.00		0	0.00		39	3.88		0	0.00		0	0.00		0	0.00		0	0.00		3	0.30		1	0.10		0	0.00		4	0.40		20	1.99		5	0.50		1	0.10		0	0.00		0	0.00		26	2.58		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
	Cudgewa		4	1.83		1	0.46		0	0.00		5	2.28		5	2.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	2.28		5	2.28		0	0.00		0	0.00		5	2.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	6.85		1	0.46		0	0.00		16	7.31		143	65.30		3	1.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		146	66.67		2	0.91		0	0.00		0	0.00		0	0.00		2	0.91		0	0.00		0	0.00		0	0.00		0	0.00		29	13.24		1	0.46		0	0.00		0	0.00		0	0.00		30	13.70		3	1.37		0	0.00		1	0.46		4	1.83		5	2.28		0	0.00		0	0.00		0	0.00		0	0.00		5	2.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.46		0	0.00		0	0.00		0	0.00		0	0.00		1	0.46		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00	
