Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

McEwen (89021)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Gladysdale		5	1.39		6	1.67		8	2.22		0	0.00		0	0.00		0	0.00		16	4.44		155	43.06		3	0.83		0	0.00		107	29.72		0	0.00		29	8.06		0	0.00		2	0.56		28	7.78		1	0.28		0	0.00		360	94.49		21	5.51		381	0.44
Glenburn		4	1.66		3	1.24		4	1.66		1	0.41		0	0.00		0	0.00		23	9.54		121	50.21		0	0.00		0	0.00		52	21.58		1	0.41		15	6.22		0	0.00		0	0.00		16	6.64		0	0.00		1	0.41		241	96.02		10	3.98		251	0.29
Healesville		73	2.21		55	1.67		36	1.09		3	0.09		0	0.00		2	0.06		126	3.82		1261	38.24		7	0.21		1	0.03		1077	32.66		12	0.36		270	8.19		0	0.00		11	0.33		361	10.95		0	0.00		3	0.09		3298	92.61		263	7.39		3561	4.13
Hoddles Creek		3	0.96		2	0.64		3	0.96		0	0.00		0	0.00		0	0.00		8	2.55		178	56.69		1	0.32		0	0.00		72	22.93		3	0.96		22	7.01		0	0.00		2	0.64		19	6.05		1	0.32		0	0.00		314	95.44		15	4.56		329	0.38
Hurstbridge		37	1.70		27	1.24		28	1.29		2	0.09		0	0.00		0	0.00		28	1.29		806	37.02		6	0.28		0	0.00		757	34.77		5	0.23		179	8.22		0	0.00		2	0.09		299	13.73		1	0.05		0	0.00		2177	96.03		90	3.97		2267	2.63
Jamieson		2	0.93		2	0.93		1	0.46		0	0.00		0	0.00		0	0.00		22	10.19		110	50.93		2	0.93		0	0.00		64	29.63		0	0.00		4	1.85		0	0.00		2	0.93		7	3.24		0	0.00		0	0.00		216	93.51		15	6.49		231	0.27
Kalkallo		3	1.96		8	5.23		1	0.65		0	0.00		0	0.00		0	0.00		5	3.27		80	52.29		1	0.65		0	0.00		44	28.76		3	1.96		6	3.92		0	0.00		0	0.00		2	1.31		0	0.00		0	0.00		153	93.87		10	6.13		163	0.19
Kangaroo Ground		13	1.60		7	0.86		9	1.10		0	0.00		0	0.00		0	0.00		8	0.98		377	46.26		0	0.00		1	0.12		153	18.77		30	3.68		60	7.36		0	0.00		3	0.37		152	18.65		1	0.12		1	0.12		815	98.19		15	1.81		830	0.96
Kilmore		40	1.55		47	1.83		37	1.44		4	0.16		0	0.00		0	0.00		60	2.33		1204	46.78		8	0.31		2	0.08		832	32.32		5	0.19		209	8.12		0	0.00		0	0.00		125	4.86		1	0.04		0	0.00		2574	94.49		150	5.51		2724	3.16
Kinglake		14	1.95		6	0.83		13	1.81		1	0.14		0	0.00		1	0.14		25	3.48		191	26.56		4	0.56		0	0.00		304	42.28		4	0.56		57	7.93		0	0.00		0	0.00		99	13.77		0	0.00		0	0.00		719	95.11		37	4.89		756	0.88
