Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

McMillan (85551)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Longwarry		21	2.94		16	2.24		5	0.70		0	0.00		1	0.14		0	0.00		32	4.48		357	49.93		4	0.56		0	0.00		212	29.65		7	0.98		34	4.76		0	0.00		2	0.28		24	3.36		0	0.00		0	0.00		715	93.71		48	6.29		763	0.93
Maryknoll		2	0.64		5	1.60		2	0.64		0	0.00		0	0.00		0	0.00		9	2.88		174	55.59		1	0.32		0	0.00		73	23.32		5	1.60		21	6.71		0	0.00		0	0.00		20	6.39		1	0.32		0	0.00		313	95.14		16	4.86		329	0.40
Melbourne (McMillan)		0	0.00		1	2.63		2	5.26		0	0.00		0	0.00		0	0.00		0	0.00		14	36.84		0	0.00		0	0.00		9	23.68		0	0.00		6	15.79		0	0.00		0	0.00		6	15.79		0	0.00		0	0.00		38	100.00		0	0.00		38	0.05
Moe		74	2.23		70	2.11		26	0.78		2	0.06		0	0.00		3	0.09		135	4.07		867	26.13		8	0.24		11	0.33		1808	54.49		14	0.42		175	5.27		1	0.03		8	0.24		116	3.50		0	0.00		0	0.00		3318	94.13		207	5.87		3525	4.28
Moe Central		28	1.79		60	3.84		13	0.83		3	0.19		0	0.00		1	0.06		79	5.05		311	19.90		5	0.32		3	0.19		939	60.08		6	0.38		84	5.37		0	0.00		1	0.06		30	1.92		0	0.00		0	0.00		1563	95.13		80	4.87		1643	2.00
Moe West		12	1.17		42	4.10		11	1.07		2	0.20		0	0.00		0	0.00		49	4.79		270	26.37		5	0.49		2	0.20		533	52.05		10	0.98		50	4.88		1	0.10		2	0.20		34	3.32		1	0.10		0	0.00		1024	94.38		61	5.62		1085	1.32
Morwell		37	2.52		34	2.31		15	1.02		0	0.00		2	0.14		0	0.00		80	5.45		482	32.81		3	0.20		11	0.75		657	44.72		8	0.54		100	6.81		0	0.00		2	0.14		37	2.52		0	0.00		1	0.07		1469	94.11		92	5.89		1561	1.90
Morwell Central		59	2.05		106	3.69		20	0.70		3	0.10		0	0.00		4	0.14		128	4.46		747	26.00		12	0.42		7	0.24		1480	51.51		19	0.66		198	6.89		2	0.07		2	0.07		85	2.96		1	0.03		0	0.00		2873	93.64		195	6.36		3068	3.73
Morwell Estate		44	1.78		69	2.79		12	0.49		5	0.20		2	0.08		1	0.04		75	3.03		683	27.63		7	0.28		5	0.20		1330	53.80		15	0.61		157	6.35		1	0.04		3	0.12		63	2.55		0	0.00		0	0.00		2472	94.28		150	5.72		2622	3.19
Morwell North		11	2.51		13	2.97		5	1.14		0	0.00		0	0.00		0	0.00		24	5.48		101	23.06		0	0.00		0	0.00		234	53.42		1	0.23		33	7.53		0	0.00		2	0.46		14	3.20		0	0.00		0	0.00		438	97.33		12	2.67		450	0.55
