Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate 																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Grey (85745)																																																																																																																																																																																																																																																											
		 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Cleve		62	8.34		2	0.27		0	0.00		0	0.00		64	8.61		4	0.54		2	0.27		0	0.00		6	0.81		26	3.50		5	0.67		0	0.00		31	4.17		0	0.00		0	0.00		0	0.00		0	0.00		608	81.83		17	2.29		0	0.00		0	0.00		1	0.13		626	84.25		1	0.13		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		1	0.13		9	1.21		4	0.54		0	0.00		0	0.00		0	0.00		13	1.75		0	0.00		0	0.00		1	0.13		1	0.13		743	97.51		19	2.49		762	0.94																																																																																																									
Coffin Bay		60	16.13		3	0.81		0	0.00		3	0.81		66	17.74		15	4.03		4	1.08		0	0.00		19	5.11		16	4.30		1	0.27		0	0.00		17	4.57		0	0.00		0	0.00		0	0.00		0	0.00		237	63.71		0	0.00		0	0.00		1	0.27		1	0.27		239	64.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.27		0	0.00		0	0.00		1	0.27		25	6.72		5	1.34		0	0.00		0	0.00		0	0.00		30	8.06		0	0.00		0	0.00		0	0.00		0	0.00		372	98.15		7	1.85		379	0.47																																																																																																									
Coober Pedy		408	40.48		11	1.09		1	0.10		4	0.40		424	42.06		12	1.19		4	0.40		0	0.00		16	1.59		88	8.73		18	1.79		1	0.10		107	10.62		0	0.00		0	0.00		0	0.00		0	0.00		373	37.00		9	0.89		1	0.10		2	0.20		1	0.10		386	38.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	0.60		0	0.00		0	0.00		6	0.60		55	5.46		13	1.29		0	0.00		0	0.00		0	0.00		68	6.75		1	0.10		0	0.00		0	0.00		1	0.10		1008	93.07		75	6.93		1083	1.33																																																																																																									
Cowell		100	13.55		8	1.08		0	0.00		2	0.27		110	14.91		14	1.90		6	0.81		0	0.00		20	2.71		36	4.88		6	0.81		0	0.00		42	5.69		0	0.00		0	0.00		0	0.00		0	0.00		523	70.87		11	1.49		1	0.14		3	0.41		3	0.41		541	73.31		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.14		1	0.14		0	0.00		0	0.00		0	0.00		0	0.00		21	2.85		2	0.27		0	0.00		0	0.00		0	0.00		23	3.12		1	0.14		0	0.00		0	0.00		1	0.14		738	97.36		20	2.64		758	0.93																																																																																																									
Crystal Brook		216	23.00		9	0.96		4	0.43		6	0.64		235	25.03		10	1.06		4	0.43		2	0.21		16	1.70		53	5.64		12	1.28		0	0.00		65	6.92		0	0.00		0	0.00		0	0.00		0	0.00		557	59.32		15	1.60		1	0.11		1	0.11		0	0.00		574	61.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		41	4.37		8	0.85		0	0.00		0	0.00		0	0.00		49	5.22		0	0.00		0	0.00		0	0.00		0	0.00		939	96.21		37	3.79		976	1.20																																																																																																									
Cummins		88	10.56		1	0.12		1	0.12		1	0.12		91	10.92		9	1.08		2	0.24		0	0.00		11	1.32		30	3.60		12	1.44		3	0.36		45	5.40		0	0.00		0	0.00		0	0.00		0	0.00		634	76.11		16	1.92		0	0.00		3	0.36		1	0.12		654	78.51		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		25	3.00		7	0.84		0	0.00		0	0.00		0	0.00		32	3.84		0	0.00		0	0.00		0	0.00		0	0.00		833	98.12		16	1.88		849	1.04																																																																																																									
Darke Peak		3	3.00		0	0.00		0	0.00		0	0.00		3	3.00		0	0.00		0	0.00		0	0.00		0	0.00		6	6.00		1	1.00		0	0.00		7	7.00		0	0.00		0	0.00		0	0.00		0	0.00		83	83.00		2	2.00		0	0.00		0	0.00		0	0.00		85	85.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.00		0	0.00		1	1.00		4	4.00		0	0.00		0	0.00		0	0.00		0	0.00		4	4.00		0	0.00		0	0.00		0	0.00		0	0.00		100	96.15		4	3.85		104	0.13																																																																																																									
Elliston		47	19.26		2	0.82		0	0.00		0	0.00		49	20.08		17	6.97		0	0.00		1	0.41		18	7.38		9	3.69		2	0.82		0	0.00		11	4.51		0	0.00		0	0.00		0	0.00		0	0.00		133	54.51		10	4.10		0	0.00		0	0.00		1	0.41		144	59.02		1	0.41		0	0.00		0	0.00		1	0.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		13	5.33		7	2.87		0	0.00		0	0.00		0	0.00		20	8.20		1	0.41		0	0.00		0	0.00		1	0.41		244	98.39		4	1.61		248	0.30																																																																																																									
Eudunda		81	11.23		5	0.69		0	0.00		3	0.42		89	12.34		11	1.53		4	0.55		1	0.14		16	2.22		107	14.84		11	1.53		0	0.00		118	16.37		0	0.00		0	0.00		0	0.00		0	0.00		402	55.76		17	2.36		1	0.14		1	0.14		0	0.00		421	58.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.14		1	0.14		0	0.00		0	0.00		0	0.00		0	0.00		64	8.88		10	1.39		0	0.00		0	0.00		0	0.00		74	10.26		0	0.00		0	0.00		2	0.28		2	0.28		721	92.44		59	7.56		780	0.96																																																																																																									
Farrell Flat		18	11.54		3	1.92		1	0.64		0	0.00		22	14.10		1	0.64		1	0.64		0	0.00		2	1.28		11	7.05		5	3.21		0	0.00		16	10.26		0	0.00		0	0.00		0	0.00		0	0.00		101	64.74		6	3.85		0	0.00		2	1.28		0	0.00		109	69.87		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.64		0	0.00		1	0.64		4	2.56		2	1.28		0	0.00		0	0.00		0	0.00		6	3.85		0	0.00		0	0.00		0	0.00		0	0.00		156	98.11		3	1.89		159	0.20																																																																																																									
