Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Barker (87836)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Coonawarra		17	8.06		1	0.47		0	0.00		0	0.00		18	8.53		2	0.95		3	1.42		0	0.00		5	2.37		7	3.32		0	0.00		0	0.00		7	3.32		0	0.00		0	0.00		0	0.00		0	0.00		159	75.36		4	1.90		0	0.00		0	0.00		0	0.00		163	77.25		0	0.00		0	0.00		0	0.00		0	0.00		1	0.47		0	0.00		0	0.00		1	0.47		1	0.47		0	0.00		0	0.00		1	0.47		11	5.21		4	1.90		0	0.00		0	0.00		0	0.00		15	7.11		0	0.00		0	0.00		1	0.47		1	0.47		211	98.14		4	1.86		215	0.25																																																																																																									
Currency Creek		57	15.00		2	0.53		0	0.00		1	0.26		60	15.79		9	2.37		6	1.58		0	0.00		15	3.95		29	7.63		9	2.37		0	0.00		38	10.00		0	0.00		0	0.00		0	0.00		0	0.00		209	55.00		15	3.95		0	0.00		1	0.26		0	0.00		225	59.21		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		30	7.89		11	2.89		0	0.00		0	0.00		0	0.00		41	10.79		0	0.00		0	0.00		1	0.26		1	0.26		380	96.20		15	3.80		395	0.47																																																																																																									
Delamere		46	20.81		2	0.90		0	0.00		1	0.45		49	22.17		12	5.43		3	1.36		1	0.45		16	7.24		15	6.79		5	2.26		0	0.00		20	9.05		0	0.00		0	0.00		0	0.00		0	0.00		110	49.77		4	1.81		0	0.00		0	0.00		0	0.00		114	51.58		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		19	8.60		2	0.90		0	0.00		0	0.00		0	0.00		21	9.50		1	0.45		0	0.00		0	0.00		1	0.45		221	98.22		4	1.78		225	0.27																																																																																																									
Frances		12	9.92		1	0.83		0	0.00		0	0.00		13	10.74		1	0.83		0	0.00		0	0.00		1	0.83		9	7.44		7	5.79		0	0.00		16	13.22		0	0.00		0	0.00		0	0.00		0	0.00		88	72.73		1	0.83		0	0.00		0	0.00		0	0.00		89	73.55		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.65		0	0.00		0	0.00		0	0.00		0	0.00		2	1.65		0	0.00		0	0.00		0	0.00		0	0.00		121	99.18		1	0.82		122	0.14																																																																																																									
Furner		7	5.22		1	0.75		0	0.00		0	0.00		8	5.97		1	0.75		1	0.75		0	0.00		2	1.49		7	5.22		1	0.75		0	0.00		8	5.97		0	0.00		0	0.00		0	0.00		0	0.00		107	79.85		3	2.24		0	0.00		0	0.00		0	0.00		110	82.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	4.48		0	0.00		0	0.00		0	0.00		0	0.00		6	4.48		0	0.00		0	0.00		0	0.00		0	0.00		134	98.53		2	1.47		136	0.16																																																																																																									
Geranium		11	8.21		0	0.00		0	0.00		0	0.00		11	8.21		4	2.99		1	0.75		0	0.00		5	3.73		7	5.22		1	0.75		0	0.00		8	5.97		0	0.00		0	0.00		0	0.00		0	0.00		92	68.66		4	2.99		0	0.00		1	0.75		0	0.00		97	72.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	7.46		3	2.24		0	0.00		0	0.00		0	0.00		13	9.70		0	0.00		0	0.00		0	0.00		0	0.00		134	96.40		5	3.60		139	0.16																																																																																																									
Glenburnie		48	23.76		1	0.50		1	0.50		3	1.49		53	26.24		2	0.99		2	0.99		0	0.00		4	1.98		28	13.86		4	1.98		0	0.00		32	15.84		0	0.00		0	0.00		0	0.00		0	0.00		96	47.52		4	1.98		0	0.00		0	0.00		0	0.00		100	49.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	5.45		2	0.99		0	0.00		0	0.00		0	0.00		13	6.44		0	0.00		0	0.00		0	0.00		0	0.00		202	95.73		9	4.27		211	0.25																																																																																																									
Glencoe		105	27.49		4	1.05		0	0.00		3	0.79		112	29.32		10	2.62		6	1.57		0	0.00		16	4.19		37	9.69		6	1.57		0	0.00		43	11.26		0	0.00		0	0.00		0	0.00		0	0.00		181	47.38		3	0.79		0	0.00		0	0.00		1	0.26		185	48.43		1	0.26		0	0.00		0	0.00		1	0.26		0	0.00		0	0.00		0	0.00		0	0.00		1	0.26		0	0.00		0	0.00		1	0.26		20	5.24		4	1.05		0	0.00		0	0.00		0	0.00		24	6.28		0	0.00		0	0.00		0	0.00		0	0.00		382	97.70		9	2.30		391	0.46																																																																																																									
Goolwa		789	25.94		31	1.02		4	0.13		19	0.62		843	27.71		121	3.98		35	1.15		1	0.03		157	5.16		177	5.82		35	1.15		1	0.03		213	7.00		4	0.13		1	0.03		1	0.03		6	0.20		1432	47.07		60	1.97		5	0.16		2	0.07		1	0.03		1500	49.31		4	0.13		0	0.00		0	0.00		4	0.13		1	0.03		0	0.00		0	0.00		1	0.03		2	0.07		2	0.07		0	0.00		4	0.13		260	8.55		51	1.68		0	0.00		0	0.00		0	0.00		311	10.22		3	0.10		0	0.00		0	0.00		3	0.10		3042	96.39		114	3.61		3156	3.72																																																																																																									
Gosse		5	8.20		0	0.00		0	0.00		0	0.00		5	8.20		2	3.28		2	3.28		0	0.00		4	6.56		4	6.56		3	4.92		0	0.00		7	11.48		0	0.00		0	0.00		0	0.00		0	0.00		32	52.46		4	6.56		0	0.00		0	0.00		0	0.00		36	59.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	9.84		3	4.92		0	0.00		0	0.00		0	0.00		9	14.75		0	0.00		0	0.00		0	0.00		0	0.00		61	100.00		0	0.00		61	0.07																																																																																																									
