Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Barker (87836)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Lameroo		67	12.59		12	2.26		23	4.32		0	0.00		402	75.56		0	0.00		0	0.00		0	0.00		28	5.26		0	0.00		532	95.51		25	4.49		557	0.66
Lucindale		55	10.38		11	2.08		33	6.23		1	0.19		398	75.09		1	0.19		1	0.19		0	0.00		29	5.47		1	0.19		530	97.79		12	2.21		542	0.64
Mannum		576	31.65		43	2.36		154	8.46		0	0.00		864	47.47		0	0.00		2	0.11		4	0.22		175	9.62		2	0.11		1820	96.45		67	3.55		1887	2.23
Meningie		131	15.78		23	2.77		61	7.35		1	0.12		590	71.08		0	0.00		2	0.24		0	0.00		22	2.65		0	0.00		830	96.40		31	3.60		861	1.02
Middleton		146	23.10		52	8.23		38	6.01		1	0.16		300	47.47		0	0.00		0	0.00		1	0.16		94	14.87		0	0.00		632	96.05		26	3.95		658	0.78
Milang		109	18.73		32	5.50		31	5.33		0	0.00		361	62.03		0	0.00		1	0.17		2	0.34		44	7.56		2	0.34		582	97.65		14	2.35		596	0.70
Mil Lel		22	11.40		5	2.59		17	8.81		1	0.52		136	70.47		0	0.00		0	0.00		0	0.00		12	6.22		0	0.00		193	96.02		8	3.98		201	0.24
Millicent		730	33.09		57	2.58		142	6.44		4	0.18		1115	50.54		1	0.05		1	0.05		10	0.45		144	6.53		2	0.09		2206	97.05		67	2.95		2273	2.68
Millicent South		365	37.55		34	3.50		68	7.00		1	0.10		436	44.86		0	0.00		0	0.00		5	0.51		63	6.48		0	0.00		972	96.81		32	3.19		1004	1.18
Moorak		49	12.47		8	2.04		25	6.36		1	0.25		282	71.76		0	0.00		0	0.00		1	0.25		26	6.62		1	0.25		393	96.56		14	3.44		407	0.48
Mount Burr		125	40.85		7	2.29		19	6.21		1	0.33		132	43.14		0	0.00		1	0.33		0	0.00		21	6.86		0	0.00		306	96.53		11	3.47		317	0.37
Mount Compass		188	20.59		45	4.93		55	6.02		1	0.11		476	52.14		0	0.00		0	0.00		3	0.33		140	15.33		5	0.55		913	97.54		23	2.46		936	1.10
Mount Gambier		887	28.18		99	3.14		106	3.37		6	0.19		1749	55.56		3	0.10		3	0.10		8	0.25		284	9.02		3	0.10		3148	96.86		102	3.14		3250	3.83
Mount Gambier East		1214	41.08		93	3.15		201	6.80		2	0.07		1195	40.44		0	0.00		3	0.10		11	0.37		232	7.85		4	0.14		2955	96.13		119	3.87		3074	3.63
Mount Gambier North		744	36.92		60	2.98		141	7.00		6	0.30		891	44.22		0	0.00		2	0.10		5	0.25		164	8.14		2	0.10		2015	96.64		70	3.36		2085	2.46
