Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate 																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Hindmarsh (84806)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Fulham		536	30.01		19	1.06		1	0.06		12	0.67		568	31.80		29	1.62		18	1.01		3	0.17		50	2.80		39	2.18		7	0.39		0	0.00		46	2.58		1	0.06		0	0.00		0	0.00		1	0.06		906	50.73		23	1.29		2	0.11		1	0.06		0	0.00		932	52.18		2	0.11		1	0.06		0	0.00		3	0.17		1	0.06		0	0.00		0	0.00		1	0.06		2	0.11		0	0.00		0	0.00		2	0.11		154	8.62		27	1.51		1	0.06		0	0.00		0	0.00		182	10.19		1	0.06		0	0.00		0	0.00		1	0.06		1786	96.59		63	3.41		1849	2.27																																																																																																									
Fulham Gardens		1293	38.86		32	0.96		2	0.06		23	0.69		1350	40.58		72	2.16		19	0.57		4	0.12		95	2.86		79	2.37		17	0.51		0	0.00		96	2.89		3	0.09		0	0.00		0	0.00		3	0.09		1351	40.61		37	1.11		0	0.00		3	0.09		1	0.03		1392	41.84		3	0.09		0	0.00		1	0.03		4	0.12		1	0.03		0	0.00		0	0.00		1	0.03		2	0.06		0	0.00		0	0.00		2	0.06		331	9.95		52	1.56		0	0.00		0	0.00		0	0.00		383	11.51		1	0.03		0	0.00		0	0.00		1	0.03		3327	95.66		151	4.34		3478	4.27																																																																																																									
Glandore		333	27.21		17	1.39		3	0.25		12	0.98		365	29.82		42	3.43		25	2.04		1	0.08		68	5.56		31	2.53		8	0.65		0	0.00		39	3.19		2	0.16		0	0.00		1	0.08		3	0.25		532	43.46		17	1.39		1	0.08		1	0.08		3	0.25		554	45.26		1	0.08		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		1	0.08		1	0.08		0	0.00		1	0.08		0	0.00		1	0.08		132	10.78		56	4.58		0	0.00		2	0.16		0	0.00		190	15.52		1	0.08		1	0.08		0	0.00		2	0.16		1224	97.92		26	2.08		1250	1.54																																																																																																									
Glenelg Central		419	25.24		17	1.02		0	0.00		13	0.78		449	27.05		54	3.25		12	0.72		0	0.00		66	3.98		39	2.35		10	0.60		2	0.12		51	3.07		0	0.00		0	0.00		0	0.00		0	0.00		872	52.53		26	1.57		2	0.12		1	0.06		1	0.06		902	54.34		0	0.00		0	0.00		0	0.00		0	0.00		2	0.12		0	0.00		0	0.00		2	0.12		2	0.12		2	0.12		0	0.00		4	0.24		147	8.86		38	2.29		0	0.00		0	0.00		1	0.06		186	11.20		0	0.00		0	0.00		0	0.00		0	0.00		1660	96.51		60	3.49		1720	2.11																																																																																																									
Glenelg East		429	25.67		19	1.14		2	0.12		8	0.48		458	27.41		53	3.17		7	0.42		1	0.06		61	3.65		35	2.09		12	0.72		1	0.06		48	2.87		1	0.06		1	0.06		0	0.00		2	0.12		839	50.21		29	1.74		2	0.12		2	0.12		1	0.06		873	52.24		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		0	0.00		1	0.06		2	0.12		0	0.00		0	0.00		2	0.12		182	10.89		43	2.57		0	0.00		0	0.00		0	0.00		225	13.46		1	0.06		0	0.00		0	0.00		1	0.06		1671	97.26		47	2.74		1718	2.11																																																																																																									
Glenelg North		637	24.56		32	1.23		2	0.08		12	0.46		683	26.33		71	2.74		33	1.27		3	0.12		107	4.12		58	2.24		8	0.31		2	0.08		68	2.62		1	0.04		2	0.08		0	0.00		3	0.12		1382	53.28		37	1.43		3	0.12		1	0.04		3	0.12		1426	54.97		4	0.15		0	0.00		0	0.00		4	0.15		0	0.00		1	0.04		0	0.00		1	0.04		2	0.08		0	0.00		0	0.00		2	0.08		236	9.10		57	2.20		2	0.08		0	0.00		1	0.04		296	11.41		1	0.04		2	0.08		1	0.04		4	0.15		2594	97.04		79	2.96		2673	3.28																																																																																																									
Glenelg South		367	19.49		14	0.74		5	0.27		12	0.64		398	21.14		55	2.92		35	1.86		2	0.11		92	4.89		45	2.39		7	0.37		0	0.00		52	2.76		0	0.00		0	0.00		1	0.05		1	0.05		1093	58.05		40	2.12		0	0.00		3	0.16		2	0.11		1138	60.44		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.11		1	0.05		0	0.00		3	0.16		145	7.70		49	2.60		3	0.16		0	0.00		0	0.00		197	10.46		2	0.11		0	0.00		0	0.00		2	0.11		1883	96.71		64	3.29		1947	2.39																																																																																																									
Glengowrie		460	27.59		15	0.90		0	0.00		10	0.60		485	29.09		29	1.74		13	0.78		0	0.00		42	2.52		34	2.04		6	0.36		1	0.06		41	2.46		1	0.06		0	0.00		0	0.00		1	0.06		868	52.07		24	1.44		1	0.06		6	0.36		1	0.06		900	53.99		2	0.12		0	0.00		0	0.00		2	0.12		0	0.00		2	0.12		0	0.00		2	0.12		2	0.12		2	0.12		0	0.00		4	0.24		154	9.24		35	2.10		0	0.00		0	0.00		0	0.00		189	11.34		1	0.06		0	0.00		0	0.00		1	0.06		1667	97.09		50	2.91		1717	2.11																																																																																																									
Grovene		309	23.99		14	1.09		4	0.31		9	0.70		336	26.09		22	1.71		10	0.78		0	0.00		32	2.48		25	1.94		4	0.31		0	0.00		29	2.25		1	0.08		1	0.08		0	0.00		2	0.16		696	54.04		29	2.25		0	0.00		2	0.16		1	0.08		728	56.52		1	0.08		1	0.08		0	0.00		2	0.16		0	0.00		0	0.00		0	0.00		0	0.00		3	0.23		1	0.08		0	0.00		4	0.31		125	9.70		30	2.33		0	0.00		0	0.00		0	0.00		155	12.03		0	0.00		0	0.00		0	0.00		0	0.00		1288	96.41		48	3.59		1336	1.64																																																																																																									
Henley Beach		633	29.10		29	1.33		4	0.18		22	1.01		688	31.63		96	4.41		36	1.66		13	0.60		145	6.67		41	1.89		11	0.51		1	0.05		53	2.44		2	0.09		0	0.00		0	0.00		2	0.09		921	42.34		28	1.29		3	0.14		1	0.05		1	0.05		954	43.86		0	0.00		0	0.00		0	0.00		0	0.00		2	0.09		1	0.05		0	0.00		3	0.14		4	0.18		0	0.00		0	0.00		4	0.18		243	11.17		79	3.63		4	0.18		0	0.00		0	0.00		326	14.99		0	0.00		0	0.00		0	0.00		0	0.00		2175	97.14		64	2.86		2239	2.75																																																																																																									
