Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Hindmarsh (84806)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Plympton Park		468	34.06		45	3.28		34	2.47		4	0.29		620	45.12		0	0.00		0	0.00		1	0.07		200	14.56		2	0.15		1374	96.56		49	3.44		1423	1.75
Plympton West		548	38.08		38	2.64		49	3.41		0	0.00		658	45.73		0	0.00		0	0.00		2	0.14		144	10.01		0	0.00		1439	96.06		59	3.94		1498	1.84
Richmond		870	44.25		95	4.83		62	3.15		2	0.10		712	36.22		2	0.10		1	0.05		1	0.05		219	11.14		2	0.10		1966	95.95		83	4.05		2049	2.52
Somerton Park East		412	30.21		42	3.08		53	3.89		1	0.07		694	50.88		1	0.07		1	0.07		1	0.07		157	11.51		2	0.15		1364	95.59		63	4.41		1427	1.75
South Plympton		477	36.55		43	3.30		43	3.30		1	0.08		539	41.30		0	0.00		3	0.23		0	0.00		197	15.10		2	0.15		1305	96.31		50	3.69		1355	1.66
Torrensville		843	51.65		108	6.62		34	2.08		4	0.25		434	26.59		1	0.06		1	0.06		4	0.25		203	12.44		0	0.00		1632	95.38		79	4.62		1711	2.10
West Beach		764	30.86		88	3.55		66	2.67		0	0.00		1288	52.02		1	0.04		1	0.04		2	0.08		263	10.62		3	0.12		2476	97.44		65	2.56		2541	3.12
West Richmond		460	51.51		27	3.02		30	3.36		1	0.11		286	32.03		3	0.34		0	0.00		0	0.00		85	9.52		1	0.11		893	94.60		51	5.40		944	1.16
Special Hospitals		173	41.09		4	0.95		6	1.43		0	0.00		230	54.63		0	0.00		0	0.00		0	0.00		8	1.90		0	0.00		421	94.82		23	5.18		444	0.55
Total Ordinary		24308	36.72		2340	3.53		1921	2.90		69	0.10		29589	44.70		47	0.07		35	0.05		107	0.16		7729	11.68		52	0.08		66197	96.32		2530	3.68		68727	84.41
ABSENT		1831	33.79		286	5.28		175	3.23		8	0.15		2177	40.17		3	0.06		3	0.06		10	0.18		918	16.94		8	0.15		5419	98.29		94	1.71		5513	6.77
POSTAL		1194	32.66		73	2.00		122	3.34		4	0.11		1939	53.04		3	0.08		3	0.08		4	0.11		310	8.48		4	0.11		3656	99.27		27	0.73		3683	4.52
PRE_POLL		869	30.97		136	4.85		78	2.78		3	0.11		1319	47.01		6	0.21		1	0.04		5	0.18		389	13.86		0	0.00		2806	98.66		38	1.34		2844	3.49
PROVISIONAL		245	38.83		38	6.02		19	3.01		0	0.00		227	35.97		0	0.00		0	0.00		0	0.00		102	16.16		0	0.00		631	96.93		20	3.07		651	0.80
Division Summary		28447	36.14		2873	3.65		2315	2.94		84	0.11		35251	44.79		59	0.07		42	0.05		126	0.16		9448	12		64	0.08		78709	96.67		2709	3.33		81418	96
