Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Port Adelaide (86297)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Taperoo East		797	61.74		43	3.33		65	5.03		5	0.39		263	20.37		1	0.08		1	0.08		2	0.15		112	8.68		2	0.15		1291	96.99		40	3.01		1331	1.62
Virginia (Port Adelaide)		201	38.58		7	1.34		48	9.21		1	0.19		219	42.03		1	0.19		0	0.00		1	0.19		43	8.25		0	0.00		521	95.42		25	4.58		546	0.66
West Croydon		1007	51.35		113	5.76		58	2.96		10	0.51		519	26.47		0	0.00		0	0.00		2	0.10		251	12.80		1	0.05		1961	95.66		89	4.34		2050	2.49
West Lakes Shore		1250	28.01		106	2.38		138	3.09		5	0.11		2459	55.10		3	0.07		2	0.04		9	0.20		488	10.93		3	0.07		4463	97.25		126	2.75		4589	5.57
Woodville		729	43.24		56	3.32		61	3.62		3	0.18		605	35.88		2	0.12		0	0.00		3	0.18		223	13.23		4	0.24		1686	96.34		64	3.66		1750	2.12
Woodville Gardens		1850	72.72		53	2.08		79	3.11		3	0.12		382	15.02		3	0.12		0	0.00		3	0.12		169	6.64		2	0.08		2544	94.93		136	5.07		2680	3.25
Woodville North		620	50.16		21	1.70		81	6.55		2	0.16		393	31.80		0	0.00		3	0.24		3	0.24		113	9.14		0	0.00		1236	94.06		78	5.94		1314	1.59
Woodville South		699	42.96		56	3.44		65	4.00		2	0.12		610	37.49		0	0.00		0	0.00		5	0.31		189	11.62		1	0.06		1627	95.99		68	4.01		1695	2.06
Woodville West		830	48.26		53	3.08		75	4.36		2	0.12		586	34.07		4	0.23		0	0.00		3	0.17		165	9.59		2	0.12		1720	95.45		82	4.55		1802	2.19
Special Hospitals		226	52.68		4	0.93		17	3.96		1	0.23		158	36.83		1	0.23		1	0.23		1	0.23		20	4.66		0	0.00		429	97.95		9	2.05		438	0.53
Total Ordinary		33163	48.55		2425	3.55		2731	4.00		102	0.15		22106	32.36		63	0.09		33	0.05		126	0.18		7503	10.98		54	0.08		68306	96.12		2757	3.88		71063	86.24
ABSENT		2061	42.73		233	4.83		205	4.25		10	0.21		1593	33.03		4	0.08		0	0.00		10	0.21		704	14.60		3	0.06		4823	97.97		100	2.03		4923	5.97
POSTAL		1496	48.73		67	2.18		180	5.86		2	0.07		1089	35.47		2	0.07		1	0.03		14	0.46		212	6.91		7	0.23		3070	99.13		27	0.87		3097	3.76
PRE_POLL		1070	43.41		109	4.42		100	4.06		1	0.04		856	34.73		0	0.00		1	0.04		9	0.37		316	12.82		3	0.12		2465	98.68		33	1.32		2498	3.03
PROVISIONAL		418	52.84		29	3.67		35	4.42		4	0.51		212	26.80		1	0.13		0	0.00		3	0.38		89	11.25		0	0.00		791	96.00		33	4.00		824	1.00
Division Summary		38208	48.09		2863	3.6		3251	4.09		119	0.15		25856	32.54		70	0.09		35	0.04		162	0.2		8824	11.11		67	0.08		79455	96.42		2950	3.58		82405	95.49
