Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Wakefield (86378)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Kersbrook		127	20.09		20	3.16		45	7.12		1	0.16		359	56.80		0	0.00		0	0.00		0	0.00		79	12.50		1	0.16		632	97.83		14	2.17		646	0.77
Loxton		622	21.65		69	2.40		200	6.96		2	0.07		1780	61.96		5	0.17		0	0.00		0	0.00		193	6.72		2	0.07		2873	96.54		103	3.46		2976	3.57
Loxton North		84	16.87		19	3.82		50	10.04		1	0.20		309	62.05		1	0.20		0	0.00		5	1.00		29	5.82		0	0.00		498	95.77		22	4.23		520	0.62
Lyndoch		245	22.94		42	3.93		83	7.77		0	0.00		551	51.59		0	0.00		1	0.09		1	0.09		142	13.30		3	0.28		1068	98.61		15	1.39		1083	1.30
Lyrup		56	24.14		7	3.02		21	9.05		1	0.43		136	58.62		0	0.00		0	0.00		0	0.00		11	4.74		0	0.00		232	95.87		10	4.13		242	0.29
Maitland		140	15.68		15	1.68		82	9.18		0	0.00		596	66.74		1	0.11		1	0.11		0	0.00		58	6.49		0	0.00		893	96.54		32	3.46		925	1.11
Mallala		189	25.37		13	1.74		62	8.32		1	0.13		414	55.57		0	0.00		0	0.00		0	0.00		66	8.86		0	0.00		745	98.81		9	1.19		754	0.90
Marion Bay		32	33.33		7	7.29		3	3.13		0	0.00		47	48.96		0	0.00		0	0.00		0	0.00		7	7.29		0	0.00		96	98.97		1	1.03		97	0.12
Minlaton		122	16.03		14	1.84		46	6.04		2	0.26		501	65.83		1	0.13		3	0.39		2	0.26		68	8.94		2	0.26		761	95.84		33	4.16		794	0.95
Moculta		12	8.00		6	4.00		14	9.33		0	0.00		103	68.67		0	0.00		0	0.00		0	0.00		15	10.00		0	0.00		150	99.34		1	0.66		151	0.18
Monash		115	21.14		20	3.68		52	9.56		0	0.00		310	56.99		0	0.00		0	0.00		1	0.18		46	8.46		0	0.00		544	97.49		14	2.51		558	0.67
Moonta		537	30.29		28	1.58		178	10.04		2	0.11		888	50.08		2	0.11		0	0.00		4	0.23		134	7.56		0	0.00		1773	96.62		62	3.38		1835	2.20
Moonta Mines		144	41.14		13	3.71		33	9.43		0	0.00		143	40.86		0	0.00		0	0.00		2	0.57		14	4.00		1	0.29		350	97.49		9	2.51		359	0.43
Moorook		69	19.11		6	1.66		39	10.80		0	0.00		226	62.60		0	0.00		0	0.00		1	0.28		20	5.54		0	0.00		361	98.90		4	1.10		365	0.44
Morgan		171	34.62		7	1.42		56	11.34		1	0.20		235	47.57		1	0.20		0	0.00		0	0.00		23	4.66		0	0.00		494	98.02		10	1.98		504	0.60
Mount Pleasant		157	23.40		19	2.83		52	7.75		0	0.00		349	52.01		1	0.15		0	0.00		1	0.15		92	13.71		0	0.00		671	96.41		25	3.59		696	0.83
Mount Torrens		65	18.68		18	5.17		27	7.76		0	0.00		193	55.46		0	0.00		1	0.29		0	0.00		44	12.64		0	0.00		348	96.40		13	3.60		361	0.43
Nuriootpa		685	22.60		109	3.60		179	5.91		0	0.00		1682	55.49		2	0.07		0	0.00		6	0.20		363	11.98		5	0.16		3031	96.38		114	3.62		3145	3.77
One Tree Hill (Wakefield)		81	23.01		7	1.99		22	6.25		0	0.00		201	57.10		2	0.57		0	0.00		1	0.28		36	10.23		2	0.57		352	98.05		7	1.95		359	0.43
Owen		81	24.55		5	1.52		32	9.70		1	0.30		183	55.45		1	0.30		0	0.00		0	0.00		27	8.18		0	0.00		330	95.38		16	4.62		346	0.41
Palmer		27	18.24		8	5.41		11	7.43		0	0.00		95	64.19		0	0.00		0	0.00		0	0.00		6	4.05		1	0.68		148	98.67		2	1.33		150	0.18
Paringa		133	20.78		16	2.50		57	8.91		0	0.00		400	62.50		0	0.00		0	0.00		0	0.00		33	5.16		1	0.16		640	95.81		28	4.19		668	0.80
Paskeville		23	12.78		2	1.11		6	3.33		0	0.00		139	77.22		0	0.00		0	0.00		0	0.00		10	5.56		0	0.00		180	95.74		8	4.26		188	0.23
Pine Point		25	16.56		0	0.00		7	4.64		0	0.00		108	71.52		0	0.00		0	0.00		0	0.00		10	6.62		1	0.66		151	100.00		0	0.00		151	0.18
Port Clinton		116	32.95		5	1.42		30	8.52		2	0.57		185	52.56		0	0.00		0	0.00		1	0.28		13	3.69		0	0.00		352	95.39		17	4.61		369	0.44
Port Victoria		61	21.33		6	2.10		31	10.84		0	0.00		169	59.09		0	0.00		0	0.00		0	0.00		19	6.64		0	0.00		286	97.61		7	2.39		293	0.35
Port Vincent		95	23.23		7	1.71		16	3.91		0	0.00		275	67.24		0	0.00		0	0.00		0	0.00		16	3.91		0	0.00		409	94.90		22	5.10		431	0.52
Port Wakefield		125	26.88		9	1.94		63	13.55		0	0.00		238	51.18		0	0.00		3	0.65		1	0.22		25	5.38		1	0.22		465	93.94		30	6.06		495	0.59
Ramco		106	24.04		5	1.13		44	9.98		0	0.00		258	58.50		0	0.00		0	0.00		2	0.45		23	5.22		3	0.68		441	96.08		18	3.92		459	0.55
Renmark		983	32.05		78	2.54		186	6.06		8	0.26		1610	52.49		5	0.16		2	0.07		9	0.29		186	6.06		0	0.00		3067	96.45		113	3.55		3180	3.81
Renmark North		139	27.20		16	3.13		33	6.46		2	0.39		287	56.16		0	0.00		0	0.00		1	0.20		32	6.26		1	0.20		511	96.05		21	3.95		532	0.64
Renmark West		75	15.27		13	2.65		37	7.54		0	0.00		316	64.36		0	0.00		1	0.20		1	0.20		46	9.37		2	0.41		491	96.46		18	3.54		509	0.61
Roseworthy		149	26.28		12	2.12		43	7.58		0	0.00		298	52.56		0	0.00		1	0.18		0	0.00		63	11.11		1	0.18		567	96.26		22	3.74		589	0.71
Sandy Creek		100	20.37		14	2.85		56	11.41		1	0.20		261	53.16		0	0.00		0	0.00		0	0.00		58	11.81		1	0.20		491	97.04		15	2.96		506	0.61
Springton		66	21.22		13	4.18		30	9.65		0	0.00		154	49.52		1	0.32		0	0.00		0	0.00		47	15.11		0	0.00		311	97.19		9	2.81		320	0.38
