Senate - 2001 Election: South Australia 																																																																																																																																																																																																																																																											
First Preference Votes by Candidate																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Adelaide (86538)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
College Park		247	20.91		19	1.61		2	0.17		16	1.35		284	24.05		36	3.05		38	3.22		2	0.17		76	6.44		22	1.86		3	0.25		0	0.00		25	2.12		1	0.08		1	0.08		1	0.08		3	0.25		561	47.50		29	2.46		1	0.08		4	0.34		2	0.17		597	50.55		1	0.08		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		3	0.25		0	0.00		0	0.00		3	0.25		142	12.02		44	3.73		2	0.17		1	0.08		1	0.08		190	16.09		1	0.08		0	0.00		1	0.08		2	0.17		1181	97.28		33	2.72		1214	1.47																																																																																																									
Croydon (Adelaide)		166	49.70		4	1.20		1	0.30		5	1.50		176	52.69		11	3.29		6	1.80		1	0.30		18	5.39		10	2.99		0	0.00		0	0.00		10	2.99		0	0.00		0	0.00		0	0.00		0	0.00		95	28.44		2	0.60		0	0.00		0	0.00		0	0.00		97	29.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		21	6.29		12	3.59		0	0.00		0	0.00		0	0.00		33	9.88		0	0.00		0	0.00		0	0.00		0	0.00		334	94.62		19	5.38		353	0.43																																																																																																									
Croydon Park		972	57.04		23	1.35		3	0.18		6	0.35		1004	58.92		28	1.64		4	0.23		0	0.00		32	1.88		61	3.58		13	0.76		0	0.00		74	4.34		2	0.12		0	0.00		0	0.00		2	0.12		451	26.47		8	0.47		0	0.00		2	0.12		0	0.00		461	27.05		2	0.12		0	0.00		0	0.00		2	0.12		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		1	0.06		0	0.00		2	0.12		104	6.10		22	1.29		1	0.06		0	0.00		0	0.00		127	7.45		0	0.00		0	0.00		0	0.00		0	0.00		1704	94.51		99	5.49		1803	2.19																																																																																																									
Croydon Park West (Adelaide)		254	60.05		4	0.95		4	0.95		2	0.47		264	62.41		6	1.42		1	0.24		0	0.00		7	1.65		10	2.36		2	0.47		0	0.00		12	2.84		0	0.00		0	0.00		0	0.00		0	0.00		111	26.24		3	0.71		0	0.00		0	0.00		0	0.00		114	26.95		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		21	4.96		4	0.95		0	0.00		1	0.24		0	0.00		26	6.15		0	0.00		0	0.00		0	0.00		0	0.00		423	93.58		29	6.42		452	0.55																																																																																																									
Enfield		537	39.72		12	0.89		3	0.22		10	0.74		562	41.57		23	1.70		9	0.67		0	0.00		32	2.37		42	3.11		9	0.67		3	0.22		54	3.99		1	0.07		0	0.00		0	0.00		1	0.07		549	40.61		11	0.81		1	0.07		2	0.15		0	0.00		563	41.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		1	0.07		117	8.65		21	1.55		0	0.00		0	0.00		0	0.00		138	10.21		1	0.07		0	0.00		0	0.00		1	0.07		1352	95.55		63	4.45		1415	1.72																																																																																																									
Enfield North (Adelaide)		507	43.19		17	1.45		2	0.17		11	0.94		537	45.74		27	2.30		11	0.94		1	0.09		39	3.32		49	4.17		7	0.60		0	0.00		56	4.77		2	0.17		2	0.17		0	0.00		4	0.34		387	32.96		13	1.11		0	0.00		1	0.09		1	0.09		402	34.24		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	0.43		0	0.00		0	0.00		5	0.43		104	8.86		24	2.04		1	0.09		0	0.00		1	0.09		130	11.07		1	0.09		0	0.00		0	0.00		1	0.09		1174	97.51		30	2.49		1204	1.46																																																																																																									
Enfield South		459	37.50		8	0.65		3	0.25		8	0.65		478	39.05		30	2.45		8	0.65		0	0.00		38	3.10		30	2.45		4	0.33		0	0.00		34	2.78		2	0.16		2	0.16		1	0.08		5	0.41		470	38.40		18	1.47		2	0.16		0	0.00		2	0.16		492	40.20		0	0.00		1	0.08		0	0.00		1	0.08		2	0.16		0	0.00		0	0.00		2	0.16		1	0.08		1	0.08		0	0.00		2	0.16		133	10.87		37	3.02		2	0.16		0	0.00		0	0.00		172	14.05		0	0.00		0	0.00		0	0.00		0	0.00		1224	97.30		34	2.70		1258	1.53																																																																																																									
Everard Park		205	28.16		18	2.47		4	0.55		6	0.82		233	32.01		22	3.02		10	1.37		1	0.14		33	4.53		17	2.34		4	0.55		0	0.00		21	2.88		0	0.00		0	0.00		0	0.00		0	0.00		308	42.31		6	0.82		0	0.00		1	0.14		0	0.00		315	43.27		0	0.00		2	0.27		1	0.14		3	0.41		0	0.00		0	0.00		1	0.14		1	0.14		0	0.00		0	0.00		0	0.00		0	0.00		93	12.77		27	3.71		1	0.14		0	0.00		0	0.00		121	16.62		0	0.00		0	0.00		1	0.14		1	0.14		728	95.41		35	4.59		763	0.93																																																																																																									
Fullarton		499	21.75		39	1.70		8	0.35		16	0.70		562	24.50		69	3.01		46	2.01		2	0.09		117	5.10		36	1.57		9	0.39		0	0.00		45	1.96		0	0.00		0	0.00		1	0.04		1	0.04		1130	49.26		61	2.66		4	0.17		3	0.13		2	0.09		1200	52.31		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		0	0.00		0	0.00		1	0.04		3	0.13		0	0.00		0	0.00		3	0.13		270	11.77		88	3.84		3	0.13		1	0.04		1	0.04		363	15.82		1	0.04		0	0.00		1	0.04		2	0.09		2294	97.24		65	2.76		2359	2.87																																																																																																									
Goodwood		609	31.49		36	1.86		7	0.36		21	1.09		673	34.80		121	6.26		75	3.88		5	0.26		201	10.39		19	0.98		3	0.16		1	0.05		23	1.19		1	0.05		1	0.05		0	0.00		2	0.10		603	31.18		22	1.14		1	0.05		2	0.10		1	0.05		629	32.52		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		1	0.05		9	0.47		1	0.05		0	0.00		10	0.52		271	14.01		117	6.05		3	0.16		0	0.00		2	0.10		393	20.32		1	0.05		1	0.05		0	0.00		2	0.10		1934	97.38		52	2.62		1986	2.41																																																																																																									
Goodwood Park		245	36.30		18	2.67		2	0.30		7	1.04		272	40.30		17	2.52		17	2.52		1	0.15		35	5.19		7	1.04		4	0.59		1	0.15		12	1.78		0	0.00		0	0.00		0	0.00		0	0.00		245	36.30		12	1.78		0	0.00		1	0.15		0	0.00		258	38.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		64	9.48		31	4.59		1	0.15		0	0.00		1	0.15		97	14.37		0	0.00		0	0.00		1	0.15		1	0.15		675	94.27		41	5.73		716	0.87																																																																																																									
Greenacres		522	37.77		20	1.45		2	0.14		5	0.36		549	39.73		43	3.11		11	0.80		0	0.00		54	3.91		58	4.20		11	0.80		1	0.07		70	5.07		4	0.29		1	0.07		0	0.00		5	0.36		503	36.40		19	1.37		0	0.00		2	0.14		1	0.07		525	37.99		1	0.07		1	0.07		0	0.00		2	0.14		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		1	0.07		139	10.06		35	2.53		0	0.00		0	0.00		0	0.00		174	12.59		1	0.07		0	0.00		1	0.07		2	0.14		1382	95.57		64	4.43		1446	1.76																																																																																																									
Hampstead Gardens		329	36.27		10	1.10		2	0.22		11	1.21		352	38.81		25	2.76		14	1.54		0	0.00		39	4.30		24	2.65		2	0.22		0	0.00		26	2.87		0	0.00		2	0.22		0	0.00		2	0.22		375	41.35		13	1.43		0	0.00		1	0.11		0	0.00		389	42.89		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.22		0	0.00		0	0.00		2	0.22		70	7.72		27	2.98		0	0.00		0	0.00		0	0.00		97	10.69		0	0.00		0	0.00		0	0.00		0	0.00		907	94.58		52	5.42		959	1.16																																																																																																									
Hindmarsh		30	36.59		2	2.44		0	0.00		1	1.22		33	40.24		5	6.10		2	2.44		0	0.00		7	8.54		2	2.44		0	0.00		0	0.00		2	2.44		0	0.00		0	0.00		0	0.00		0	0.00		27	32.93		0	0.00		0	0.00		0	0.00		0	0.00		27	32.93		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	8.54		6	7.32		0	0.00		0	0.00		0	0.00		13	15.85		0	0.00		0	0.00		0	0.00		0	0.00		82	94.25		5	5.75		87	0.11																																																																																																									
Hyde Park		271	16.91		19	1.19		1	0.06		17	1.06		308	19.21		52	3.24		30	1.87		3	0.19		85	5.30		13	0.81		7	0.44		0	0.00		20	1.25		0	0.00		0	0.00		0	0.00		0	0.00		939	58.58		51	3.18		0	0.00		2	0.12		3	0.19		995	62.07		0	0.00		1	0.06		0	0.00		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		3	0.19		0	0.00		0	0.00		3	0.19		143	8.92		45	2.81		1	0.06		0	0.00		1	0.06		190	11.85		0	0.00		0	0.00		1	0.06		1	0.06		1603	97.51		41	2.49		1644	2.00																																																																																																									
Kent Town		97	21.80		9	2.02		1	0.22		2	0.45		109	24.49		18	4.04		18	4.04		1	0.22		37	8.31		3	0.67		1	0.22		0	0.00		4	0.90		1	0.22		1	0.22		0	0.00		2	0.45		197	44.27		6	1.35		2	0.45		3	0.67		1	0.22		209	46.97		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.22		1	0.22		0	0.00		2	0.45		52	11.69		29	6.52		1	0.22		0	0.00		0	0.00		82	18.43		0	0.00		0	0.00		0	0.00		0	0.00		445	97.59		11	2.41		456	0.55																																																																																																									
Keswick		231	33.77		12	1.75		1	0.15		4	0.58		248	36.26		17	2.49		17	2.49		3	0.44		37	5.41		28	4.09		1	0.15		0	0.00		29	4.24		0	0.00		0	0.00		0	0.00		0	0.00		265	38.74		4	0.58		4	0.58		1	0.15		2	0.29		276	40.35		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		67	9.80		27	3.95		0	0.00		0	0.00		0	0.00		94	13.74		0	0.00		0	0.00		0	0.00		0	0.00		684	96.20		27	3.80		711	0.86																																																																																																									
Kilburn		772	59.16		24	1.84		3	0.23		6	0.46		805	61.69		20	1.53		7	0.54		2	0.15		29	2.22		49	3.75		2	0.15		0	0.00		51	3.91		0	0.00		0	0.00		0	0.00		0	0.00		297	22.76		6	0.46		1	0.08		0	0.00		1	0.08		305	23.37		1	0.08		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		3	0.23		0	0.00		0	0.00		3	0.23		86	6.59		23	1.76		0	0.00		1	0.08		0	0.00		110	8.43		0	0.00		0	0.00		1	0.08		1	0.08		1305	95.46		62	4.54		1367	1.66																																																																																																									
