Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Sturt (86359)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Glenunga		199	14.98		13	0.98		1	0.08		12	0.90		225	16.94		26	1.96		18	1.36		0	0.00		44	3.31		16	1.20		4	0.30		0	0.00		20	1.51		0	0.00		0	0.00		0	0.00		0	0.00		812	61.14		39	2.94		0	0.00		5	0.38		1	0.08		857	64.53		1	0.08		1	0.08		0	0.00		2	0.15		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		1	0.08		140	10.54		37	2.79		1	0.08		0	0.00		1	0.08		179	13.48		0	0.00		0	0.00		0	0.00		0	0.00		1328	97.29		37	2.71		1365	1.65																																																																																																									
Glenunga North		288	20.45		17	1.21		1	0.07		8	0.57		314	22.30		27	1.92		15	1.07		0	0.00		42	2.98		8	0.57		9	0.64		0	0.00		17	1.21		0	0.00		0	0.00		0	0.00		0	0.00		836	59.38		12	0.85		0	0.00		2	0.14		0	0.00		850	60.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	0.36		2	0.14		0	0.00		7	0.50		133	9.45		41	2.91		1	0.07		0	0.00		1	0.07		176	12.50		1	0.07		0	0.00		1	0.07		2	0.14		1408	96.17		56	3.83		1464	1.77																																																																																																									
Glynde		594	37.83		13	0.83		1	0.06		6	0.38		614	39.11		39	2.48		17	1.08		1	0.06		57	3.63		31	1.97		5	0.32		1	0.06		37	2.36		6	0.38		0	0.00		1	0.06		7	0.45		610	38.85		12	0.76		1	0.06		1	0.06		0	0.00		624	39.75		1	0.06		0	0.00		0	0.00		1	0.06		1	0.06		1	0.06		0	0.00		2	0.13		4	0.25		0	0.00		0	0.00		4	0.25		182	11.59		41	2.61		0	0.00		0	0.00		0	0.00		223	14.20		0	0.00		0	0.00		1	0.06		1	0.06		1570	94.18		97	5.82		1667	2.02																																																																																																									
Hectorville North		922	43.00		15	0.70		2	0.09		9	0.42		948	44.22		48	2.24		12	0.56		1	0.05		61	2.85		53	2.47		11	0.51		0	0.00		64	2.99		2	0.09		0	0.00		0	0.00		2	0.09		757	35.31		16	0.75		1	0.05		1	0.05		1	0.05		776	36.19		0	0.00		1	0.05		0	0.00		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		6	0.28		2	0.09		0	0.00		8	0.37		249	11.61		34	1.59		0	0.00		0	0.00		1	0.05		284	13.25		0	0.00		0	0.00		0	0.00		0	0.00		2144	92.37		177	7.63		2321	2.81																																																																																																									
Highbury East		411	26.48		11	0.71		1	0.06		10	0.64		433	27.90		23	1.48		13	0.84		3	0.19		39	2.51		43	2.77		14	0.90		0	0.00		57	3.67		0	0.00		2	0.13		0	0.00		2	0.13		723	46.59		28	1.80		0	0.00		3	0.19		2	0.13		756	48.71		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		1	0.06		0	0.00		2	0.13		4	0.26		0	0.00		0	0.00		4	0.26		201	12.95		55	3.54		1	0.06		0	0.00		2	0.13		259	16.69		0	0.00		0	0.00		0	0.00		0	0.00		1552	97.92		33	2.08		1585	1.92																																																																																																									
Highbury South (Sturt)		514	29.07		11	0.62		2	0.11		8	0.45		535	30.26		43	2.43		6	0.34		2	0.11		51	2.88		51	2.88		18	1.02		3	0.17		72	4.07		4	0.23		1	0.06		0	0.00		5	0.28		813	45.98		30	1.70		0	0.00		0	0.00		2	0.11		845	47.79		2	0.11		0	0.00		0	0.00		2	0.11		1	0.06		0	0.00		1	0.06		2	0.11		0	0.00		3	0.17		0	0.00		3	0.17		192	10.86		55	3.11		1	0.06		0	0.00		0	0.00		248	14.03		2	0.11		0	0.00		3	0.17		5	0.28		1768	97.30		49	2.70		1817	2.20																																																																																																									
Hillcrest		929	37.89		25	1.02		2	0.08		17	0.69		973	39.68		45	1.84		11	0.45		2	0.08		58	2.37		82	3.34		21	0.86		0	0.00		103	4.20		1	0.04		1	0.04		0	0.00		2	0.08		902	36.79		25	1.02		0	0.00		3	0.12		4	0.16		934	38.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		0	0.00		1	0.04		9	0.37		1	0.04		0	0.00		10	0.41		304	12.40		61	2.49		2	0.08		1	0.04		1	0.04		369	15.05		1	0.04		1	0.04		0	0.00		2	0.08		2452	96.27		95	3.73		2547	3.08																																																																																																									
Holden Hill		927	37.99		34	1.39		5	0.20		16	0.66		982	40.25		64	2.62		13	0.53		0	0.00		77	3.16		124	5.08		16	0.66		0	0.00		140	5.74		2	0.08		1	0.04		1	0.04		4	0.16		875	35.86		28	1.15		1	0.04		1	0.04		3	0.12		908	37.21		1	0.04		0	0.00		0	0.00		1	0.04		0	0.00		1	0.04		0	0.00		1	0.04		6	0.25		1	0.04		0	0.00		7	0.29		266	10.90		49	2.01		1	0.04		0	0.00		0	0.00		316	12.95		3	0.12		1	0.04		0	0.00		4	0.16		2440	96.33		93	3.67		2533	3.06																																																																																																									
Kensington Gardens		280	17.58		18	1.13		1	0.06		5	0.31		304	19.08		42	2.64		16	1.00		2	0.13		60	3.77		17	1.07		9	0.56		0	0.00		26	1.63		1	0.06		0	0.00		0	0.00		1	0.06		932	58.51		39	2.45		0	0.00		2	0.13		0	0.00		973	61.08		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		1	0.06		1	0.06		0	0.00		0	0.00		1	0.06		178	11.17		48	3.01		0	0.00		0	0.00		0	0.00		226	14.19		0	0.00		0	0.00		1	0.06		1	0.06		1593	96.08		65	3.92		1658	2.01																																																																																																									
Kensington Park		274	19.96		19	1.38		3	0.22		10	0.73		306	22.29		47	3.42		33	2.40		0	0.00		80	5.83		24	1.75		3	0.22		0	0.00		27	1.97		0	0.00		0	0.00		0	0.00		0	0.00		692	50.40		29	2.11		0	0.00		1	0.07		3	0.22		725	52.80		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	0.29		2	0.15		0	0.00		6	0.44		162	11.80		61	4.44		2	0.15		0	0.00		0	0.00		225	16.39		1	0.07		1	0.07		2	0.15		4	0.29		1373	97.65		33	2.35		1406	1.70																																																																																																									
