Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Boothby (89617)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
St Marys		692	40.19		44	2.56		75	4.36		3	0.17		647	37.57		2	0.12		0	0.00		4	0.23		253	14.69		2	0.12		1722	96.52		62	3.48		1784	2.07
Seacliff		509	25.15		105	5.19		51	2.52		4	0.20		983	48.57		0	0.00		0	0.00		3	0.15		368	18.18		1	0.05		2024	97.35		55	2.65		2079	2.41
Seacombe Heights		967	34.50		87	3.10		137	4.89		6	0.21		1151	41.06		6	0.21		0	0.00		5	0.18		441	15.73		3	0.11		2803	96.46		103	3.54		2906	3.37
Seaview Downs		387	26.11		33	2.23		57	3.85		1	0.07		770	51.96		1	0.07		0	0.00		2	0.13		228	15.38		3	0.20		1482	96.86		48	3.14		1530	1.77
Sturt		237	32.07		5	0.68		39	5.28		1	0.14		342	46.28		1	0.14		4	0.54		4	0.54		104	14.07		2	0.27		739	97.49		19	2.51		758	0.88
Tonsley Park		626	47.64		31	2.36		58	4.41		1	0.08		401	30.52		3	0.23		0	0.00		3	0.23		190	14.46		1	0.08		1314	96.90		42	3.10		1356	1.57
Warradale		904	30.26		87	2.91		124	4.15		3	0.10		1404	47.00		1	0.03		0	0.00		2	0.07		460	15.40		2	0.07		2987	97.14		88	2.86		3075	3.56
Westbourne Park		488	26.41		94	5.09		34	1.84		0	0.00		880	47.62		0	0.00		1	0.05		1	0.05		349	18.89		1	0.05		1848	98.09		36	1.91		1884	2.18
West Brighton		313	19.71		46	2.90		30	1.89		3	0.19		958	60.33		0	0.00		1	0.06		3	0.19		233	14.67		1	0.06		1588	97.30		44	2.70		1632	1.89
Special Hospitals		168	27.59		5	0.82		17	2.79		1	0.16		384	63.05		1	0.16		0	0.00		0	0.00		33	5.42		0	0.00		609	95.01		32	4.99		641	0.74
Total Ordinary		19065	26.57		2746	3.83		2144	2.99		90	0.13		34469	48.04		47	0.07		31	0.04		130	0.18		12939	18.03		83	0.12		71744	97.09		2149	2.91		73893	85.62
ABSENT		1410	26.95		280	5.35		121	2.31		10	0.19		2333	44.60		2	0.04		3	0.06		5	0.10		1056	20.19		11	0.21		5231	98.70		69	1.30		5300	6.14
POSTAL		752	24.82		69	2.28		104	3.43		2	0.07		1729	57.06		0	0.00		2	0.07		7	0.23		363	11.98		2	0.07		3030	99.12		27	0.88		3057	3.54
PRE_POLL		846	24.51		141	4.09		108	3.13		5	0.14		1677	48.59		1	0.03		0	0.00		11	0.32		659	19.10		3	0.09		3451	98.71		45	1.29		3496	4.05
PROVISIONAL		178	32.78		29	5.34		19	3.50		0	0.00		196	36.10		1	0.18		2	0.37		1	0.18		117	21.55		0	0.00		543	97.66		13	2.34		556	0.64
Division Summary		22251	26.49		3265	3.89		2496	2.97		107	0.13		40404	48.1		51	0.06		38	0.05		154	0.18		15134	18.02		99	0.12		83999	97.33		2303	2.67		86302	96.3
