Senate - 2001 Election: South Australia																																							
First Preference Votes by Group  																																							
By Polling Place																																							

Adelaide (86538)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Myrtle Bank		320	19.28		91	5.48		26	1.57		5	0.30		981	59.10		2	0.12		0	0.00		0	0.00		234	14.10		1	0.06		1660	98.22		30	1.78		1690	2.05
Nailsworth		477	33.06		75	5.20		27	1.87		0	0.00		589	40.82		2	0.14		0	0.00		0	0.00		271	18.78		2	0.14		1443	97.11		43	2.89		1486	1.81
North Adelaide		531	20.50		173	6.68		33	1.27		10	0.39		1400	54.05		2	0.08		3	0.12		7	0.27		430	16.60		1	0.04		2590	97.48		67	2.52		2657	3.23
Northfield		597	53.78		31	2.79		59	5.32		2	0.18		297	26.76		2	0.18		1	0.09		2	0.18		119	10.72		0	0.00		1110	96.02		46	3.98		1156	1.40
Northfield South		612	43.16		42	2.96		84	5.92		0	0.00		518	36.53		2	0.14		0	0.00		5	0.35		150	10.58		5	0.35		1418	95.88		61	4.12		1479	1.80
Parkside East		704	31.44		160	7.15		21	0.94		1	0.04		911	40.69		6	0.27		1	0.04		5	0.22		427	19.07		3	0.13		2239	96.26		87	3.74		2326	2.83
Prospect		678	37.36		112	6.17		39	2.15		3	0.17		705	38.84		1	0.06		0	0.00		6	0.33		267	14.71		4	0.22		1815	95.88		78	4.12		1893	2.30
Prospect Estate		322	44.35		30	4.13		26	3.58		0	0.00		268	36.91		1	0.14		0	0.00		1	0.14		76	10.47		2	0.28		726	95.78		32	4.22		758	0.92
Prospect North		764	39.50		80	4.14		65	3.36		2	0.10		756	39.09		2	0.10		1	0.05		4	0.21		258	13.34		2	0.10		1934	95.08		100	4.92		2034	2.47
Prospect South		371	30.09		73	5.92		24	1.95		4	0.32		552	44.77		0	0.00		0	0.00		1	0.08		204	16.55		4	0.32		1233	97.55		31	2.45		1264	1.54
Prospect West		865	35.38		133	5.44		58	2.37		6	0.25		941	38.49		2	0.08		1	0.04		3	0.12		432	17.67		4	0.16		2445	97.41		65	2.59		2510	3.05
Renown Park		946	53.15		71	3.99		50	2.81		3	0.17		497	27.92		1	0.06		0	0.00		4	0.22		208	11.69		0	0.00		1780	95.39		86	4.61		1866	2.27
St Peters		122	20.61		44	7.43		14	2.36		1	0.17		321	54.22		1	0.17		1	0.17		1	0.17		86	14.53		1	0.17		592	97.69		14	2.31		606	0.74
St Peters East		482	28.14		101	5.90		34	1.98		2	0.12		824	48.10		2	0.12		0	0.00		2	0.12		266	15.53		0	0.00		1713	96.13		69	3.87		1782	2.16
