Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate 																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Mayo (86319)																																																																																																																																																																																																																																																											
		 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Brukunga		39	21.20		4	2.17		0	0.00		0	0.00		43	23.37		8	4.35		2	1.09		0	0.00		10	5.43		11	5.98		6	3.26		1	0.54		18	9.78		0	0.00		0	0.00		0	0.00		0	0.00		87	47.28		0	0.00		0	0.00		0	0.00		0	0.00		87	47.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		20	10.87		6	3.26		0	0.00		0	0.00		0	0.00		26	14.13		0	0.00		0	0.00		0	0.00		0	0.00		184	95.34		9	4.66		193	0.23																																																																																																									
Callington		53	17.73		5	1.67		0	0.00		2	0.67		60	20.07		12	4.01		5	1.67		1	0.33		18	6.02		14	4.68		5	1.67		0	0.00		19	6.35		0	0.00		0	0.00		0	0.00		0	0.00		152	50.84		2	0.67		0	0.00		0	0.00		0	0.00		154	51.51		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		41	13.71		7	2.34		0	0.00		0	0.00		0	0.00		48	16.05		0	0.00		0	0.00		0	0.00		0	0.00		299	99.01		3	0.99		302	0.36																																																																																																									
Charleston		36	14.69		2	0.82		0	0.00		1	0.41		39	15.92		4	1.63		0	0.00		0	0.00		4	1.63		20	8.16		3	1.22		0	0.00		23	9.39		0	0.00		0	0.00		0	0.00		0	0.00		153	62.45		4	1.63		1	0.41		0	0.00		0	0.00		158	64.49		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		14	5.71		6	2.45		1	0.41		0	0.00		0	0.00		21	8.57		0	0.00		0	0.00		0	0.00		0	0.00		245	96.46		9	3.54		254	0.31																																																																																																									
Cherry Gardens		72	13.02		7	1.27		1	0.18		6	1.08		86	15.55		17	3.07		9	1.63		1	0.18		27	4.88		24	4.34		3	0.54		0	0.00		27	4.88		1	0.18		0	0.00		1	0.18		2	0.36		307	55.52		14	2.53		0	0.00		0	0.00		2	0.36		323	58.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		63	11.39		21	3.80		3	0.54		0	0.00		0	0.00		87	15.73		1	0.18		0	0.00		0	0.00		1	0.18		553	97.19		16	2.81		569	0.68																																																																																																									
Clarendon		83	18.24		5	1.10		0	0.00		1	0.22		89	19.56		6	1.32		10	2.20		1	0.22		17	3.74		10	2.20		2	0.44		0	0.00		12	2.64		1	0.22		0	0.00		0	0.00		1	0.22		233	51.21		12	2.64		1	0.22		1	0.22		0	0.00		247	54.29		0	0.00		0	0.00		0	0.00		0	0.00		1	0.22		0	0.00		0	0.00		1	0.22		1	0.22		0	0.00		0	0.00		1	0.22		67	14.73		20	4.40		0	0.00		0	0.00		0	0.00		87	19.12		0	0.00		0	0.00		0	0.00		0	0.00		455	97.64		11	2.36		466	0.56																																																																																																									
Coromandel Valley (Mayo)		183	15.57		15	1.28		0	0.00		6	0.51		204	17.36		45	3.83		14	1.19		3	0.26		62	5.28		8	0.68		6	0.51		0	0.00		14	1.19		2	0.17		1	0.09		0	0.00		3	0.26		594	50.55		37	3.15		0	0.00		6	0.51		1	0.09		638	54.30		0	0.00		1	0.09		0	0.00		1	0.09		0	0.00		0	0.00		0	0.00		0	0.00		2	0.17		0	0.00		0	0.00		2	0.17		184	15.66		63	5.36		3	0.26		0	0.00		0	0.00		250	21.28		1	0.09		0	0.00		0	0.00		1	0.09		1175	97.75		27	2.25		1202	1.44																																																																																																									
Crafers		228	16.59		25	1.82		1	0.07		10	0.73		264	19.21		64	4.66		41	2.98		1	0.07		106	7.71		26	1.89		8	0.58		0	0.00		34	2.47		1	0.07		1	0.07		0	0.00		2	0.15		652	47.45		33	2.40		2	0.15		0	0.00		3	0.22		690	50.22		0	0.00		1	0.07		0	0.00		1	0.07		0	0.00		0	0.00		1	0.07		1	0.07		4	0.29		1	0.07		0	0.00		5	0.36		182	13.25		81	5.90		3	0.22		1	0.07		1	0.07		268	19.51		3	0.22		0	0.00		0	0.00		3	0.22		1374	98.49		21	1.51		1395	1.68																																																																																																									
Cudlee Creek		21	12.00		3	1.71		0	0.00		2	1.14		26	14.86		5	2.86		1	0.57		0	0.00		6	3.43		13	7.43		4	2.29		0	0.00		17	9.71		0	0.00		0	0.00		0	0.00		0	0.00		99	56.57		2	1.14		1	0.57		1	0.57		0	0.00		103	58.86		1	0.57		0	0.00		0	0.00		1	0.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		14	8.00		6	3.43		0	0.00		0	0.00		0	0.00		20	11.43		2	1.14		0	0.00		0	0.00		2	1.14		175	98.31		3	1.69		178	0.21																																																																																																									
Echunga		102	13.28		5	0.65		1	0.13		10	1.30		118	15.36		29	3.78		6	0.78		1	0.13		36	4.69		21	2.73		5	0.65		1	0.13		27	3.52		0	0.00		0	0.00		0	0.00		0	0.00		432	56.25		18	2.34		0	0.00		1	0.13		0	0.00		451	58.72		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		109	14.19		27	3.52		0	0.00		0	0.00		0	0.00		136	17.71		0	0.00		0	0.00		0	0.00		0	0.00		768	97.71		18	2.29		786	0.94																																																																																																									
Flagstaff Hill (Mayo)		92	20.58		2	0.45		0	0.00		4	0.89		98	21.92		10	2.24		1	0.22		1	0.22		12	2.68		4	0.89		3	0.67		0	0.00		7	1.57		0	0.00		0	0.00		0	0.00		0	0.00		250	55.93		7	1.57		0	0.00		0	0.00		1	0.22		258	57.72		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		61	13.65		11	2.46		0	0.00		0	0.00		0	0.00		72	16.11		0	0.00		0	0.00		0	0.00		0	0.00		447	97.60		11	2.40		458	0.55																																																																																																									
