Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate 																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Wakefield (86378)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Cadell		40	17.47		3	1.31		0	0.00		1	0.44		44	19.21		2	0.87		2	0.87		0	0.00		4	1.75		12	5.24		4	1.75		0	0.00		16	6.99		0	0.00		0	0.00		0	0.00		0	0.00		145	63.32		3	1.31		0	0.00		0	0.00		0	0.00		148	64.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.44		0	0.00		0	0.00		1	0.44		15	6.55		0	0.00		0	0.00		0	0.00		1	0.44		16	6.99		0	0.00		0	0.00		0	0.00		0	0.00		229	97.03		7	2.97		236	0.28																																																																																																									
Cobdogla		84	22.28		2	0.53		1	0.27		1	0.27		88	23.34		2	0.53		1	0.27		0	0.00		3	0.80		36	9.55		1	0.27		0	0.00		37	9.81		2	0.53		0	0.00		0	0.00		2	0.53		216	57.29		2	0.53		0	0.00		0	0.00		1	0.27		219	58.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		23	6.10		2	0.53		0	0.00		0	0.00		0	0.00		25	6.63		0	0.00		0	0.00		3	0.80		3	0.80		377	98.69		5	1.31		382	0.46																																																																																																									
Coobowie		75	30.61		3	1.22		0	0.00		5	2.04		83	33.88		2	0.82		0	0.00		0	0.00		2	0.82		16	6.53		1	0.41		0	0.00		17	6.94		0	0.00		0	0.00		0	0.00		0	0.00		126	51.43		0	0.00		0	0.00		0	0.00		0	0.00		126	51.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	6.12		2	0.82		0	0.00		0	0.00		0	0.00		17	6.94		0	0.00		0	0.00		0	0.00		0	0.00		245	94.59		14	5.41		259	0.31																																																																																																									
Corny Point		20	16.39		1	0.82		0	0.00		3	2.46		24	19.67		2	1.64		0	0.00		0	0.00		2	1.64		11	9.02		0	0.00		0	0.00		11	9.02		0	0.00		0	0.00		0	0.00		0	0.00		63	51.64		7	5.74		0	0.00		2	1.64		0	0.00		72	59.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.82		0	0.00		0	0.00		1	0.82		10	8.20		2	1.64		0	0.00		0	0.00		0	0.00		12	9.84		0	0.00		0	0.00		0	0.00		0	0.00		122	98.39		2	1.61		124	0.15																																																																																																									
Curramulka		29	12.34		0	0.00		0	0.00		2	0.85		31	13.19		4	1.70		2	0.85		0	0.00		6	2.55		13	5.53		4	1.70		0	0.00		17	7.23		0	0.00		0	0.00		0	0.00		0	0.00		160	68.09		6	2.55		0	0.00		0	0.00		0	0.00		166	70.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		13	5.53		1	0.43		0	0.00		0	0.00		0	0.00		14	5.96		1	0.43		0	0.00		0	0.00		1	0.43		235	97.51		6	2.49		241	0.29																																																																																																									
Dublin		123	26.34		7	1.50		0	0.00		1	0.21		131	28.05		6	1.28		0	0.00		0	0.00		6	1.28		42	8.99		6	1.28		0	0.00		48	10.28		0	0.00		0	0.00		0	0.00		0	0.00		226	48.39		13	2.78		0	0.00		0	0.00		0	0.00		239	51.18		0	0.00		0	0.00		0	0.00		0	0.00		1	0.21		0	0.00		0	0.00		1	0.21		0	0.00		0	0.00		0	0.00		0	0.00		39	8.35		3	0.64		0	0.00		0	0.00		0	0.00		42	8.99		0	0.00		0	0.00		0	0.00		0	0.00		467	95.50		22	4.50		489	0.59																																																																																																									
Eden Valley		38	16.96		1	0.45		0	0.00		3	1.34		42	18.75		10	4.46		5	2.23		1	0.45		16	7.14		20	8.93		4	1.79		0	0.00		24	10.71		0	0.00		0	0.00		0	0.00		0	0.00		116	51.79		6	2.68		0	0.00		0	0.00		1	0.45		123	54.91		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	6.70		4	1.79		0	0.00		0	0.00		0	0.00		19	8.48		0	0.00		0	0.00		0	0.00		0	0.00		224	97.39		6	2.61		230	0.28																																																																																																									
Edithburgh		111	28.46		5	1.28		0	0.00		2	0.51		118	30.26		10	2.56		1	0.26		0	0.00		11	2.82		37	9.49		4	1.03		1	0.26		42	10.77		0	0.00		0	0.00		0	0.00		0	0.00		188	48.21		4	1.03		0	0.00		0	0.00		0	0.00		192	49.23		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.26		0	0.00		1	0.26		20	5.13		5	1.28		0	0.00		0	0.00		0	0.00		25	6.41		1	0.26		0	0.00		0	0.00		1	0.26		390	94.66		22	5.34		412	0.49																																																																																																									
Evanston		405	32.45		21	1.68		1	0.08		7	0.56		434	34.78		24	1.92		9	0.72		2	0.16		35	2.80		84	6.73		7	0.56		3	0.24		94	7.53		4	0.32		0	0.00		0	0.00		4	0.32		504	40.38		16	1.28		0	0.00		0	0.00		0	0.00		520	41.67		1	0.08		0	0.00		0	0.00		1	0.08		1	0.08		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		127	10.18		29	2.32		0	0.00		0	0.00		0	0.00		156	12.50		2	0.16		0	0.00		1	0.08		3	0.24		1248	96.59		44	3.41		1292	1.55																																																																																																									
Evanston Gardens		432	33.78		12	0.94		1	0.08		6	0.47		451	35.26		20	1.56		2	0.16		1	0.08		23	1.80		107	8.37		22	1.72		0	0.00		129	10.09		3	0.23		0	0.00		0	0.00		3	0.23		537	41.99		22	1.72		0	0.00		2	0.16		1	0.08		562	43.94		1	0.08		0	0.00		1	0.08		2	0.16		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		85	6.65		23	1.80		0	0.00		0	0.00		0	0.00		108	8.44		1	0.08		0	0.00		0	0.00		1	0.08		1279	95.23		64	4.77		1343	1.61																																																																																																									
