Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Mayo (86319)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Mclaren Vale		439	21.73		95	4.70		82	4.06		3	0.15		1100	54.46		0	0.00		1	0.05		2	0.10		297	14.70		1	0.05		2020	97.26		57	2.74		2077	2.50
Magill (Mayo)		381	27.02		53	3.76		36	2.55		5	0.35		695	49.29		1	0.07		3	0.21		6	0.43		228	16.17		2	0.14		1410	96.91		45	3.09		1455	1.75
Meadows		190	20.17		63	6.69		58	6.16		3	0.32		478	50.74		1	0.11		0	0.00		1	0.11		144	15.29		4	0.42		942	97.01		29	2.99		971	1.17
Montacute		28	17.83		14	8.92		2	1.27		0	0.00		82	52.23		0	0.00		0	0.00		0	0.00		31	19.75		0	0.00		157	97.52		4	2.48		161	0.19
Mount Barker		1142	23.48		312	6.42		179	3.68		8	0.16		2407	49.50		5	0.10		2	0.04		8	0.16		799	16.43		1	0.02		4863	97.10		145	2.90		5008	6.02
Mylor		131	18.27		83	11.58		17	2.37		3	0.42		344	47.98		3	0.42		1	0.14		0	0.00		134	18.69		1	0.14		717	98.49		11	1.51		728	0.87
Nairne		454	24.88		116	6.36		122	6.68		3	0.16		823	45.10		4	0.22		2	0.11		4	0.22		294	16.11		3	0.16		1825	98.01		37	1.99		1862	2.24
Newton		657	41.63		29	1.84		28	1.77		2	0.13		661	41.89		1	0.06		6	0.38		4	0.25		190	12.04		0	0.00		1578	95.23		79	4.77		1657	1.99
Norton Summit		108	17.48		78	12.62		24	3.88		3	0.49		261	42.23		0	0.00		2	0.32		2	0.32		139	22.49		1	0.16		618	96.87		20	3.13		638	0.77
Old Noarlunga		194	32.39		18	3.01		38	6.34		2	0.33		241	40.23		1	0.17		0	0.00		1	0.17		103	17.20		1	0.17		599	96.30		23	3.70		622	0.75
