House of Representatives - 2001 Election: South Australia											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Mayo (86319)											
		Candidate		"DOWNER, Alexander"		          	"BRENNAN, Delia"		             	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
		"MCLAREN, John (DEM)"	19	15	78.95		4	21.05		19	
		"SPRAGG, Bill (IND)"	2	2	100.00		0	0.00		2	
		"CLARK, Dave (GRN)"	3	2	66.67		1	33.33		3	
		"THOMAS, Mike (HAN)"	6	3	50.00		3	50.00		6	
		"COOMBE, Howie F (IND)"	1	1	100.00		0	0.00		1	
		Total	31	211	71.77		83	28.23		294	

	Total Ordinary										
			1st Prefs	35612	71.68		14069	28.32		49681	
		"MCLAREN, John (DEM)"	9924	3491	35.18		6433	64.82		9924	
		"SPRAGG, Bill (IND)"	2074	911	43.92		1163	56.08		2074	
		"CLARK, Dave (GRN)"	3498	814	23.27		2684	76.73		3498	
		"THOMAS, Mike (HAN)"	2032	1423	70.03		609	29.97		2032	
		"COOMBE, Howie F (IND)"	227	113	49.78		114	50.22		227	
		Total	17755	42364	62.82		25072	37.18		67436	

	ABSENT										
			1st Prefs	2567	69.10		1148	30.90		3715	
		"MCLAREN, John (DEM)"	908	348	38.33		560	61.67		908	
		"SPRAGG, Bill (IND)"	138	69	50.00		69	50.00		138	
		"CLARK, Dave (GRN)"	339	99	29.20		240	70.80		339	
		"THOMAS, Mike (HAN)"	150	88	58.67		62	41.33		150	
		"COOMBE, Howie F (IND)"	43	24	55.81		19	44.19		43	
		Total	1578	3195	60.36		2098	39.64		5293	

	POSTAL										
			1st Prefs	1619	76.26		504	23.74		2123	
		"MCLAREN, John (DEM)"	321	92	28.66		229	71.34		321	
		"SPRAGG, Bill (IND)"	42	20	47.62		22	52.38		42	
		"CLARK, Dave (GRN)"	93	29	31.18		64	68.82		93	
		"THOMAS, Mike (HAN)"	94	62	65.96		32	34.04		94	
		"COOMBE, Howie F (IND)"	17	8	47.06		9	52.94		17	
		Total	567	1830	68.03		860	31.97		2690	

	PRE_POLL										
			1st Prefs	1301	73.79		462	26.21		1763	
		"MCLAREN, John (DEM)"	396	145	36.62		251	63.38		396	
		"SPRAGG, Bill (IND)"	42	22	52.38		20	47.62		42	
		"CLARK, Dave (GRN)"	129	38	29.46		91	70.54		129	
		"THOMAS, Mike (HAN)"	81	56	69.14		25	30.86		81	
		"COOMBE, Howie F (IND)"	21	9	42.86		12	57.14		21	
		Total	669	1571	64.60		861	35.40		2432	

	PROVISIONAL										
			1st Prefs	160	65.04		86	34.96		246	
		"MCLAREN, John (DEM)"	58	20	34.48		38	65.52		58	
		"SPRAGG, Bill (IND)"	11	8	72.73		3	27.27		11	
		"CLARK, Dave (GRN)"	25	5	20.00		20	80.00		25	
		"THOMAS, Mike (HAN)"	9	9	100.00		0	0.00		9	
		"COOMBE, Howie F (IND)"	2	0	0.00		2	100.00		2	
		Total	105	202	57.55		149	42.45		351	

	Division Summary										
			1st Prefs	41259	71.72		16269	28.28		57528	
		"MCLAREN, John (DEM)"	11607	4096	35.29		7511	64.71		11607	
		"SPRAGG, Bill (IND)"	2307	1030	44.65		1277	55.35		2307	
		"CLARK, Dave (GRN)"	4084	985	24.12		3099	75.88		4084	
		"THOMAS, Mike (HAN)"	2366	1638	69.23		728	30.77		2366	
		"COOMBE, Howie F (IND)"	310	154	49.68		156	50.32		310	
		Total	20674	49162	62.87		29040	37.13		78202	
