Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Grey (85745)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Marrabel		13	11.40		1	0.88		11	9.65		0	0.00		76	66.67		0	0.00		0	0.00		3	2.63		9	7.89		1	0.88		114	97.44		3	2.56		117	0.14
Melrose		31	13.72		4	1.77		16	7.08		0	0.00		154	68.14		0	0.00		0	0.00		0	0.00		21	9.29		0	0.00		226	96.17		9	3.83		235	0.29
Minnipa		24	14.12		1	0.59		22	12.94		0	0.00		111	65.29		0	0.00		0	0.00		1	0.59		10	5.88		1	0.59		170	98.27		3	1.73		173	0.21
Napperby		165	37.93		11	2.53		33	7.59		0	0.00		203	46.67		0	0.00		0	0.00		0	0.00		23	5.29		0	0.00		435	96.67		15	3.33		450	0.55
North Shields		54	16.82		8	2.49		30	9.35		0	0.00		209	65.11		0	0.00		0	0.00		0	0.00		19	5.92		1	0.31		321	98.47		5	1.53		326	0.40
Orroroo		83	16.63		9	1.80		23	4.61		0	0.00		353	70.74		1	0.20		1	0.20		0	0.00		29	5.81		0	0.00		499	97.08		15	2.92		514	0.63
Peterborough		506	45.50		34	3.06		93	8.36		3	0.27		407	36.60		2	0.18		0	0.00		6	0.54		60	5.40		1	0.09		1112	96.78		37	3.22		1149	1.41
Point Pass		15	13.16		1	0.88		29	25.44		0	0.00		58	50.88		0	0.00		0	0.00		1	0.88		10	8.77		0	0.00		114	99.13		1	0.87		115	0.14
Poochera		5	4.10		1	0.82		9	7.38		0	0.00		98	80.33		0	0.00		0	0.00		0	0.00		9	7.38		0	0.00		122	99.19		1	0.81		123	0.15
Port Augusta Central		422	38.29		31	2.81		65	5.90		0	0.00		512	46.46		2	0.18		1	0.09		1	0.09		68	6.17		0	0.00		1102	95.49		52	4.51		1154	1.42
Port Augusta East		815	41.73		45	2.30		181	9.27		1	0.05		796	40.76		6	0.31		1	0.05		3	0.15		104	5.33		1	0.05		1953	97.16		57	2.84		2010	2.47
Port Augusta West		719	39.75		42	2.32		157	8.68		1	0.06		757	41.85		2	0.11		0	0.00		3	0.17		128	7.08		0	0.00		1809	95.82		79	4.18		1888	2.32
Port Broughton		272	27.78		14	1.43		52	5.31		1	0.10		592	60.47		0	0.00		0	0.00		1	0.10		47	4.80		0	0.00		979	96.17		39	3.83		1018	1.25
Port Germein		101	34.47		13	4.44		46	15.70		0	0.00		118	40.27		0	0.00		0	0.00		1	0.34		14	4.78		0	0.00		293	96.38		11	3.62		304	0.37
Port Kenny		23	15.23		2	1.32		13	8.61		0	0.00		108	71.52		0	0.00		0	0.00		0	0.00		5	3.31		0	0.00		151	99.34		1	0.66		152	0.19
Port Lincoln		801	28.21		82	2.89		176	6.20		1	0.04		1522	53.61		1	0.04		2	0.07		8	0.28		244	8.59		2	0.07		2839	97.56		71	2.44		2910	3.57
Port Lincoln Central		444	19.41		53	2.32		117	5.12		1	0.04		1550	67.77		4	0.17		1	0.04		4	0.17		107	4.68		6	0.26		2287	97.36		62	2.64		2349	2.89
Port Lincoln South		442	40.22		26	2.37		91	8.28		2	0.18		464	42.22		0	0.00		0	0.00		2	0.18		72	6.55		0	0.00		1099	96.57		39	3.43		1138	1.40
Port Neill		27	12.92		4	1.91		8	3.83		1	0.48		156	74.64		0	0.00		0	0.00		0	0.00		13	6.22		0	0.00		209	97.21		6	2.79		215	0.26
Port Pirie South		189	40.04		7	1.48		22	4.66		0	0.00		220	46.61		0	0.00		0	0.00		1	0.21		33	6.99		0	0.00		472	97.52		12	2.48		484	0.59
Port Pirie West		1447	57.19		59	2.33		161	6.36		4	0.16		731	28.89		3	0.12		2	0.08		2	0.08		120	4.74		1	0.04		2530	97.38		68	2.62		2598	3.19
Quorn		188	25.79		18	2.47		55	7.54		0	0.00		426	58.44		1	0.14		0	0.00		2	0.27		39	5.35		0	0.00		729	96.30		28	3.70		757	0.93
Redhill		38	18.63		6	2.94		14	6.86		0	0.00		135	66.18		0	0.00		0	0.00		2	0.98		9	4.41		0	0.00		204	95.33		10	4.67		214	0.26
Risdon Park East		1168	43.53		34	1.27		131	4.88		6	0.22		1175	43.79		2	0.07		1	0.04		4	0.15		160	5.96		2	0.07		2683	96.93		85	3.07		2768	3.40
Risdon Park South		495	52.05		15	1.58		34	3.58		1	0.11		347	36.49		2	0.21		1	0.11		1	0.11		55	5.78		0	0.00		951	96.74		32	3.26		983	1.21
Riverton		105	17.21		7	1.15		61	10.00		2	0.33		384	62.95		0	0.00		1	0.16		0	0.00		48	7.87		2	0.33		610	96.21		24	3.79		634	0.78
Robertstown		37	15.42		2	0.83		60	25.00		1	0.42		122	50.83		0	0.00		0	0.00		1	0.42		17	7.08		0	0.00		240	94.86		13	5.14		253	0.31
Roxby Downs		374	26.25		38	2.67		87	6.11		1	0.07		802	56.28		0	0.00		1	0.07		4	0.28		117	8.21		1	0.07		1425	97.80		32	2.20		1457	1.79
Saddleworth		71	20.76		4	1.17		37	10.82		0	0.00		199	58.19		0	0.00		0	0.00		1	0.29		26	7.60		4	1.17		342	95.00		18	5.00		360	0.44
Smoky Bay		14	8.86		1	0.63		28	17.72		0	0.00		110	69.62		0	0.00		0	0.00		0	0.00		5	3.16		0	0.00		158	96.93		5	3.07		163	0.20
Snowtown		89	23.06		6	1.55		22	5.70		1	0.26		250	64.77		0	0.00		0	0.00		2	0.52		16	4.15		0	0.00		386	97.72		9	2.28		395	0.49
Solomontown		913	55.00		39	2.35		125	7.53		2	0.12		504	30.36		2	0.12		0	0.00		4	0.24		68	4.10		3	0.18		1660	96.29		64	3.71		1724	2.12
Spalding		58	22.39		2	0.77		10	3.86		0	0.00		173	66.80		0	0.00		0	0.00		1	0.39		15	5.79		0	0.00		259	98.48		4	1.52		263	0.32
Stirling North		333	35.84		19	2.05		114	12.27		2	0.22		389	41.87		0	0.00		0	0.00		2	0.22		70	7.53		0	0.00		929	97.89		20	2.11		949	1.17
Streaky Bay		118	15.17		32	4.11		72	9.25		0	0.00		509	65.42		0	0.00		1	0.13		0	0.00		46	5.91		0	0.00		778	95.93		33	4.07		811	1.00
Tarlee		31	12.20		3	1.18		30	11.81		0	0.00		157	61.81		1	0.39		0	0.00		0	0.00		31	12.20		1	0.39		254	97.69		6	2.31		260	0.32
Terowie		26	26.80		3	3.09		17	17.53		0	0.00		43	44.33		0	0.00		0	0.00		0	0.00		7	7.22		1	1.03		97	93.27		7	6.73		104	0.13
Tumby Bay		147	13.56		20	1.85		80	7.38		1	0.09		784	72.32		2	0.18		1	0.09		2	0.18		46	4.24		1	0.09		1084	97.22		31	2.78		1115	1.37
Ungarra		22	14.38		2	1.31		7	4.58		0	0.00		114	74.51		0	0.00		0	0.00		0	0.00		8	5.23		0	0.00		153	98.71		2	1.29		155	0.19
Wangary		46	18.85		13	5.33		16	6.56		0	0.00		154	63.11		1	0.41		0	0.00		0	0.00		14	5.74		0	0.00		244	98.79		3	1.21		247	0.30
Warramboo		5	3.88		2	1.55		13	10.08		0	0.00		109	84.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		129	98.47		2	1.53		131	0.16
Watervale		66	23.91		12	4.35		12	4.35		0	0.00		152	55.07		0	0.00		1	0.36		1	0.36		32	11.59		0	0.00		276	95.83		12	4.17		288	0.35
Whyalla Central East		361	36.91		19	1.94		37	3.78		2	0.20		454	46.42		0	0.00		0	0.00		2	0.20		102	10.43		1	0.10		978	98.29		17	1.71		995	1.22
Whyalla Central West		745	41.78		44	2.47		86	4.82		3	0.17		728	40.83		0	0.00		0	0.00		3	0.17		172	9.65		2	0.11		1783	96.80		59	3.20		1842	2.26
Whyalla Norrie East		769	43.06		48	2.69		106	5.94		1	0.06		679	38.02		0	0.00		0	0.00		4	0.22		177	9.91		2	0.11		1786	97.54		45	2.46		1831	2.25
Whyalla Norrie North		755	51.78		37	2.54		69	4.73		5	0.34		464	31.82		2	0.14		1	0.07		2	0.14		121	8.30		2	0.14		1458	97.66		35	2.34		1493	1.83
Whyalla Norrie North-West		481	50.68		27	2.85		53	5.58		0	0.00		310	32.67		0	0.00		2	0.21		1	0.11		75	7.90		0	0.00		949	96.74		32	3.26		981	1.21
Whyalla Norrie South		744	51.35		33	2.28		81	5.59		1	0.07		453	31.26		1	0.07		0	0.00		5	0.35		131	9.04		0	0.00		1449	98.44		23	1.56		1472	1.81
Whyalla Stuart South		1056	55.99		62	3.29		96	5.09		1	0.05		532	28.21		3	0.16		1	0.05		3	0.16		131	6.95		1	0.05		1886	97.22		54	2.78		1940	2.38
Whyalla Stuart West		573	48.07		36	3.02		64	5.37		2	0.17		398	33.39		0	0.00		2	0.17		0	0.00		117	9.82		0	0.00		1192	97.07		36	2.93		1228	1.51
Willsden		527	46.23		25	2.19		107	9.39		1	0.09		419	36.75		1	0.09		0	0.00		2	0.18		56	4.91		2	0.18		1140	98.11		22	1.89		1162	1.43
Wilmington		78	20.21		13	3.37		34	8.81		1	0.26		240	62.18		0	0.00		0	0.00		1	0.26		19	4.92		0	0.00		386	97.23		11	2.77		397	0.49
Wirrabara		51	13.25		9	2.34		46	11.95		0	0.00		257	66.75		0	0.00		0	0.00		0	0.00		20	5.19		2	0.52		385	97.47		10	2.53		395	0.49
Wirrulla		7	5.56		3	2.38		8	6.35		0	0.00		104	82.54		0	0.00		0	0.00		0	0.00		4	3.17		0	0.00		126	99.21		1	0.79		127	0.16
Woomera		72	36.18		8	4.02		20	10.05		0	0.00		82	41.21		0	0.00		0	0.00		1	0.50		16	8.04		0	0.00		199	96.14		8	3.86		207	0.25
Wudinna		56	9.82		4	0.70		60	10.53		0	0.00		428	75.09		0	0.00		0	0.00		0	0.00		22	3.86		0	0.00		570	96.61		20	3.39		590	0.72
Yacka		24	21.43		3	2.68		9	8.04		1	0.89		73	65.18		0	0.00		0	0.00		0	0.00		2	1.79		0	0.00		112	98.25		2	1.75		114	0.14
Special Hospitals		378	42.09		10	1.11		29	3.23		1	0.11		451	50.22		2	0.22		0	0.00		2	0.22		25	2.78		0	0.00		898	99.23		7	0.77		905	1.11
Remote Mobiles		856	62.57		39	2.85		49	3.58		4	0.29		369	26.97		0	0.00		0	0.00		3	0.22		47	3.44		1	0.07		1368	98.56		20	1.44		1388	1.71
Total Ordinary		22526	33.24		1557	2.30		4695	6.93		62	0.09		34264	50.56		50	0.07		31	0.05		127	0.19		4386	6.47		65	0.10		67763	96.99		2103	3.01		69866	85.83
ABSENT		1271	27.61		159	3.45		292	6.34		8	0.17		2285	49.63		3	0.07		1	0.02		11	0.24		568	12.34		6	0.13		4604	98.40		75	1.60		4679	5.75
POSTAL		584	18.63		51	1.63		233	7.43		1	0.03		2061	65.74		4	0.13		2	0.06		4	0.13		190	6.06		5	0.16		3135	99.33		21	0.67		3156	3.88
PRE_POLL		1078	35.62		68	2.25		263	8.69		1	0.03		1362	45.01		2	0.07		3	0.10		13	0.43		233	7.70		3	0.10		3026	98.86		35	1.14		3061	3.76
PROVISIONAL		292	46.50		20	3.18		45	7.17		1	0.16		226	35.99		0	0.00		0	0.00		2	0.32		40	6.37		2	0.32		628	97.82		14	2.18		642	0.79
Division Summary		25751	32.53		1855	2.34		5528	6.98		73	0.09		40198	50.78		59	0.07		37	0.05		157	0.2		5417	6.84		81	0.1		79156	97.24		2248	2.76		81404	94.94
