House of Representatives - 2001 Election: South Australia																																
First Preference Votes and TCP 																																
By Candidate by Polling Place																																
																																
Grey (85745)																																
	O'NEILL			ROBERTSON			HOLLAND			MARTIN			# WAKELIN			FORMAL			INFORMAL			TOTAL										
	Con			Gil John			Sylvia			Felicity			Barry												Two Candidate Preferred							
	ALP			DEM			HAN			GRN			LP												 O'NEILL ALP			# WAKELIN LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Remote Mobiles	794	58.95		38	2.82		46	3.41		39	2.90		430	31.92		1347	96.91		43	3.09		1390	1.71		863	64.07		484	35.93			
Total Ordinary	21348	32.09		3013	4.53		4493	6.75		1525	2.29		36148	54.34		66527	95.24		3327	4.76		69854	86.12		26578	39.95		39949	60.05			
ABSENT	1171	26.99		367	8.46		266	6.13		171	3.94		2364	54.48		4339	96.02		180	3.98		4519	5.57		1614	37.20		2725	62.80			
POSTAL	586	18.81		114	3.66		220	7.06		63	2.02		2132	68.44		3115	98.39		51	1.61		3166	3.90		772	24.78		2343	75.22			
PRE_POLL	1019	34.72		148	5.04		263	8.96		75	2.56		1430	48.72		2935	96.61		103	3.39		3038	3.75		1303	44.40		1632	55.60			
PROVISIONAL	221	44.92		30	6.10		34	6.91		11	2.24		196	39.84		492	91.28		47	8.72		539	0.66		265	53.86		227	46.14			
Division Summary	24345	31.45		3672	4.74		5276	6.82		1845	2.38		42270	54.61		77408	95.43		3708	4.57		81116	94.60		30532	39.44		46876	60.56			
																																
																																
																																
																																
																													
