Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate 																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Kingston (85398)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Karrara		1111	31.35		30	0.85		3	0.08		16	0.45		1160	32.73		55	1.55		19	0.54		1	0.03		75	2.12		100	2.82		20	0.56		2	0.06		122	3.44		0	0.00		0	0.00		0	0.00		0	0.00		1611	45.46		53	1.50		1	0.03		6	0.17		2	0.06		1673	47.21		1	0.03		0	0.00		1	0.03		2	0.06		1	0.03		0	0.00		0	0.00		1	0.03		6	0.17		0	0.00		0	0.00		6	0.17		408	11.51		92	2.60		2	0.06		0	0.00		0	0.00		502	14.16		3	0.08		0	0.00		0	0.00		3	0.08		3544	97.79		80	2.21		3624	4.40																																																																																																									
Lonsdale		397	44.86		4	0.45		1	0.11		7	0.79		409	46.21		23	2.60		4	0.45		1	0.11		28	3.16		56	6.33		13	1.47		1	0.11		70	7.91		0	0.00		0	0.00		0	0.00		0	0.00		245	27.68		9	1.02		0	0.00		0	0.00		0	0.00		254	28.70		1	0.11		0	0.00		0	0.00		1	0.11		2	0.23		1	0.11		0	0.00		3	0.34		0	0.00		0	0.00		0	0.00		0	0.00		106	11.98		13	1.47		1	0.11		0	0.00		0	0.00		120	13.56		0	0.00		0	0.00		0	0.00		0	0.00		885	96.41		33	3.59		918	1.12																																																																																																									
Maslin Beach		193	35.35		1	0.18		0	0.00		7	1.28		201	36.81		22	4.03		18	3.30		0	0.00		40	7.33		22	4.03		2	0.37		0	0.00		24	4.40		0	0.00		0	0.00		0	0.00		0	0.00		170	31.14		9	1.65		0	0.00		0	0.00		0	0.00		179	32.78		1	0.18		0	0.00		0	0.00		1	0.18		0	0.00		0	0.00		0	0.00		0	0.00		1	0.18		0	0.00		0	0.00		1	0.18		76	13.92		23	4.21		0	0.00		0	0.00		0	0.00		99	18.13		1	0.18		0	0.00		0	0.00		1	0.18		546	96.64		19	3.36		565	0.69																																																																																																									
Moana		830	35.99		31	1.34		4	0.17		15	0.65		880	38.16		55	2.39		9	0.39		0	0.00		64	2.78		108	4.68		11	0.48		0	0.00		119	5.16		0	0.00		2	0.09		0	0.00		2	0.09		866	37.55		26	1.13		0	0.00		2	0.09		0	0.00		894	38.77		0	0.00		0	0.00		1	0.04		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		3	0.13		0	0.00		0	0.00		3	0.13		296	12.84		45	1.95		1	0.04		0	0.00		0	0.00		342	14.83		0	0.00		0	0.00		1	0.04		1	0.04		2306	95.96		97	4.04		2403	2.92																																																																																																									
Morphett Vale		1489	41.91		23	0.65		3	0.08		20	0.56		1535	43.20		72	2.03		14	0.39		1	0.03		87	2.45		165	4.64		18	0.51		0	0.00		183	5.15		3	0.08		1	0.03		0	0.00		4	0.11		1197	33.69		29	0.82		1	0.03		4	0.11		2	0.06		1233	34.70		3	0.08		0	0.00		0	0.00		3	0.08		1	0.03		0	0.00		0	0.00		1	0.03		7	0.20		2	0.06		0	0.00		9	0.25		432	12.16		63	1.77		0	0.00		0	0.00		1	0.03		496	13.96		2	0.06		0	0.00		0	0.00		2	0.06		3553	96.76		119	3.24		3672	4.46																																																																																																									
Morphett Vale East		923	35.73		24	0.93		4	0.15		12	0.46		963	37.28		50	1.94		14	0.54		0	0.00		64	2.48		94	3.64		14	0.54		1	0.04		109	4.22		2	0.08		0	0.00		0	0.00		2	0.08		1012	39.18		36	1.39		0	0.00		4	0.15		2	0.08		1054	40.81		2	0.08		1	0.04		1	0.04		4	0.15		0	0.00		2	0.08		3	0.12		5	0.19		4	0.15		1	0.04		0	0.00		5	0.19		315	12.20		58	2.25		1	0.04		0	0.00		0	0.00		374	14.48		1	0.04		0	0.00		2	0.08		3	0.12		2583	97.29		72	2.71		2655	3.23																																																																																																									
Morphett Vale North		569	36.88		17	1.10		2	0.13		13	0.84		601	38.95		37	2.40		2	0.13		1	0.06		40	2.59		61	3.95		11	0.71		0	0.00		72	4.67		1	0.06		0	0.00		0	0.00		1	0.06		598	38.76		14	0.91		0	0.00		1	0.06		0	0.00		613	39.73		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		1	0.06		1	0.06		1	0.06		0	0.00		2	0.13		171	11.08		38	2.46		0	0.00		0	0.00		0	0.00		209	13.55		2	0.13		0	0.00		2	0.13		4	0.26		1543	95.90		66	4.10		1609	1.96																																																																																																									
Morphett Vale South		244	42.73		10	1.75		1	0.18		9	1.58		264	46.23		24	4.20		2	0.35		0	0.00		26	4.55		33	5.78		3	0.53		1	0.18		37	6.48		0	0.00		0	0.00		0	0.00		0	0.00		169	29.60		5	0.88		0	0.00		1	0.18		0	0.00		175	30.65		1	0.18		1	0.18		0	0.00		2	0.35		0	0.00		0	0.00		0	0.00		0	0.00		2	0.35		1	0.18		0	0.00		3	0.53		55	9.63		8	1.40		0	0.00		0	0.00		0	0.00		63	11.03		1	0.18		0	0.00		0	0.00		1	0.18		571	97.27		16	2.73		587	0.71																																																																																																									
Noarlunga Downs		595	48.45		10	0.81		1	0.08		1	0.08		607	49.43		30	2.44		4	0.33		1	0.08		35	2.85		58	4.72		6	0.49		1	0.08		65	5.29		0	0.00		0	0.00		0	0.00		0	0.00		359	29.23		16	1.30		0	0.00		1	0.08		0	0.00		376	30.62		3	0.24		0	0.00		0	0.00		3	0.24		0	0.00		0	0.00		0	0.00		0	0.00		5	0.41		0	0.00		0	0.00		5	0.41		122	9.93		15	1.22		0	0.00		0	0.00		0	0.00		137	11.16		0	0.00		0	0.00		0	0.00		0	0.00		1228	97.46		32	2.54		1260	1.53																																																																																																									
O'Halloran Hill		941	31.63		34	1.14		2	0.07		16	0.54		993	33.38		49	1.65		23	0.77		0	0.00		72	2.42		104	3.50		17	0.57		1	0.03		122	4.10		0	0.00		1	0.03		1	0.03		2	0.07		1286	43.23		45	1.51		0	0.00		7	0.24		4	0.13		1342	45.11		0	0.00		0	0.00		0	0.00		0	0.00		1	0.03		1	0.03		0	0.00		2	0.07		6	0.20		0	0.00		0	0.00		6	0.20		371	12.47		61	2.05		2	0.07		0	0.00		0	0.00		434	14.59		2	0.07		0	0.00		0	0.00		2	0.07		2975	96.75		100	3.25		3075	3.74																																																																																																									
