Senate - 1993 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (85484)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Greenways-Conmurra		                         	0	0	 	2	1.72	 	6	5.17	 	0	0	 	10	8.62	 	0	0	 	4	3.45	 	0	0	 	1	0.86	 	0	0	 	0	0	 	93	80.17	 	0	0	 	116	100	 	0	0	 	116	0.14
Hatherleigh		                                	1	1.14	 	0	0	 	0	0	 	0	0	 	7	7.95	 	0	0	 	4	4.55	 	0	0	 	0	0	 	0	0	 	0	0	 	76	86.36	 	0	0	 	88	100	 	0	0	 	88	0.11
Hindmarsh Island		                           	0	0	 	6	3.28	 	1	0.55	 	1	0.55	 	39	21.31	 	0	0	 	11	6.01	 	0	0	 	2	1.09	 	1	0.55	 	0	0	 	122	66.67	 	0	0	 	183	96.83	 	6	3.17	 	189	0.23
Hindmarsh Valley		                           	1	0.8	 	1	0.8	 	0	0	 	0	0	 	10	8	 	0	0	 	9	7.2	 	0	0	 	0	0	 	0	0	 	0	0	 	104	83.2	 	0	0	 	125	99.21	 	1	0.79	 	126	0.16
Hope Forest		                                	1	0.56	 	5	2.78	 	2	1.11	 	7	3.89	 	29	16.11	 	1	0.56	 	13	7.22	 	3	1.67	 	0	0	 	1	0.56	 	0	0	 	118	65.56	 	0	0	 	180	98.9	 	2	1.1	 	182	0.23
Hynam		                                      	0	0	 	1	0.64	 	1	0.64	 	0	0	 	21	13.46	 	0	0	 	3	1.92	 	0	0	 	0	0	 	0	0	 	2	1.28	 	128	82.05	 	0	0	 	156	98.11	 	3	1.89	 	159	0.2
Inman Valley		                               	0	0	 	3	1.8	 	2	1.2	 	0	0	 	27	16.17	 	0	0	 	15	8.98	 	0	0	 	0	0	 	2	1.2	 	0	0	 	118	70.66	 	0	0	 	167	97.66	 	4	2.34	 	171	0.21
Jervois		                                    	1	0.57	 	3	1.71	 	5	2.86	 	0	0	 	17	9.71	 	0	0	 	4	2.29	 	0	0	 	0	0	 	0	0	 	0	0	 	145	82.86	 	0	0	 	175	100	 	0	0	 	175	0.22
Kalangadoo		                                 	3	0.77	 	6	1.53	 	5	1.28	 	13	3.32	 	116	29.59	 	0	0	 	13	3.32	 	1	0.26	 	1	0.26	 	2	0.51	 	4	1.02	 	228	58.16	 	0	0	 	392	98	 	8	2	 	400	0.5
Karatta		                                    	0	0	 	2	6.06	 	1	3.03	 	1	3.03	 	6	18.18	 	0	0	 	0	0	 	2	6.06	 	0	0	 	0	0	 	0	0	 	21	63.64	 	0	0	 	33	100	 	0	0	 	33	0.04
Karoonda		                                   	1	0.25	 	1	0.25	 	3	0.74	 	4	0.99	 	44	10.92	 	0	0	 	20	4.96	 	5	1.24	 	2	0.5	 	1	0.25	 	2	0.5	 	320	79.4	 	0	0	 	403	98.29	 	7	1.71	 	410	0.51
Keith		                                      	4	0.36	 	5	0.45	 	12	1.08	 	18	1.63	 	154	13.92	 	1	0.09	 	48	4.34	 	9	0.81	 	3	0.27	 	3	0.27	 	9	0.81	 	840	75.95	 	0	0	 	1106	98.93	 	12	1.07	 	1118	1.39
Keppoch		                                    	0	0	 	1	1.28	 	1	1.28	 	2	2.56	 	4	5.13	 	0	0	 	4	5.13	 	0	0	 	0	0	 	1	1.28	 	0	0	 	65	83.33	 	0	0	 	78	96.3	 	3	3.7	 	81	0.1
Keyneton		                                   	1	0.59	 	0	0	 	2	1.18	 	0	0	 	27	15.88	 	0	0	 	20	11.76	 	1	0.59	 	0	0	 	1	0.59	 	0	0	 	118	69.41	 	0	0	 	170	100	 	0	0	 	170	0.21
Ki Ki		                                      	0	0	 	0	0	 	0	0	 	5	7.69	 	5	7.69	 	0	0	 	3	4.62	 	0	0	 	0	0	 	0	0	 	0	0	 	52	80	 	0	0	 	65	100	 	0	0	 	65	0.08
Kingscote		                                  	7	0.5	 	36	2.55	 	6	0.43	 	41	2.91	 	241	17.08	 	1	0.07	 	168	11.91	 	9	0.64	 	18	1.28	 	10	0.71	 	5	0.35	 	869	61.59	 	0	0	 	1411	96.98	 	44	3.02	 	1455	1.81
Kingston		                                   	7	0.52	 	12	0.9	 	8	0.6	 	17	1.27	 	265	19.81	 	1	0.07	 	56	4.19	 	3	0.22	 	9	0.67	 	4	0.3	 	7	0.52	 	949	70.93	 	0	0	 	1338	98.96	 	14	1.04	 	1352	1.68
Kongorong		                                  	1	0.39	 	2	0.77	 	0	0	 	3	1.16	 	38	14.67	 	0	0	 	12	4.63	 	0	0	 	2	0.77	 	0	0	 	1	0.39	 	200	77.22	 	0	0	 	259	97	 	8	3	 	267	0.33
Kybybolite		                                 	1	0.85	 	0	0	 	4	3.42	 	2	1.71	 	35	29.91	 	1	0.85	 	4	3.42	 	0	0	 	0	0	 	0	0	 	0	0	 	70	59.83	 	0	0	 	117	99.15	 	1	0.85	 	118	0.15
Lameroo		                                    	0	0	 	5	0.92	 	10	1.83	 	12	2.2	 	63	11.54	 	2	0.37	 	23	4.21	 	1	0.18	 	5	0.92	 	2	0.37	 	4	0.73	 	419	76.74	 	0	0	 	546	96.81	 	18	3.19	 	564	0.7
Lochaber		                                   	0	0	 	0	0	 	0	0	 	3	3.03	 	6	6.06	 	0	0	 	2	2.02	 	1	1.01	 	0	0	 	0	0	 	0	0	 	87	87.88	 	0	0	 	99	100	 	0	0	 	99	0.12
Lucindale		                                  	2	0.41	 	3	0.62	 	7	1.44	 	4	0.82	 	45	9.26	 	3	0.62	 	26	5.35	 	2	0.41	 	3	0.62	 	2	0.41	 	1	0.21	 	388	79.84	 	0	0	 	486	98.58	 	7	1.42	 	493	0.61
Mannum		                                     	6	0.36	 	20	1.19	 	12	0.71	 	16	0.95	 	562	33.33	 	4	0.24	 	142	8.42	 	10	0.59	 	16	0.95	 	19	1.13	 	6	0.36	 	873	51.78	 	0	0	 	1686	97.23	 	48	2.77	 	1734	2.15
Mantung		                                    	0	0	 	0	0	 	0	0	 	0	0	 	2	7.14	 	0	0	 	0	0	 	0	0	 	1	3.57	 	0	0	 	0	0	 	25	89.29	 	0	0	 	28	100	 	0	0	 	28	0.03
Marama		                                     	0	0	 	0	0	 	1	1.45	 	0	0	 	1	1.45	 	1	1.45	 	1	1.45	 	0	0	 	0	0	 	0	0	 	0	0	 	65	94.2	 	0	0	 	69	100	 	0	0	 	69	0.09
Meningie		                                   	1	0.1	 	6	0.61	 	8	0.82	 	10	1.02	 	150	15.34	 	3	0.31	 	45	4.6	 	3	0.31	 	8	0.82	 	6	0.61	 	7	0.72	 	731	74.74	 	0	0	 	978	97.6	 	24	2.4	 	1002	1.24
Middleton		                                  	2	0.43	 	8	1.73	 	2	0.43	 	1	0.22	 	140	30.3	 	0	0	 	45	9.74	 	5	1.08	 	6	1.3	 	17	3.68	 	2	0.43	 	234	50.65	 	0	0	 	462	97.47	 	12	2.53	 	474	0.59
Milang		                                     	0	0	 	7	1.48	 	8	1.69	 	11	2.33	 	114	24.15	 	2	0.42	 	45	9.53	 	5	1.06	 	2	0.42	 	0	0	 	2	0.42	 	276	58.47	 	0	0	 	472	96.33	 	18	3.67	 	490	0.61
Mil Lel		                                    	0	0	 	0	0	 	6	3.3	 	0	0	 	24	13.19	 	1	0.55	 	10	5.49	 	1	0.55	 	2	1.1	 	3	1.65	 	0	0	 	135	74.18	 	0	0	 	182	99.45	 	1	0.55	 	183	0.23
Millicent		                                  	12	0.49	 	24	0.97	 	19	0.77	 	18	0.73	 	979	39.65	 	5	0.2	 	128	5.18	 	12	0.49	 	14	0.57	 	8	0.32	 	12	0.49	 	1235	50.02	 	3	0.12	 	2469	97.47	 	64	2.53	 	2533	3.15
Millicent South		                            	3	0.31	 	15	1.54	 	6	0.61	 	4	0.41	 	455	46.62	 	3	0.31	 	51	5.23	 	2	0.2	 	7	0.72	 	6	0.61	 	13	1.33	 	410	42.01	 	1	0.1	 	976	98.29	 	17	1.71	 	993	1.23
Moorak		                                     	4	0.96	 	1	0.24	 	4	0.96	 	4	0.96	 	65	15.66	 	0	0	 	20	4.82	 	3	0.72	 	1	0.24	 	1	0.24	 	1	0.24	 	311	74.94	 	0	0	 	415	99.05	 	4	0.95	 	419	0.52
Mount Benson		                               	0	0	 	2	2.02	 	0	0	 	0	0	 	11	11.11	 	0	0	 	5	5.05	 	0	0	 	2	2.02	 	0	0	 	0	0	 	79	79.8	 	0	0	 	99	99	 	1	1	 	100	0.12
Mount Burr-Mount McIntyre		                  	4	1.23	 	2	0.62	 	3	0.93	 	4	1.23	 	157	48.46	 	1	0.31	 	16	4.94	 	2	0.62	 	2	0.62	 	2	0.62	 	1	0.31	 	130	40.12	 	0	0	 	324	97.89	 	7	2.11	 	331	0.41
Mount Compass		                              	1	0.14	 	10	1.39	 	5	0.7	 	26	3.63	 	139	19.39	 	1	0.14	 	76	10.6	 	8	1.12	 	6	0.84	 	5	0.7	 	2	0.28	 	438	61.09	 	0	0	 	717	97.55	 	18	2.45	 	735	0.91
Mount Gambier		                              	17	0.58	 	29	0.99	 	10	0.34	 	33	1.13	 	951	32.57	 	9	0.31	 	204	6.99	 	11	0.38	 	12	0.41	 	11	0.38	 	9	0.31	 	1623	55.58	 	1	0.03	 	2920	97.82	 	65	2.18	 	2985	3.71
Mount Gambier East		                         	12	0.38	 	32	1	 	9	0.28	 	56	1.75	 	1629	50.95	 	7	0.22	 	239	7.48	 	15	0.47	 	18	0.56	 	13	0.41	 	18	0.56	 	1149	35.94	 	0	0	 	3197	96.79	 	106	3.21	 	3303	4.1
Mount Gambier North		                        	11	0.49	 	26	1.15	 	12	0.53	 	40	1.76	 	1063	46.89	 	3	0.13	 	175	7.72	 	1	0.04	 	16	0.71	 	5	0.22	 	12	0.53	 	903	39.83	 	0	0	 	2267	97.67	 	54	2.33	 	2321	2.88
Mount Gambier Park		                         	7	0.46	 	11	0.72	 	5	0.33	 	16	1.05	 	589	38.62	 	4	0.26	 	116	7.61	 	3	0.2	 	16	1.05	 	1	0.07	 	10	0.66	 	747	48.98	 	0	0	 	1525	98.58	 	22	1.42	 	1547	1.92
Mount Gambier West		                         	11	0.36	 	26	0.85	 	19	0.62	 	30	0.98	 	1242	40.46	 	13	0.42	 	221	7.2	 	14	0.46	 	16	0.52	 	14	0.46	 	22	0.72	 	1441	46.94	 	1	0.03	 	3070	97.4	 	82	2.6	 	3152	3.91
Mount Schank		                               	0	0	 	1	1.11	 	1	1.11	 	0	0	 	19	21.11	 	0	0	 	4	4.44	 	0	0	 	0	0	 	1	1.11	 	0	0	 	64	71.11	 	0	0	 	90	96.77	 	3	3.23	 	93	0.12
Mundulla		                                   	1	0.26	 	1	0.26	 	9	2.35	 	15	3.92	 	48	12.53	 	0	0	 	19	4.96	 	2	0.52	 	3	0.78	 	1	0.26	 	0	0	 	284	74.15	 	0	0	 	383	99.22	 	3	0.78	 	386	0.48
Murray Bridge		                              	15	0.67	 	32	1.43	 	10	0.45	 	33	1.48	 	736	32.92	 	2	0.09	 	172	7.69	 	16	0.72	 	50	2.24	 	13	0.58	 	15	0.67	 	1142	51.07	 	0	0	 	2236	97.51	 	57	2.49	 	2293	2.85
Murray Bridge East-Monteith		                	0	0	 	13	1.05	 	7	0.57	 	15	1.21	 	300	24.25	 	0	0	 	74	5.98	 	10	0.81	 	20	1.62	 	10	0.81	 	9	0.73	 	778	62.89	 	1	0.08	 	1237	97.86	 	27	2.14	 	1264	1.57
Murray Bridge South		                        	26	0.84	 	43	1.39	 	13	0.42	 	26	0.84	 	1155	37.22	 	9	0.29	 	218	7.03	 	16	0.52	 	38	1.22	 	25	0.81	 	17	0.55	 	1517	48.89	 	0	0	 	3103	97.3	 	86	2.7	 	3189	3.96
Murray Bridge West		                         	7	0.36	 	17	0.86	 	12	0.61	 	16	0.81	 	560	28.44	 	2	0.1	 	139	7.06	 	7	0.36	 	49	2.49	 	17	0.86	 	7	0.36	 	1136	57.69	 	0	0	 	1969	97.72	 	46	2.28	 	2015	2.5
Mypolonga		                                  	1	0.3	 	3	0.89	 	7	2.08	 	0	0	 	69	20.47	 	0	0	 	20	5.93	 	0	0	 	4	1.19	 	2	0.59	 	3	0.89	 	228	67.66	 	0	0	 	337	98.54	 	5	1.46	 	342	0.42
Myponga		                                    	2	0.47	 	3	0.7	 	6	1.41	 	1	0.23	 	77	18.08	 	0	0	 	56	13.15	 	8	1.88	 	0	0	 	0	0	 	2	0.47	 	271	63.62	 	0	0	 	426	97.48	 	11	2.52	 	437	0.54
Nangula		                                    	0	0	 	2	1.29	 	1	0.65	 	0	0	 	31	20	 	0	0	 	8	5.16	 	0	0	 	0	0	 	0	0	 	0	0	 	113	72.9	 	0	0	 	155	98.1	 	3	1.9	 	158	0.2
Nangwarry		                                  	3	0.75	 	4	1.01	 	2	0.5	 	4	1.01	 	259	65.08	 	1	0.25	 	18	4.52	 	1	0.25	 	1	0.25	 	1	0.25	 	1	0.25	 	103	25.88	 	0	0	 	398	98.03	 	8	1.97	 	406	0.5
Naracoorte		                                 	7	0.33	 	19	0.89	 	18	0.85	 	71	3.34	 	515	24.25	 	9	0.42	 	101	4.76	 	5	0.24	 	33	1.55	 	5	0.24	 	19	0.89	 	1322	62.24	 	0	0	 	2124	98.11	 	41	1.89	 	2165	2.69
Naracoorte South		                           	6	0.47	 	4	0.32	 	11	0.87	 	39	3.08	 	370	29.18	 	1	0.08	 	42	3.31	 	4	0.32	 	17	1.34	 	3	0.24	 	12	0.95	 	759	59.86	 	0	0	 	1268	97.31	 	35	2.69	 	1303	1.62
Narrung		                                    	0	0	 	0	0	 	1	1.64	 	3	4.92	 	7	11.48	 	0	0	 	4	6.56	 	0	0	 	0	0	 	0	0	 	0	0	 	46	75.41	 	0	0	 	61	98.39	 	1	1.61	 	62	0.08
Nildottie		                                  	0	0	 	3	2.05	 	2	1.37	 	3	2.05	 	12	8.22	 	0	0	 	6	4.11	 	0	0	 	1	0.68	 	1	0.68	 	1	0.68	 	117	80.14	 	0	0	 	146	94.81	 	8	5.19	 	154	0.19
O B Flat		                                   	1	0.56	 	0	0	 	0	0	 	0	0	 	34	18.99	 	0	0	 	13	7.26	 	0	0	 	1	0.56	 	0	0	 	0	0	 	130	72.63	 	0	0	 	179	98.9	 	2	1.1	 	181	0.22
Padthaway		                                  	0	0	 	3	1.01	 	3	1.01	 	10	3.37	 	26	8.75	 	1	0.34	 	13	4.38	 	1	0.34	 	3	1.01	 	0	0	 	6	2.02	 	231	77.78	 	0	0	 	297	98.34	 	5	1.66	 	302	0.38
Parawa		                                     	0	0	 	3	3.13	 	0	0	 	0	0	 	8	8.33	 	0	0	 	6	6.25	 	1	1.04	 	0	0	 	0	0	 	0	0	 	78	81.25	 	0	0	 	96	95.05	 	5	4.95	 	101	0.13
Parilla		                                    	0	0	 	3	2.4	 	1	0.8	 	6	4.8	 	6	4.8	 	0	0	 	6	4.8	 	0	0	 	1	0.8	 	1	0.8	 	0	0	 	101	80.8	 	0	0	 	125	96.9	 	4	3.1	 	129	0.16
Parndana		                                   	3	0.87	 	7	2.03	 	3	0.87	 	8	2.33	 	22	6.4	 	0	0	 	37	10.76	 	0	0	 	0	0	 	3	0.87	 	4	1.16	 	257	74.71	 	0	0	 	344	98.57	 	5	1.43	 	349	0.43
Parrakie		                                   	0	0	 	1	1.12	 	5	5.62	 	0	0	 	1	1.12	 	0	0	 	3	3.37	 	0	0	 	0	0	 	0	0	 	1	1.12	 	78	87.64	 	0	0	 	89	98.89	 	1	1.11	 	90	0.11
Paruna		                                     	0	0	 	0	0	 	3	3.53	 	0	0	 	6	7.06	 	0	0	 	7	8.24	 	1	1.18	 	1	1.18	 	1	1.18	 	2	2.35	 	64	75.29	 	0	0	 	85	98.84	 	1	1.16	 	86	0.11
Peake		                                      	0	0	 	1	0.65	 	4	2.6	 	9	5.84	 	10	6.49	 	0	0	 	2	1.3	 	1	0.65	 	0	0	 	2	1.3	 	0	0	 	125	81.17	 	0	0	 	154	98.72	 	2	1.28	 	156	0.19
Penneshaw		                                  	1	0.42	 	6	2.52	 	0	0	 	1	0.42	 	45	18.91	 	0	0	 	27	11.34	 	3	1.26	 	0	0	 	0	0	 	1	0.42	 	154	64.71	 	0	0	 	238	98.35	 	4	1.65	 	242	0.3
Penola		                                     	10	0.88	 	8	0.7	 	9	0.79	 	7	0.62	 	305	26.85	 	1	0.09	 	51	4.49	 	1	0.09	 	6	0.53	 	0	0	 	9	0.79	 	728	64.08	 	1	0.09	 	1136	97.59	 	28	2.41	 	1164	1.45
Pinnaroo		                                   	3	0.56	 	4	0.75	 	6	1.12	 	13	2.43	 	73	13.67	 	0	0	 	36	6.74	 	3	0.56	 	1	0.19	 	0	0	 	7	1.31	 	388	72.66	 	0	0	 	534	97.8	 	12	2.2	 	546	0.68
Point McLeay		                               	0	0	 	0	0	 	0	0	 	0	0	 	41	93.18	 	0	0	 	2	4.55	 	0	0	 	0	0	 	0	0	 	0	0	 	1	2.27	 	0	0	 	44	97.78	 	1	2.22	 	45	0.06
Ponde-Pompoota		                             	1	0.8	 	2	1.6	 	1	0.8	 	1	0.8	 	55	44	 	1	0.8	 	21	16.8	 	0	0	 	0	0	 	2	1.6	 	0	0	 	41	32.8	 	0	0	 	125	96.9	 	4	3.1	 	129	0.16
Port Elliot		                                	7	0.67	 	16	1.54	 	4	0.38	 	12	1.15	 	282	27.06	 	3	0.29	 	143	13.72	 	8	0.77	 	5	0.48	 	4	0.38	 	3	0.29	 	554	53.17	 	1	0.1	 	1042	97.84	 	23	2.16	 	1065	1.32
Port MacDonnell		                            	4	0.54	 	7	0.94	 	1	0.13	 	3	0.4	 	215	28.82	 	1	0.13	 	45	6.03	 	2	0.27	 	1	0.13	 	1	0.13	 	3	0.4	 	463	62.06	 	0	0	 	746	96.26	 	29	3.74	 	775	0.96
Purnong-Bowhill		                            	2	1.29	 	4	2.58	 	1	0.65	 	5	3.23	 	19	12.26	 	1	0.65	 	10	6.45	 	0	0	 	1	0.65	 	1	0.65	 	0	0	 	111	71.61	 	0	0	 	155	100	 	0	0	 	155	0.19
Reedy Creek		                                	0	0	 	2	2.74	 	0	0	 	1	1.37	 	6	8.22	 	0	0	 	4	5.48	 	0	0	 	0	0	 	0	0	 	0	0	 	60	82.19	 	0	0	 	73	98.65	 	1	1.35	 	74	0.09
Rendelsham		                                 	2	1.39	 	2	1.39	 	1	0.69	 	0	0	 	19	13.19	 	0	0	 	6	4.17	 	0	0	 	0	0	 	0	0	 	0	0	 	114	79.17	 	0	0	 	144	98.63	 	2	1.37	 	146	0.18
Robe		                                       	3	0.41	 	3	0.41	 	6	0.82	 	6	0.82	 	93	12.65	 	0	0	 	36	4.9	 	5	0.68	 	0	0	 	2	0.27	 	0	0	 	580	78.91	 	1	0.14	 	735	98.92	 	8	1.08	 	743	0.92
Salt Creek		                                 	0	0	 	0	0	 	2	4	 	2	4	 	10	20	 	0	0	 	5	10	 	0	0	 	0	0	 	0	0	 	0	0	 	31	62	 	0	0	 	50	96.15	 	2	3.85	 	52	0.06
Second Valley		                              	2	1.89	 	2	1.89	 	1	0.94	 	3	2.83	 	31	29.25	 	0	0	 	9	8.49	 	2	1.89	 	0	0	 	0	0	 	0	0	 	56	52.83	 	0	0	 	106	99.07	 	1	0.93	 	107	0.13
Sedan		                                      	1	0.6	 	3	1.79	 	1	0.6	 	0	0	 	26	15.48	 	1	0.6	 	8	4.76	 	0	0	 	1	0.6	 	2	1.19	 	1	0.6	 	124	73.81	 	0	0	 	168	97.11	 	5	2.89	 	173	0.21
Sherlock		                                   	0	0	 	2	2.06	 	2	2.06	 	6	6.19	 	6	6.19	 	0	0	 	4	4.12	 	0	0	 	0	0	 	1	1.03	 	3	3.09	 	73	75.26	 	0	0	 	97	98.98	 	1	1.02	 	98	0.12
Southend		                                   	1	0.55	 	1	0.55	 	0	0	 	0	0	 	34	18.58	 	0	0	 	5	2.73	 	1	0.55	 	1	0.55	 	2	1.09	 	0	0	 	138	75.41	 	0	0	 	183	98.92	 	2	1.08	 	185	0.23
Stokes Bay		                                 	0	0	 	2	3.45	 	0	0	 	7	12.07	 	6	10.34	 	0	0	 	7	12.07	 	0	0	 	0	0	 	0	0	 	0	0	 	35	60.34	 	1	1.72	 	58	100	 	0	0	 	58	0.07
Suttontown-Wandilo		                         	1	0.16	 	8	1.3	 	3	0.49	 	16	2.6	 	198	32.2	 	3	0.49	 	23	3.74	 	1	0.16	 	2	0.33	 	0	0	 	4	0.65	 	356	57.89	 	0	0	 	615	98.09	 	12	1.91	 	627	0.78
Swan Reach		                                 	2	0.81	 	4	1.61	 	0	0	 	2	0.81	 	66	26.61	 	1	0.4	 	27	10.89	 	1	0.4	 	1	0.4	 	4	1.61	 	0	0	 	140	56.45	 	0	0	 	248	96.88	 	8	3.13	 	256	0.32
Tailem Bend		                                	7	0.57	 	11	0.89	 	5	0.41	 	11	0.89	 	511	41.51	 	4	0.32	 	92	7.47	 	5	0.41	 	28	2.27	 	15	1.22	 	8	0.65	 	534	43.38	 	0	0	 	1231	95.95	 	52	4.05	 	1283	1.59
Tantanoola		                                 	2	0.71	 	5	1.77	 	2	0.71	 	2	0.71	 	101	35.69	 	0	0	 	11	3.89	 	0	0	 	0	0	 	1	0.35	 	3	1.06	 	156	55.12	 	0	0	 	283	98.95	 	3	1.05	 	286	0.36
Tarpeena		                                   	5	1.26	 	2	0.5	 	2	0.5	 	4	1.01	 	184	46.35	 	2	0.5	 	13	3.27	 	1	0.25	 	1	0.25	 	1	0.25	 	4	1.01	 	178	44.84	 	0	0	 	397	97.3	 	11	2.7	 	408	0.51
Tintinara		                                  	1	0.18	 	1	0.18	 	3	0.54	 	2	0.36	 	22	3.93	 	0	0	 	14	2.5	 	3	0.54	 	9	1.61	 	2	0.36	 	3	0.54	 	500	89.29	 	0	0	 	560	99.12	 	5	0.88	 	565	0.7
Victor Harbor		                              	12	0.38	 	40	1.26	 	9	0.28	 	40	1.26	 	724	22.77	 	7	0.22	 	325	10.22	 	23	0.72	 	9	0.28	 	24	0.75	 	12	0.38	 	1954	61.47	 	0	0	 	3179	97.46	 	83	2.54	 	3262	4.05
Victor Harbor East		                         	3	0.38	 	16	2.04	 	4	0.51	 	34	4.33	 	149	18.98	 	1	0.13	 	65	8.28	 	6	0.76	 	0	0	 	9	1.15	 	4	0.51	 	494	62.93	 	0	0	 	785	98.25	 	14	1.75	 	799	0.99
Walker Flat		                                	1	1.33	 	1	1.33	 	0	0	 	2	2.67	 	14	18.67	 	0	0	 	8	10.67	 	2	2.67	 	1	1.33	 	1	1.33	 	0	0	 	45	60	 	0	0	 	75	98.68	 	1	1.32	 	76	0.09
Wanbi		                                      	1	1.27	 	1	1.27	 	1	1.27	 	1	1.27	 	5	6.33	 	0	0	 	2	2.53	 	0	0	 	0	0	 	0	0	 	1	1.27	 	67	84.81	 	0	0	 	79	100	 	0	0	 	79	0.1
Wellington West		                            	0	0	 	2	1.31	 	0	0	 	1	0.65	 	28	18.3	 	0	0	 	7	4.58	 	1	0.65	 	2	1.31	 	2	1.31	 	0	0	 	110	71.9	 	0	0	 	153	98.08	 	3	1.92	 	156	0.19
Western Flat		                               	0	0	 	1	0.83	 	4	3.33	 	3	2.5	 	8	6.67	 	0	0	 	2	1.67	 	0	0	 	0	0	 	0	0	 	2	1.67	 	100	83.33	 	0	0	 	120	99.17	 	1	0.83	 	121	0.15
Willalooka		                                 	0	0	 	0	0	 	3	2	 	3	2	 	5	3.33	 	0	0	 	5	3.33	 	3	2	 	0	0	 	0	0	 	0	0	 	131	87.33	 	0	0	 	150	100	 	0	0	 	150	0.19
Wirrega		                                    	0	0	 	1	1.35	 	2	2.7	 	5	6.76	 	0	0	 	0	0	 	1	1.35	 	1	1.35	 	0	0	 	0	0	 	0	0	 	64	86.49	 	0	0	 	74	98.67	 	1	1.33	 	75	0.09
Wisanger		                                   	0	0	 	1	1.56	 	0	0	 	0	0	 	1	1.56	 	0	0	 	3	4.69	 	0	0	 	0	0	 	1	1.56	 	0	0	 	58	90.63	 	0	0	 	64	96.97	 	2	3.03	 	66	0.08
Wolseley		                                   	0	0	 	0	0	 	3	1.94	 	2	1.29	 	37	23.87	 	0	0	 	8	5.16	 	1	0.65	 	0	0	 	0	0	 	2	1.29	 	102	65.81	 	0	0	 	155	98.73	 	2	1.27	 	157	0.19
Wood Point		                                 	0	0	 	2	1.61	 	0	0	 	0	0	 	21	16.94	 	1	0.81	 	9	7.26	 	3	2.42	 	0	0	 	0	0	 	2	1.61	 	86	69.35	 	0	0	 	124	99.2	 	1	0.8	 	125	0.16
Wrattonbully		                               	0	0	 	1	1.32	 	0	0	 	4	5.26	 	7	9.21	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	64	84.21	 	0	0	 	76	98.7	 	1	1.3	 	77	0.1
Wynarka		                                    	1	1.45	 	0	0	 	1	1.45	 	0	0	 	1	1.45	 	0	0	 	1	1.45	 	1	1.45	 	0	0	 	0	0	 	0	0	 	64	92.75	 	0	0	 	69	98.57	 	1	1.43	 	70	0.09
Yahl		                                       	1	0.32	 	4	1.27	 	1	0.32	 	4	1.27	 	98	31.01	 	2	0.63	 	26	8.23	 	1	0.32	 	0	0	 	1	0.32	 	1	0.32	 	177	56.01	 	0	0	 	316	99.06	 	3	0.94	 	319	0.4
Yankalilla		                                 	6	0.47	 	19	1.48	 	8	0.62	 	15	1.16	 	287	22.28	 	5	0.39	 	168	13.04	 	43	3.34	 	4	0.31	 	13	1.01	 	5	0.39	 	715	55.51	 	0	0	 	1288	96.99	 	40	3.01	 	1328	1.65
Special Hospitals		                          	6	1.22	 	1	0.2	 	2	0.41	 	6	1.22	 	143	29.18	 	0	0	 	24	4.9	 	1	0.2	 	5	1.02	 	1	0.2	 	3	0.61	 	298	60.82	 	0	0	 	490	96.65	 	17	3.35	 	507	0.63
Total Ordinary		                             	325	0.46	 	762	1.08	 	485	0.69	 	1062	1.51	 	19640	27.84	 	137	0.19	 	4907	6.95	 	376	0.53	 	560	0.79	 	384	0.54	 	383	0.54	 	41522	58.85	 	15	0.02	 	70558	97.75	 	1626	2.25	 	72184	89.64
ABSENT		                                     	19	0.45	 	104	2.48	 	34	0.81	 	62	1.48	 	1093	26.05	 	8	0.19	 	369	8.79	 	36	0.86	 	21	0.5	 	18	0.43	 	33	0.79	 	2398	57.15	 	1	0.02	 	4196	98.87	 	48	1.13	 	4244	5.27
POSTAL		                                     	1	0.05	 	21	1.05	 	26	1.31	 	20	1	 	486	24.4	 	9	0.45	 	118	5.92	 	6	0.3	 	5	0.25	 	23	1.15	 	20	1	 	1255	63	 	2	0.1	 	1992	99.01	 	20	0.99	 	2012	2.5
PRE_POLL		                                   	12	0.65	 	45	2.43	 	24	1.3	 	37	2	 	517	27.96	 	7	0.38	 	105	5.68	 	6	0.32	 	15	0.81	 	10	0.54	 	8	0.43	 	1062	57.44	 	1	0.05	 	1849	98.46	 	29	1.54	 	1878	2.33
PROVISIONAL		                                	0	0	 	5	2.49	 	2	1	 	1	0.5	 	61	30.35	 	1	0.5	 	13	6.47	 	2	1	 	1	0.5	 	1	0.5	 	2	1	 	112	55.72	 	0	0	 	201	98.05	 	4	1.95	 	205	0.25
