Senate - 1993 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (85484)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Goodwood Park		                              	8	0.79	 	18	1.77	 	4	0.39	 	4	0.39	 	414	40.63	 	2	0.2	 	117	11.48	 	10	0.98	 	3	0.29	 	1	0.1	 	2	0.2	 	436	42.79	 	0	0	 	1019	96.68	 	35	3.32	 	1054	1.31
Hackney		                                    	9	0.75	 	25	2.07	 	3	0.25	 	8	0.66	 	339	28.11	 	2	0.17	 	123	10.2	 	18	1.49	 	1	0.08	 	1	0.08	 	3	0.25	 	674	55.89	 	0	0	 	1206	98.29	 	21	1.71	 	1227	1.52
Hindmarsh		                                  	3	0.61	 	15	3.05	 	0	0	 	5	1.02	 	270	54.88	 	1	0.2	 	48	9.76	 	6	1.22	 	1	0.2	 	6	1.22	 	1	0.2	 	136	27.64	 	0	0	 	492	95.91	 	21	4.09	 	513	0.64
Hyde Park		                                  	5	0.29	 	28	1.62	 	1	0.06	 	11	0.63	 	352	20.31	 	2	0.12	 	145	8.37	 	14	0.81	 	0	0	 	5	0.29	 	1	0.06	 	1169	67.46	 	0	0	 	1733	99.2	 	14	0.8	 	1747	2.17
Joslin		                                     	11	0.49	 	42	1.87	 	3	0.13	 	18	0.8	 	682	30.38	 	5	0.22	 	269	11.98	 	19	0.85	 	8	0.36	 	11	0.49	 	2	0.09	 	1174	52.29	 	1	0.04	 	2245	97.61	 	55	2.39	 	2300	2.86
Keswick		                                    	5	0.71	 	16	2.27	 	2	0.28	 	5	0.71	 	304	43.12	 	0	0	 	57	8.09	 	16	2.27	 	6	0.85	 	3	0.43	 	3	0.43	 	288	40.85	 	0	0	 	705	97.78	 	16	2.22	 	721	0.9
Kilburn		                                    	13	0.64	 	25	1.24	 	4	0.2	 	17	0.84	 	1203	59.52	 	10	0.49	 	148	7.32	 	20	0.99	 	19	0.94	 	17	0.84	 	16	0.79	 	528	26.13	 	1	0.05	 	2021	94.75	 	112	5.25	 	2133	2.65
Lower North Adelaide		                       	5	0.52	 	25	2.59	 	2	0.21	 	2	0.21	 	267	27.64	 	1	0.1	 	136	14.08	 	15	1.55	 	3	0.31	 	6	0.62	 	0	0	 	504	52.17	 	0	0	 	966	97.97	 	20	2.03	 	986	1.22
Malvern		                                    	7	0.42	 	34	2.02	 	4	0.24	 	7	0.42	 	350	20.78	 	3	0.18	 	169	10.04	 	20	1.19	 	4	0.24	 	4	0.24	 	0	0	 	1081	64.19	 	1	0.06	 	1684	98.65	 	23	1.35	 	1707	2.12
Marden West (Adelaide)		                     	1	0.33	 	4	1.31	 	0	0	 	4	1.31	 	98	32.03	 	2	0.65	 	42	13.73	 	5	1.63	 	0	0	 	0	0	 	3	0.98	 	147	48.04	 	0	0	 	306	98.39	 	5	1.61	 	311	0.39
