Senate - 1993 Election: Victoria																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Aston (79158)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
PRE_POLL		                                   	17	0.99	 	14	0.81	 	28	1.63	 	2	0.12	 	12	0.7	 	57	3.31	 	549	31.9	 	4	0.23	 	959	55.72	 	61	3.54	 	0	0	 	18	1.05	 	0	0	 	1721	97.84	 	38	2.16	 	1759	2.23
PROVISIONAL		                                	4	1.4	 	4	1.4	 	4	1.4	 	2	0.7	 	1	0.35	 	5	1.75	 	64	22.46	 	0	0	 	196	68.77	 	2	0.7	 	0	0	 	2	0.7	 	1	0.35	 	285	93.75	 	19	6.25	 	304	0.39
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	-1		       	-1		       	0		       	-1		       	0		       	0		       	0		       	0		       	-3		       	0		       	-3	
Division Summary		                           	697	0.92	 	584	0.77	 	596	0.79	 	167	0.22	 	263	0.35	 	1400	1.85	 	20290	26.87	 	161	0.21	 	48372	64.06	 	2019	2.67	 	1	0	 	538	0.71	 	422	0.56	 	75510	95.88	 	3242	4.12	 	78752	96.42
 																																																	


Casey (78107)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Badger Creek		                               	5	0.39	 	5	0.39	 	5	0.39	 	5	0.39	 	12	0.93	 	10	0.78	 	510	39.66	 	1	0.08	 	603	46.89	 	97	7.54	 	0	0	 	22	1.71	 	11	0.86	 	1286	98.02	 	26	1.98	 	1312	1.73
Bimbadeen Heights		                          	3	0.14	 	9	0.43	 	10	0.48	 	8	0.38	 	19	0.91	 	27	1.29	 	983	46.97	 	3	0.14	 	868	41.47	 	141	6.74	 	0	0	 	16	0.76	 	6	0.29	 	2093	98.63	 	29	1.37	 	2122	2.8
Birmingham		                                 	12	0.39	 	25	0.8	 	27	0.87	 	20	0.64	 	56	1.8	 	28	0.9	 	1405	45.09	 	2	0.06	 	1259	40.4	 	220	7.06	 	1	0.03	 	41	1.32	 	20	0.64	 	3116	97.71	 	73	2.29	 	3189	4.21
Chirnside Park		                             	7	0.47	 	4	0.27	 	10	0.67	 	7	0.47	 	22	1.48	 	20	1.35	 	769	51.78	 	3	0.2	 	585	39.39	 	49	3.3	 	0	0	 	7	0.47	 	2	0.13	 	1485	97.83	 	33	2.17	 	1518	2
Christmas Hills		                            	4	3.42	 	2	1.71	 	0	0	 	0	0	 	0	0	 	0	0	 	42	35.9	 	1	0.85	 	50	42.74	 	8	6.84	 	0	0	 	10	8.55	 	0	0	 	117	100	 	0	0	 	117	0.15
Coldstream		                                 	3	0.21	 	5	0.36	 	8	0.57	 	2	0.14	 	12	0.86	 	12	0.86	 	757	54.19	 	3	0.21	 	500	35.79	 	77	5.51	 	0	0	 	14	1	 	4	0.29	 	1397	97.97	 	29	2.03	 	1426	1.88
Croydon		                                    	10	1.4	 	13	1.82	 	3	0.42	 	4	0.56	 	14	1.96	 	8	1.12	 	286	40	 	2	0.28	 	328	45.87	 	33	4.62	 	0	0	 	10	1.4	 	4	0.56	 	715	96.49	 	26	3.51	 	741	0.98
Croydon Central		                            	10	0.5	 	21	1.06	 	15	0.76	 	7	0.35	 	19	0.96	 	10	0.5	 	949	47.81	 	2	0.1	 	755	38.04	 	145	7.3	 	1	0.05	 	28	1.41	 	23	1.16	 	1985	97.64	 	48	2.36	 	2033	2.68
Croydon East		                               	7	0.28	 	32	1.27	 	16	0.64	 	20	0.8	 	41	1.63	 	23	0.92	 	1143	45.52	 	3	0.12	 	1035	41.22	 	140	5.58	 	0	0	 	38	1.51	 	13	0.52	 	2511	97.25	 	71	2.75	 	2582	3.41
Croydon Hills		                              	5	0.12	 	37	0.88	 	20	0.47	 	31	0.74	 	47	1.12	 	22	0.52	 	2373	56.33	 	2	0.05	 	1417	33.63	 	158	3.75	 	0	0	 	32	0.76	 	69	1.64	 	4213	98.27	 	74	1.73	 	4287	5.66
Croydon North		                              	8	0.3	 	46	1.73	 	13	0.49	 	25	0.94	 	33	1.24	 	23	0.87	 	1301	49.06	 	3	0.11	 	1002	37.78	 	153	5.77	 	0	0	 	26	0.98	 	19	0.72	 	2652	97.04	 	81	2.96	 	2733	3.61
Dixons Creek		                               	1	0.46	 	3	1.39	 	1	0.46	 	4	1.85	 	0	0	 	1	0.46	 	143	66.2	 	1	0.46	 	45	20.83	 	12	5.56	 	0	0	 	3	1.39	 	2	0.93	 	216	99.54	 	1	0.46	 	217	0.29
Don Valley		                                 	3	1.07	 	2	0.71	 	1	0.36	 	2	0.71	 	0	0	 	3	1.07	 	149	53.02	 	0	0	 	102	36.3	 	14	4.98	 	0	0	 	4	1.42	 	1	0.36	 	281	97.57	 	7	2.43	 	288	0.38
Gladysdale		                                 	1	0.33	 	3	0.99	 	1	0.33	 	2	0.66	 	10	3.3	 	4	1.32	 	168	55.45	 	3	0.99	 	87	28.71	 	14	4.62	 	1	0.33	 	5	1.65	 	4	1.32	 	303	98.38	 	5	1.62	 	308	0.41
Gruyere South		                              	4	1.13	 	1	0.28	 	2	0.57	 	1	0.28	 	3	0.85	 	4	1.13	 	252	71.39	 	0	0	 	71	20.11	 	7	1.98	 	0	0	 	5	1.42	 	3	0.85	 	353	97.78	 	8	2.22	 	361	0.48
Healesville		                                	14	0.43	 	15	0.46	 	29	0.9	 	5	0.15	 	17	0.53	 	48	1.49	 	1435	44.43	 	1	0.03	 	1399	43.31	 	201	6.22	 	0	0	 	50	1.55	 	16	0.5	 	3230	96.39	 	121	3.61	 	3351	4.42
Hoddles Creek		                              	0	0	 	1	0.29	 	0	0	 	2	0.59	 	2	0.59	 	5	1.47	 	233	68.53	 	0	0	 	74	21.76	 	19	5.59	 	0	0	 	4	1.18	 	0	0	 	340	98.84	 	4	1.16	 	344	0.45
Hurstbridge		                                	3	0.28	 	5	0.46	 	11	1.02	 	7	0.65	 	3	0.28	 	11	1.02	 	403	37.25	 	1	0.09	 	540	49.91	 	78	7.21	 	0	0	 	19	1.76	 	1	0.09	 	1082	97.48	 	28	2.52	 	1110	1.46
Kangaroo Ground		                            	3	0.44	 	6	0.88	 	2	0.29	 	13	1.9	 	18	2.63	 	8	1.17	 	399	58.25	 	1	0.15	 	172	25.11	 	38	5.55	 	0	0	 	20	2.92	 	5	0.73	 	685	98.7	 	9	1.3	 	694	0.92
Launching Place		                            	7	0.75	 	0	0	 	4	0.43	 	3	0.32	 	14	1.5	 	15	1.6	 	426	45.51	 	0	0	 	415	44.34	 	32	3.42	 	1	0.11	 	16	1.71	 	3	0.32	 	936	98.01	 	19	1.99	 	955	1.26
Lilydale		                                   	22	0.69	 	29	0.91	 	26	0.82	 	14	0.44	 	35	1.1	 	25	0.79	 	1563	49.23	 	4	0.13	 	1220	38.43	 	168	5.29	 	0	0	 	42	1.32	 	27	0.85	 	3175	97.24	 	90	2.76	 	3265	4.31
Lilydale North		                             	3	0.88	 	0	0	 	1	0.29	 	2	0.59	 	4	1.17	 	2	0.59	 	174	51.03	 	0	0	 	133	39	 	19	5.57	 	0	0	 	3	0.88	 	0	0	 	341	96.88	 	11	3.13	 	352	0.46
Lilydale West		                              	20	0.63	 	35	1.1	 	20	0.63	 	11	0.35	 	41	1.29	 	29	0.91	 	1689	53.26	 	3	0.09	 	1155	36.42	 	128	4.04	 	0	0	 	29	0.91	 	11	0.35	 	3171	96.38	 	119	3.62	 	3290	4.34
Manchester		                                 	7	0.37	 	6	0.32	 	12	0.64	 	7	0.37	 	20	1.06	 	32	1.69	 	810	42.9	 	5	0.26	 	881	46.66	 	93	4.93	 	0	0	 	13	0.69	 	2	0.11	 	1888	97.62	 	46	2.38	 	1934	2.55
Millgrove		                                  	6	0.74	 	14	1.72	 	12	1.47	 	5	0.61	 	7	0.86	 	15	1.84	 	281	34.44	 	0	0	 	422	51.72	 	42	5.15	 	0	0	 	10	1.23	 	2	0.25	 	816	96.45	 	30	3.55	 	846	1.12
Mooroolbark		                                	12	0.65	 	17	0.93	 	14	0.76	 	7	0.38	 	17	0.93	 	19	1.04	 	776	42.29	 	3	0.16	 	856	46.65	 	88	4.8	 	0	0	 	21	1.14	 	5	0.27	 	1835	97.19	 	53	2.81	 	1888	2.49
Mount Evelyn		                               	3	0.21	 	10	0.69	 	18	1.24	 	12	0.82	 	25	1.72	 	18	1.24	 	708	48.59	 	1	0.07	 	534	36.65	 	89	6.11	 	0	0	 	34	2.33	 	5	0.34	 	1457	98.65	 	20	1.35	 	1477	1.95
Park Orchards		                              	7	0.29	 	17	0.7	 	14	0.58	 	8	0.33	 	8	0.33	 	16	0.66	 	1623	66.98	 	5	0.21	 	584	24.1	 	100	4.13	 	0	0	 	32	1.32	 	9	0.37	 	2423	98.34	 	41	1.66	 	2464	3.25
Powelltown		                                 	2	1.27	 	1	0.64	 	0	0	 	0	0	 	0	0	 	2	1.27	 	73	46.5	 	0	0	 	71	45.22	 	8	5.1	 	0	0	 	0	0	 	0	0	 	157	98.74	 	2	1.26	 	159	0.21
Research		                                   	4	0.28	 	30	2.1	 	4	0.28	 	8	0.56	 	8	0.56	 	1	0.07	 	732	51.26	 	4	0.28	 	500	35.01	 	99	6.93	 	0	0	 	34	2.38	 	4	0.28	 	1428	98.21	 	26	1.79	 	1454	1.92
Ringwood North		                             	4	0.5	 	31	3.86	 	0	0	 	6	0.75	 	16	1.99	 	3	0.37	 	485	60.32	 	0	0	 	226	28.11	 	18	2.24	 	0	0	 	13	1.62	 	2	0.25	 	804	98.65	 	11	1.35	 	815	1.08
Rolling Hills		                              	3	0.22	 	6	0.44	 	11	0.81	 	2	0.15	 	19	1.39	 	7	0.51	 	701	51.36	 	0	0	 	557	40.81	 	46	3.37	 	0	0	 	8	0.59	 	5	0.37	 	1365	98.63	 	19	1.37	 	1384	1.83
Seville		                                    	4	0.35	 	6	0.53	 	7	0.62	 	4	0.35	 	11	0.97	 	20	1.77	 	619	54.73	 	0	0	 	388	34.31	 	50	4.42	 	0	0	 	13	1.15	 	9	0.8	 	1131	97.08	 	34	2.92	 	1165	1.54
Seville East		                               	2	0.63	 	3	0.94	 	5	1.57	 	1	0.31	 	3	0.94	 	2	0.63	 	141	44.34	 	0	0	 	137	43.08	 	16	5.03	 	0	0	 	4	1.26	 	4	1.26	 	318	97.55	 	8	2.45	 	326	0.43
Toolangi		                                   	0	0	 	4	1.61	 	2	0.8	 	0	0	 	0	0	 	1	0.4	 	149	59.84	 	0	0	 	75	30.12	 	14	5.62	 	0	0	 	3	1.2	 	1	0.4	 	249	97.65	 	6	2.35	 	255	0.34
Wandin		                                     	3	0.73	 	1	0.24	 	1	0.24	 	1	0.24	 	7	1.69	 	4	0.97	 	264	63.92	 	1	0.24	 	113	27.36	 	13	3.15	 	0	0	 	5	1.21	 	0	0	 	413	96.27	 	16	3.73	 	429	0.57
Wandin North		                               	6	0.53	 	6	0.53	 	10	0.88	 	0	0	 	11	0.96	 	16	1.4	 	630	55.17	 	1	0.09	 	394	34.5	 	47	4.12	 	0	0	 	20	1.75	 	1	0.09	 	1142	97.44	 	30	2.56	 	1172	1.55
Warburton		                                  	8	0.8	 	6	0.6	 	6	0.6	 	6	0.6	 	8	0.8	 	12	1.2	 	435	43.37	 	2	0.2	 	439	43.77	 	50	4.99	 	0	0	 	25	2.49	 	6	0.6	 	1003	95.8	 	44	4.2	 	1047	1.38
Warburton East		                             	2	0.48	 	0	0	 	0	0	 	0	0	 	5	1.19	 	4	0.95	 	172	40.86	 	1	0.24	 	200	47.51	 	24	5.7	 	0	0	 	8	1.9	 	5	1.19	 	421	96.78	 	14	3.22	 	435	0.57
Warrandyte		                                 	9	0.34	 	53	1.98	 	20	0.75	 	13	0.49	 	12	0.45	 	13	0.49	 	1510	56.43	 	5	0.19	 	831	31.05	 	154	5.75	 	0	0	 	42	1.57	 	14	0.52	 	2676	98.49	 	41	1.51	 	2717	3.58
Warrandyte North		                           	4	0.26	 	24	1.58	 	6	0.39	 	9	0.59	 	4	0.26	 	5	0.33	 	716	47.01	 	1	0.07	 	553	36.31	 	135	8.86	 	0	0	 	54	3.55	 	12	0.79	 	1523	98.19	 	28	1.81	 	1551	2.05
Warrandyte South		                           	5	0.51	 	9	0.92	 	7	0.71	 	4	0.41	 	9	0.92	 	9	0.92	 	523	53.26	 	0	0	 	343	34.93	 	38	3.87	 	0	0	 	16	1.63	 	19	1.93	 	982	98.59	 	14	1.41	 	996	1.31
Wattle Glen		                                	2	0.35	 	8	1.41	 	6	1.05	 	3	0.53	 	6	1.05	 	4	0.7	 	251	44.11	 	0	0	 	246	43.23	 	22	3.87	 	0	0	 	15	2.64	 	6	1.05	 	569	98.44	 	9	1.56	 	578	0.76
Wesburn		                                    	2	0.4	 	3	0.6	 	2	0.4	 	1	0.2	 	3	0.6	 	7	1.4	 	249	49.8	 	0	0	 	199	39.8	 	27	5.4	 	0	0	 	7	1.4	 	0	0	 	500	96.71	 	17	3.29	 	517	0.68
Wonga Park		                                 	2	0.14	 	4	0.27	 	10	0.68	 	7	0.48	 	9	0.62	 	13	0.89	 	989	67.6	 	1	0.07	 	341	23.31	 	58	3.96	 	0	0	 	18	1.23	 	11	0.75	 	1463	98.45	 	23	1.55	 	1486	1.96
Woori Yallock		                              	4	0.22	 	14	0.77	 	29	1.59	 	9	0.49	 	15	0.82	 	12	0.66	 	855	46.93	 	2	0.11	 	775	42.54	 	76	4.17	 	0	0	 	22	1.21	 	9	0.49	 	1822	98.33	 	31	1.67	 	1853	2.44
Yarra Glen		                                 	8	0.63	 	6	0.47	 	2	0.16	 	6	0.47	 	6	0.47	 	12	0.94	 	760	59.38	 	0	0	 	379	29.61	 	70	5.47	 	0	0	 	27	2.11	 	4	0.31	 	1280	95.95	 	54	4.05	 	1334	1.76
Yarra Junction		                             	9	0.75	 	12	1	 	12	1	 	6	0.5	 	16	1.33	 	20	1.67	 	563	46.88	 	3	0.25	 	474	39.47	 	59	4.91	 	0	0	 	17	1.42	 	10	0.83	 	1201	96.7	 	41	3.3	 	1242	1.64
Special Hospitals		                          	1	1.89	 	1	1.89	 	0	0	 	0	0	 	0	0	 	1	1.89	 	29	54.72	 	1	1.89	 	18	33.96	 	2	3.77	 	0	0	 	0	0	 	0	0	 	53	100	 	0	0	 	53	0.07
Total Ordinary		                             	274	0.42	 	591	0.91	 	435	0.67	 	320	0.5	 	667	1.03	 	606	0.94	 	32596	50.46	 	75	0.12	 	24351	37.69	 	3389	5.25	 	4	0.01	 	905	1.4	 	389	0.6	 	64602	97.63	 	1570	2.37	 	66172	87.3
ABSENT		                                     	29	0.67	 	50	1.16	 	35	0.81	 	44	1.02	 	57	1.32	 	70	1.62	 	2023	46.8	 	5	0.12	 	1631	37.73	 	262	6.06	 	0	0	 	90	2.08	 	27	0.62	 	4323	98.12	 	83	1.88	 	4406	5.81
POSTAL		                                     	27	1.36	 	11	0.55	 	34	1.71	 	12	0.6	 	23	1.16	 	25	1.26	 	1055	53.04	 	3	0.15	 	659	33.13	 	94	4.73	 	1	0.05	 	40	2.01	 	5	0.25	 	1989	98.37	 	33	1.63	 	2022	2.67
PRE_POLL		                                   	8	0.28	 	24	0.84	 	21	0.74	 	16	0.56	 	32	1.12	 	39	1.37	 	1744	61.15	 	6	0.21	 	783	27.45	 	121	4.24	 	0	0	 	48	1.68	 	10	0.35	 	2852	98.45	 	45	1.55	 	2897	3.82
PROVISIONAL		                                	2	0.69	 	4	1.38	 	3	1.03	 	1	0.34	 	2	0.69	 	5	1.72	 	136	46.9	 	0	0	 	118	40.69	 	14	4.83	 	0	0	 	4	1.38	 	1	0.34	 	290	97.97	 	6	2.03	 	296	0.39
ADJUSTMENT		                                 	0		       	3		       	-1		       	0		       	-1		       	-1		       	0		       	0		       	-1		       	0		       	0		       	0		       	2		       	1		       	3		       	4	
Division Summary		                           	340	0.46	 	683	0.92	 	527	0.71	 	393	0.53	 	780	1.05	 	744	1	 	37554	50.71	 	89	0.12	 	27541	37.19	 	3880	5.24	 	5	0.01	 	1087	1.47	 	434	0.59	 	74057	97.7	 	1740	2.3	 	75797	97.04
 																																																	


Chisholm (76599)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Ashwood		                                    	17	0.62	 	19	0.69	 	16	0.58	 	14	0.51	 	12	0.43	 	25	0.91	 	1161	42.07	 	3	0.11	 	1282	46.45	 	167	6.05	 	1	0.04	 	40	1.45	 	3	0.11	 	2760	97.11	 	82	2.89	 	2842	3.84
Ashwood North		                              	5	0.62	 	3	0.37	 	4	0.5	 	3	0.37	 	4	0.5	 	4	0.5	 	405	50.44	 	1	0.12	 	331	41.22	 	32	3.99	 	0	0	 	6	0.75	 	5	0.62	 	803	97.1	 	24	2.9	 	827	1.12
Ashwood South		                              	9	1.42	 	5	0.79	 	2	0.32	 	1	0.16	 	4	0.63	 	13	2.06	 	189	29.91	 	1	0.16	 	364	57.59	 	39	6.17	 	1	0.16	 	3	0.47	 	1	0.16	 	632	96.93	 	20	3.07	 	652	0.88
Bennettswood		                               	25	0.82	 	18	0.59	 	19	0.62	 	18	0.59	 	18	0.59	 	48	1.57	 	1277	41.76	 	6	0.2	 	1433	46.86	 	168	5.49	 	0	0	 	24	0.78	 	4	0.13	 	3058	96.68	 	105	3.32	 	3163	4.27
Blackburn South		                            	22	0.71	 	69	2.21	 	22	0.71	 	23	0.74	 	41	1.31	 	37	1.19	 	1383	44.33	 	5	0.16	 	1365	43.75	 	109	3.49	 	0	0	 	38	1.22	 	6	0.19	 	3120	97.81	 	70	2.19	 	3190	4.31
Bonview		                                    	10	1.15	 	4	0.46	 	4	0.46	 	6	0.69	 	7	0.81	 	15	1.73	 	351	40.48	 	3	0.35	 	437	50.4	 	20	2.31	 	0	0	 	7	0.81	 	3	0.35	 	867	97.53	 	22	2.47	 	889	1.2
Box Hill		                                   	18	0.7	 	46	1.78	 	18	0.7	 	39	1.51	 	24	0.93	 	30	1.16	 	1042	40.36	 	2	0.08	 	1137	44.04	 	175	6.78	 	0	0	 	42	1.63	 	9	0.35	 	2582	96.96	 	81	3.04	 	2663	3.6
Box Hill Central		                           	13	0.81	 	20	1.25	 	13	0.81	 	11	0.69	 	9	0.56	 	29	1.81	 	678	42.43	 	5	0.31	 	672	42.05	 	121	7.57	 	0	0	 	22	1.38	 	5	0.31	 	1598	97.44	 	42	2.56	 	1640	2.21
Box Hill North		                             	9	0.53	 	21	1.24	 	6	0.36	 	15	0.89	 	19	1.13	 	14	0.83	 	737	43.66	 	2	0.12	 	736	43.6	 	102	6.04	 	0	0	 	22	1.3	 	5	0.3	 	1688	98.08	 	33	1.92	 	1721	2.32
Box Hill South		                             	9	0.58	 	16	1.03	 	7	0.45	 	14	0.9	 	10	0.64	 	12	0.77	 	667	42.89	 	2	0.13	 	689	44.31	 	101	6.5	 	0	0	 	25	1.61	 	3	0.19	 	1555	97.68	 	37	2.32	 	1592	2.15
Burwood Central		                            	11	0.62	 	15	0.84	 	8	0.45	 	22	1.24	 	8	0.45	 	22	1.24	 	805	45.28	 	4	0.22	 	724	40.72	 	127	7.14	 	0	0	 	24	1.35	 	8	0.45	 	1778	97.21	 	51	2.79	 	1829	2.47
Burwood Heights		                            	18	0.58	 	24	0.77	 	20	0.64	 	22	0.71	 	17	0.55	 	40	1.28	 	1320	42.35	 	6	0.19	 	1492	47.87	 	123	3.95	 	0	0	 	27	0.87	 	8	0.26	 	3117	96.86	 	101	3.14	 	3218	4.34
Chatham		                                    	12	0.53	 	23	1.01	 	18	0.79	 	19	0.83	 	35	1.53	 	29	1.27	 	1218	53.35	 	0	0	 	718	31.45	 	156	6.83	 	1	0.04	 	49	2.15	 	5	0.22	 	2283	98.36	 	38	1.64	 	2321	3.13
Eley Park		                                  	16	0.88	 	7	0.39	 	15	0.83	 	10	0.55	 	9	0.5	 	28	1.55	 	717	39.61	 	3	0.17	 	900	49.72	 	82	4.53	 	0	0	 	22	1.22	 	1	0.06	 	1810	97.16	 	53	2.84	 	1863	2.52
Elgar Park		                                 	9	0.47	 	19	0.99	 	15	0.78	 	21	1.1	 	22	1.15	 	16	0.84	 	1088	56.9	 	7	0.37	 	584	30.54	 	96	5.02	 	0	0	 	30	1.57	 	5	0.26	 	1912	98.46	 	30	1.54	 	1942	2.62
Essex Heights		                              	9	0.28	 	14	0.44	 	19	0.6	 	17	0.54	 	16	0.51	 	34	1.07	 	1677	52.99	 	2	0.06	 	1178	37.22	 	167	5.28	 	0	0	 	28	0.88	 	4	0.13	 	3165	97.56	 	79	2.44	 	3244	4.38
Forest Hill		                                	17	0.73	 	24	1.04	 	21	0.91	 	17	0.73	 	38	1.64	 	15	0.65	 	1124	48.57	 	2	0.09	 	911	39.37	 	118	5.1	 	0	0	 	24	1.04	 	3	0.13	 	2314	98.13	 	44	1.87	 	2358	3.18
Hartwell		                                   	7	0.32	 	17	0.78	 	19	0.87	 	14	0.64	 	13	0.59	 	27	1.23	 	1169	53.33	 	2	0.09	 	731	33.35	 	143	6.52	 	1	0.05	 	41	1.87	 	8	0.36	 	2192	97.34	 	60	2.66	 	2252	3.04
Highfield Park		                             	8	0.52	 	6	0.39	 	12	0.78	 	17	1.11	 	7	0.46	 	27	1.76	 	875	56.93	 	0	0	 	471	30.64	 	93	6.05	 	0	0	 	20	1.3	 	1	0.07	 	1537	96.73	 	52	3.27	 	1589	2.15
Inala Village		                              	3	0.8	 	1	0.27	 	1	0.27	 	3	0.8	 	10	2.68	 	7	1.88	 	236	63.27	 	1	0.27	 	105	28.15	 	4	1.07	 	0	0	 	2	0.54	 	0	0	 	373	96.88	 	12	3.12	 	385	0.52
Kerrimuir		                                  	10	0.38	 	8	0.3	 	9	0.34	 	16	0.6	 	24	0.9	 	29	1.09	 	1213	45.6	 	6	0.23	 	1158	43.53	 	152	5.71	 	0	0	 	23	0.86	 	12	0.45	 	2660	96.87	 	86	3.13	 	2746	3.71
Koonung Heights		                            	11	0.46	 	26	1.1	 	11	0.46	 	19	0.8	 	22	0.93	 	26	1.1	 	1168	49.26	 	1	0.04	 	891	37.58	 	156	6.58	 	0	0	 	33	1.39	 	7	0.3	 	2371	97.73	 	55	2.27	 	2426	3.28
Manooka		                                    	10	0.41	 	7	0.28	 	17	0.69	 	17	0.69	 	20	0.81	 	20	0.81	 	1045	42.39	 	5	0.2	 	1213	49.21	 	83	3.37	 	1	0.04	 	26	1.05	 	1	0.04	 	2465	96.63	 	86	3.37	 	2551	3.44
Mont Albert		                                	8	0.45	 	16	0.91	 	6	0.34	 	15	0.85	 	30	1.7	 	11	0.62	 	1043	59.13	 	2	0.11	 	499	28.29	 	106	6.01	 	0	0	 	21	1.19	 	7	0.4	 	1764	98.27	 	31	1.73	 	1795	2.42
Parkmore		                                   	14	0.51	 	32	1.17	 	18	0.66	 	19	0.69	 	24	0.87	 	40	1.46	 	1258	45.81	 	2	0.07	 	1153	41.99	 	151	5.5	 	0	0	 	32	1.17	 	3	0.11	 	2746	97.69	 	65	2.31	 	2811	3.79
Surrey Hills		                               	5	0.27	 	30	1.64	 	13	0.71	 	27	1.47	 	13	0.71	 	14	0.76	 	1061	57.88	 	4	0.22	 	485	26.46	 	131	7.15	 	0	0	 	43	2.35	 	7	0.38	 	1833	98.39	 	30	1.61	 	1863	2.52
Syndal North		                               	17	0.49	 	30	0.87	 	23	0.66	 	25	0.72	 	18	0.52	 	35	1.01	 	1823	52.6	 	5	0.14	 	1224	35.31	 	217	6.26	 	0	0	 	43	1.24	 	6	0.17	 	3466	97.36	 	94	2.64	 	3560	4.81
Tyne		                                       	11	0.77	 	21	1.46	 	6	0.42	 	7	0.49	 	17	1.18	 	16	1.11	 	689	48.01	 	3	0.21	 	573	39.93	 	80	5.57	 	0	0	 	9	0.63	 	3	0.21	 	1435	97.16	 	42	2.84	 	1477	1.99
Vermont		                                    	6	0.77	 	4	0.52	 	3	0.39	 	7	0.9	 	5	0.64	 	7	0.9	 	473	60.95	 	1	0.13	 	222	28.61	 	42	5.41	 	0	0	 	5	0.64	 	1	0.13	 	776	97.61	 	19	2.39	 	795	1.07
Wattle Park		                                	14	0.53	 	30	1.13	 	10	0.38	 	16	0.6	 	26	0.98	 	27	1.02	 	1223	46.19	 	3	0.11	 	1103	41.65	 	150	5.66	 	0	0	 	36	1.36	 	10	0.38	 	2648	97.03	 	81	2.97	 	2729	3.68
Waverley North		                             	0	0	 	5	0.5	 	7	0.69	 	2	0.2	 	9	0.89	 	13	1.29	 	481	47.62	 	2	0.2	 	405	40.1	 	66	6.53	 	0	0	 	16	1.58	 	4	0.4	 	1010	97.3	 	28	2.7	 	1038	1.4
Special Hospitals		                          	5	1.41	 	0	0	 	0	0	 	1	0.28	 	0	0	 	2	0.56	 	238	67.23	 	1	0.28	 	98	27.68	 	7	1.98	 	0	0	 	2	0.56	 	0	0	 	354	98.61	 	5	1.39	 	359	0.48
Total Ordinary		                             	358	0.57	 	580	0.93	 	382	0.61	 	477	0.76	 	531	0.85	 	712	1.14	 	29834	47.6	 	92	0.15	 	25284	40.34	 	3484	5.56	 	5	0.01	 	785	1.25	 	148	0.24	 	62672	97.42	 	1658	2.58	 	64330	86.84
ABSENT		                                     	27	0.62	 	54	1.23	 	49	1.12	 	40	0.91	 	48	1.1	 	77	1.76	 	1962	44.8	 	6	0.14	 	1657	37.84	 	298	6.81	 	0	0	 	152	3.47	 	9	0.21	 	4379	98.52	 	66	1.48	 	4445	6
POSTAL		                                     	33	1.31	 	14	0.56	 	25	1	 	8	0.32	 	41	1.63	 	28	1.11	 	1452	57.8	 	2	0.08	 	767	30.53	 	110	4.38	 	0	0	 	28	1.11	 	4	0.16	 	2512	98.43	 	40	1.57	 	2552	3.45
PRE_POLL		                                   	20	0.8	 	19	0.76	 	23	0.91	 	9	0.36	 	34	1.35	 	24	0.95	 	1359	54.06	 	5	0.2	 	844	33.57	 	119	4.73	 	0	0	 	54	2.15	 	4	0.16	 	2514	98.32	 	43	1.68	 	2557	3.45
PROVISIONAL		                                	4	2.13	 	3	1.6	 	3	1.6	 	2	1.06	 	0	0	 	3	1.6	 	80	42.55	 	0	0	 	83	44.15	 	5	2.66	 	0	0	 	5	2.66	 	0	0	 	188	96.91	 	6	3.09	 	194	0.26
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	-1		       	0		       	-2		       	-1		       	0		       	0		       	0		       	-4		       	1		       	-3	
