Senate - 1993 Election																																					
Nomination Numbers by Gender																																					
																																					
		NSW				VIC				QLD				WA				SA				TAS				ACT				NT				Total			Grand
Party	M		F		M		F		M		F		M		F		M		F		M		F		M		F		M		F		M		F		Total
AFI	2				1		1										1		1						1								5		2		7
AIP									1		1																						1		1		2
ALP	3		1		3		1		3		1		4				3		1		4				1		1		1		1		22		6		28
ASG																											2						0		2		2
ASP	3		2																														3		2		5
CAP	2								5		1		1																				8		1		9
CEG	1		2		1		1		1		1		2																				5		4		9
CIR					2																												2		0		2
CLP																													2				2		0		2
CTA	3		1		2				1		1		1		1		2				1		1										10		4		14
DEM	2		1		2		4		3		1				2		1		3		1		1		2								11		12		23
DLP					4		1																										4		1		5
EFF																	2		1														2		1		3
GA	1		1																														1		1		2
GRN	2		2																						1		1						3		3		6
GRY			2												1		2		1														2		4		6
GSA																	1		1														1		1		2
GWA													1		1																		1		1		2
HAR																					1												1		0		1
IND	5		2		8				3				2				3				1				1								23		2		25
JPI					2		2																										2		2		4
LP	2		1		4		1		5		1		5		1		3		1		3						2						22		7		29
NLP	1		2		1		2		2				3		1		1		2		1		1		1		1						10		9		19
NP	1				1				1		2		3				1		1														7		3		10
QG									2		1																						2		1		3
RPA	1		1		2								2				2																7		1		8
TG																					1		2										1		2		3
TST																					1		1										1		1		2
VGA							2																										0		2		2
OTH	13		6		3				3		2		2				2																23		8		31
Sub-Total	42		24		36		15		30		12		26		7		24		12		14		6		7		7		3		1		182		84		266
TOTAL		66				51				42				33				36				20				14				4				266			266
