Senate - 1993 Election: Western Australia																																											
First Preference Votes by Group																																											
By Polling Place																																											


Brand (80370)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Balga North		                                	43	2.25	 	5	0.26	 	104	5.44	 	3	0.16	 	1129	59.02	 	550	28.75	 	4	0.21	 	64	3.35	 	5	0.26	 	6	0.31	 	0	0	 	1913	96.28	 	74	3.72	 	1987	2.75
Ballajura		                                  	34	1.5	 	5	0.22	 	64	2.82	 	3	0.13	 	914	40.34	 	1164	51.37	 	0	0	 	68	3	 	6	0.26	 	1	0.04	 	7	0.31	 	2266	98.35	 	38	1.65	 	2304	3.19
Ballajura South		                            	40	1.05	 	15	0.39	 	114	3	 	5	0.13	 	1760	46.34	 	1749	46.05	 	1	0.03	 	102	2.69	 	6	0.16	 	5	0.13	 	1	0.03	 	3798	98.06	 	75	1.94	 	3873	5.36
Beechboro West		                             	19	2.14	 	4	0.45	 	31	3.49	 	0	0	 	417	47.01	 	381	42.95	 	0	0	 	29	3.27	 	2	0.23	 	3	0.34	 	1	0.11	 	887	97.69	 	21	2.31	 	908	1.26
Camboon		                                    	10	0.39	 	5	0.19	 	85	3.28	 	2	0.08	 	933	35.95	 	1477	56.92	 	2	0.08	 	69	2.66	 	6	0.23	 	2	0.08	 	4	0.15	 	2595	97.89	 	56	2.11	 	2651	3.67
Girrawheen		                                 	22	0.92	 	5	0.21	 	77	3.23	 	4	0.17	 	1460	61.22	 	730	30.61	 	2	0.08	 	71	2.98	 	9	0.38	 	2	0.08	 	3	0.13	 	2385	96.87	 	77	3.13	 	2462	3.41
Girrawheen Central		                         	1	0.27	 	0	0	 	17	4.67	 	1	0.27	 	237	65.11	 	95	26.1	 	0	0	 	12	3.3	 	1	0.27	 	0	0	 	0	0	 	364	97.07	 	11	2.93	 	375	0.52
Girrawheen East		                            	31	1.47	 	13	0.62	 	119	5.65	 	4	0.19	 	1385	65.73	 	500	23.73	 	7	0.33	 	40	1.9	 	2	0.09	 	4	0.19	 	2	0.09	 	2107	96.92	 	67	3.08	 	2174	3.01
Greenwood		                                  	40	1.03	 	18	0.46	 	213	5.47	 	3	0.08	 	1306	33.55	 	2128	54.66	 	2	0.05	 	164	4.21	 	10	0.26	 	1	0.03	 	8	0.21	 	3893	98.51	 	59	1.49	 	3952	5.47
Greenwood East		                             	11	1.84	 	2	0.33	 	22	3.67	 	0	0	 	236	39.4	 	302	50.42	 	0	0	 	26	4.34	 	0	0	 	0	0	 	0	0	 	599	98.04	 	12	1.96	 	611	0.85
Greenwood West		                             	7	0.34	 	6	0.29	 	107	5.19	 	5	0.24	 	703	34.09	 	1109	53.78	 	1	0.05	 	107	5.19	 	10	0.48	 	5	0.24	 	2	0.1	 	2062	98.47	 	32	1.53	 	2094	2.9
Hamersley		                                  	25	1.07	 	8	0.34	 	77	3.31	 	3	0.13	 	771	33.1	 	1269	54.49	 	5	0.21	 	162	6.96	 	8	0.34	 	0	0	 	1	0.04	 	2329	97.98	 	48	2.02	 	2377	3.29
Hamersley East		                             	14	1.2	 	4	0.34	 	41	3.53	 	2	0.17	 	444	38.18	 	617	53.05	 	0	0	 	37	3.18	 	0	0	 	4	0.34	 	0	0	 	1163	98.14	 	22	1.86	 	1185	1.64
Hampton		                                    	30	1.2	 	4	0.16	 	98	3.92	 	7	0.28	 	1148	45.86	 	1113	44.47	 	3	0.12	 	88	3.52	 	9	0.36	 	0	0	 	3	0.12	 	2503	97.28	 	70	2.72	 	2573	3.56
Hampton Park		                               	44	1.63	 	11	0.41	 	81	3	 	5	0.19	 	1140	42.24	 	1283	47.54	 	4	0.15	 	111	4.11	 	12	0.44	 	3	0.11	 	5	0.19	 	2699	97.12	 	80	2.88	 	2779	3.85
Kingsley		                                   	29	0.81	 	7	0.2	 	143	4	 	2	0.06	 	1238	34.64	 	1990	55.68	 	1	0.03	 	152	4.25	 	7	0.2	 	4	0.11	 	1	0.03	 	3574	98.76	 	45	1.24	 	3619	5.01
Kingsley East		                              	12	0.87	 	4	0.29	 	53	3.83	 	0	0	 	437	31.58	 	807	58.31	 	0	0	 	65	4.7	 	2	0.14	 	0	0	 	4	0.29	 	1384	99.21	 	11	0.79	 	1395	1.93
Kingsley South		                             	23	0.89	 	4	0.15	 	94	3.63	 	2	0.08	 	825	31.9	 	1531	59.2	 	0	0	 	100	3.87	 	5	0.19	 	1	0.04	 	1	0.04	 	2586	98.93	 	28	1.07	 	2614	3.62
Koondoola		                                  	26	1.1	 	8	0.34	 	96	4.05	 	7	0.29	 	1458	61.44	 	702	29.58	 	4	0.17	 	61	2.57	 	8	0.34	 	1	0.04	 	2	0.08	 	2373	96.7	 	81	3.3	 	2454	3.4
Marangaroo		                                 	26	1.26	 	6	0.29	 	77	3.72	 	6	0.29	 	1001	48.33	 	896	43.26	 	1	0.05	 	46	2.22	 	10	0.48	 	1	0.05	 	1	0.05	 	2071	96.37	 	78	3.63	 	2149	2.98
Marangaroo Central		                         	21	1.14	 	4	0.22	 	55	2.99	 	0	0	 	960	52.17	 	698	37.93	 	3	0.16	 	90	4.89	 	5	0.27	 	2	0.11	 	2	0.11	 	1840	97.98	 	38	2.02	 	1878	2.6
Morley Central		                             	15	0.83	 	4	0.22	 	67	3.72	 	4	0.22	 	754	41.91	 	885	49.19	 	2	0.11	 	56	3.11	 	9	0.5	 	1	0.06	 	2	0.11	 	1799	97.09	 	54	2.91	 	1853	2.57
Morley North		                               	23	1.48	 	6	0.39	 	67	4.33	 	2	0.13	 	627	40.48	 	732	47.26	 	1	0.06	 	75	4.84	 	13	0.84	 	2	0.13	 	1	0.06	 	1549	98.73	 	20	1.27	 	1569	2.17
Noranda		                                    	37	1.66	 	7	0.31	 	71	3.19	 	1	0.04	 	873	39.27	 	1165	52.41	 	2	0.09	 	60	2.7	 	4	0.18	 	1	0.04	 	2	0.09	 	2223	98.02	 	45	1.98	 	2268	3.14
Noranda West		                               	19	0.87	 	7	0.32	 	77	3.54	 	2	0.09	 	705	32.44	 	1269	58.4	 	4	0.18	 	80	3.68	 	7	0.32	 	3	0.14	 	0	0	 	2173	97.62	 	53	2.38	 	2226	3.08
Perth (Cowan)		                              	2	1.74	 	1	0.87	 	4	3.48	 	0	0	 	57	49.57	 	46	40	 	0	0	 	5	4.35	 	0	0	 	0	0	 	0	0	 	115	96.64	 	4	3.36	 	119	0.16
Warwick		                                    	28	1.11	 	6	0.24	 	109	4.31	 	2	0.08	 	857	33.91	 	1408	55.72	 	3	0.12	 	103	4.08	 	6	0.24	 	1	0.04	 	4	0.16	 	2527	98.48	 	39	1.52	 	2566	3.55
Woodvale		                                   	6	0.53	 	3	0.27	 	39	3.48	 	0	0	 	381	33.96	 	632	56.33	 	0	0	 	56	4.99	 	4	0.36	 	0	0	 	1	0.09	 	1122	98.16	 	21	1.84	 	1143	1.58
Woodvale North		                             	12	0.52	 	3	0.13	 	77	3.32	 	2	0.09	 	810	34.91	 	1333	57.46	 	0	0	 	77	3.32	 	4	0.17	 	2	0.09	 	0	0	 	2320	98.85	 	27	1.15	 	2347	3.25
Special Hospitals		                          	1	0.61	 	0	0	 	0	0	 	0	0	 	48	29.27	 	107	65.24	 	0	0	 	3	1.83	 	5	3.05	 	0	0	 	0	0	 	164	98.2	 	3	1.8	 	167	0.23
Total Ordinary		                             	697	1.11	 	183	0.29	 	2418	3.85	 	90	0.14	 	26707	42.52	 	30050	47.85	 	57	0.09	 	2302	3.67	 	185	0.29	 	55	0.09	 	62	0.1	 	62806	97.86	 	1371	2.14	 	64177	88.85
ABSENT		                                     	58	1.16	 	17	0.34	 	319	6.38	 	5	0.1	 	2134	42.71	 	2240	44.83	 	0	0	 	186	3.72	 	29	0.58	 	5	0.1	 	4	0.08	 	4997	98.23	 	90	1.77	 	5087	7.04
POSTAL		                                     	13	1.08	 	5	0.42	 	40	3.33	 	6	0.5	 	446	37.17	 	623	51.92	 	1	0.08	 	55	4.58	 	7	0.58	 	2	0.17	 	2	0.17	 	1200	99.26	 	9	0.74	 	1209	1.67
PRE_POLL		                                   	9	0.63	 	6	0.42	 	71	4.96	 	3	0.21	 	515	35.99	 	747	52.2	 	2	0.14	 	69	4.82	 	6	0.42	 	2	0.14	 	1	0.07	 	1431	99.1	 	13	0.9	 	1444	2
PROVISIONAL		                                	5	1.69	 	0	0	 	14	4.75	 	0	0	 	163	55.25	 	106	35.93	 	0	0	 	7	2.37	 	0	0	 	0	0	 	0	0	 	295	94.86	 	16	5.14	 	311	0.43
ADJUSTMENT		                                 	-1		       	0		       	0		       	0		       	5		       	6		       	0		       	0		       	0		       	9		       	0		       	19		       	-20		       	-1	
Division Summary		                           	781	1.1	 	211	0.3	 	2862	4.05	 	104	0.15	 	29970	42.36	 	33772	47.74	 	60	0.08	 	2619	3.7	 	227	0.32	 	73	0.1	 	69	0.1	 	70748	97.95	 	1479	2.05	 	72227	96.93
 																																											


Curtin (73700)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
City Beach		                                 	15	0.68	 	9	0.41	 	132	6.01	 	2	0.09	 	316	14.39	 	1603	73	 	2	0.09	 	111	5.05	 	5	0.23	 	1	0.05	 	0	0	 	2196	98.52	 	33	1.48	 	2229	3.14
City Beach North		                           	18	0.73	 	2	0.08	 	133	5.42	 	0	0	 	310	12.64	 	1891	77.09	 	4	0.16	 	86	3.51	 	6	0.24	 	2	0.08	 	1	0.04	 	2453	99.03	 	24	0.97	 	2477	3.49
Claremont		                                  	17	0.63	 	17	0.63	 	243	9.07	 	4	0.15	 	398	14.85	 	1848	68.96	 	2	0.07	 	108	4.03	 	37	1.38	 	1	0.04	 	5	0.19	 	2680	98.86	 	31	1.14	 	2711	3.82
Claremont East		                             	6	0.72	 	7	0.83	 	112	13.35	 	2	0.24	 	143	17.04	 	499	59.48	 	1	0.12	 	60	7.15	 	8	0.95	 	0	0	 	1	0.12	 	839	98.94	 	9	1.06	 	848	1.2
Cottesloe		                                  	15	0.57	 	35	1.32	 	291	10.98	 	7	0.26	 	435	16.41	 	1730	65.26	 	0	0	 	103	3.89	 	27	1.02	 	3	0.11	 	5	0.19	 	2651	98.62	 	37	1.38	 	2688	3.79
Cottesloe East		                             	9	0.44	 	23	1.13	 	216	10.61	 	4	0.2	 	328	16.11	 	1365	67.04	 	0	0	 	74	3.63	 	11	0.54	 	5	0.25	 	1	0.05	 	2036	98.83	 	24	1.17	 	2060	2.91
Cottesloe South		                            	3	0.25	 	17	1.44	 	98	8.31	 	1	0.08	 	156	13.22	 	870	73.73	 	1	0.08	 	23	1.95	 	9	0.76	 	0	0	 	2	0.17	 	1180	98.33	 	20	1.67	 	1200	1.69
Dalkeith		                                   	9	0.35	 	20	0.77	 	152	5.87	 	3	0.12	 	212	8.19	 	2109	81.49	 	0	0	 	56	2.16	 	21	0.81	 	1	0.04	 	5	0.19	 	2588	98.82	 	31	1.18	 	2619	3.69
Floreat		                                    	4	0.2	 	10	0.5	 	122	6.1	 	2	0.1	 	384	19.2	 	1400	70	 	0	0	 	72	3.6	 	5	0.25	 	1	0.05	 	0	0	 	2000	99.21	 	16	0.79	 	2016	2.84
Floreat East		                               	15	0.83	 	5	0.28	 	115	6.39	 	2	0.11	 	368	20.43	 	1200	66.63	 	1	0.06	 	77	4.28	 	14	0.78	 	0	0	 	4	0.22	 	1801	98.15	 	34	1.85	 	1835	2.59
Floreat North		                              	3	0.28	 	2	0.19	 	48	4.52	 	4	0.38	 	196	18.46	 	743	69.96	 	1	0.09	 	53	4.99	 	10	0.94	 	2	0.19	 	0	0	 	1062	99.07	 	10	0.93	 	1072	1.51
Graylands		                                  	5	0.21	 	15	0.64	 	175	7.47	 	5	0.21	 	583	24.88	 	1393	59.45	 	3	0.13	 	130	5.55	 	25	1.07	 	3	0.13	 	6	0.26	 	2343	97.99	 	48	2.01	 	2391	3.37
Jolimont		                                   	9	0.75	 	6	0.5	 	112	9.39	 	3	0.25	 	348	29.17	 	643	53.9	 	0	0	 	60	5.03	 	11	0.92	 	1	0.08	 	0	0	 	1193	98.11	 	23	1.89	 	1216	1.72
Joondanna		                                  	24	1.36	 	3	0.17	 	111	6.27	 	0	0	 	736	41.58	 	824	46.55	 	3	0.17	 	60	3.39	 	8	0.45	 	0	0	 	1	0.06	 	1770	96.67	 	61	3.33	 	1831	2.58
King Edward Memorial Hospital		              	3	1.28	 	2	0.85	 	23	9.83	 	1	0.43	 	82	35.04	 	115	49.15	 	0	0	 	5	2.14	 	3	1.28	 	0	0	 	0	0	 	234	98.73	 	3	1.27	 	237	0.33
Leederville		                                	12	1.03	 	11	0.94	 	130	11.11	 	5	0.43	 	482	41.2	 	474	40.51	 	3	0.26	 	48	4.1	 	2	0.17	 	2	0.17	 	1	0.09	 	1170	96.14	 	47	3.86	 	1217	1.72
Leederville North		                          	14	1.25	 	4	0.36	 	99	8.86	 	6	0.54	 	492	44.01	 	457	40.88	 	0	0	 	39	3.49	 	3	0.27	 	2	0.18	 	2	0.18	 	1118	95.23	 	56	4.77	 	1174	1.66
Leederville West		                           	10	0.58	 	25	1.45	 	178	10.32	 	2	0.12	 	551	31.96	 	860	49.88	 	3	0.17	 	82	4.76	 	9	0.52	 	1	0.06	 	3	0.17	 	1724	98.07	 	34	1.93	 	1758	2.48
Mosman Park		                                	31	1.08	 	25	0.87	 	279	9.76	 	2	0.07	 	855	29.9	 	1501	52.48	 	2	0.07	 	136	4.76	 	25	0.87	 	3	0.1	 	1	0.03	 	2860	97.88	 	62	2.12	 	2922	4.12
Mosman Park South		                          	3	0.88	 	2	0.59	 	20	5.87	 	1	0.29	 	96	28.15	 	206	60.41	 	1	0.29	 	10	2.93	 	0	0	 	2	0.59	 	0	0	 	341	97.71	 	8	2.29	 	349	0.49
Mount Hawthorn		                             	13	0.83	 	3	0.19	 	151	9.68	 	6	0.38	 	685	43.91	 	629	40.32	 	1	0.06	 	64	4.1	 	6	0.38	 	1	0.06	 	1	0.06	 	1560	95.65	 	71	4.35	 	1631	2.3
Mount Hawthorn East		                        	22	1.62	 	2	0.15	 	117	8.6	 	2	0.15	 	529	38.9	 	609	44.78	 	4	0.29	 	63	4.63	 	6	0.44	 	1	0.07	 	5	0.37	 	1360	96.59	 	48	3.41	 	1408	1.99
Mount Hawthorn West		                        	11	1.08	 	4	0.39	 	87	8.58	 	1	0.1	 	450	44.38	 	417	41.12	 	3	0.3	 	40	3.94	 	0	0	 	1	0.1	 	0	0	 	1014	95.3	 	50	4.7	 	1064	1.5
Nedlands Central		                           	4	0.84	 	5	1.04	 	73	15.24	 	2	0.42	 	108	22.55	 	248	51.77	 	0	0	 	37	7.72	 	0	0	 	0	0	 	2	0.42	 	479	99.38	 	3	0.62	 	482	0.68
Nedlands East		                              	4	0.23	 	22	1.25	 	164	9.33	 	4	0.23	 	250	14.23	 	1213	69.04	 	0	0	 	83	4.72	 	14	0.8	 	0	0	 	3	0.17	 	1757	98.99	 	18	1.01	 	1775	2.5
Nedlands North		                             	8	0.61	 	18	1.38	 	149	11.4	 	2	0.15	 	276	21.12	 	781	59.76	 	0	0	 	64	4.9	 	8	0.61	 	1	0.08	 	0	0	 	1307	99.09	 	12	0.91	 	1319	1.86
Nedlands South		                             	16	0.85	 	21	1.11	 	209	11.04	 	1	0.05	 	332	17.54	 	1197	63.23	 	1	0.05	 	101	5.34	 	9	0.48	 	1	0.05	 	5	0.26	 	1893	98.85	 	22	1.15	 	1915	2.7
Peppermint Grove		                           	3	0.86	 	1	0.29	 	21	6.05	 	0	0	 	35	10.09	 	276	79.54	 	0	0	 	9	2.59	 	2	0.58	 	0	0	 	0	0	 	347	99.43	 	2	0.57	 	349	0.49
Perth (Curtin)		                             	4	1.75	 	0	0	 	29	12.72	 	1	0.44	 	79	34.65	 	97	42.54	 	1	0.44	 	17	7.46	 	0	0	 	0	0	 	0	0	 	228	97.02	 	7	2.98	 	235	0.33
Shenton Park East		                          	7	0.81	 	16	1.85	 	109	12.59	 	4	0.46	 	245	28.29	 	427	49.31	 	1	0.12	 	44	5.08	 	9	1.04	 	1	0.12	 	3	0.35	 	866	99.08	 	8	0.92	 	874	1.23
Shenton Park West		                          	6	0.45	 	11	0.82	 	176	13.07	 	3	0.22	 	353	26.21	 	707	52.49	 	1	0.07	 	76	5.64	 	10	0.74	 	1	0.07	 	3	0.22	 	1347	98.25	 	24	1.75	 	1371	1.93
Sir Charles Gairdner Hospital		              	2	0.68	 	3	1.02	 	32	10.92	 	0	0	 	78	26.62	 	155	52.9	 	0	0	 	19	6.48	 	3	1.02	 	1	0.34	 	0	0	 	293	98.65	 	4	1.35	 	297	0.42
Subiaco		                                    	16	0.66	 	30	1.24	 	304	12.57	 	4	0.17	 	636	26.3	 	1260	52.11	 	1	0.04	 	147	6.08	 	10	0.41	 	2	0.08	 	8	0.33	 	2418	98.01	 	49	1.99	 	2467	3.48
Subiaco Home of Peace		                      	1	0.23	 	4	0.93	 	33	7.67	 	4	0.93	 	124	28.84	 	243	56.51	 	0	0	 	17	3.95	 	3	0.7	 	0	0	 	1	0.23	 	430	97.73	 	10	2.27	 	440	0.62
Subiaco North		                              	3	0.61	 	5	1.01	 	60	12.17	 	0	0	 	182	36.92	 	214	43.41	 	1	0.2	 	25	5.07	 	3	0.61	 	0	0	 	0	0	 	493	96.1	 	20	3.9	 	513	0.72
Sunset Hospital		                            	4	1.71	 	2	0.85	 	5	2.14	 	0	0	 	47	20.09	 	162	69.23	 	1	0.43	 	9	3.85	 	3	1.28	 	1	0.43	 	0	0	 	234	96.3	 	9	3.7	 	243	0.34
Swanbourne		                                 	6	0.34	 	12	0.69	 	189	10.81	 	1	0.06	 	374	21.4	 	1075	61.5	 	0	0	 	73	4.18	 	14	0.8	 	1	0.06	 	3	0.17	 	1748	99.04	 	17	0.96	 	1765	2.49
Wembley Central		                            	11	1.17	 	2	0.21	 	64	6.78	 	1	0.11	 	250	26.48	 	567	60.06	 	2	0.21	 	40	4.24	 	5	0.53	 	2	0.21	 	0	0	 	944	98.13	 	18	1.87	 	962	1.36
Wembley North		                              	18	0.99	 	9	0.49	 	99	5.44	 	4	0.22	 	726	39.87	 	836	45.91	 	0	0	 	110	6.04	 	16	0.88	 	2	0.11	 	1	0.05	 	1821	97.75	 	42	2.25	 	1863	2.63
Wembley South		                              	7	1.95	 	2	0.56	 	34	9.47	 	0	0	 	112	31.2	 	186	51.81	 	0	0	 	16	4.46	 	2	0.56	 	0	0	 	0	0	 	359	98.63	 	5	1.37	 	364	0.51
Wembley West		                               	26	1.14	 	8	0.35	 	183	8.03	 	4	0.18	 	634	27.83	 	1234	54.17	 	2	0.09	 	162	7.11	 	22	0.97	 	2	0.09	 	1	0.04	 	2278	98.36	 	38	1.64	 	2316	3.27
West Perth		                                 	5	0.85	 	4	0.68	 	56	9.56	 	4	0.68	 	250	42.66	 	235	40.1	 	0	0	 	28	4.78	 	3	0.51	 	0	0	 	1	0.17	 	586	97.02	 	18	2.98	 	604	0.85
West Perth Central		                         	2	0.51	 	4	1.02	 	33	8.44	 	1	0.26	 	97	24.81	 	242	61.89	 	0	0	 	9	2.3	 	0	0	 	2	0.51	 	1	0.26	 	391	98.99	 	4	1.01	 	395	0.56
Special Hospitals		                          	12	0.91	 	5	0.38	 	20	1.52	 	1	0.08	 	290	22.1	 	960	73.17	 	0	0	 	17	1.3	 	7	0.53	 	0	0	 	0	0	 	1312	96.47	 	48	3.53	 	1360	1.92
Total Ordinary		                             	436	0.73	 	433	0.73	 	5186	8.69	 	106	0.18	 	14613	24.48	 	35701	59.8	 	46	0.08	 	2663	4.46	 	394	0.66	 	50	0.08	 	76	0.13	 	59704	98.1	 	1158	1.9	 	60862	85.84
ABSENT		                                     	47	0.89	 	38	0.72	 	581	10.96	 	8	0.15	 	1475	27.84	 	2875	54.26	 	2	0.04	 	213	4.02	 	46	0.87	 	8	0.15	 	6	0.11	 	5299	98.83	 	63	1.17	 	5362	7.56
POSTAL		                                     	15	0.94	 	8	0.5	 	73	4.58	 	3	0.19	 	367	23.02	 	1043	65.43	 	4	0.25	 	59	3.7	 	18	1.13	 	0	0	 	4	0.25	 	1594	99.07	 	15	0.93	 	1609	2.27
PRE_POLL		                                   	16	0.6	 	12	0.45	 	231	8.66	 	8	0.3	 	552	20.69	 	1691	63.38	 	0	0	 	125	4.69	 	24	0.9	 	6	0.22	 	3	0.11	 	2668	99.33	 	18	0.67	 	2686	3.79
PROVISIONAL		                                	1	0.26	 	3	0.79	 	49	12.83	 	1	0.26	 	108	28.27	 	194	50.79	 	0	0	 	23	6.02	 	1	0.26	 	1	0.26	 	1	0.26	 	382	97.45	 	10	2.55	 	392	0.55
ADJUSTMENT		                                 	2		       	0		       	0		       	0		       	0		       	1		       	0		       	-7		       	0		       	0		       	0		       	-4		       	-7		       	-11	
Division Summary		                           	517	0.74	 	494	0.71	 	6120	8.79	 	126	0.18	 	17115	24.58	 	41505	59.6	 	52	0.07	 	3076	4.42	 	483	0.69	 	65	0.09	 	90	0.13	 	69643	98.23	 	1257	1.77	 	70900	96.2
 																																											


Forrest (75677)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Acton Park		                                 	1	0.68	 	0	0	 	4	2.7	 	0	0	 	15	10.14	 	113	76.35	 	0	0	 	8	5.41	 	6	4.05	 	0	0	 	1	0.68	 	148	98.67	 	2	1.33	 	150	0.2
Albany		                                     	11	1.04	 	6	0.57	 	77	7.27	 	3	0.28	 	361	34.09	 	503	47.5	 	1	0.09	 	47	4.44	 	45	4.25	 	4	0.38	 	1	0.09	 	1059	97.78	 	24	2.22	 	1083	1.47
Albany Central		                             	21	1.55	 	6	0.44	 	112	8.25	 	5	0.37	 	393	28.96	 	657	48.42	 	2	0.15	 	74	5.45	 	85	6.26	 	0	0	 	2	0.15	 	1357	97.49	 	35	2.51	 	1392	1.9
Albany Regional Hospital		                   	1	0.58	 	1	0.58	 	7	4.07	 	0	0	 	57	33.14	 	79	45.93	 	2	1.16	 	7	4.07	 	17	9.88	 	0	0	 	1	0.58	 	172	99.42	 	1	0.58	 	173	0.24
Alexandra Bridge		                           	0	0	 	0	0	 	8	7.21	 	0	0	 	9	8.11	 	88	79.28	 	0	0	 	3	2.7	 	3	2.7	 	0	0	 	0	0	 	111	99.11	 	1	0.89	 	112	0.15
Augusta		                                    	4	0.6	 	3	0.45	 	59	8.9	 	0	0	 	148	22.32	 	414	62.44	 	0	0	 	32	4.83	 	2	0.3	 	1	0.15	 	0	0	 	663	97.5	 	17	2.5	 	680	0.93
Australind		                                 	26	1.12	 	3	0.13	 	104	4.46	 	1	0.04	 	793	34.02	 	1228	52.68	 	2	0.09	 	132	5.66	 	38	1.63	 	2	0.09	 	2	0.09	 	2331	99.11	 	21	0.89	 	2352	3.2
Balingup		                                   	2	0.64	 	0	0	 	46	14.65	 	1	0.32	 	86	27.39	 	138	43.95	 	2	0.64	 	22	7.01	 	16	5.1	 	1	0.32	 	0	0	 	314	97.52	 	8	2.48	 	322	0.44
Bayonet Head		                               	15	2.33	 	1	0.16	 	22	3.42	 	0	0	 	184	28.62	 	311	48.37	 	1	0.16	 	30	4.67	 	79	12.29	 	0	0	 	0	0	 	643	98.32	 	11	1.68	 	654	0.89
Bornholm		                                   	9	2.64	 	1	0.29	 	39	11.44	 	0	0	 	58	17.01	 	167	48.97	 	2	0.59	 	14	4.11	 	48	14.08	 	0	0	 	3	0.88	 	341	98.27	 	6	1.73	 	347	0.47
Boyanup		                                    	5	0.81	 	2	0.32	 	41	6.6	 	2	0.32	 	176	28.34	 	344	55.39	 	1	0.16	 	35	5.64	 	15	2.42	 	0	0	 	0	0	 	621	97.49	 	16	2.51	 	637	0.87
Boyup Brook		                                	3	0.47	 	0	0	 	27	4.22	 	0	0	 	88	13.75	 	421	65.78	 	3	0.47	 	15	2.34	 	72	11.25	 	1	0.16	 	10	1.56	 	640	96.82	 	21	3.18	 	661	0.9
Bridgetown		                                 	28	1.79	 	3	0.19	 	146	9.34	 	2	0.13	 	391	25	 	839	53.64	 	1	0.06	 	94	6.01	 	58	3.71	 	0	0	 	2	0.13	 	1564	97.02	 	48	2.98	 	1612	2.19
Brookhampton		                               	0	0	 	0	0	 	10	7.87	 	0	0	 	11	8.66	 	84	66.14	 	0	0	 	6	4.72	 	16	12.6	 	0	0	 	0	0	 	127	98.45	 	2	1.55	 	129	0.18
Bunbury		                                    	4	0.45	 	1	0.11	 	65	7.3	 	4	0.45	 	264	29.66	 	502	56.4	 	1	0.11	 	37	4.16	 	10	1.12	 	1	0.11	 	1	0.11	 	890	97.8	 	20	2.2	 	910	1.24
Bunbury Central		                            	18	1.7	 	2	0.19	 	68	6.41	 	0	0	 	377	35.53	 	534	50.33	 	3	0.28	 	43	4.05	 	16	1.51	 	0	0	 	0	0	 	1061	97.61	 	26	2.39	 	1087	1.48
Bunbury East		                               	14	0.73	 	0	0	 	108	5.66	 	2	0.1	 	826	43.31	 	832	43.63	 	6	0.31	 	90	4.72	 	28	1.47	 	1	0.05	 	0	0	 	1907	97.59	 	47	2.41	 	1954	2.66
Bunbury Regional Hospital		                  	7	2.64	 	0	0	 	5	1.89	 	0	0	 	129	48.68	 	111	41.89	 	0	0	 	12	4.53	 	1	0.38	 	0	0	 	0	0	 	265	98.88	 	3	1.12	 	268	0.36
Bunbury St Johns Hospital		                  	6	1.95	 	0	0	 	16	5.21	 	0	0	 	86	28.01	 	175	57	 	0	0	 	20	6.51	 	3	0.98	 	0	0	 	1	0.33	 	307	98.08	 	6	1.92	 	313	0.43
Burekup		                                    	3	0.97	 	1	0.32	 	16	5.18	 	0	0	 	64	20.71	 	204	66.02	 	0	0	 	11	3.56	 	8	2.59	 	2	0.65	 	0	0	 	309	98.1	 	6	1.9	 	315	0.43
Busselton		                                  	31	0.96	 	8	0.25	 	202	6.25	 	6	0.19	 	952	29.47	 	1784	55.23	 	4	0.12	 	156	4.83	 	78	2.41	 	6	0.19	 	3	0.09	 	3230	97.29	 	90	2.71	 	3320	4.52
Busselton West		                             	24	1.17	 	5	0.24	 	99	4.84	 	1	0.05	 	544	26.59	 	1224	59.82	 	3	0.15	 	102	4.99	 	39	1.91	 	3	0.15	 	2	0.1	 	2046	98.18	 	38	1.82	 	2084	2.84
Capel		                                      	4	0.37	 	1	0.09	 	52	4.83	 	0	0	 	351	32.59	 	572	53.11	 	3	0.28	 	64	5.94	 	29	2.69	 	0	0	 	1	0.09	 	1077	97.29	 	30	2.71	 	1107	1.51
