Senate - 1993 Election: Western Australia																																											
First Preference Votes by Group																																											
By Polling Place																																											


Brand (80370)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Madora		                                     	5	1.42	 	0	0	 	18	5.11	 	1	0.28	 	124	35.23	 	183	51.99	 	0	0	 	20	5.68	 	0	0	 	0	0	 	1	0.28	 	352	99.15	 	3	0.85	 	355	0.46
Mandurah		                                   	18	0.96	 	4	0.21	 	83	4.43	 	3	0.16	 	752	40.13	 	958	51.12	 	0	0	 	42	2.24	 	12	0.64	 	0	0	 	2	0.11	 	1874	98.42	 	30	1.58	 	1904	2.47
Mandurah Central		                           	27	1.4	 	2	0.1	 	91	4.73	 	2	0.1	 	803	41.74	 	935	48.6	 	1	0.05	 	44	2.29	 	19	0.99	 	0	0	 	0	0	 	1924	97.71	 	45	2.29	 	1969	2.55
Mandurah East		                              	9	0.58	 	2	0.13	 	72	4.67	 	1	0.06	 	678	44	 	710	46.07	 	0	0	 	52	3.37	 	14	0.91	 	3	0.19	 	0	0	 	1541	98.03	 	31	1.97	 	1572	2.04
Mandurah South		                             	22	1	 	7	0.32	 	67	3.05	 	2	0.09	 	822	37.45	 	1205	54.9	 	1	0.05	 	53	2.41	 	14	0.64	 	2	0.09	 	0	0	 	2195	98.52	 	33	1.48	 	2228	2.88
Mandurah West		                              	27	0.86	 	6	0.19	 	122	3.87	 	0	0	 	1027	32.55	 	1873	59.37	 	0	0	 	78	2.47	 	18	0.57	 	2	0.06	 	2	0.06	 	3155	98.84	 	37	1.16	 	3192	4.13
Meadow Springs		                             	14	1.26	 	1	0.09	 	39	3.5	 	2	0.18	 	421	37.83	 	592	53.19	 	0	0	 	35	3.14	 	7	0.63	 	0	0	 	2	0.18	 	1113	98.58	 	16	1.42	 	1129	1.46
Medina		                                     	57	1.94	 	9	0.31	 	110	3.75	 	5	0.17	 	1829	62.36	 	795	27.11	 	2	0.07	 	113	3.85	 	7	0.24	 	2	0.07	 	4	0.14	 	2933	97.38	 	79	2.62	 	3012	3.9
North Dandalup		                             	2	0.7	 	0	0	 	18	6.27	 	0	0	 	98	34.15	 	159	55.4	 	0	0	 	5	1.74	 	5	1.74	 	0	0	 	0	0	 	287	98.97	 	3	1.03	 	290	0.38
Parmelia		                                   	20	1.11	 	8	0.44	 	60	3.32	 	3	0.17	 	1145	63.4	 	471	26.08	 	1	0.06	 	91	5.04	 	3	0.17	 	1	0.06	 	3	0.17	 	1806	97.46	 	47	2.54	 	1853	2.4
Perth (Brand)		                              	0	0	 	0	0	 	5	11.36	 	0	0	 	18	40.91	 	17	38.64	 	0	0	 	4	9.09	 	0	0	 	0	0	 	0	0	 	44	100	 	0	0	 	44	0.06
Pinjarra		                                   	12	0.81	 	2	0.14	 	51	3.46	 	1	0.07	 	563	38.2	 	773	52.44	 	0	0	 	57	3.87	 	10	0.68	 	2	0.14	 	3	0.2	 	1474	98.07	 	29	1.93	 	1503	1.95
Rockingham		                                 	58	1.41	 	9	0.22	 	169	4.11	 	5	0.12	 	2094	50.94	 	1596	38.82	 	2	0.05	 	157	3.82	 	12	0.29	 	2	0.05	 	7	0.17	 	4111	97.72	 	96	2.28	 	4207	5.45
Rockingham Beach		                           	14	0.95	 	1	0.07	 	63	4.25	 	1	0.07	 	641	43.28	 	696	47	 	0	0	 	52	3.51	 	11	0.74	 	2	0.14	 	0	0	 	1481	96.86	 	48	3.14	 	1529	1.98
Roelands		                                   	1	0.69	 	0	0	 	5	3.47	 	0	0	 	31	21.53	 	95	65.97	 	0	0	 	11	7.64	 	1	0.69	 	0	0	 	0	0	 	144	98.63	 	2	1.37	 	146	0.19
Safety Bay		                                 	70	1.73	 	12	0.3	 	179	4.41	 	2	0.05	 	1696	41.8	 	1906	46.98	 	1	0.02	 	155	3.82	 	31	0.76	 	0	0	 	5	0.12	 	4057	98.3	 	70	1.7	 	4127	5.34
Safety Bay Central		                         	47	1.56	 	7	0.23	 	79	2.62	 	4	0.13	 	1343	44.6	 	1389	46.13	 	0	0	 	116	3.85	 	18	0.6	 	4	0.13	 	4	0.13	 	3011	98.5	 	46	1.5	 	3057	3.96
Singleton		                                  	16	1.48	 	0	0	 	76	7.04	 	1	0.09	 	434	40.22	 	482	44.67	 	0	0	 	59	5.47	 	9	0.83	 	0	0	 	2	0.19	 	1079	98.54	 	16	1.46	 	1095	1.42
Waikiki		                                    	41	1.94	 	3	0.14	 	76	3.6	 	2	0.09	 	1028	48.67	 	875	41.43	 	0	0	 	79	3.74	 	5	0.24	 	3	0.14	 	0	0	 	2112	98.92	 	23	1.08	 	2135	2.76
Warnbro		                                    	42	1.4	 	7	0.23	 	179	5.96	 	2	0.07	 	1540	51.28	 	1113	37.06	 	2	0.07	 	100	3.33	 	9	0.3	 	5	0.17	 	4	0.13	 	3003	98.85	 	35	1.15	 	3038	3.93
Waroona		                                    	13	0.98	 	3	0.23	 	40	3.02	 	4	0.3	 	459	34.62	 	737	55.58	 	0	0	 	52	3.92	 	17	1.28	 	0	0	 	1	0.08	 	1326	96.93	 	42	3.07	 	1368	1.77
Wilson Park		                                	2	0.48	 	2	0.48	 	6	1.45	 	1	0.24	 	308	74.58	 	76	18.4	 	0	0	 	8	1.94	 	8	1.94	 	1	0.24	 	1	0.24	 	413	97.18	 	12	2.82	 	425	0.55
Wokalup		                                    	1	1.12	 	0	0	 	2	2.25	 	1	1.12	 	29	32.58	 	53	59.55	 	1	1.12	 	2	2.25	 	0	0	 	0	0	 	0	0	 	89	100	 	0	0	 	89	0.12
Yarloop		                                    	8	1.38	 	1	0.17	 	17	2.94	 	0	0	 	229	39.55	 	285	49.22	 	1	0.17	 	29	5.01	 	9	1.55	 	0	0	 	0	0	 	579	96.98	 	18	3.02	 	597	0.77
Yunderup		                                   	2	0.36	 	2	0.36	 	14	2.55	 	0	0	 	183	33.27	 	328	59.64	 	0	0	 	18	3.27	 	3	0.55	 	0	0	 	0	0	 	550	98.74	 	7	1.26	 	557	0.72
Yunderup North		                             	0	0	 	1	0.54	 	5	2.69	 	0	0	 	65	34.95	 	106	56.99	 	0	0	 	8	4.3	 	1	0.54	 	0	0	 	0	0	 	186	98.94	 	2	1.06	 	188	0.24
Special Hospitals		                          	1	0.19	 	0	0	 	5	0.97	 	1	0.19	 	232	44.87	 	268	51.84	 	2	0.39	 	2	0.39	 	6	1.16	 	0	0	 	0	0	 	517	97.18	 	15	2.82	 	532	0.69
Total Ordinary		                             	870	1.29	 	143	0.21	 	2671	3.97	 	72	0.11	 	31847	47.35	 	28518	42.4	 	31	0.05	 	2348	3.49	 	650	0.97	 	53	0.08	 	55	0.08	 	67258	98.06	 	1329	1.94	 	68587	88.81
ABSENT		                                     	59	1.25	 	21	0.44	 	302	6.37	 	9	0.19	 	2072	43.73	 	2007	42.36	 	6	0.13	 	182	3.84	 	68	1.44	 	4	0.08	 	8	0.17	 	4738	98.46	 	74	1.54	 	4812	6.23
