	   		 A Republican Party of Australia												 B The Green Party South Australia												 C National Party of Australia (S.A.) Inc.												 D Call to Australia (Fred Nile) Group												 E Australian Labor Party (South Australian Branch)																		F - Unendorsed Group												 G Australian Democrats																		 H Natural Law Party															 I Independent EFF															 J Grey Power															 K Australians Against Further Immigration												 L Liberal Party of Australia - (S.A. Division)																		Ungrouped																			
    			TICKET VOTES			NASRULLAH			HILL			Group Total			TICKET VOTES			FRICKER			WEISSMANN			Group Total			TICKET VOTES			MCCALLUM			BRADSHAW			Group Total			TICKET VOTES			RODWAY			SQUIRRELL			Group Total			TICKET VOTES			# BOLKUS			# FOREMAN			MAGUIRE			MCDONALD			Group Total			TICKET VOTES			LIEW			SCHIRRIPA			Group Total			TICKET VOTES			# LEES			SWIFT			STOTT DESPOJA			TICKLE			Group Total			TICKET VOTES			WELLS			MARTIN			MORRIS			Group Total			TICKET VOTES			DWYER			GIDDINGS			GIDDINGS			Group Total			TICKET VOTES			HOLDER			PRESTON			BOTTAM			Group Total			TICKET VOTES			MOORE			SMITH			Group Total			TICKET VOTES			# VANSTONE			# MINCHIN			# FERGUSON			GUPTA			Group Total			RICE			BROOM			SMITH			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Bilal			Peter									Ally			Gerhard									Nola			Michael									David			David									Nick			Dominic			Graham			Rosalie Ann									Dr Alex			Douglas									Meg			Stephen			Natasha			Patricia									Dr Geoff			Anne			Dulcie									David			Douglas			Vanessa									Jack			Betty			Glen									Evonne			Joe									Amanda			Nick			Alan			Satish						Mark			Bernard William			E.C. (Ean)													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Blair Athol North		                          	10	0.66	 	5	0.33	 	1	0.07	 	16	1.05	 	8	0.52	 	8	0.52	 	0	0	 	16	1.05	 	5	0.33	 	0	0	 	0	0	 	5	0.33	 	11	0.72	 	0	0	 	0	0	 	11	0.72	 	820	53.77	 	16	1.05	 	0	0	 	3	0.2	 	1	0.07	 	840	55.08	 	7	0.46	 	0	0	 	0	0	 	7	0.46	 	152	9.97	 	20	1.31	 	0	0	 	1	0.07	 	0	0	 	173	11.34	 	12	0.79	 	3	0.2	 	0	0	 	0	0	 	15	0.98	 	10	0.66	 	1	0.07	 	0	0	 	0	0	 	11	0.72	 	15	0.98	 	0	0	 	0	0	 	0	0	 	15	0.98	 	8	0.52	 	1	0.07	 	0	0	 	9	0.59	 	394	25.84	 	12	0.79	 	0	0	 	0	0	 	0	0	 	406	26.62	 	1	0.07	 	0	0	 	0	0	 	1	0.07	 	1525	95.85	 	66	4.15	 	1591	1.98
Broadview		                                  	4	0.28	 	1	0.07	 	0	0	 	5	0.35	 	20	1.39	 	4	0.28	 	0	0	 	24	1.67	 	2	0.14	 	0	0	 	0	0	 	2	0.14	 	5	0.35	 	3	0.21	 	0	0	 	8	0.56	 	477	33.1	 	14	0.97	 	0	0	 	0	0	 	1	0.07	 	492	34.14	 	4	0.28	 	0	0	 	0	0	 	4	0.28	 	113	7.84	 	38	2.64	 	0	0	 	2	0.14	 	0	0	 	153	10.62	 	13	0.9	 	3	0.21	 	0	0	 	0	0	 	16	1.11	 	5	0.35	 	0	0	 	0	0	 	0	0	 	5	0.35	 	3	0.21	 	1	0.07	 	0	0	 	0	0	 	4	0.28	 	2	0.14	 	0	0	 	1	0.07	 	3	0.21	 	711	49.34	 	13	0.9	 	0	0	 	0	0	 	0	0	 	724	50.24	 	0	0	 	1	0.07	 	0	0	 	1	0.07	 	1441	99.11	 	13	0.89	 	1454	1.81
Brompton		                                   	9	0.84	 	2	0.19	 	0	0	 	11	1.02	 	12	1.12	 	13	1.21	 	0	0	 	25	2.33	 	2	0.19	 	1	0.09	 	0	0	 	3	0.28	 	5	0.47	 	0	0	 	0	0	 	5	0.47	 	553	51.44	 	20	1.86	 	2	0.19	 	0	0	 	2	0.19	 	577	53.67	 	5	0.47	 	0	0	 	0	0	 	5	0.47	 	100	9.3	 	32	2.98	 	0	0	 	2	0.19	 	0	0	 	134	12.47	 	7	0.65	 	4	0.37	 	1	0.09	 	0	0	 	12	1.12	 	1	0.09	 	0	0	 	0	0	 	0	0	 	1	0.09	 	3	0.28	 	0	0	 	0	0	 	0	0	 	3	0.28	 	2	0.19	 	0	0	 	0	0	 	2	0.19	 	291	27.07	 	5	0.47	 	0	0	 	0	0	 	1	0.09	 	297	27.63	 	0	0	 	0	0	 	0	0	 	0	0	 	1075	96.07	 	44	3.93	 	1119	1.39
Clarence Park		                              	3	0.24	 	2	0.16	 	0	0	 	5	0.4	 	10	0.8	 	6	0.48	 	0	0	 	16	1.28	 	1	0.08	 	1	0.08	 	0	0	 	2	0.16	 	10	0.8	 	2	0.16	 	0	0	 	12	0.96	 	374	29.82	 	19	1.52	 	0	0	 	1	0.08	 	0	0	 	394	31.42	 	1	0.08	 	1	0.08	 	0	0	 	2	0.16	 	117	9.33	 	33	2.63	 	1	0.08	 	3	0.24	 	0	0	 	154	12.28	 	7	0.56	 	3	0.24	 	1	0.08	 	0	0	 	11	0.88	 	0	0	 	1	0.08	 	0	0	 	0	0	 	1	0.08	 	2	0.16	 	3	0.24	 	0	0	 	0	0	 	5	0.4	 	1	0.08	 	0	0	 	0	0	 	1	0.08	 	632	50.4	 	17	1.36	 	0	0	 	1	0.08	 	0	0	 	650	51.83	 	0	0	 	0	0	 	1	0.08	 	1	0.08	 	1254	97.89	 	27	2.11	 	1281	1.59
Clarence Park West		                         	7	0.32	 	1	0.05	 	0	0	 	8	0.37	 	28	1.3	 	19	0.88	 	1	0.05	 	48	2.22	 	0	0	 	0	0	 	0	0	 	0	0	 	6	0.28	 	6	0.28	 	0	0	 	12	0.56	 	715	33.09	 	45	2.08	 	0	0	 	5	0.23	 	2	0.09	 	767	35.49	 	1	0.05	 	0	0	 	0	0	 	1	0.05	 	234	10.83	 	70	3.24	 	1	0.05	 	5	0.23	 	0	0	 	310	14.35	 	23	1.06	 	6	0.28	 	0	0	 	0	0	 	29	1.34	 	5	0.23	 	1	0.05	 	0	0	 	0	0	 	6	0.28	 	8	0.37	 	3	0.14	 	0	0	 	0	0	 	11	0.51	 	6	0.28	 	1	0.05	 	1	0.05	 	8	0.37	 	942	43.59	 	16	0.74	 	1	0.05	 	1	0.05	 	1	0.05	 	961	44.47	 	0	0	 	0	0	 	0	0	 	0	0	 	2161	97.25	 	61	2.75	 	2222	2.76
Collinswood		                                	1	0.1	 	0	0	 	0	0	 	1	0.1	 	2	0.21	 	6	0.62	 	0	0	 	8	0.82	 	0	0	 	0	0	 	0	0	 	0	0	 	3	0.31	 	4	0.41	 	0	0	 	7	0.72	 	285	29.23	 	12	1.23	 	0	0	 	0	0	 	2	0.21	 	299	30.67	 	0	0	 	0	0	 	0	0	 	0	0	 	84	8.62	 	18	1.85	 	0	0	 	1	0.1	 	0	0	 	103	10.56	 	9	0.92	 	3	0.31	 	0	0	 	0	0	 	12	1.23	 	1	0.1	 	0	0	 	0	0	 	0	0	 	1	0.1	 	4	0.41	 	3	0.31	 	2	0.21	 	0	0	 	9	0.92	 	6	0.62	 	2	0.21	 	0	0	 	8	0.82	 	508	52.1	 	18	1.85	 	0	0	 	1	0.1	 	0	0	 	527	54.05	 	0	0	 	0	0	 	0	0	 	0	0	 	975	97.79	 	22	2.21	 	997	1.24
Croydon		                                    	9	0.68	 	3	0.23	 	0	0	 	12	0.91	 	17	1.29	 	22	1.66	 	0	0	 	39	2.95	 	3	0.23	 	0	0	 	0	0	 	3	0.23	 	11	0.83	 	0	0	 	0	0	 	11	0.83	 	747	56.51	 	21	1.59	 	1	0.08	 	1	0.08	 	6	0.45	 	776	58.7	 	4	0.3	 	0	0	 	0	0	 	4	0.3	 	87	6.58	 	26	1.97	 	1	0.08	 	0	0	 	0	0	 	114	8.62	 	7	0.53	 	0	0	 	0	0	 	0	0	 	7	0.53	 	6	0.45	 	0	0	 	0	0	 	1	0.08	 	7	0.53	 	5	0.38	 	0	0	 	0	0	 	0	0	 	5	0.38	 	3	0.23	 	0	0	 	0	0	 	3	0.23	 	332	25.11	 	6	0.45	 	2	0.15	 	1	0.08	 	0	0	 	341	25.79	 	0	0	 	0	0	 	0	0	 	0	0	 	1322	97.21	 	38	2.79	 	1360	1.69
Croydon Park		                               	11	0.72	 	2	0.13	 	2	0.13	 	15	0.98	 	19	1.24	 	0	0	 	0	0	 	19	1.24	 	3	0.2	 	0	0	 	0	0	 	3	0.2	 	10	0.65	 	0	0	 	0	0	 	10	0.65	 	789	51.57	 	15	0.98	 	2	0.13	 	2	0.13	 	4	0.26	 	812	53.07	 	22	1.44	 	0	0	 	0	0	 	22	1.44	 	82	5.36	 	10	0.65	 	1	0.07	 	0	0	 	0	0	 	93	6.08	 	8	0.52	 	0	0	 	0	0	 	0	0	 	8	0.52	 	8	0.52	 	0	0	 	0	0	 	0	0	 	8	0.52	 	11	0.72	 	1	0.07	 	1	0.07	 	0	0	 	13	0.85	 	3	0.2	 	0	0	 	0	0	 	3	0.2	 	513	33.53	 	11	0.72	 	0	0	 	0	0	 	0	0	 	524	34.25	 	0	0	 	0	0	 	0	0	 	0	0	 	1530	94.74	 	85	5.26	 	1615	2.01
Croydon Park West (Adelaide)		               	7	1.02	 	1	0.15	 	0	0	 	8	1.16	 	5	0.73	 	1	0.15	 	0	0	 	6	0.87	 	1	0.15	 	0	0	 	0	0	 	1	0.15	 	5	0.73	 	0	0	 	0	0	 	5	0.73	 	364	52.83	 	8	1.16	 	0	0	 	1	0.15	 	0	0	 	373	54.14	 	3	0.44	 	0	0	 	0	0	 	3	0.44	 	50	7.26	 	3	0.44	 	0	0	 	0	0	 	1	0.15	 	54	7.84	 	1	0.15	 	1	0.15	 	0	0	 	0	0	 	2	0.29	 	0	0	 	1	0.15	 	0	0	 	0	0	 	1	0.15	 	5	0.73	 	0	0	 	0	0	 	0	0	 	5	0.73	 	1	0.15	 	0	0	 	0	0	 	1	0.15	 	217	31.49	 	11	1.6	 	2	0.29	 	0	0	 	0	0	 	230	33.38	 	0	0	 	0	0	 	0	0	 	0	0	 	689	95.03	 	36	4.97	 	725	0.9
Enfield		                                    	3	0.21	 	4	0.28	 	1	0.07	 	8	0.56	 	9	0.64	 	3	0.21	 	0	0	 	12	0.85	 	3	0.21	 	0	0	 	0	0	 	3	0.21	 	12	0.85	 	0	0	 	0	0	 	12	0.85	 	650	45.87	 	24	1.69	 	1	0.07	 	0	0	 	2	0.14	 	677	47.78	 	2	0.14	 	1	0.07	 	0	0	 	3	0.21	 	121	8.54	 	16	1.13	 	0	0	 	1	0.07	 	0	0	 	138	9.74	 	12	0.85	 	2	0.14	 	0	0	 	0	0	 	14	0.99	 	7	0.49	 	0	0	 	0	0	 	0	0	 	7	0.49	 	12	0.85	 	1	0.07	 	0	0	 	0	0	 	13	0.92	 	6	0.42	 	1	0.07	 	0	0	 	7	0.49	 	514	36.27	 	7	0.49	 	1	0.07	 	1	0.07	 	0	0	 	523	36.91	 	0	0	 	0	0	 	0	0	 	0	0	 	1417	96.53	 	51	3.47	 	1468	1.82
