Senate - 1993 Election: Tasmania																																					
First Preference Votes by Group																																					
By Polling Place																																					


Bass (66119)																																					

	   		Group Total HAR			Group Total ALP			Group Total TST			Group Total TG			Group Total CTA			Group Total NLP			Group Total DEM			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Ulverstone South		                           	226	11.63	 	782	40.25	 	23	1.18	 	66	3.4	 	19	0.98	 	2	0.1	 	31	1.6	 	792	40.76	 	2	0.1	 	1943	97.1	 	58	2.9	 	2001	3.21
Ulverstone West		                            	235	11.23	 	875	41.83	 	15	0.72	 	71	3.39	 	14	0.67	 	1	0.05	 	29	1.39	 	850	40.63	 	2	0.1	 	2092	96.41	 	78	3.59	 	2170	3.48
Upper Burnie		                               	165	10.13	 	787	48.31	 	10	0.61	 	45	2.76	 	10	0.61	 	0	0	 	18	1.1	 	593	36.4	 	1	0.06	 	1629	97.2	 	47	2.8	 	1676	2.69
Valley Road		                                	196	12.56	 	616	39.46	 	8	0.51	 	36	2.31	 	8	0.51	 	1	0.06	 	19	1.22	 	677	43.37	 	0	0	 	1561	96.72	 	53	3.28	 	1614	2.59
Waratah		                                    	19	10.5	 	101	55.8	 	1	0.55	 	6	3.31	 	2	1.1	 	1	0.55	 	1	0.55	 	50	27.62	 	0	0	 	181	96.28	 	7	3.72	 	188	0.3
West Wynyard		                               	90	9.28	 	433	44.64	 	13	1.34	 	31	3.2	 	3	0.31	 	0	0	 	18	1.86	 	382	39.38	 	0	0	 	970	97	 	30	3	 	1000	1.6
Wivenhoe		                                   	29	8.55	 	154	45.43	 	4	1.18	 	14	4.13	 	0	0	 	0	0	 	6	1.77	 	131	38.64	 	1	0.29	 	339	97.69	 	8	2.31	 	347	0.56
Wynyard		                                    	224	9.2	 	912	37.47	 	21	0.86	 	119	4.89	 	34	1.4	 	1	0.04	 	55	2.26	 	1067	43.84	 	1	0.04	 	2434	97.05	 	74	2.95	 	2508	4.03
Wynyard East		                               	51	8.81	 	289	49.91	 	6	1.04	 	12	2.07	 	4	0.69	 	1	0.17	 	9	1.55	 	206	35.58	 	1	0.17	 	579	96.34	 	22	3.66	 	601	0.96
Yolla		                                      	39	8.78	 	154	34.68	 	1	0.23	 	29	6.53	 	3	0.68	 	1	0.23	 	6	1.35	 	211	47.52	 	0	0	 	444	97.16	 	13	2.84	 	457	0.73
Special Hospitals		                          	53	11.57	 	144	31.44	 	11	2.4	 	5	1.09	 	4	0.87	 	1	0.22	 	3	0.66	 	237	51.75	 	0	0	 	458	93.85	 	30	6.15	 	488	0.78
Total Ordinary		                             	5608	10.2	 	22222	40.43	 	454	0.83	 	2198	4	 	334	0.61	 	47	0.09	 	801	1.46	 	23246	42.3	 	50	0.09	 	54960	97.28	 	1536	2.72	 	56496	90.67
ABSENT		                                     	269	9.82	 	1034	37.75	 	29	1.06	 	197	7.19	 	9	0.33	 	3	0.11	 	52	1.9	 	1144	41.77	 	2	0.07	 	2739	98.45	 	43	1.55	 	2782	4.46
POSTAL		                                     	135	7.94	 	635	37.33	 	7	0.41	 	73	4.29	 	20	1.18	 	3	0.18	 	23	1.35	 	802	47.15	 	3	0.18	 	1701	98.72	 	22	1.28	 	1723	2.77
PRE_POLL		                                   	102	8.37	 	459	37.65	 	8	0.66	 	89	7.3	 	8	0.66	 	2	0.16	 	24	1.97	 	525	43.07	 	2	0.16	 	1219	98.62	 	17	1.38	 	1236	1.98
PROVISIONAL		                                	4	6.06	 	34	51.52	 	0	0	 	2	3.03	 	1	1.52	 	0	0	 	3	4.55	 	22	33.33	 	0	0	 	66	94.29	 	4	5.71	 	70	0.11
ADJUSTMENT		                                 	-2		       	-1		       	0		       	0		       	0		       	0		       	0		       	1		       	0		       	-2		       	2		       	0	
Division Summary		                           	6116	10.08	 	24383	40.18	 	498	0.82	 	2559	4.22	 	372	0.61	 	55	0.09	 	903	1.49	 	25740	42.42	 	57	0.09	 	60683	97.39	 	1624	2.61	 	62307	96.81
 																																					


Denison (68599)																																					

	   		Group Total HAR			Group Total ALP			Group Total TST			Group Total TG			Group Total CTA			Group Total NLP			Group Total DEM			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Abbotsfield		                                	194	12.05	 	1021	63.42	 	11	0.68	 	59	3.66	 	3	0.19	 	1	0.06	 	20	1.24	 	301	18.7	 	0	0	 	1610	97.52	 	41	2.48	 	1651	2.51
Albuera		                                    	31	7.35	 	163	38.63	 	3	0.71	 	95	22.51	 	0	0	 	0	0	 	10	2.37	 	119	28.2	 	1	0.24	 	422	99.29	 	3	0.71	 	425	0.65
Austins Ferry		                              	226	15.29	 	762	51.56	 	5	0.34	 	64	4.33	 	1	0.07	 	3	0.2	 	9	0.61	 	408	27.6	 	0	0	 	1478	97.49	 	38	2.51	 	1516	2.3
Battery Point		                              	78	7.14	 	347	31.75	 	6	0.55	 	230	21.04	 	1	0.09	 	4	0.37	 	32	2.93	 	393	35.96	 	2	0.18	 	1093	98.03	 	22	1.97	 	1115	1.69
Bowen Road		                                 	275	12.99	 	1176	55.55	 	8	0.38	 	112	5.29	 	6	0.28	 	6	0.28	 	27	1.28	 	505	23.85	 	2	0.09	 	2117	96.36	 	80	3.64	 	2197	3.34
Brent Street		                               	94	11.07	 	489	57.6	 	8	0.94	 	37	4.36	 	3	0.35	 	0	0	 	14	1.65	 	204	24.03	 	0	0	 	849	95.61	 	39	4.39	 	888	1.35
Cascades		                                   	112	10.26	 	467	42.77	 	9	0.82	 	224	20.51	 	6	0.55	 	1	0.09	 	28	2.56	 	242	22.16	 	3	0.27	 	1092	96.98	 	34	3.02	 	1126	1.71
Chigwell		                                   	279	14.58	 	1202	62.8	 	9	0.47	 	54	2.82	 	6	0.31	 	1	0.05	 	19	0.99	 	342	17.87	 	2	0.1	 	1914	96.52	 	69	3.48	 	1983	3.01
Claremont		                                  	242	13.55	 	981	54.93	 	9	0.5	 	86	4.82	 	2	0.11	 	1	0.06	 	10	0.56	 	453	25.36	 	2	0.11	 	1786	96.8	 	59	3.2	 	1845	2.8
Collinsvale		                                	49	14.94	 	189	57.62	 	2	0.61	 	45	13.72	 	1	0.3	 	2	0.61	 	6	1.83	 	34	10.37	 	0	0	 	328	97.04	 	10	2.96	 	338	0.51
Cornelian Bay		                              	87	13.57	 	251	39.16	 	5	0.78	 	56	8.74	 	1	0.16	 	0	0	 	16	2.5	 	224	34.95	 	1	0.16	 	641	97.27	 	18	2.73	 	659	1
Cosgrove		                                   	133	12.68	 	570	54.34	 	5	0.48	 	37	3.53	 	1	0.1	 	1	0.1	 	14	1.33	 	287	27.36	 	1	0.1	 	1049	96.42	 	39	3.58	 	1088	1.65
Creek Road		                                 	200	18.1	 	395	35.75	 	8	0.72	 	97	8.78	 	1	0.09	 	1	0.09	 	14	1.27	 	389	35.2	 	0	0	 	1105	97.53	 	28	2.47	 	1133	1.72
Cross Street		                               	311	15.51	 	882	43.99	 	8	0.4	 	193	9.63	 	5	0.25	 	7	0.35	 	43	2.14	 	553	27.58	 	3	0.15	 	2005	97.38	 	54	2.62	 	2059	3.13
Dynnyrne		                                   	105	9.9	 	373	35.16	 	8	0.75	 	198	18.66	 	1	0.09	 	2	0.19	 	41	3.86	 	330	31.1	 	3	0.28	 	1061	98.15	 	20	1.85	 	1081	1.64
Elizabeth Street		                           	77	9.34	 	375	45.51	 	5	0.61	 	157	19.05	 	5	0.61	 	0	0	 	18	2.18	 	183	22.21	 	4	0.49	 	824	97.63	 	20	2.37	 	844	1.28
Elwick		                                     	72	15.19	 	288	60.76	 	3	0.63	 	12	2.53	 	1	0.21	 	1	0.21	 	4	0.84	 	93	19.62	 	0	0	 	474	94.8	 	26	5.2	 	500	0.76
Fern Tree		                                  	28	6.75	 	144	34.7	 	1	0.24	 	120	28.92	 	0	0	 	3	0.72	 	21	5.06	 	98	23.61	 	0	0	 	415	99.28	 	3	0.72	 	418	0.63
Glenorchy		                                  	496	16.16	 	1609	52.41	 	22	0.72	 	104	3.39	 	7	0.23	 	3	0.1	 	35	1.14	 	793	25.83	 	1	0.03	 	3070	97.52	 	78	2.48	 	3148	4.78
Glenorchy East		                             	334	13.52	 	1442	58.36	 	18	0.73	 	95	3.84	 	6	0.24	 	10	0.4	 	26	1.05	 	540	21.85	 	0	0	 	2471	96.6	 	87	3.4	 	2558	3.89
Goodwood		                                   	143	11.66	 	812	66.23	 	5	0.41	 	51	4.16	 	4	0.33	 	1	0.08	 	12	0.98	 	196	15.99	 	2	0.16	 	1226	96.69	 	42	3.31	 	1268	1.93
Hill Street		                                	46	9.62	 	181	37.87	 	3	0.63	 	80	16.74	 	0	0	 	0	0	 	13	2.72	 	154	32.22	 	1	0.21	 	478	96.76	 	16	3.24	 	494	0.75
Hobart		                                     	53	7.9	 	287	42.77	 	8	1.19	 	144	21.46	 	5	0.75	 	0	0	 	18	2.68	 	154	22.95	 	2	0.3	 	671	98.39	 	11	1.61	 	682	1.04
Hobart Central		                             	19	8.56	 	81	36.49	 	3	1.35	 	42	18.92	 	0	0	 	2	0.9	 	1	0.45	 	74	33.33	 	0	0	 	222	97.37	 	6	2.63	 	228	0.35
Hobart North		                               	78	10.04	 	377	48.52	 	1	0.13	 	110	14.16	 	4	0.51	 	3	0.39	 	13	1.67	 	191	24.58	 	0	0	 	777	97.37	 	21	2.63	 	798	1.21
Hobart South		                               	174	11.45	 	578	38.03	 	12	0.79	 	261	17.17	 	4	0.26	 	2	0.13	 	51	3.36	 	435	28.62	 	3	0.2	 	1520	98.06	 	30	1.94	 	1550	2.35
Hobart West		                                	106	9.65	 	458	41.71	 	2	0.18	 	248	22.59	 	3	0.27	 	0	0	 	50	4.55	 	229	20.86	 	2	0.18	 	1098	98.04	 	22	1.96	 	1120	1.7
Lansdowne Crescent		                         	79	8.52	 	394	42.5	 	4	0.43	 	207	22.33	 	3	0.32	 	0	0	 	23	2.48	 	216	23.3	 	1	0.11	 	927	97.48	 	24	2.52	 	951	1.44
Lenah Valley		                               	255	13.83	 	815	44.2	 	9	0.49	 	162	8.79	 	3	0.16	 	2	0.11	 	29	1.57	 	568	30.8	 	1	0.05	 	1844	97.67	 	44	2.33	 	1888	2.87
Lower Sandy Bay		                            	147	7.55	 	409	21	 	10	0.51	 	207	10.63	 	7	0.36	 	3	0.15	 	26	1.33	 	1138	58.42	 	1	0.05	 	1948	98.68	 	26	1.32	 	1974	3
Lutana		                                     	91	10.94	 	517	62.14	 	5	0.6	 	27	3.25	 	6	0.72	 	1	0.12	 	6	0.72	 	178	21.39	 	1	0.12	 	832	96.3	 	32	3.7	 	864	1.31
Montrose		                                   	70	16.59	 	188	44.55	 	3	0.71	 	13	3.08	 	1	0.24	 	1	0.24	 	3	0.71	 	143	33.89	 	0	0	 	422	98.37	 	7	1.63	 	429	0.65
Moonah		                                     	339	14.04	 	1259	52.13	 	13	0.54	 	106	4.39	 	13	0.54	 	7	0.29	 	37	1.53	 	640	26.5	 	1	0.04	 	2415	95.91	 	103	4.09	 	2518	3.82
Moonah North		                               	109	10.6	 	581	56.52	 	7	0.68	 	47	4.57	 	3	0.29	 	3	0.29	 	9	0.88	 	269	26.17	 	0	0	 	1028	96.8	 	34	3.2	 	1062	1.61
Mount Nelson		                               	133	11.38	 	387	33.11	 	4	0.34	 	205	17.54	 	5	0.43	 	3	0.26	 	27	2.31	 	405	34.64	 	0	0	 	1169	98.48	 	18	1.52	 	1187	1.8
Mount Stuart		                               	127	15.08	 	280	33.25	 	11	1.31	 	92	10.93	 	5	0.59	 	10	1.19	 	30	3.56	 	287	34.09	 	0	0	 	842	97.34	 	23	2.66	 	865	1.31
Newdegate		                                  	141	13.43	 	426	40.57	 	9	0.86	 	176	16.76	 	8	0.76	 	4	0.38	 	14	1.33	 	272	25.9	 	0	0	 	1050	97.22	 	30	2.78	 	1080	1.64
New Town		                                   	100	10.52	 	384	40.38	 	2	0.21	 	132	13.88	 	3	0.32	 	1	0.11	 	19	2	 	308	32.39	 	2	0.21	 	951	96.84	 	31	3.16	 	982	1.49
Queenborough		                               	64	8.58	 	281	37.67	 	7	0.94	 	116	15.55	 	2	0.27	 	4	0.54	 	18	2.41	 	254	34.05	 	0	0	 	746	98.16	 	14	1.84	 	760	1.15
Roseneath		                                  	29	8.63	 	256	76.19	 	2	0.6	 	8	2.38	 	1	0.3	 	1	0.3	 	3	0.89	 	36	10.71	 	0	0	 	336	98.53	 	5	1.47	 	341	0.52
Rosetta		                                    	148	16.88	 	328	37.4	 	10	1.14	 	37	4.22	 	0	0	 	4	0.46	 	14	1.6	 	336	38.31	 	0	0	 	877	97.99	 	18	2.01	 	895	1.36
St Johns Park		                              	34	17.8	 	87	45.55	 	5	2.62	 	20	10.47	 	0	0	 	0	0	 	1	0.52	 	44	23.04	 	0	0	 	191	97.95	 	4	2.05	 	195	0.3
St Peters		                                  	36	9.05	 	183	45.98	 	0	0	 	75	18.84	 	4	1.01	 	1	0.25	 	4	1.01	 	95	23.87	 	0	0	 	398	96.6	 	14	3.4	 	412	0.63
Sandy Bay		                                  	151	11.21	 	371	27.54	 	14	1.04	 	182	13.51	 	5	0.37	 	3	0.22	 	23	1.71	 	595	44.17	 	3	0.22	 	1347	98.18	 	25	1.82	 	1372	2.08
Sandy Bay Beach		                            	101	9	 	257	22.91	 	9	0.8	 	131	11.68	 	1	0.09	 	5	0.45	 	21	1.87	 	595	53.03	 	2	0.18	 	1122	98.25	 	20	1.75	 	1142	1.73
Swan		                                       	63	9.4	 	321	47.91	 	4	0.6	 	118	17.61	 	2	0.3	 	7	1.04	 	13	1.94	 	142	21.19	 	0	0	 	670	96.82	 	22	3.18	 	692	1.05
Taroona		                                    	189	12.02	 	459	29.2	 	16	1.02	 	274	17.43	 	5	0.32	 	4	0.25	 	36	2.29	 	586	37.28	 	3	0.19	 	1572	98.62	 	22	1.38	 	1594	2.42
Tolosa		                                     	205	13.78	 	894	60.08	 	3	0.2	 	40	2.69	 	3	0.2	 	2	0.13	 	9	0.6	 	332	22.31	 	0	0	 	1488	97.06	 	45	2.94	 	1533	2.33
Waimea Heights		                             	50	6.35	 	168	21.32	 	10	1.27	 	94	11.93	 	1	0.13	 	4	0.51	 	18	2.28	 	442	56.09	 	1	0.13	 	788	98.62	 	11	1.38	 	799	1.21
Windermere		                                 	128	15.17	 	487	57.7	 	3	0.36	 	30	3.55	 	3	0.36	 	0	0	 	10	1.18	 	183	21.68	 	0	0	 	844	97.12	 	25	2.88	 	869	1.32
Special Hospitals		                          	101	18.7	 	187	34.63	 	8	1.48	 	26	4.81	 	5	0.93	 	3	0.56	 	8	1.48	 	202	37.41	 	0	0	 	540	97.12	 	16	2.88	 	556	0.84
Total Ordinary		                             	6932	12.35	 	25819	45.99	 	355	0.63	 	5536	9.86	 	166	0.3	 	128	0.23	 	966	1.72	 	16190	28.84	 	51	0.09	 	56143	97.35	 	1529	2.65	 	57672	87.6
ABSENT		                                     	337	10.01	 	1496	44.43	 	18	0.53	 	390	11.58	 	10	0.3	 	8	0.24	 	52	1.54	 	1050	31.19	 	6	0.18	 	3367	98.36	 	56	1.64	 	3423	5.2
POSTAL		                                     	282	13.4	 	969	46.06	 	17	0.81	 	154	7.32	 	5	0.24	 	6	0.29	 	26	1.24	 	644	30.61	 	1	0.05	 	2104	98.23	 	38	1.77	 	2142	3.25
PRE_POLL		                                   	213	8.82	 	896	37.12	 	9	0.37	 	403	16.69	 	14	0.58	 	6	0.25	 	63	2.61	 	807	33.43	 	3	0.12	 	2414	98.89	 	27	1.11	 	2441	3.71
PROVISIONAL		                                	7	4.61	 	89	58.55	 	3	1.97	 	13	8.55	 	2	1.32	 	0	0	 	3	1.97	 	35	23.03	 	0	0	 	152	96.2	 	6	3.8	 	158	0.24
ADJUSTMENT		                                 	1		       	-2		       	0		       	0		       	0		       	0		       	0		       	-3		       	-1		       	-5		       	5		       	0	
Division Summary		                           	7772	12.11	 	29267	45.6	 	402	0.63	 	6496	10.12	 	197	0.31	 	148	0.23	 	1110	1.73	 	18723	29.17	 	60	0.09	 	64175	97.48	 	1661	2.52	 	65836	95.97


Franklin (63149)																																					

	   		Group Total HAR			Group Total ALP			Group Total TST			Group Total TG			Group Total CTA			Group Total NLP			Group Total DEM			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adventure Bay		                              	16	11.68	 	74	54.01	 	2	1.46	 	19	13.87	 	0	0	 	0	0	 	0	0	 	26	18.98	 	0	0	 	137	96.48	 	5	3.52	 	142	0.23
Alonnah		                                    	8	3.79	 	104	49.29	 	1	0.47	 	31	14.69	 	0	0	 	0	0	 	7	3.32	 	60	28.44	 	0	0	 	211	98.14	 	4	1.86	 	215	0.35
Barnes Bay		                                 	10	9.8	 	41	40.2	 	1	0.98	 	14	13.73	 	0	0	 	0	0	 	5	4.9	 	31	30.39	 	0	0	 	102	96.23	 	4	3.77	 	106	0.17
Bellerive		                                  	404	13.48	 	1171	39.06	 	29	0.97	 	252	8.41	 	11	0.37	 	1	0.03	 	67	2.23	 	1061	35.39	 	2	0.07	 	2998	98.42	 	48	1.58	 	3046	4.97
Blackmans Bay		                              	338	12.92	 	970	37.07	 	13	0.5	 	216	8.25	 	16	0.61	 	6	0.23	 	62	2.37	 	994	37.98	 	2	0.08	 	2617	98.79	 	32	1.21	 	2649	4.32
Bligh		                                      	122	11.35	 	727	67.63	 	8	0.74	 	38	3.53	 	0	0	 	0	0	 	14	1.3	 	164	15.26	 	2	0.19	 	1075	96.07	 	44	3.93	 	1119	1.83
Bridgewater		                                	222	8.86	 	1782	71.11	 	19	0.76	 	43	1.72	 	11	0.44	 	3	0.12	 	22	0.88	 	404	16.12	 	0	0	 	2506	96.72	 	85	3.28	 	2591	4.23
Cambridge		                                  	67	10.18	 	230	34.95	 	11	1.67	 	67	10.18	 	0	0	 	1	0.15	 	14	2.13	 	267	40.58	 	1	0.15	 	658	97.34	 	18	2.66	 	676	1.1
Castle Forbes Bay		                          	8	10.13	 	32	40.51	 	1	1.27	 	4	5.06	 	0	0	 	0	0	 	3	3.8	 	31	39.24	 	0	0	 	79	92.94	 	6	7.06	 	85	0.14
Clarendon Vale		                             	46	5.97	 	586	76.1	 	4	0.52	 	18	2.34	 	1	0.13	 	0	0	 	13	1.69	 	101	13.12	 	1	0.13	 	770	97.47	 	20	2.53	 	790	1.29
Cradoc		                                     	30	15.54	 	45	23.32	 	4	2.07	 	29	15.03	 	4	2.07	 	0	0	 	3	1.55	 	78	40.41	 	0	0	 	193	96.5	 	7	3.5	 	200	0.33
Cygnet		                                     	210	13.22	 	602	37.89	 	14	0.88	 	244	15.36	 	2	0.13	 	6	0.38	 	61	3.84	 	449	28.26	 	1	0.06	 	1589	97.37	 	43	2.63	 	1632	2.66
Dover		                                      	41	7.85	 	225	43.1	 	4	0.77	 	26	4.98	 	4	0.77	 	1	0.19	 	4	0.77	 	217	41.57	 	0	0	 	522	95.43	 	25	4.57	 	547	0.89
East Risdon		                                	23	12.3	 	85	45.45	 	1	0.53	 	23	12.3	 	1	0.53	 	0	0	 	5	2.67	 	49	26.2	 	0	0	 	187	98.42	 	3	1.58	 	190	0.31
Franklin		                                   	53	10.71	 	203	41.01	 	3	0.61	 	48	9.7	 	1	0.2	 	1	0.2	 	6	1.21	 	180	36.36	 	0	0	 	495	97.63	 	12	2.37	 	507	0.83
Gagebrook		                                  	116	6.74	 	1224	71.08	 	9	0.52	 	32	1.86	 	1	0.06	 	1	0.06	 	16	0.93	 	321	18.64	 	2	0.12	 	1722	97.07	 	52	2.93	 	1774	2.9
Geeveston		                                  	86	10.45	 	295	35.84	 	5	0.61	 	18	2.19	 	3	0.36	 	1	0.12	 	4	0.49	 	411	49.94	 	0	0	 	823	96.14	 	33	3.86	 	856	1.4
Geilston Bay		                               	183	13.77	 	582	43.79	 	9	0.68	 	77	5.79	 	1	0.08	 	0	0	 	20	1.5	 	456	34.31	 	1	0.08	 	1329	98.3	 	23	1.7	 	1352	2.21
Glen Huon		                                  	37	14.74	 	69	27.49	 	2	0.8	 	15	5.98	 	6	2.39	 	0	0	 	5	1.99	 	117	46.61	 	0	0	 	251	98.05	 	5	1.95	 	256	0.42
Grove		                                      	55	9.32	 	214	36.27	 	5	0.85	 	56	9.49	 	4	0.68	 	0	0	 	15	2.54	 	241	40.85	 	0	0	 	590	96.25	 	23	3.75	 	613	1
Howden		                                     	21	9.5	 	78	35.29	 	2	0.9	 	29	13.12	 	1	0.45	 	1	0.45	 	12	5.43	 	77	34.84	 	0	0	 	221	97.36	 	6	2.64	 	227	0.37
Howrah		                                     	381	13.35	 	1064	37.29	 	34	1.19	 	133	4.66	 	11	0.39	 	3	0.11	 	54	1.89	 	1170	41.01	 	3	0.11	 	2853	98.52	 	43	1.48	 	2896	4.73
Huonville		                                  	159	11.24	 	555	39.22	 	13	0.92	 	99	7	 	2	0.14	 	1	0.07	 	21	1.48	 	565	39.93	 	0	0	 	1415	96.13	 	57	3.87	 	1472	2.4
Judbury		                                    	29	16.48	 	49	27.84	 	1	0.57	 	26	14.77	 	0	0	 	0	0	 	3	1.7	 	68	38.64	 	0	0	 	176	97.78	 	4	2.22	 	180	0.29
Kettering		                                  	47	11.01	 	131	30.68	 	0	0	 	64	14.99	 	2	0.47	 	1	0.23	 	16	3.75	 	166	38.88	 	0	0	 	427	98.84	 	5	1.16	 	432	0.71
Kingston		                                   	416	12.1	 	1317	38.32	 	7	0.2	 	317	9.22	 	48	1.4	 	5	0.15	 	76	2.21	 	1250	36.37	 	1	0.03	 	3437	97.95	 	72	2.05	 	3509	5.73
Kingston Beach		                             	305	13.03	 	781	33.38	 	15	0.64	 	247	10.56	 	19	0.81	 	4	0.17	 	60	2.56	 	909	38.85	 	0	0	 	2340	98.53	 	35	1.47	 	2375	3.88
Lauderdale		                                 	300	11.39	 	997	37.84	 	32	1.21	 	246	9.34	 	10	0.38	 	4	0.15	 	62	2.35	 	983	37.31	 	1	0.04	 	2635	98.58	 	38	1.42	 	2673	4.36
Lindisfarne		                                	388	14.87	 	836	32.04	 	30	1.15	 	184	7.05	 	4	0.15	 	3	0.11	 	71	2.72	 	1092	41.86	 	1	0.04	 	2609	97.97	 	54	2.03	 	2663	4.35
Loatta Road		                                	232	14.53	 	526	32.94	 	13	0.81	 	131	8.2	 	5	0.31	 	1	0.06	 	39	2.44	 	649	40.64	 	1	0.06	 	1597	98.22	 	29	1.78	 	1626	2.65
Margate		                                    	146	10.87	 	487	36.26	 	10	0.74	 	168	12.51	 	13	0.97	 	1	0.07	 	47	3.5	 	470	35	 	1	0.07	 	1343	97.89	 	29	2.11	 	1372	2.24
Middleton		                                  	28	12.17	 	98	42.61	 	2	0.87	 	21	9.13	 	0	0	 	0	0	 	8	3.48	 	73	31.74	 	0	0	 	230	94.26	 	14	5.74	 	244	0.4
Montagu Bay		                                	195	14.68	 	505	38.03	 	23	1.73	 	99	7.45	 	5	0.38	 	2	0.15	 	30	2.26	 	469	35.32	 	0	0	 	1328	97.22	 	38	2.78	 	1366	2.23
Mornington		                                 	41	10.43	 	241	61.32	 	6	1.53	 	15	3.82	 	0	0	 	0	0	 	2	0.51	 	88	22.39	 	0	0	 	393	97.28	 	11	2.72	 	404	0.66
Opossum Bay		                                	16	10.39	 	43	27.92	 	1	0.65	 	17	11.04	 	0	0	 	0	0	 	3	1.95	 	74	48.05	 	0	0	 	154	97.47	 	4	2.53	 	158	0.26
Port Huon		                                  	22	13.58	 	54	33.33	 	0	0	 	3	1.85	 	1	0.62	 	1	0.62	 	2	1.23	 	79	48.77	 	0	0	 	162	94.74	 	9	5.26	 	171	0.28
Ranelagh		                                   	67	12.5	 	206	38.43	 	11	2.05	 	29	5.41	 	1	0.19	 	2	0.37	 	4	0.75	 	216	40.3	 	0	0	 	536	96.4	 	20	3.6	 	556	0.91
Risdon Vale		                                	176	10.8	 	1149	70.49	 	10	0.61	 	44	2.7	 	3	0.18	 	1	0.06	 	12	0.74	 	235	14.42	 	0	0	 	1630	96.68	 	56	3.32	 	1686	2.75
Rokeby		                                     	199	10.68	 	1233	66.18	 	13	0.7	 	45	2.42	 	8	0.43	 	1	0.05	 	17	0.91	 	346	18.57	 	1	0.05	 	1863	97.18	 	54	2.82	 	1917	3.13
Sandfly		                                    	62	10.08	 	201	32.68	 	6	0.98	 	103	16.75	 	5	0.81	 	2	0.33	 	18	2.93	 	217	35.28	 	1	0.16	 	615	97.16	 	18	2.84	 	633	1.03
Sandford		                                   	46	9.04	 	194	38.11	 	2	0.39	 	70	13.75	 	5	0.98	 	0	0	 	9	1.77	 	183	35.95	 	0	0	 	509	98.64	 	7	1.36	 	516	0.84
Seven Mile Beach		                           	68	9.39	 	275	37.98	 	9	1.24	 	80	11.05	 	2	0.28	 	2	0.28	 	14	1.93	 	274	37.85	 	0	0	 	724	98.91	 	8	1.09	 	732	1.2
Snug		                                       	99	12.03	 	357	43.38	 	7	0.85	 	71	8.63	 	2	0.24	 	0	0	 	37	4.5	 	250	30.38	 	0	0	 	823	96.94	 	26	3.06	 	849	1.39
South Arm		                                  	48	10.91	 	185	42.05	 	3	0.68	 	45	10.23	 	1	0.23	 	0	0	 	4	0.91	 	154	35	 	0	0	 	440	97.56	 	11	2.44	 	451	0.74
Southport		                                  	7	5.38	 	46	35.38	 	0	0	 	19	14.62	 	0	0	 	0	0	 	6	4.62	 	52	40	 	0	0	 	130	97.01	 	4	2.99	 	134	0.22
Strathblane		                                	6	5.66	 	49	46.23	 	2	1.89	 	4	3.77	 	2	1.89	 	0	0	 	3	2.83	 	40	37.74	 	0	0	 	106	96.36	 	4	3.64	 	110	0.18
Surges Bay		                                 	8	5.8	 	37	26.81	 	2	1.45	 	9	6.52	 	0	0	 	0	0	 	3	2.17	 	78	56.52	 	1	0.72	 	138	96.5	 	5	3.5	 	143	0.23
Tranmere		                                   	269	15.04	 	597	33.37	 	47	2.63	 	126	7.04	 	7	0.39	 	0	0	 	29	1.62	 	714	39.91	 	0	0	 	1789	98.35	 	30	1.65	 	1819	2.97
Warrane		                                    	163	10.19	 	1024	64	 	10	0.63	 	78	4.88	 	3	0.19	 	1	0.06	 	13	0.81	 	307	19.19	 	1	0.06	 	1600	96.79	 	53	3.21	 	1653	2.7
Wentworth Street		                           	179	14.59	 	513	41.81	 	13	1.06	 	81	6.6	 	5	0.41	 	2	0.16	 	28	2.28	 	406	33.09	 	0	0	 	1227	98.08	 	24	1.92	 	1251	2.04
Woodbridge		                                 	35	11.08	 	86	27.22	 	4	1.27	 	61	19.3	 	1	0.32	 	0	0	 	14	4.43	 	115	36.39	 	0	0	 	316	95.76	 	14	4.24	 	330	0.54
Special Hospitals		                          	27	10.11	 	67	25.09	 	5	1.87	 	3	1.12	 	0	0	 	0	0	 	3	1.12	 	162	60.67	 	0	0	 	267	98.16	 	5	1.84	 	272	0.44
Prison Mobiles		                             	0	0	 	3	75	 	0	0	 	0	0	 	0	0	 	0	0	 	1	25	 	0	0	 	0	0	 	4	80	 	1	20	 	5	0.01
