Senate - 1993 Election: Tasmania																																					
First Preference Votes by Group																																					
By Polling Place																																					


Bass (66119)																																					

	   		Group Total HAR			Group Total ALP			Group Total TST			Group Total TG			Group Total CTA			Group Total NLP			Group Total DEM			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Mowbray		                                    	183	10.75	 	883	51.85	 	10	0.59	 	70	4.11	 	2	0.12	 	4	0.23	 	32	1.88	 	518	30.42	 	1	0.06	 	1703	96.76	 	57	3.24	 	1760	2.77
Myrtle Park		                                	8	10.39	 	29	37.66	 	0	0	 	11	14.29	 	0	0	 	0	0	 	2	2.6	 	27	35.06	 	0	0	 	77	97.47	 	2	2.53	 	79	0.12
Nabowla		                                    	8	9.3	 	16	18.6	 	1	1.16	 	8	9.3	 	2	2.33	 	0	0	 	1	1.16	 	50	58.14	 	0	0	 	86	95.56	 	4	4.44	 	90	0.14
Newstead		                                   	185	10.03	 	515	27.91	 	22	1.19	 	109	5.91	 	8	0.43	 	3	0.16	 	21	1.14	 	982	53.22	 	0	0	 	1845	98.19	 	34	1.81	 	1879	2.95
Norwood		                                    	208	8.84	 	637	27.07	 	36	1.53	 	88	3.74	 	9	0.38	 	5	0.21	 	38	1.61	 	1331	56.57	 	1	0.04	 	2353	98.41	 	38	1.59	 	2391	3.76
Nunamara		                                   	25	12.2	 	69	33.66	 	0	0	 	27	13.17	 	4	1.95	 	1	0.49	 	6	2.93	 	73	35.61	 	0	0	 	205	99.51	 	1	0.49	 	206	0.32
Ockerby Gardens		                            	63	7.3	 	380	44.03	 	10	1.16	 	66	7.65	 	6	0.7	 	1	0.12	 	23	2.67	 	313	36.27	 	1	0.12	 	863	96	 	36	4	 	899	1.41
Pioneer		                                    	8	14.81	 	25	46.3	 	3	5.56	 	5	9.26	 	0	0	 	0	0	 	0	0	 	13	24.07	 	0	0	 	54	93.1	 	4	6.9	 	58	0.09
Pipers River		                               	19	6.88	 	121	43.84	 	6	2.17	 	18	6.52	 	0	0	 	0	0	 	3	1.09	 	109	39.49	 	0	0	 	276	96.5	 	10	3.5	 	286	0.45
Prospect		                                   	409	9.46	 	1827	42.25	 	41	0.95	 	169	3.91	 	56	1.3	 	13	0.3	 	68	1.57	 	1740	40.24	 	1	0.02	 	4324	97.74	 	100	2.26	 	4424	6.95
Prospect Vale		                              	65	8.28	 	222	28.28	 	1	0.13	 	20	2.55	 	3	0.38	 	2	0.25	 	6	0.76	 	466	59.36	 	0	0	 	785	99.12	 	7	0.88	 	792	1.24
Ravenswood		                                 	263	9.32	 	1803	63.89	 	22	0.78	 	62	2.2	 	11	0.39	 	3	0.11	 	40	1.42	 	616	21.83	 	2	0.07	 	2822	96.08	 	115	3.92	 	2937	4.62
Ringarooma		                                 	36	8.14	 	151	34.16	 	5	1.13	 	14	3.17	 	2	0.45	 	1	0.23	 	4	0.9	 	228	51.58	 	1	0.23	 	442	97.14	 	13	2.86	 	455	0.72
Riverside		                                  	265	10.12	 	743	28.37	 	32	1.22	 	169	6.45	 	32	1.22	 	3	0.11	 	44	1.68	 	1331	50.82	 	0	0	 	2619	97.98	 	54	2.02	 	2673	4.2
Riverside West		                             	152	16.85	 	320	35.48	 	7	0.78	 	35	3.88	 	5	0.55	 	5	0.55	 	15	1.66	 	362	40.13	 	1	0.11	 	902	98.15	 	17	1.85	 	919	1.44
Rocherlea		                                  	143	9.97	 	848	59.09	 	8	0.56	 	54	3.76	 	7	0.49	 	2	0.14	 	27	1.88	 	343	23.9	 	3	0.21	 	1435	96.18	 	57	3.82	 	1492	2.35
St Leonards		                                	106	9.83	 	447	41.47	 	5	0.46	 	34	3.15	 	31	2.88	 	2	0.19	 	16	1.48	 	437	40.54	 	0	0	 	1078	96.68	 	37	3.32	 	1115	1.75
Scottsdale		                                 	191	9.9	 	645	33.44	 	10	0.52	 	72	3.73	 	2	0.1	 	6	0.31	 	30	1.56	 	971	50.34	 	2	0.1	 	1929	95.87	 	83	4.13	 	2012	3.16
Trevallyn		                                  	205	9.76	 	609	29	 	23	1.1	 	256	12.19	 	13	0.62	 	6	0.29	 	51	2.43	 	934	44.48	 	3	0.14	 	2100	98.59	 	30	1.41	 	2130	3.35
Waverley		                                   	90	8.6	 	655	62.56	 	9	0.86	 	31	2.96	 	5	0.48	 	3	0.29	 	15	1.43	 	238	22.73	 	1	0.1	 	1047	96.85	 	34	3.15	 	1081	1.7
Weymouth		                                   	11	9.32	 	41	34.75	 	4	3.39	 	10	8.47	 	4	3.39	 	1	0.85	 	2	1.69	 	45	38.14	 	0	0	 	118	98.33	 	2	1.67	 	120	0.19
Whitemark		                                  	20	6.51	 	85	27.69	 	2	0.65	 	22	7.17	 	2	0.65	 	1	0.33	 	8	2.61	 	167	54.4	 	0	0	 	307	95.34	 	15	4.66	 	322	0.51
Windmill Hill		                              	33	6.52	 	111	21.94	 	5	0.99	 	68	13.44	 	0	0	 	0	0	 	9	1.78	 	280	55.34	 	0	0	 	506	98.25	 	9	1.75	 	515	0.81
Winnaleah		                                  	33	12	 	64	23.27	 	3	1.09	 	6	2.18	 	2	0.73	 	2	0.73	 	2	0.73	 	162	58.91	 	1	0.36	 	275	99.28	 	2	0.72	 	277	0.44
Young Town		                                 	169	10.87	 	672	43.22	 	14	0.9	 	42	2.7	 	10	0.64	 	3	0.19	 	30	1.93	 	613	39.42	 	2	0.13	 	1555	97.98	 	32	2.02	 	1587	2.49
Special Hospitals		                          	55	11.07	 	141	28.37	 	11	2.21	 	14	2.82	 	5	1.01	 	1	0.2	 	4	0.8	 	266	53.52	 	0	0	 	497	94.49	 	29	5.51	 	526	0.83
Total Ordinary		                             	5410	9.8	 	22796	41.27	 	520	0.94	 	3172	5.74	 	342	0.62	 	119	0.22	 	915	1.66	 	21918	39.68	 	39	0.07	 	55231	97.25	 	1561	2.75	 	56792	89.27
ABSENT		                                     	247	8.53	 	1118	38.62	 	27	0.93	 	291	10.05	 	19	0.66	 	6	0.21	 	42	1.45	 	1142	39.45	 	3	0.1	 	2895	98.7	 	38	1.3	 	2933	4.61
POSTAL		                                     	154	8.87	 	708	40.78	 	16	0.92	 	97	5.59	 	10	0.58	 	2	0.12	 	41	2.36	 	707	40.73	 	1	0.06	 	1736	98.19	 	32	1.81	 	1768	2.78
PRE_POLL		                                   	135	6.87	 	726	36.93	 	16	0.81	 	166	8.44	 	17	0.86	 	5	0.25	 	43	2.19	 	858	43.64	 	0	0	 	1966	98.4	 	32	1.6	 	1998	3.14
PROVISIONAL		                                	4	3.33	 	56	46.67	 	3	2.5	 	8	6.67	 	2	1.67	 	0	0	 	1	0.83	 	46	38.33	 	0	0	 	120	96	 	5	4	 	125	0.2
ADJUSTMENT		                                 	0		       	4		       	-1		       	0		       	0		       	1		       	0		       	-2		       	0		       	2		       	-3		       	-1	
Division Summary		                           	5950	9.6	 	25408	41.01	 	581	0.94	 	3734	6.03	 	390	0.63	 	133	0.21	 	1042	1.68	 	24669	39.82	 	43	0.07	 	61950	97.38	 	1665	2.62	 	63615	96.21
 																																					


Braddon (64357)																																					

	   		Group Total HAR			Group Total ALP			Group Total TST			Group Total TG			Group Total CTA			Group Total NLP			Group Total DEM			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
