	   		 A Pensioner and Citizen Initiated Referendum Alliance												 B Janet Powell Independents' Network																		 C Australians Against Further Immigration												 D Natural Law Party															 E Call to Australia (Fred Nile) Group												 F Democratic Labor Party (DLP) of Australia																					 G Liberal/National Party																								 H Republican Party of Australia												 I Australian Labor Party (ALP)																		 J Australian Democrats																								K - Unendorsed Group												 L The Victorian Green Alliance												Ungrouped																																											
    			TICKET VOTES			MCKAY			MCKAY			Group Total			TICKET VOTES			POWELL			HAMEL-GREEN			O'ROURKE			LEVY			Group Total			TICKET VOTES			MCCORMACK			SPENCER			Group Total			TICKET VOTES			GRIFFITH			SCURFIELD			MASON			Group Total			TICKET VOTES			COOK			GRAHAM			Group Total			TICKET VOTES			MULHOLLAND			ROWE			CREA			DODD			CODY			Group Total			TICKET VOTES			# SHORT			# MCGAURAN			# TROETH			TCHEN			CURTIS			WALL			Group Total			TICKET VOTES			BUCKLEY			GIDLEY			Group Total			TICKET VOTES			# EVANS			# CARR			# ZAKHAROV			MCKENZIE			Group Total			TICKET VOTES			WOOD			KAYAK			WHITE			PINNIGER			CASBOLT			STEAR			Group Total			TICKET VOTES			TOSCANO			ROPER			Group Total			TICKET VOTES			DAVIDSON			ASQUINI			Group Total			MOFFATT			BANJANIN			HARDY			BELL			ROTARU			FLORIN			GOOD			ISHERWOOD			PETHERBRIDGE			PAVLEKOVICH-SMITH			FAZAL			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Neil			Alistair									Janet			Michael			Anne			Laurie									Denis			Robyn Marion									Steve			Lorna			Ngaire									Ken			Murray									John			Michael			Pat			Christine			Matthew									Jim			Julian John			Judith			Tsebin			Ian Ronald			Bill									Brian			Brendan Frederick									Gareth			Kim			Olive			David									Robert			Maria			Marj			John			Diane			Kathryn									Joe			Stephen									Francesca			Loretta						Gordon			Toma			Frank			Laurie			Alex			Steve			Michael			Noelene			Tim			Ivan			Abdul Khaliq													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bayswater West		                             	6	0.27	 	2	0.09	 	1	0.04	 	9	0.4	 	23	1.03	 	2	0.09	 	0	0	 	0	0	 	0	0	 	25	1.12	 	15	0.67	 	0	0	 	0	0	 	15	0.67	 	3	0.13	 	0	0	 	0	0	 	0	0	 	3	0.13	 	20	0.89	 	7	0.31	 	0	0	 	27	1.21	 	30	1.34	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	30	1.34	 	1008	45.02	 	18	0.8	 	0	0	 	1	0.04	 	0	0	 	0	0	 	0	0	 	1027	45.87	 	4	0.18	 	0	0	 	0	0	 	4	0.18	 	975	43.55	 	22	0.98	 	0	0	 	0	0	 	0	0	 	997	44.53	 	66	2.95	 	11	0.49	 	0	0	 	0	0	 	0	0	 	1	0.04	 	0	0	 	78	3.48	 	0	0	 	0	0	 	0	0	 	0	0	 	21	0.94	 	1	0.04	 	0	0	 	22	0.98	 	0	0	 	0	0	 	2	0.09	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.09	 	2239	98.2	 	41	1.8	 	2280	2.96
Blackwood Park		                             	7	0.49	 	0	0	 	0	0	 	7	0.49	 	5	0.35	 	1	0.07	 	0	0	 	0	0	 	0	0	 	6	0.42	 	10	0.7	 	2	0.14	 	0	0	 	12	0.84	 	4	0.28	 	0	0	 	0	0	 	0	0	 	4	0.28	 	8	0.56	 	2	0.14	 	0	0	 	10	0.7	 	17	1.19	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.07	 	18	1.26	 	610	42.72	 	8	0.56	 	1	0.07	 	0	0	 	0	0	 	0	0	 	0	0	 	619	43.35	 	1	0.07	 	0	0	 	0	0	 	1	0.07	 	653	45.73	 	17	1.19	 	0	0	 	0	0	 	0	0	 	670	46.92	 	55	3.85	 	5	0.35	 	1	0.07	 	0	0	 	0	0	 	0	0	 	0	0	 	61	4.27	 	0	0	 	0	0	 	0	0	 	0	0	 	16	1.12	 	1	0.07	 	0	0	 	17	1.19	 	0	0	 	3	0.21	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	3	0.21	 	1428	97.21	 	41	2.79	 	1469	1.91
Boronia		                                    	12	0.57	 	3	0.14	 	0	0	 	15	0.71	 	9	0.43	 	10	0.47	 	0	0	 	0	0	 	1	0.05	 	20	0.95	 	19	0.9	 	2	0.09	 	0	0	 	21	0.99	 	8	0.38	 	4	0.19	 	0	0	 	0	0	 	12	0.57	 	23	1.09	 	3	0.14	 	1	0.05	 	27	1.28	 	24	1.14	 	2	0.09	 	0	0	 	0	0	 	0	0	 	0	0	 	26	1.23	 	842	39.85	 	16	0.76	 	1	0.05	 	1	0.05	 	0	0	 	0	0	 	0	0	 	860	40.7	 	2	0.09	 	0	0	 	0	0	 	2	0.09	 	939	44.44	 	25	1.18	 	2	0.09	 	0	0	 	1	0.05	 	967	45.76	 	123	5.82	 	12	0.57	 	0	0	 	1	0.05	 	0	0	 	0	0	 	0	0	 	136	6.44	 	0	0	 	0	0	 	0	0	 	0	0	 	19	0.9	 	4	0.19	 	0	0	 	23	1.09	 	1	0.05	 	0	0	 	3	0.14	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	4	0.19	 	2113	97.55	 	53	2.45	 	2166	2.82
Charlesworth Park		                          	3	0.1	 	0	0	 	0	0	 	3	0.1	 	6	0.2	 	4	0.13	 	1	0.03	 	1	0.03	 	0	0	 	12	0.4	 	17	0.56	 	2	0.07	 	0	0	 	19	0.63	 	4	0.13	 	1	0.03	 	0	0	 	0	0	 	5	0.17	 	24	0.8	 	11	0.36	 	0	0	 	35	1.16	 	23	0.76	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	23	0.76	 	1681	55.75	 	26	0.86	 	3	0.1	 	0	0	 	3	0.1	 	1	0.03	 	1	0.03	 	1715	56.88	 	4	0.13	 	0	0	 	0	0	 	4	0.13	 	1016	33.7	 	35	1.16	 	0	0	 	3	0.1	 	1	0.03	 	1055	34.99	 	100	3.32	 	15	0.5	 	0	0	 	0	0	 	0	0	 	1	0.03	 	0	0	 	116	3.85	 	0	0	 	0	0	 	0	0	 	0	0	 	22	0.73	 	0	0	 	0	0	 	22	0.73	 	0	0	 	4	0.13	 	2	0.07	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	6	0.2	 	3015	97.04	 	92	2.96	 	3107	4.04
Eastmont		                                   	2	0.12	 	1	0.06	 	1	0.06	 	4	0.23	 	4	0.23	 	5	0.29	 	0	0	 	0	0	 	1	0.06	 	10	0.58	 	11	0.63	 	3	0.17	 	0	0	 	14	0.81	 	5	0.29	 	1	0.06	 	1	0.06	 	0	0	 	7	0.4	 	6	0.35	 	3	0.17	 	0	0	 	9	0.52	 	21	1.21	 	2	0.12	 	0	0	 	0	0	 	0	0	 	0	0	 	23	1.32	 	870	50.09	 	17	0.98	 	0	0	 	2	0.12	 	0	0	 	0	0	 	0	0	 	889	51.18	 	2	0.12	 	0	0	 	0	0	 	2	0.12	 	654	37.65	 	19	1.09	 	1	0.06	 	0	0	 	0	0	 	674	38.8	 	72	4.15	 	11	0.63	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.06	 	84	4.84	 	0	0	 	0	0	 	0	0	 	0	0	 	12	0.69	 	4	0.23	 	1	0.06	 	17	0.98	 	0	0	 	0	0	 	3	0.17	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.06	 	0	0	 	0	0	 	4	0.23	 	1737	97.91	 	37	2.09	 	1774	2.31
Fairhills		                                  	8	0.34	 	3	0.13	 	0	0	 	11	0.47	 	52	2.22	 	6	0.26	 	0	0	 	0	0	 	1	0.04	 	59	2.52	 	14	0.6	 	2	0.09	 	1	0.04	 	17	0.73	 	3	0.13	 	1	0.04	 	0	0	 	0	0	 	4	0.17	 	11	0.47	 	7	0.3	 	0	0	 	18	0.77	 	34	1.45	 	3	0.13	 	0	0	 	0	0	 	0	0	 	0	0	 	37	1.58	 	856	36.52	 	20	0.85	 	1	0.04	 	0	0	 	0	0	 	0	0	 	0	0	 	877	37.41	 	3	0.13	 	0	0	 	0	0	 	3	0.13	 	1152	49.15	 	38	1.62	 	0	0	 	0	0	 	0	0	 	1190	50.77	 	85	3.63	 	11	0.47	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	96	4.1	 	0	0	 	0	0	 	0	0	 	0	0	 	20	0.85	 	6	0.26	 	1	0.04	 	27	1.15	 	0	0	 	2	0.09	 	2	0.09	 	0	0	 	0	0	 	0	0	 	1	0.04	 	0	0	 	0	0	 	0	0	 	0	0	 	5	0.21	 	2344	96.86	 	76	3.14	 	2420	3.15
Ferntree Gully West		                        	11	0.47	 	2	0.09	 	0	0	 	13	0.56	 	31	1.33	 	6	0.26	 	0	0	 	0	0	 	1	0.04	 	38	1.63	 	20	0.86	 	1	0.04	 	0	0	 	21	0.9	 	11	0.47	 	0	0	 	0	0	 	0	0	 	11	0.47	 	16	0.69	 	5	0.21	 	1	0.04	 	22	0.95	 	29	1.25	 	3	0.13	 	0	0	 	0	0	 	0	0	 	0	0	 	32	1.38	 	974	41.86	 	19	0.82	 	1	0.04	 	1	0.04	 	0	0	 	2	0.09	 	0	0	 	997	42.84	 	0	0	 	0	0	 	0	0	 	0	0	 	1029	44.22	 	33	1.42	 	1	0.04	 	0	0	 	0	0	 	1063	45.68	 	90	3.87	 	9	0.39	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	99	4.25	 	0	0	 	0	0	 	0	0	 	0	0	 	26	1.12	 	3	0.13	 	0	0	 	29	1.25	 	0	0	 	0	0	 	2	0.09	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.09	 	2327	97.53	 	59	2.47	 	2386	3.1
Flamingo		                                   	5	0.32	 	2	0.13	 	0	0	 	7	0.44	 	5	0.32	 	2	0.13	 	0	0	 	0	0	 	0	0	 	7	0.44	 	3	0.19	 	2	0.13	 	0	0	 	5	0.32	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	24	1.52	 	10	0.63	 	0	0	 	34	2.15	 	17	1.07	 	1	0.06	 	0	0	 	0	0	 	0	0	 	0	0	 	18	1.14	 	868	54.8	 	20	1.26	 	0	0	 	0	0	 	5	0.32	 	0	0	 	0	0	 	893	56.38	 	1	0.06	 	0	0	 	0	0	 	1	0.06	 	542	34.22	 	14	0.88	 	0	0	 	1	0.06	 	0	0	 	557	35.16	 	46	2.9	 	7	0.44	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	53	3.35	 	0	0	 	0	0	 	0	0	 	0	0	 	7	0.44	 	0	0	 	0	0	 	7	0.44	 	0	0	 	2	0.13	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.13	 	1584	97.54	 	40	2.46	 	1624	2.11
Heathmont High		                             	1	0.05	 	2	0.11	 	0	0	 	3	0.16	 	8	0.43	 	9	0.49	 	0	0	 	0	0	 	1	0.05	 	18	0.98	 	6	0.33	 	2	0.11	 	0	0	 	8	0.43	 	4	0.22	 	4	0.22	 	0	0	 	0	0	 	8	0.43	 	21	1.14	 	5	0.27	 	1	0.05	 	27	1.46	 	17	0.92	 	2	0.11	 	0	0	 	0	0	 	0	0	 	0	0	 	19	1.03	 	934	50.65	 	24	1.3	 	1	0.05	 	0	0	 	0	0	 	0	0	 	1	0.05	 	960	52.06	 	1	0.05	 	0	0	 	3	0.16	 	4	0.22	 	636	34.49	 	29	1.57	 	1	0.05	 	0	0	 	0	0	 	666	36.12	 	90	4.88	 	13	0.7	 	1	0.05	 	0	0	 	0	0	 	0	0	 	0	0	 	104	5.64	 	0	0	 	0	0	 	0	0	 	0	0	 	21	1.14	 	6	0.33	 	0	0	 	27	1.46	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1844	98.5	 	28	1.5	 	1872	2.43
Knoxfield		                                  	10	0.29	 	1	0.03	 	0	0	 	11	0.31	 	36	1.03	 	7	0.2	 	0	0	 	0	0	 	0	0	 	43	1.23	 	15	0.43	 	1	0.03	 	0	0	 	16	0.46	 	6	0.17	 	0	0	 	0	0	 	0	0	 	6	0.17	 	41	1.17	 	11	0.31	 	0	0	 	52	1.48	 	41	1.17	 	2	0.06	 	0	0	 	0	0	 	0	0	 	0	0	 	43	1.23	 	1412	40.31	 	36	1.03	 	3	0.09	 	0	0	 	1	0.03	 	0	0	 	1	0.03	 	1453	41.48	 	2	0.06	 	0	0	 	0	0	 	2	0.06	 	1617	46.16	 	62	1.77	 	3	0.09	 	0	0	 	0	0	 	1682	48.02	 	142	4.05	 	15	0.43	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	157	4.48	 	0	0	 	0	0	 	0	0	 	0	0	 	31	0.88	 	5	0.14	 	0	0	 	36	1.03	 	1	0.03	 	0	0	 	1	0.03	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	0.06	 	3503	97.88	 	76	2.12	 	3579	4.65
