House of Representatives -1996 Election : Tasmania																														
First Preference Votes and TCP																														
By Candidate by Polling Place																														


Bass (66017)																														

		# SMITH			SMITH			NICKLASON			BUTLER			FORMAL			INFORMAL			TOTAL										
		Warwick		          	Silvia		         	Kristina		           	Debbie		         			     			     			     	Two Candidate Preferred		    			    		
		LP			ALP			TG			DEM					 			 			 	# SMITH LP			 SMITH ALP			 EXHAUSTED 	
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Nunamara	                                    	92	47.92	 	57	29.69	 	33	17.19	 	10	5.21	 	192	97.96	 	4	2.04	 	196	0.31	 	106	55.79	 	84	44.21	 	2
Ockerby Gardens	                             	452	47.58	 	404	42.53	 	56	5.89	 	38	4	 	950	97.54	 	24	2.46	 	974	1.53	 	486	51.32	 	461	48.68	 	3
Pioneer	                                     	40	49.38	 	36	44.44	 	2	2.47	 	3	3.7	 	81	96.43	 	3	3.57	 	84	0.13	 	43	53.09	 	38	46.91	 	0
Pipers River	                                	148	55.43	 	101	37.83	 	11	4.12	 	7	2.62	 	267	97.45	 	7	2.55	 	274	0.43	 	157	59.25	 	108	40.75	 	2
Prospect	                                    	2201	52.58	 	1686	40.28	 	140	3.34	 	159	3.8	 	4186	97.74	 	97	2.26	 	4283	6.74	 	2360	56.5	 	1817	43.5	 	9
Prospect Vale	                               	647	64.51	 	310	30.91	 	25	2.49	 	21	2.09	 	1003	97.85	 	22	2.15	 	1025	1.61	 	674	67.2	 	329	32.8	 	0
Ravenswood	                                  	764	30.88	 	1554	62.81	 	67	2.71	 	89	3.6	 	2474	96.68	 	85	3.32	 	2559	4.03	 	819	33.18	 	1649	66.82	 	6
Ringarooma	                                  	229	57.54	 	149	37.44	 	8	2.01	 	12	3.02	 	398	97.55	 	10	2.45	 	408	0.64	 	235	59.05	 	163	40.95	 	0
Riverside	                                   	1567	65.26	 	654	27.24	 	119	4.96	 	61	2.54	 	2401	98.48	 	37	1.52	 	2438	3.84	 	1630	68.14	 	762	31.86	 	9
Riverside West	                              	557	58.2	 	315	32.92	 	44	4.6	 	41	4.28	 	957	98.76	 	12	1.24	 	969	1.52	 	594	62.2	 	361	37.8	 	2
Rocherlea	                                   	451	35.04	 	745	57.89	 	40	3.11	 	51	3.96	 	1287	96.33	 	49	3.67	 	1336	2.1	 	481	37.55	 	800	62.45	 	6
St Leonards	                                 	581	53.65	 	425	39.24	 	43	3.97	 	34	3.14	 	1083	99.18	 	9	0.82	 	1092	1.72	 	606	56.11	 	474	43.89	 	3
Scottsdale	                                  	1058	58.07	 	681	37.38	 	39	2.14	 	44	2.41	 	1822	97.75	 	42	2.25	 	1864	2.93	 	1086	59.64	 	735	40.36	 	1
Trevallyn	                                   	1027	56.15	 	569	31.11	 	148	8.09	 	85	4.65	 	1829	98.55	 	27	1.45	 	1856	2.92	 	1113	61.22	 	705	38.78	 	11
Waverley	                                    	279	30.69	 	563	61.94	 	24	2.64	 	43	4.73	 	909	96.81	 	30	3.19	 	939	1.48	 	300	33.08	 	607	66.92	 	2
Weymouth	                                    	112	51.14	 	95	43.38	 	6	2.74	 	6	2.74	 	219	97.77	 	5	2.23	 	224	0.35	 	118	53.88	 	101	46.12	 	0
Whitemark	                                   	199	63.38	 	90	28.66	 	15	4.78	 	10	3.18	 	314	97.21	 	9	2.79	 	323	0.51	 	209	66.99	 	103	33.01	 	2
Windmill Hill	                               	272	60.85	 	120	26.85	 	42	9.4	 	13	2.91	 	447	98.89	 	5	1.11	 	452	0.71	 	290	65.02	 	156	34.98	 	1
Winnaleah	                                   	165	71.74	 	61	26.52	 	4	1.74	 	0	0	 	230	98.71	 	3	1.29	 	233	0.37	 	166	72.17	 	64	27.83	 	0
Young Town	                                  	715	52.46	 	555	40.72	 	38	2.79	 	55	4.04	 	1363	97.64	 	33	2.36	 	1396	2.2	 	758	55.65	 	604	44.35	 	1
Special Hospitals	                           	382	68.21	 	162	28.93	 	7	1.25	 	9	1.61	 	560	98.77	 	7	1.23	 	567	0.89	 	387	69.11	 	173	30.89	 	0
Total Ordinary	                              	26476	51.15	 	21117	40.79	 	2393	4.62	 	1779	3.44	 	51765	97.85	 	1140	2.15	 	52905	83.26	 	28061	54.35	 	23570	45.65	 	134
ABSENT	                                      	2387	52.73	 	1680	37.11	 	280	6.19	 	180	3.98	 	4527	98.24	 	81	1.76	 	4608	7.25	 	2535	56.25	 	1972	43.75	 	20
POSTAL	                                      	1350	55.35	 	880	36.08	 	118	4.84	 	91	3.73	 	2439	99.15	 	21	0.85	 	2460	3.87	 	1426	58.49	 	1012	41.51	 	1
PRE_POLL	                                    	1441	50.72	 	1002	35.27	 	265	9.33	 	133	4.68	 	2841	98.13	 	54	1.87	 	2895	4.56	 	1592	56.18	 	1242	43.82	 	7
PROVISIONAL	                                 	221	34.32	 	355	55.12	 	37	5.75	 	31	4.81	 	644	95.27	 	32	4.73	 	676	1.06	 	247	38.53	 	394	61.47	 	3
Division Summary	                            	31875	51.23	 	25034	40.24	 	3093	4.97	 	2214	3.56	 	62216	97.91	 	1328	2.09	 	63544	96.25	 	33861	54.57	 	28190	45.43	 	165
 																													


Braddon (63449)																													

		THOMPSON			SIDEBOTTOM			# MILES			IVORY			FORMAL			INFORMAL			TOTAL									
		Clare		        	Peter Sid		            	Chris		        	Chris		        			     			     			     	Two Candidate Preferred		    			    	
		TG			ALP			LP			DEM					 			 			 	 SIDEBOTTOM ALP			# MILES LP			 EXHAUSTED 
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Abbotsham	                                   	8	5.76	 	35	25.18	 	90	64.75	 	6	4.32	 	139	96.53	 	5	3.47	 	144	0.23	 	42	30.22	 	97	69.78	 	0	
Acton	                                       	83	4.41	 	1097	58.23	 	618	32.8	 	86	4.56	 	1884	95.2	 	95	4.8	 	1979	3.22	 	1194	63.48	 	687	36.52	 	3	
Addison Street	                              	37	4.77	 	343	44.26	 	372	48	 	23	2.97	 	775	96.15	 	31	3.85	 	806	1.31	 	376	48.58	 	398	51.42	 	1	
Ambleside	                                   	13	2.7	 	181	37.55	 	268	55.6	 	20	4.15	 	482	98.17	 	9	1.83	 	491	0.8	 	201	41.7	 	281	58.3	 	0	
Blythe Heads	                                	7	3.93	 	77	43.26	 	79	44.38	 	15	8.43	 	178	95.7	 	8	4.3	 	186	0.3	 	94	52.81	 	84	47.19	 	0	
Boat Harbour	                                	27	7.74	 	87	24.93	 	228	65.33	 	7	2.01	 	349	98.87	 	4	1.13	 	353	0.57	 	114	32.66	 	235	67.34	 	0	
Brooklyn	                                    	27	4.5	 	319	53.17	 	238	39.67	 	16	2.67	 	600	96.77	 	20	3.23	 	620	1.01	 	351	58.6	 	248	41.4	 	1	
Burnie	                                      	83	6.18	 	512	38.12	 	687	51.15	 	61	4.54	 	1343	97.82	 	30	2.18	 	1373	2.24	 	605	45.18	 	734	54.82	 	4	
Burnie South	                                	16	3.62	 	195	44.12	 	221	50	 	10	2.26	 	442	98.44	 	7	1.56	 	449	0.73	 	207	46.94	 	234	53.06	 	1	
Calder	                                      	4	4.82	 	17	20.48	 	54	65.06	 	8	9.64	 	83	94.32	 	5	5.68	 	88	0.14	 	20	24.1	 	63	75.9	 	0	
Cooee	                                       	36	4.51	 	317	39.67	 	425	53.19	 	21	2.63	 	799	98.04	 	16	1.96	 	815	1.33	 	362	45.31	 	437	54.69	 	0	
Cuprona	                                     	5	3.7	 	47	34.81	 	82	60.74	 	1	0.74	 	135	98.54	 	2	1.46	 	137	0.22	 	52	38.52	 	83	61.48	 	0	
Currie	                                      	67	8.66	 	202	26.1	 	476	61.5	 	29	3.75	 	774	96.39	 	29	3.61	 	803	1.31	 	262	33.85	 	512	66.15	 	0	
Devonport Central	                           	103	6.2	 	586	35.3	 	918	55.3	 	53	3.19	 	1660	97.76	 	38	2.24	 	1698	2.76	 	683	41.27	 	972	58.73	 	5	
Devonport East	                              	104	4.29	 	1189	49.05	 	1040	42.9	 	91	3.75	 	2424	97.12	 	72	2.88	 	2496	4.06	 	1309	54.09	 	1111	45.91	 	4	
Devonport North	                             	32	4.7	 	256	37.59	 	374	54.92	 	19	2.79	 	681	98.27	 	12	1.73	 	693	1.13	 	287	42.14	 	394	57.86	 	0
Devonport South	                             	82	4.32	 	824	43.46	 	927	48.89	 	63	3.32	 	1896	97.28	 	53	2.72	 	1949	3.17	 	896	47.28	 	999	52.72	 	1
Don	                                         	42	7.81	 	177	32.9	 	301	55.95	 	18	3.35	 	538	97.64	 	13	2.36	 	551	0.9	 	224	41.79	 	312	58.21	 	2
Edith Creek	                                 	6	5.04	 	29	24.37	 	81	68.07	 	3	2.52	 	119	96.75	 	4	3.25	 	123	0.2	 	35	29.66	 	83	70.34	 	1
Elliott	                                     	18	9.28	 	42	21.65	 	121	62.37	 	13	6.7	 	194	97	 	6	3	 	200	0.33	 	62	31.96	 	132	68.04	 	0
Forest	                                      	22	5.74	 	98	25.59	 	250	65.27	 	13	3.39	 	383	98.71	 	5	1.29	 	388	0.63	 	117	30.63	 	265	69.37	 	1
Forth	                                       	35	5.07	 	211	30.54	 	417	60.35	 	28	4.05	 	691	97.88	 	15	2.12	 	706	1.15	 	247	35.8	 	443	64.2	 	1
Gawler	                                      	14	3.84	 	96	26.3	 	237	64.93	 	18	4.93	 	365	97.86	 	8	2.14	 	373	0.61	 	110	30.14	 	255	69.86	 	0
Grassy	                                      	9	7.32	 	30	24.39	 	83	67.48	 	1	0.81	 	123	97.62	 	3	2.38	 	126	0.21	 	37	30.08	 	86	69.92	 	0
Gunns Plains	                                	14	12.61	 	20	18.02	 	71	63.96	 	6	5.41	 	111	98.23	 	2	1.77	 	113	0.18	 	33	29.73	 	78	70.27	 	0
Havenview	                                   	28	5.28	 	267	50.38	 	211	39.81	 	24	4.53	 	530	98.88	 	6	1.12	 	536	0.87	 	299	56.74	 	228	43.26	 	3
Highclere	                                   	7	3.87	 	54	29.83	 	113	62.43	 	7	3.87	 	181	95.26	 	9	4.74	 	190	0.31	 	65	36.11	 	115	63.89	 	1
Irishtown	                                   	6	2.36	 	63	24.8	 	177	69.69	 	8	3.15	 	254	98.83	 	3	1.17	 	257	0.42	 	71	27.95	 	183	72.05	 	0
Lileah	                                      	9	14.52	 	6	9.68	 	42	67.74	 	5	8.06	 	62	95.38	 	3	4.62	 	65	0.11	 	13	20.97	 	49	79.03	 	0
Malonga Park	                                	37	3.68	 	351	34.93	 	587	58.41	 	30	2.99	 	1005	97.29	 	28	2.71	 	1033	1.68	 	394	39.2	 	611	60.8	 	0
Marrawah	                                    	40	12.58	 	55	17.3	 	202	63.52	 	21	6.6	 	318	98.15	 	6	1.85	 	324	0.53	 	96	30.28	 	221	69.72	 	1
Mawbanna	                                    	1	1.47	 	10	14.71	 	53	77.94	 	4	5.88	 	68	100	 	0	0	 	68	0.11	 	13	19.12	 	55	80.88	 	0
Melrose	                                     	13	8.97	 	39	26.9	 	88	60.69	 	5	3.45	 	145	97.97	 	3	2.03	 	148	0.24	 	50	34.48	 	95	65.52	 	0
Montagu	                                     	7	4.73	 	24	16.22	 	110	74.32	 	7	4.73	 	148	98.67	 	2	1.33	 	150	0.24	 	31	20.95	 	117	79.05	 	0
Montello	                                    	53	3.85	 	727	52.87	 	532	38.69	 	63	4.58	 	1375	96.56	 	49	3.44	 	1424	2.32	 	793	57.71	 	581	42.29	 	1
Moorleah	                                    	16	9.88	 	58	35.8	 	76	46.91	 	12	7.41	 	162	97.01	 	5	2.99	 	167	0.27	 	79	49.07	 	82	50.93	 	1
Natone	                                      	16	9.82	 	54	33.13	 	83	50.92	 	10	6.13	 	163	96.45	 	6	3.55	 	169	0.28	 	70	42.94	 	93	57.06	 	0
Nietta	                                      	6	6.98	 	25	29.07	 	51	59.3	 	4	4.65	 	86	95.56	 	4	4.44	 	90	0.15	 	31	36.47	 	54	63.53	 	1
Nixon Street	                                	116	4.44	 	1068	40.86	 	1333	50.99	 	97	3.71	 	2614	97.76	 	60	2.24	 	2674	4.35	 	1204	46.15	 	1405	53.85	 	5
North Motton	                                	22	9.4	 	49	20.94	 	147	62.82	 	16	6.84	 	234	97.91	 	5	2.09	 	239	0.39	 	75	32.19	 	158	67.81	 	1
Penguin	                                     	146	7.03	 	823	39.64	 	1005	48.41	 	102	4.91	 	2076	97.05	 	63	2.95	 	2139	3.48	 	985	47.58	 	1085	52.42	 	6
Preston	                                     	7	7	 	21	21	 	70	70	 	2	2	 	100	98.04	 	2	1.96	 	102	0.17	 	28	28	 	72	72	 	0
Redpa	                                       	4	4.94	 	22	27.16	 	50	61.73	 	5	6.17	 	81	95.29	 	4	4.71	 	85	0.14	 	27	33.33	 	54	66.67	 	0
Reekara	                                     	7	5.88	 	18	15.13	 	93	78.15	 	1	0.84	 	119	100	 	0	0	 	119	0.19	 	23	19.33	 	96	80.67	 	0
Riana	                                       	17	8.13	 	39	18.66	 	149	71.29	 	4	1.91	 	209	96.76	 	7	3.24	 	216	0.35	 	54	25.96	 	154	74.04	 	1
Ridgley	                                     	23	3.63	 	229	36.18	 	360	56.87	 	21	3.32	 	633	98.6	 	9	1.4	 	642	1.05	 	251	39.97	 	377	60.03	 	5
Rocky Cape	                                  	30	7.41	 	115	28.4	 	239	59.01	 	21	5.19	 	405	97.36	 	11	2.64	 	416	0.68	 	145	36.07	 	257	63.93	 	3
Savage River	                                	4	3.42	 	75	64.1	 	38	32.48	 	0	0	 	117	97.5	 	3	2.5	 	120	0.2	 	76	64.96	 	41	35.04	 	0
Sisters Beach	                               	15	6.36	 	80	33.9	 	131	55.51	 	10	4.24	 	236	97.93	 	5	2.07	 	241	0.39	 	96	40.68	 	140	59.32	 	0
Sisters Creek	                               	21	9.91	 	43	20.28	 	139	65.57	 	9	4.25	 	212	98.15	 	4	1.85	 	216	0.35	 	65	30.66	 	147	69.34	 	0
Smithton	                                    	86	3.66	 	812	34.52	 	1376	58.5	 	78	3.32	 	2352	97.19	 	68	2.81	 	2420	3.94	 	907	38.65	 	1440	61.35	 	5
Somerset	                                    	105	4.72	 	940	42.23	 	1102	49.51	 	79	3.55	 	2226	97.12	 	66	2.88	 	2292	3.73	 	1063	47.75	 	1163	52.25	 	0
South Riana	                                 	12	6.32	 	34	17.89	 	136	71.58	 	8	4.21	 	190	95.96	 	8	4.04	 	198	0.32	 	46	24.21	 	144	75.79	 	0
Sprent	                                      	10	5.13	 	64	32.82	 	113	57.95	 	8	4.1	 	195	99.49	 	1	0.51	 	196	0.32	 	76	38.97	 	119	61.03	 	0
Spreyton	                                    	62	5.96	 	401	38.52	 	522	50.14	 	56	5.38	 	1041	97.02	 	32	2.98	 	1073	1.75	 	461	44.37	 	578	55.63	 	2
Stanley	                                     	38	7.98	 	196	41.18	 	224	47.06	 	18	3.78	 	476	97.74	 	11	2.26	 	487	0.79	 	230	48.42	 	245	51.58	 	1
Stowport	                                    	22	9.4	 	73	31.2	 	135	57.69	 	4	1.71	 	234	96.69	 	8	3.31	 	242	0.39	 	95	40.6	 	139	59.4	 	0
Sulphur Creek	                               	29	5.57	 	166	31.86	 	307	58.93	 	19	3.65	 	521	97.38	 	14	2.62	 	535	0.87	 	194	37.31	 	326	62.69	 	1
Togari	                                      	4	4.04	 	19	19.19	 	73	73.74	 	3	3.03	 	99	98.02	 	2	1.98	 	101	0.16	 	24	24.24	 	75	75.76	 	0
Trowutta	                                    	3	4.76	 	17	26.98	 	42	66.67	 	1	1.59	 	63	100	 	0	0	 	63	0.1	 	20	31.75	 	43	68.25	 	0
Turners Beach	                               	32	5.16	 	203	32.74	 	365	58.87	 	20	3.23	 	620	97.95	 	13	2.05	 	633	1.03	 	230	37.16	 	389	62.84	 	1
Ulverstone	                                  	77	5.29	 	497	34.16	 	838	57.59	 	43	2.96	 	1455	97.65	 	35	2.35	 	1490	2.43	 	574	39.5	 	879	60.5	 	2
Ulverstone East	                             	30	3.45	 	287	32.99	 	530	60.92	 	23	2.64	 	870	98.19	 	16	1.81	 	886	1.44	 	318	36.55	 	552	63.45	 	0
Ulverstone South	                            	103	5.31	 	764	39.38	 	1009	52.01	 	64	3.3	 	1940	96.57	 	69	3.43	 	2009	3.27	 	861	44.45	 	1076	55.55	 	3
Ulverstone West	                             	58	3.15	 	746	40.5	 	966	52.44	 	72	3.91	 	1842	97.1	 	55	2.9	 	1897	3.09	 	824	44.73	 	1018	55.27	 	0
