House of Representatives - 1996 Election 							
Swing to ALP 							
By Division by Polling Place							

New South Wales							

Banks							

Polling Place	Formal	MELHAM		SPARKES		Swing	Exh
Moor Creek	342	51	15	289	85	-12.73	2
Nazareth House	185	49	26.49	136	73.51	-6.85	0
Nemingha	642	145	22.62	496	77.38	-8.49	1
Niangala	118	15	12.71	103	87.29	-11.1	0
Nowendoc	75	5	6.67	70	93.33	-3.56	0
Nundle	420	107	25.54	312	74.46	-14.61	1
Oxley Vale	1501	464	30.97	1034	69.03	-8.78	3
Peel High	1502	605	40.5	889	59.5	-11.16	8
Red Range	180	23	12.78	157	87.22	-6.16	0
Rocky River	205	99	49.01	103	50.99	-7.11	3
Ross Hill	2168	548	25.34	1615	74.66	-11.42	5
Somerton	188	30	15.96	158	84.04	-8.3	0
Special Hospital Team 1	114	43	37.72	71	62.28	-	0
Special Hospital Team 2	42	10	23.81	32	76.19	-	0
Special Hospital Team 3	9	2	22.22	7	77.78	-	0
Special Hospital Team 4	58	13	22.41	45	77.59	-	0
Special Hospital Team 5	78	17	21.79	61	78.21	-	0
Special Hospital Team 6	31	7	22.58	24	77.42	-	0
Sunnyside	137	19	14.07	116	85.93	-5.01	2
Sydney (New England)	43	16	37.21	27	62.79	10.38	0
Tamworth	2149	622	29	1523	71	-8.4	4
Tamworth High	3963	1311	33.18	2640	66.82	-10.17	12
Tamworth Primary	3134	853	27.35	2266	72.65	-6.91	15
Tamworth West	1995	624	31.36	1366	68.64	-10.32	5
Tenterfield	1291	348	27.08	937	72.92	-14.1	6
Tenterfield West	921	300	32.97	610	67.03	-9.61	11
Timbumburi	392	65	16.75	323	83.25	-3.42	4
Tingha	562	232	41.35	329	58.65	-8	1
Uralla	1702	776	46.08	908	53.92	-7.32	18
Walcha	1593	418	26.36	1168	73.64	-4.52	7
Westdale	824	177	21.51	646	78.49	-4.28	1
Wollomombi	117	24	20.87	91	79.13	0.25	2
Woolbrook	123	21	17.07	102	82.93	-1.28	0
Woolomin	159	60	37.74	99	62.26	-1.79	0
Yarrowitch	101	6	5.94	95	94.06	-6.7	0
ABSENT	4164	1296	31.3	2845	68.7	-	23
POSTAL	2177	555	25.65	1609	74.35	-	13
PRE POLL	3647	1007	27.73	2624	72.27	-	16
PROVISIONAL	808	348	43.39	454	56.61	-	6
Division Total	70313	21551	30.82	48381	69.18	-8.98	381


North Sydney							

Polling Place	Formal	OWENS		HOCKEY		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Artarmon	1525	598	39.73	907	60.27	-	20
Artarmon Central	2029	804	39.88	1212	60.12	-	13
Cammeray	2973	998	33.8	1955	66.2	-	20
Castlecrag	1360	378	27.94	975	72.06	-	7
Chatswood (North Sydney)	1787	623	34.96	1159	65.04	-	5
Chatswood East	1402	496	35.53	900	64.47	-	6
Chatswood South	1225	445	36.57	772	63.43	-	8
Chatswood West (North Sydney)	1232	485	39.66	738	60.34	-	9
Cremorne	3009	797	26.62	2197	73.38	-	15
Cremorne South (North Sydney)	2354	686	29.33	1653	70.67	-	15
Crows Nest	886	342	39.04	534	60.96	-	10
Crows Nest East	1366	562	41.57	790	58.43	-	14
Cullen	1587	448	28.46	1126	71.54	-	13
Ferndale	821	259	31.74	557	68.26	-	5
Greenwich	1989	654	33.15	1319	66.85	-	16
Greenwich North	670	244	36.97	416	63.03	-	10
Kirribilli	1641	688	42.13	945	57.87	-	8
Lane Cove	3693	1229	33.47	2443	66.53	-	21
Lane Cove South	1791	459	25.84	1317	74.16	-	15
Lane Cove West	1165	333	28.71	827	71.29	-	5
Longueville	1688	366	21.84	1310	78.16	-	12
Mcmahons Point	1871	803	43.24	1054	56.76	-	14
Milsons Point	848	350	41.87	486	58.13	-	12
Mowbray	1843	652	35.69	1175	64.31	-	16
Naremburn	2632	1038	39.74	1574	60.26	-	20
Neutral Bay	4226	1377	32.79	2823	67.21	-	26
Neutral Bay West	911	322	35.58	583	64.42	-	6
North Sydney	1698	661	39.35	1019	60.65	-	18
Northbridge	1256	407	32.64	840	67.36	-	9
Northbridge East	2240	524	23.56	1700	76.44	-	16
Parklands	1789	679	38.3	1094	61.7	-	16
Roseville South (North Sydney)	611	200	33.17	403	66.83	-	8
Royal North Shore Hospital	314	142	45.37	171	54.63	-	1
Special Hospital Team 1	175	40	22.86	135	77.14	-	0
Special Hospital Team 2	179	31	17.32	148	82.68	-	0
Special Hospital Team 3	229	34	14.85	195	85.15	-	0
Sydney (North Sydney)	207	104	50.49	102	49.51	-	1
Waverton	1287	455	35.83	815	64.17	-	17
Willoughby	3825	1496	39.39	2302	60.61	-	27
Willoughby North	2086	639	30.91	1428	69.09	-	19
Wollstonecraft	3003	1052	35.24	1933	64.76	-	18
ABSENT	5120	1950	38.39	3130	61.61	-	40
POSTAL	2624	730	27.91	1886	72.09	-	8
PRE POLL	3877	1421	36.85	2435	63.15	-	21
PROVISIONAL	616	243	39.77	368	60.23	-	5
Division Total	79660	27244	34.44	51851	65.56	-6.03	565


Page							

Polling Place	Formal	WOODS		CAUSLEY		Swing	Exh
	Votes	(ALP)	%	(NP)	%	%	
Baryulgil	57	24	42.86	32	57.14	15.83	1
Bentley	220	73	33.49	145	66.51	-3.13	2
Bexhill	497	169	34.21	325	65.79	-0.97	3
Bonalbo	448	143	32.13	302	67.87	-1	3
Broadwater	386	180	46.87	204	53.12	-4.97	2
Brooms Head	209	103	49.52	105	50.48	-10.17	1
Caniaba	254	85	33.46	169	66.54	-0.15	0
Casino	3491	1627	46.63	1862	53.37	-3.35	2
Casino High	871	480	55.24	389	44.76	-0.19	2
Casino Hospital	501	264	52.8	236	47.2	-2.7	1
Casino South	1304	531	40.81	770	59.19	-5.92	3
Casino West	749	394	52.6	355	47.4	-3.08	0
Cawongla	359	242	68.56	111	31.44	-3.15	6
Chatsworth Island	345	125	36.34	219	63.66	-3.66	1
Clovass	218	44	20.28	173	79.72	-9.78	1
Clunes	346	153	44.48	191	55.52	-8.38	2
Copmanhurst	368	156	42.39	212	57.61	-4.7	0
Coraki	942	389	41.38	551	58.62	-3.56	2
Corindi	663	322	49.01	335	50.99	-14.35	6
Corndale	144	69	47.92	75	52.08	2.95	0
Coutts Crossing	712	274	38.7	434	61.3	-10.14	4
Cowper	397	157	39.65	239	60.35	-4.46	1
Drake	135	70	52.24	64	47.76	5.78	1
Dundurrabin	165	99	60.37	65	39.63	14.78	1
Dunoon	604	297	49.92	298	50.08	-4.51	9
Eltham	188	65	34.76	122	65.24	-0.88	1
Evans Head	1537	747	48.63	789	51.37	-6.8	1
Fairy Hill	369	108	29.27	261	70.73	-10.67	0
Glenreagh	414	182	44.07	231	55.93	-9.04	1
Goolmangar	460	173	37.77	285	62.23	-3.13	2
Goonellabah	2518	968	38.66	1536	61.34	-5.52	14
Goonellabah South	2354	1006	42.94	1337	57.06	-1.89	11
Grafton	1939	883	45.59	1054	54.41	-8.64	2
Grafton East	1589	781	49.24	805	50.76	-4.74	3
Grafton Hospital	232	115	49.78	116	50.22	-1.45	1
Grafton North	1860	869	46.85	986	53.15	-6.22	5
Grafton South	1282	659	51.52	620	48.48	-2.43	3
Grevillia	190	55	29.26	133	70.74	-7.22	2
Gulmarrad	232	102	44.35	128	55.65	-6.18	2
Gundurimba South	144	29	20.28	114	79.72	-7.86	1
Harwood Island	322	142	44.37	178	55.62	-8.94	2
Horseshoe Creek	171	80	46.78	91	53.22	-1.1	0
Iluka	1183	618	52.42	561	47.58	-6.2	4
Jiggi	217	116	54.46	97	45.54	-1.05	4
Junction Hill	822	313	38.36	503	61.64	-7.77	6
Kyogle	2261	807	35.87	1443	64.13	-4.85	11
Kyogle Hospital	416	166	40	249	60	-3.53	1
Lawrence	507	245	48.51	260	51.49	-7.21	2
Leeville	263	101	38.4	162	61.6	1.1	0
Legume	134	24	17.91	110	82.09	4.2	0
Lismore	2493	1251	50.42	1230	49.58	-1.56	12
Lismore Central	1551	807	52.37	734	47.63	-1.42	10
Lismore East	1589	722	45.75	856	54.25	-4.31	11
Lismore Heights	945	388	41.28	552	58.72	-6.91	5
Lismore Hospital	373	191	51.48	180	48.52	-8.13	2
Lismore North	537	295	55.04	241	44.96	-4.58	1
Lismore South	1601	766	47.93	832	52.07	-7.19	3
Lismore St Vincents Hospital	576	234	40.77	340	59.23	-1.3	2
Liston	141	26	18.44	115	81.56	-2.89	0
Maclean	1823	858	47.17	961	52.83	-4.83	4
Maclean Hospital	547	240	43.88	307	56.12	-12.17	0
Mallanganee	228	69	30.4	158	69.6	-7.39	1
Modanville	290	101	35.07	187	64.93	-3.37	2
Nimbin	1009	731	73.91	258	26.09	3.05	20
Nymboida	150	96	65.75	50	34.25	4.27	4
Palmers Island	584	231	40.03	346	59.97	-5.6	7
Pound Hill	1688	764	45.42	918	54.58	-5.93	6
Prison Mobile Team 1	23	18	78.26	5	21.74	-	0
Rappville	180	65	36.11	115	63.89	-2.35	0
Red Rock	150	85	58.22	61	41.78	-1.04	4
Rosebank	233	169	72.84	63	27.16	3.46	1
Southgate	144	49	34.03	95	65.97	4.15	0
Special Hospital Team 1	60	26	43.33	34	56.67	-	0
Special Hospital Team 2	40	23	57.5	17	42.5	-	0
Special Hospital Team 3	83	40	48.19	43	51.81	-	0
Special Hospital Team 4	140	54	38.85	85	61.15	-	1
Special Hospital Team 5	43	19	44.19	24	55.81	-	0
Sydney (Page)	39	28	71.79	11	28.21	9.29	0
Tabulam	371	179	48.38	191	51.62	-1.01	1
The Channon	399	273	69.82	118	30.18	-1.97	8
Tregeagle	413	115	27.85	298	72.15	-4.71	0
Tucabia	319	122	38.24	197	61.76	-1.29	0
Ulmarra	638	192	30.14	445	69.86	-6.07	1
Urbenville	249	58	23.39	190	76.61	-3.89	1
Vere Street	3059	1514	49.61	1538	50.39	-8.67	7
Waterview Heights	806	344	42.95	457	57.05	-8.85	5
Westlawn	924	432	46.8	491	53.2	-6.5	1
Whiporie	130	47	36.15	83	63.85	-14.27	0
Wiangaree	272	92	33.82	180	66.18	-6.18	0
Wombah	307	165	53.75	142	46.25	-7.32	0
Woodburn	855	343	40.21	510	59.79	-8.52	2
Woodenbong	360	98	27.22	262	72.78	7.16	0
Wooli	593	307	52.03	283	47.97	-1.77	3
Wyrallah	352	119	33.81	233	66.19	-3.79	0
Yamba	2673	1313	49.36	1347	50.64	-3.84	13
Yorklea	258	83	32.42	173	67.58	-4.45	2
ABSENT	3300	1687	51.5	1589	48.5	-	24
POSTAL	2629	1065	40.62	1557	59.38	-	7
PRE POLL	3307	1518	46.04	1779	53.96	-	10
PROVISIONAL	707	421	60.32	277	39.68	-	9
Division Total	76170	34657	45.69	41190	54.31	-4.44	323


Parkes							

Polling Place	Formal	BREBNER		COBB		Swing	Exh
	Votes	(ALP)	%	(NP)	%	%	
Albert	93	20	21.51	73	78.49	4.62	0
Alectown	164	21	12.8	143	87.2	-10.23	0
Alma	2409	1830	76.15	573	23.85	-7.48	6
Ballimore	92	30	32.61	62	67.39	2.5	0
Bedgerebong	131	18	13.74	113	86.26	-0.94	0
Bobadah	47	9	19.15	38	80.85	-2.59	0
Bogan Gate	235	46	19.66	188	80.34	-2.66	1
Bourke	1511	723	47.94	785	52.06	-6.88	3
Brewarrina	603	313	51.91	290	48.09	1.54	0
Broken Hill	1887	1311	69.7	570	30.3	-3.21	6
Broken Hill Hospital	284	191	67.49	92	32.51	-5.68	1
Broken Hill North	2274	1560	69	701	31	-4.59	13
Broken Hill West	1135	782	68.96	352	31.04	-4.38	1
Burcher	58	3	5.17	55	94.83	-4.06	0
Churchill Gardens	1579	698	44.29	878	55.71	-4.97	3
Cobar	2398	980	40.9	1416	59.1	-11.54	2
Collie	80	5	6.25	75	93.75	-3.22	0
Condobolin	2086	854	40.98	1230	59.02	-4.22	2
Cookamidgera	86	31	36.05	55	63.95	-5.42	0
Coolabah	61	19	31.15	42	68.85	10.83	0
Dubbo	1934	782	40.62	1143	59.38	-3.18	9
Dubbo East	1807	768	42.71	1030	57.29	-2.12	9
Dubbo Grove	2554	902	35.36	1649	64.64	-1.08	3
Dubbo Hospital	197	83	42.13	114	57.87	0.85	0
Dubbo North	2335	1012	43.43	1318	56.57	-4.78	5
Dubbo South	1908	742	38.95	1163	61.05	-4.71	3
Dubbo West	2032	879	43.41	1146	56.59	-3.69	7
Emmagool	105	13	12.38	92	87.62	-10.23	0
Enngonia	75	20	27.03	54	72.97	-2.97	1
Euabalong	125	55	44	70	56	-12	0
Eumungerie	201	39	19.6	160	80.4	-5.97	2
Excelsior	1188	840	71.01	343	28.99	-5.59	5
Fifield	67	17	25.37	50	74.63	-14.1	0
Forbes	3098	1117	36.16	1972	63.84	-7.2	9
Forbes Hospital	392	128	32.65	264	67.35	-9.88	0
Forbes North	1323	559	42.32	762	57.68	-7.93	2
Forbes South	478	174	36.48	303	63.52	-6.85	1
Garema	77	6	7.79	71	92.21	1.77	0
Girilambone	88	20	22.99	67	77.01	5.13	1
Goodooga	170	119	70	51	30	-2.77	0
Gunningbland	53	10	19.23	42	80.77	-8.17	1
Hermidale	104	18	17.31	86	82.69	-4.37	0
Hillside	1679	1210	72.37	462	27.63	-5.74	7
Ivanhoe	204	86	42.16	118	57.84	4.03	0
Lake Cargelligo	849	230	27.15	617	72.85	-8.38	2
Lourdes Hospital	448	181	40.49	266	59.51	-6.23	1
Louth	59	13	22.03	46	77.97	-9.36	0
Menindee	450	306	68.15	143	31.85	-10.21	1
Morgan Street	1569	993	63.57	569	36.43	-7.22	7
Murrin Bridge	63	39	63.93	22	36.07	-18.67	2
Narromine	2569	882	34.43	1680	65.57	-7.44	7
Nevertire	157	34	21.66	123	78.34	-2.27	0
Nymagee	75	13	17.33	62	82.67	1.48	0
Nyngan	1434	644	45.07	785	54.93	-6.43	5
Ootha	58	4	6.9	54	93.1	-2.91	0
Orana Heights	2920	1119	38.37	1797	61.63	-4.48	4
Parkes	1579	562	35.73	1011	64.27	-7.59	6
Parkes East	1107	349	31.67	753	68.33	-7.49	5
Parkes High	826	316	38.49	505	61.51	-5.26	5
Parkes Hospital	584	234	40.34	346	59.66	-4.28	4
Peak Hill	813	274	33.7	539	66.3	-4.63	0
Railway Gates	1751	798	45.76	946	54.24	-8.11	7
Rees Avenue	499	170	34.21	327	65.79	-5.47	2
Remote Mobile Team 1	22	7	31.82	15	68.18	-	0
Remote Mobile Team 2	51	20	39.22	31	60.78	-	0
Remote Mobile Team 3	13	6	46.15	7	53.85	-	0
Remote Mobile Team 4	16	2	12.5	14	87.5	-	0
Special Hospital Team 1	139	114	82.61	24	17.39	-	1
Special Hospital Team 10	7	4	57.14	3	42.86	-	0
Special Hospital Team 11	12	8	66.67	4	33.33	-	0
Special Hospital Team 2	10	4	40	6	60	-	0
Special Hospital Team 3	15	9	60	6	40	-	0
Special Hospital Team 4	61	19	31.67	41	68.33	-	1
Special Hospital Team 5	115	32	27.83	83	72.17	-	0
Special Hospital Team 6	4	2	50	2	50	-	0
Special Hospital Team 7	18	11	61.11	7	38.89	-	0
Special Hospital Team 8	5	0	0	5	100	-	0
Special Hospital Team 9	92	25	27.17	67	72.83	-	0
Sydney (Parkes)	51	20	40	30	60	15.68	1
Tibooburra	89	27	30.34	62	69.66	4.66	0
Tilpa	38	4	10.53	34	89.47	-7.42	0
Tomingley	187	33	17.65	154	82.35	-3.08	0
Tottenham	397	89	22.42	308	77.58	-5.55	0
Trangie	808	252	31.23	555	68.77	-6.79	1
Trundle	515	111	21.55	404	78.45	-6.76	0
Tullamore	293	55	18.77	238	81.23	-0.93	0
Tullibigeal	223	10	4.48	213	95.52	-3.25	0
Wanaaring	73	6	8.22	67	91.78	-3.36	0
Warren	1472	554	37.71	915	62.29	-8.58	3
Warroo	106	14	13.21	92	86.79	0.09	0
Weilmoringle	69	23	33.33	46	66.67	4.3	0
White Cliffs	90	22	24.44	68	75.56	-20.84	0
Wilcannia	390	256	65.64	134	34.36	7.53	0
Wirrinya	60	4	6.67	56	93.33	-3.12	0
Wongarbon	300	94	31.33	206	68.67	-7.08	0
Yantabulla	27	4	14.81	23	85.18	5.44	0
ABSENT	4626	1598	34.69	3009	65.31	-	19
POSTAL	2792	775	27.78	2015	72.22	-	2
PRE POLL	3796	1706	45.05	2081	54.95	-	9
PROVISIONAL	518	294	56.87	223	43.13	-	1
Division Total	74717	32418	43.5	42100	56.5	-5.96	199


Parramatta							

Polling Place	Formal	ELLIOTT		CAMERON		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Ballandella Road	1124	599	53.39	523	46.61	-11.56	2
Baulkham Hills (Parramatta)	738	247	33.56	489	66.44	-11.18	2
Carlingford	1326	468	35.32	857	64.68	-2.41	1
Carlingford North	1962	628	32.07	1330	67.93	-2.2	4
Carlingford West	3266	1076	33.15	2170	66.85	-4.27	20
Darcy Road	1794	971	54.22	820	45.78	-6	3
Dundas	2307	1096	47.74	1200	52.26	-10.41	11
Dundas Valley	754	400	53.05	354	46.95	-6.92	0
Ermington (Parramatta)	233	110	47.41	122	52.59	0.47	1
Ermington Central	1821	1067	58.92	744	41.08	-7.61	10
Ermington West	2506	1280	51.26	1217	48.74	-8.76	9
Girraween	2030	1136	56.27	883	43.73	-8.4	11
Harris Park	858	541	63.13	316	36.87	-2.26	1
Lake Parramatta	1182	553	46.94	625	53.06	-10.75	4
Macarthur High	1430	722	50.7	702	49.3	-7.97	6
Melrose	970	462	47.83	504	52.17	-9.93	4
North Rocks Road	3241	1057	32.82	2164	67.18	-5.57	20
Northmead	3911	1577	40.44	2323	59.56	-10.31	11
Northmead High	1546	571	37.05	970	62.95	-6.84	5
Oatlands	2444	750	30.74	1690	69.26	-5.61	4
Old Toongabbie	4713	2481	52.7	2227	47.3	-7.71	5
Parramatta	1423	834	58.82	584	41.18	-4.31	5
Parramatta East	1076	550	51.35	521	48.65	-11.34	5
Parramatta High	352	193	55.14	157	44.86	-4.99	2
Parramatta North	1725	906	52.58	817	47.42	-5.52	2
Pendle Hill (Parramatta)	1137	655	57.81	478	42.19	-9.11	4
Pendle Hill Central (Parramatta)	294	158	54.11	134	45.89	-7.33	2
Pendle Hill North	706	352	50	352	50	-8.41	2
Prison Mobile Team 1	0	0	0	0	0	-	0
Rydalmere	1588	875	55.31	707	44.69	-11.15	6
Rydalmere North	2549	1091	43.04	1444	56.96	-9.69	14
Special Hospital Team 1	197	78	39.59	119	60.41	-	0
Special Hospital Team 2	131	40	30.53	91	69.47	-	0
Sydney (Parramatta)	96	64	66.67	32	33.33	6.67	0
Telopea	2719	1340	49.41	1372	50.59	-7.07	7
Toongabbie East	995	556	55.88	439	44.12	-11	0
Wentworthville Central	557	329	59.17	227	40.83	-3.95	1
Westmead (Parramatta)	392	230	58.67	162	41.33	-1.24	0
Westmead Hospital	289	160	55.36	129	44.64	-6.51	0
Westmead North	660	376	57.06	283	42.94	-1.12	1
Winston Heights	1240	498	40.19	741	59.81	-9.38	1
Winston Hills	3656	1317	36.09	2332	63.91	-7.22	7
Woodberry Village	450	142	31.63	307	68.37	-5.99	1
ABSENT	4360	2147	49.42	2197	50.58	-	16
POSTAL	2672	1145	42.88	1525	57.12	-	2
PRE POLL	2178	1059	48.67	1117	51.33	-	2
PROVISIONAL	403	228	56.72	174	43.28	-	1
Division Total	72001	33115	46.13	38671	53.87	-7.11	215


Paterson							

Polling Place	Formal	HORNE		BALDWIN		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Anna Bay	1768	959	54.43	803	45.57	-3.39	6
Ashtonfield	1263	648	51.43	612	48.57	-4.41	3
Bandon Grove	140	35	25	105	75	-5.83	0
Barrington	315	59	18.91	253	81.09	-5.28	3
Bobs Farm	238	95	40.08	142	59.92	2.03	1
Bolwarra	997	353	35.76	634	64.24	-0.01	10
Booral	339	138	40.71	201	59.29	-4.53	0
Bulahdelah	1033	331	32.1	700	67.9	-5.28	2
Bungwahl	243	113	46.5	130	53.5	-9.75	0
Bunyah	43	10	23.26	33	76.74	0.18	0
Clarence Town	897	486	54.42	407	45.58	-2.87	4
Coolongolook	161	67	41.61	94	58.39	8.74	0
Coomba Park	251	116	46.4	134	53.6	-0.69	1
Corlette	1252	497	39.89	749	60.11	-5.01	6
Dungog	1778	748	42.14	1027	57.86	-3.69	3
East Maitland	740	408	55.36	329	44.64	-3.92	3
East Maitland Heights	1402	759	54.25	640	45.75	-3.69	3
East Maitland South	1428	721	50.67	702	49.33	-8.01	5
Eastville	497	345	69.98	148	30.02	-2.25	4
Fern Bay	851	571	67.26	278	32.74	-8.79	2
Gillieston Heights	466	263	56.56	202	43.44	-7.18	1
Glen William	91	28	30.77	63	69.23	2.07	0
Gloucester	1711	424	24.9	1279	75.1	-2.05	8
Gloucester Hospital	441	91	20.63	350	79.37	-3.72	0
Gresford	572	182	32.04	386	67.96	3.2	4
Hawks Nest	870	407	46.89	461	53.11	-4.99	2
Hinton	424	146	34.43	278	65.57	-6.4	0
Karuah	894	469	52.64	422	47.36	-1.07	3
Largs	643	250	39.06	390	60.94	-5.15	3
Lemon Tree Passage	1283	698	54.53	582	45.47	-5.02	3
Lorn	1181	540	46.15	630	53.85	-1.48	11
Maitland	726	543	74.79	183	25.21	-0.71	0
Maitland Grossmann High	353	196	56	154	44	-6.76	3
Maitland High	1237	652	52.92	580	47.08	-5.47	5
Maitland Hospital	766	414	54.12	351	45.88	-8.82	1
Maitland West	849	522	61.92	321	38.08	-5.3	6
Mallabula	337	192	56.97	145	43.03	-6.86	0
Martins Creek	207	108	52.68	97	47.32	-3.23	2
Medowie	1609	798	49.87	802	50.12	-4.83	9
Metford	1862	1119	60.1	743	39.9	-3.28	0
Millers Forest	233	73	31.33	160	68.67	-3.84	0
Morpeth	987	485	49.44	496	50.56	-7.95	6
Mount Kanwary	185	58	31.52	126	68.48	1.52	1
Nelson Bay	934	369	39.81	558	60.19	-1.79	7
Nelson Bay Central	1164	520	44.83	640	55.17	-6.09	4
Nelson Bay East	244	121	50	121	50	-2.86	2
Nelson Bay West	707	293	41.56	412	58.44	-4.97	2
North Arm Cove	217	99	45.62	118	54.38	-7.8	0
Pacific Palms	824	385	46.89	436	53.11	-5.73	3
Paterson	435	159	36.89	272	63.11	-6.1	4
Prison Mobile Team 1	0	0	0	0	0	-	0
Raymond Terrace	1758	963	55.06	786	44.94	-1.17	9
Raymond Terrace Central	1352	721	53.45	628	46.55	2.18	3
Raymond Terrace East	2161	1210	56.23	942	43.77	-4.12	9
Raymond Terrace North	1546	896	58.41	638	41.59	-0.03	12
Rookhurst	98	18	18.37	80	81.63	8.37	0
Rutherford	1598	994	62.59	594	37.41	-3.07	10
Rutherford North	1875	1212	64.71	661	35.29	-6.19	2
Rutherford West	585	412	70.67	171	29.33	-5.12	2
Salamander	488	183	37.5	305	62.5	-8.02	0
Salamander Bay	1259	514	41.02	739	58.98	-6.09	6
Salisbury	94	12	12.9	81	87.1	6.59	1
Salt Ash	714	293	41.27	417	58.73	-5.48	4
Seaham	806	339	42.32	462	57.68	-4	5
Shoal Bay	1498	731	48.83	766	51.17	-6.59	1
Soldiers Point	807	364	45.22	441	54.78	-2.51	2
Special Hospital Team 1	136	47	34.56	89	65.44	-	0
Special Hospital Team 2	119	67	56.3	52	43.7	-	0
Special Hospital Team 3	100	41	41	59	59	-	0
Stratford	214	44	20.66	169	79.34	-5.94	1
Stroud	522	175	33.78	343	66.22	-4.15	4
Stroud Road	172	45	26.32	126	73.68	-0.9	1
Sydney (Paterson)	35	16	45.71	19	54.29	11.23	0
Tanilba Bay	1425	750	52.71	673	47.29	-6.69	2
Tea Gardens	759	357	47.28	398	52.72	-4.84	4
Telarah	1584	1079	68.38	499	31.62	-6.02	6
Tenambit	2283	1316	57.9	957	42.1	-0.48	10
Tomago	152	95	62.5	57	37.5	-3.13	0
Vacy	372	137	37.23	231	62.77	-0.6	4
Wallarobba	125	34	27.2	91	72.8	-6.13	0
Wards River	135	41	30.37	94	69.63	-7.49	0
Williamtown	768	281	36.73	484	63.27	-4.3	3
Wirreanda Medowie	1409	705	50.18	700	49.82	-4.51	4
Woodville	403	168	41.9	233	58.1	0.74	2
Wootton	113	35	30.97	78	69.03	1.31	0
ABSENT	4113	2149	52.52	1943	47.48	-	21
POSTAL	2356	1113	47.32	1239	52.68	-	4
PRE POLL	2227	997	44.99	1219	55.01	-	11
PROVISIONAL	445	268	60.36	176	39.64	-	1
Division Total	74694	36885	49.57	37519	50.43	-3.73	290


Prospect							

Polling Place	Formal	CROSIO		CAMERON		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Abbotsbury	710	372	52.54	336	47.46	-15.4	2
Bossley Park	3014	1863	61.96	1144	38.04	-5.64	7
Bossley Park High	2229	1364	61.28	862	38.72	-6.37	3
Carramar	207	142	69.27	63	30.73	-4.87	2
Fairfield	2212	1776	80.29	436	19.71	5.42	0
Fairfield East	958	671	70.26	284	29.74	-6.36	3
Fairfield Heights	3411	2268	66.69	1133	33.31	-5.18	10
Fairfield North	2050	1509	73.72	538	26.28	-0.92	3
Fairfield South	2184	1511	69.22	672	30.78	-5.11	1
Fairfield West	3124	2120	68.01	997	31.99	-5.8	7
Fairvale High	1506	1012	67.38	490	32.62	-6.96	4
Governor Phillip King	1707	1132	66.43	572	33.57	-2.33	3
Greystanes	3669	1957	53.5	1701	46.5	-5.39	11
Greystanes North	2432	1385	57.11	1040	42.89	-5.57	7
Guildford (Prospect)	448	242	54.02	206	45.98	-10.42	0
Guildford West	2768	1690	61.3	1067	38.7	-7.64	11
Holroyd	1151	615	53.52	534	46.48	-9.88	2
Horsley Park	1220	417	34.24	801	65.76	-11.4	2
Old Guildford (Prospect)	999	638	63.93	360	36.07	-8.48	1
Pendle Hill South	1788	966	54.18	817	45.82	-8.32	5
Prairievale	2448	1832	74.99	611	25.01	-1.11	5
Ringrose	2504	1373	55.07	1120	44.93	-9.26	11
Sherwood Grange (Prospect)	613	355	58.2	255	41.8	-8	3
Smithfield	2162	1384	64.13	774	35.87	-7.25	4
Smithfield East	1770	1170	66.36	593	33.64	-9.09	7
Smithfield West	3876	2487	64.36	1377	35.64	-4.92	12
Special Hospital Team 1	65	44	67.69	21	32.31	-	0
St Johns Park High	2282	1651	72.38	630	27.62	-1.07	1
Sydney (Prospect)	54	30	55.56	24	44.44	0.29	0
Villawood	1970	1415	71.94	552	28.06	-3.45	3
Villawood North	1892	1445	76.5	444	23.5	-0.7	3
Widemere	1786	912	51.29	866	48.71	-9.28	8
William Stimson	2933	1824	62.27	1105	37.73	-5.64	4
Yennora	1022	639	62.52	383	37.48	-7.52	0
ABSENT	3432	2233	65.18	1193	34.82	-	6
POSTAL	1013	628	61.99	385	38.01	-	0
PRE POLL	1294	811	62.77	481	37.23	-	2
PROVISIONAL	470	353	75.11	117	24.89	-	0
Division Total	69373	44236	63.91	24984	36.09	-5.13	153


Reid							

Polling Place	Formal	FERGUSON		McDOWELL		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Auburn	4383	3179	72.63	1198	27.37	-2.73	6
Auburn East	627	356	57.23	266	42.77	-14.97	5
Auburn Hospital	238	149	62.61	89	37.39	-7.78	0
Auburn North	1102	801	73.08	295	26.92	-1.96	6
Auburn West	2817	1936	68.73	881	31.27	-4.41	0
Berala	3100	2019	65.4	1068	34.6	-4.28	13
Blaxcell	4910	3297	67.24	1606	32.76	-7.23	7
Cardinal Gilroy Village	410	196	48.04	212	51.96	-12.41	2
Fowler Road	2786	1541	55.35	1243	44.65	-10.64	2
Granville	3597	2445	68.2	1140	31.8	-5.2	12
Granville North	787	522	66.5	263	33.5	-9.11	2
Granville South	1688	1041	61.74	645	38.26	-9.68	2
Guildford (Reid)	1550	909	58.76	638	41.24	-10.02	3
Guildford East	1848	1028	55.63	820	44.37	-9.49	0
