House of Representatives -1996 Election 				
National List of Candidates				

Candidate	Party		Division	State
"MAUNSELL, Brad"	LP		Hotham	VIC
"MAY, Alan P"	DEM		Maranoa	QLD
"MCALLISTER, Gordon"	GRN		Canberra	ACT
"MCARTHUR, Stewart"	LP		Corangamite	VIC
"MCCALL, John"	IND		Macquarie	NSW
"MCCARROLL, Nola"	ALP		Berowra	NSW
"MCCARRON, James"	NLP		Aston	VIC
"MCCARTHY, Brian"	IND		Brand	WA
"MCCARTHY, W J"	AIP		Groom	QLD
"MCCLELLAND, Robert"	ALP		Barton	NSW
"MCCROSSIN, Fiona"	GRN		Wentworth	NSW
"MCDONALD, Alan"	NLP		Ballarat	VIC
"MCDONALD, James Ian"	IND		Cook	NSW
"MCDOUGALL, Graeme"	LP		Griffith	QLD
"MCDOWELL, Lynne"	LP		Reid	NSW
"MCGAURAN, Peter"	NP		Gippsland	VIC
"MCGRATH, Joanne Margaret"	DEM		Gilmore	NSW
"MCGRATH, Mark"	ALP		Cook	NSW
"MCKENZIE, Ian"	GRN		Shortland	NSW
"MCKEON, John Robert"	GRN		Oxley	QLD
"MCKERCHER, Mal"	DEM		Brand	WA
"MCLACHLAN, Ian"	LP		Barker	SA
"MCLEAN, Bruce"	CTA		Calare	NSW
"MCLEAN, Chris. D."	CTA		Barton	NSW
"MCLEAY, Leo"	ALP		Watson	NSW
"MCLENNAN, David"	NLP		Parkes	NSW
"MCLOUGHLIN, Ross"	ALP		Mackellar	NSW
"MCMULLAN, Bob"	ALP		Canberra	ACT
"MEIKLE, Jeffrey"	DEM		Blaxland	NSW
"MELHAM, Daryl"	ALP		Banks	NSW
"MENDELSSOHN, David"	DEM		Grayndler	NSW
"MERLEHAN, Ray"	ALP		Fadden	QLD
"MILES, Chris"	LP		Braddon	TAS
"MILLS, Ann"	ALP		Forrest	WA
"MILLS, Duncan"	DEM		Lyons	TAS
"MINAS, Jack"	LP		Wills	VIC
"MISDOM, Fred J"	NLP		Cunningham	NSW
"MITSOU, George"	IND		Holt	VIC
"MOHYLENKO, Enid"	NLP		Port Adelaide	SA
"MOLES, Sarah"	GRN		Groom	QLD
"MOORE, Anthony"	LP		Burke	VIC
"MOORE, Evonne"	AFI		Kingston	SA
"MOORE, John Colinton"	LP		Ryan	QLD
"MORAN, Bernie"	ALP		Murray	VIC
"MORGAN, Marc"	LP		Scullin	VIC
"MORRIS, Allan A"	ALP		Newcastle	NSW
"MORRIS, Bevan"	NLP		Boothby	SA
"MORRIS, Peter"	ALP		Shortland	NSW
"MORROW, Richard Neale"	ALP		Wannon	VIC
"MOSSFIELD, Frank"	ALP		Greenway	NSW
"MOYLAN, Judi"	LP		Pearce	WA
"MUELLER, Henri"	GRN		Makin	SA
"MUIR, Bob"	GRN		Capricornia	QLD
"MULDOWNEY, Patrick Kevin"	IND		Kingston	SA
"MULLIN, Sharon"	GRN		Calare	NSW
"MUNRO, Neil"	DEM		O'Connor	WA
"MURRAY, Bob"	ALP		Maranoa	QLD
"MUSSARED, David"	GRN		Mayo	SA
"MUTCH, Stephen"	LP		Cook	NSW

"NAIRN, Gary"	LP		Eden-Monaro	NSW
"NASSER, Safwan"	IND		Barton	NSW
"NEDERLOF, Paul Daniel"	DEM		Sydney	NSW
"NEENAN, John"	AFI		Ballarat	VIC
"NEHL, Garry"	NP		Cowper	NSW
"NELSON, Bev"	NLP		Dunkley	VIC
"NELSON, Brendan"	LP		Bradfield	NSW
"NELSON, Gary"	NLP		Perth	WA
"NEVILLE, Paul"	NP		Hinkler	QLD
"NEWCOMBE, Mary"	IND		Makin	SA
"NEWELL, Neville"	ALP		Richmond	NSW
"NEWELL, Paula"	IND		Kingston	SA
"NEWHOUSE, Timothy David"	DEM		Jagajaga	VIC
"NEWMAN, Amelia"	DEM		Watson	NSW
"NGUYEN, Khiet"	DEM		Gellibrand	VIC
"NGUYEN, Xuan Thu"	IND		Rankin	QLD
"NICHOLLS, Mark"	AGV		Higgins	VIC
"NICHOLSON, Sarah"	AGV		Melbourne	VIC
"NICKLASON, Kristina"	TG		Bass	TAS
"NIELSEN, Howard Robert"	ALP		Ryan	QLD
"NIELSEN, Richard"	GRN		Rankin	QLD
"NIEUWENHUIS, Robert"	NLP		Corio	VIC
"NITSCHKE, Philip"	GRN		Northern Territory	NT
"NOLAN, Richard"	NLP		Calare	NSW
"NORMAN-HICKS, Melinda"	DEM		McPherson	QLD
"NUGENT, Peter Edward"	LP		Aston	VIC
"NURTON, David"	GRN		Kingston	SA

"O'CONNOR, Gavan"	ALP		Corio	VIC
"O'HALLORAN, Donald"			Sydney	NSW
"O'KEEFE, Neil"	ALP		Burke	VIC
"O'LEARY, Maya"	GRN		Bonython	SA
"O'NEILL, Robert"	CTA		Cunningham	NSW
"OEHME, Keith"	DEM		Sturt	SA
"OSHLACK, Al"	RCG		Page	NSW
"OSS-EMER, Elizabeth"	DEM		Fairfax	QLD
"OUSBY, Peter"	IND		Groom	QLD
"OWEN, Andrew"	IND		Chifley	NSW
"OWENS, Julie"	ALP		North Sydney	NSW
"OXLEY, Jeremy"	GRN		Kingsford-Smith	NSW

"PAGE, James Smith"	DEM		Page	NSW
"PAINE, Kevin"	DEM		Dawson	QLD
"PALMER, Col"	ALP		Mallee	VIC
"PANTANO, Kim"	GRN		Dickson	QLD
"PARKER, Col"	DEM		Kennedy	QLD
"PARKER, David"	LP		Shortland	NSW
"PARKER, Jamie"	GRN		Bennelong	NSW
"PARNELL, Mark"	GRN		Boothby	SA
"PAYNE, Noel Andrew"	DEM		Moncrieff	QLD
"PEACH, Louise"	AWP		Fisher	QLD
"PEAK, Travis"	AFI		Dunkley	VIC
"PEARCE, Paul"	ALP		Wentworth	NSW
"PEART, Kim"	IND		Franklin	TAS
"PENFOLD, Andrew"	DEM		Robertson	NSW
"PENSON, Michelle"	LP		Jagajaga	VIC
"PERRETT, Jim"	IND		Gwydir	NSW
"PERROTT, Margaret"			Cunningham	NSW
"PETERS, Julie"	DEM		Batman	VIC
"PETERSON, Janne"	CTA		Sydney	NSW
"PETIT, Paul"	GRN		Wakefield	SA
"PETTITT, Tony"	AFI		Mitchell	NSW
"PHILLIPS, Andrew"			Hindmarsh	SA
"PHILLIPS, John"	IND		Petrie	QLD
"PHILLIPS, Neil"	NLP		Scullin	VIC
"PHILLIPS, Sue"			Calwell	VIC
"PICKEN, Karen"	GRN		Warringah	NSW
"PILGRIM, Ian K"	AIP		Moncrieff	QLD
"PLUMB, Noel"	DEM		Lowe	NSW
"POLLOCK, Jamie"	NLP		Gippsland	VIC
"POLLOCK, Michael"	NLP		McMillan	VIC
"POULARAS, Manny"	DEM		Prospect	NSW
"POULSEN, Ron"			Grayndler	NSW
"PREKETES, Arthur A"	IND		Batman	VIC
"PRENZLER, Andrew"	IND		Moncrieff	QLD
"PRICE, Penny"	NLP		Mitchell	NSW
"PRICE, Roger"	ALP		Chifley	NSW
"PRICE, Sandy"	NLP		Moncrieff	QLD
"PRITCHARD, Jeremy H"	AFI		Dobell	NSW
"PROSSER, Geoff"	LP		Forrest	WA
"PULLEN, David Roy"	DEM		Oxley	QLD
"PYNE, Christopher"	LP		Sturt	SA

"QUARTLY, Allan"	DEM		Cowper	NSW
"QUICK, Harry"	ALP		Franklin	TAS
"QUIN, Di"	IND		Melbourne	VIC

"RAHME, Melodie"	CTA		Blaxland	NSW
"RAHME, Todd"	CTA		Watson	NSW
"RALPH, Doug"	AGV		Bendigo	VIC
"RANDALL, Don"	LP		Swan	WA
"RATCLIFFE, Margaret"	CTA		Bradfield	NSW
"RATTENBURY, Shane"	GRN		Namadgi	ACT
"RAYNOR, Kaylyn"	DEM		Isaacs	VIC
"REBE, Phil"	AFI		Brand	WA
"RECHNER, Peter"	DEM		Maribyrnong	VIC
"REDDY, Suzanne"	DEM		Bennelong	NSW
"REID, Bruce"	LP		Bendigo	VIC
"REILLY, Selina"	AIP		Bowman	QLD
"REITH, Peter Keaston"	LP		Flinders	VIC
"RENTON, Iain"	DEM		Griffith	QLD
"RIACH, Rodger John"	DEM		Lyne	NSW
"RICE, Janet"	AGV		Gellibrand	VIC
"RICHARDSON, Martin John"	NLP		Wills	VIC
"RICHARDSON, Terri"	DEM		Cook	NSW
"RICKARD, Jon"	DEM		Macquarie	NSW
"RIGBY, Byron P"	NLP		Jagajaga	VIC
"ROBB, Victor"	IND		Oxley	QLD
"ROBERTS, Patti"	NLP		Canning	WA
"ROBERTS, Ralph"	IND		Flinders	VIC
"ROBINSON, Les"	GRN		Throsby	NSW
"ROBINSON, Tony"	ALP		Chisholm	VIC
"ROCHER, Allan"	IND		Curtin	WA
"ROEBUCK, Steven"	ALP		Curtin	WA
"RONALDSON, Michael"	LP		Ballarat	VIC
"ROONEY, Eugene"	GRY		Wakefield	SA
"ROSBOROUGH, Derek"	IND		Namadgi	ACT
"ROSE, George"	NLP		Murray	VIC
"ROSITANO, Maddalena"	DEM		Port Adelaide	SA
"ROTHSCHILD, David"	GRN		Gilmore	NSW
"ROWSELL, Marje"	AFI		Lyne	NSW
"RUDD, Kevin"	ALP		Griffith	QLD
"RUDDOCK, Philip"	LP		Berowra	NSW
"RUSH, Emma"	AGV		Hotham	VIC
"RUSSELL, Susie"	GRN		Lyne	NSW
"RYAN, Frank"	AGV		Batman	VIC
"RYDE, Jenny"	GRN		Grayndler	NSW
"RYDER, J.S."	NLP		Greenway	NSW

"SAILOR, Josephine"	AWP		Herbert	QLD
"SANKO, Peter"	CTA		Gellibrand	VIC
"SANTORINIOS, Arthur"	LP		Barton	NSW
"SAUNDERS, Jane"	ALP		Swan	WA
"SAUNDERS, John"	NP		Dickson	QLD
"SAWFORD, Rod"	ALP		Port Adelaide	SA
"SAYEGH, Peter"	IND		Blaxland	NSW
"SCALLY, Bill"	NLP		Berowra	NSW
"SCHLAGER, Raymond"	NLP		Kooyong	VIC
"SCHUR, Basil"	GWA		Forrest	WA
"SCIACCA, Con"	ALP		Bowman	QLD
"SCOTT, Amanda"	LP		Rankin	QLD
"SCOTT, Andrew"	NLP		Makin	SA
"SCOTT, Bruce"	NP		Maranoa	QLD
"SCOTT, Heidi"	IND		Parramatta	NSW
"SCOTT, Les"	ALP		Oxley	QLD
"SCURFIELD, Lorna"	NLP		Higgins	VIC
"SEKFY, Paul"	ALP		Cowper	NSW
"SEKHON, Gurm"	AGV		Scullin	VIC
"SEMMENS, Don"	DEM		Bendigo	VIC
"SERCOMBE, Bob"	ALP		Maribyrnong	VIC
"SHARAH, Alex"	CTA		Grayndler	NSW
"SHARP, John"	NP		Hume	NSW
"SHAW, Robert"	NAN		Bennelong	NSW
"SIDDONS, John"	DEM		Deakin	VIC
"SIDEBOTTOM, Peter Sid"	ALP		Braddon	TAS
"SINCLAIR, Ian"	NP		New England	NSW
"SINDT, Christina"	ALP		Kooyong	VIC
"SINGLETON, Jeanette"	AIP		Leichhardt	QLD
"SJOBERG, Melanie"	IND		Hindmarsh	SA
"SKILTON, Wayne"	OAP		Wide Bay	QLD
"SKYRING, Alan"	IND		Ryan	QLD
"SLIPPER, Peter"	LP		Fisher	QLD
"SMALLWOOD, David"	IND		Herbert	QLD
"SMITH, Basil"	CIR		Casey	VIC
"SMITH, Dave"	IND		McMillan	VIC
"SMITH, Kevin"	DEM		Indi	VIC
"SMITH, Mike"	ALP		Moncrieff	QLD
"SMITH, Peter"	NLP		Blaxland	NSW
"SMITH, Rodney"	RARI		Mackellar	NSW
"SMITH, Silvia"	ALP		Bass	TAS
"SMITH, Stephen"	ALP		Perth	WA
"SMITH, Tony"	LP		Dickson	QLD
"SMITH, Warwick"	LP		Bass	TAS
"SMYTH, Brendan"	LP		Namadgi	ACT
"SNOW, Jim"	ALP		Eden-Monaro	NSW
"SNOWDON, Warren"	ALP		Northern Territory	NT
"SOETERBOEK, Adrian"	IND		Hinkler	QLD
"SOMLYAY, Alex"	LP		Fairfax	QLD
"SOOS, Michael"	NLP		Bruce	VIC
"SOUTH, Pamela"	DEM		Wide Bay	QLD
"SOUTHCOTT, Andrew"	LP		Boothby	SA
"SPARKES, David"	LP		Banks	NSW
"SPENCER, Luke"	AFI		Gellibrand	VIC
"SPENCER, Rod"	AFI		Kooyong	VIC
"SPENCER, Tom"	DEM		Dickson	QLD
"STARKIE, Brad"	DEM		Hotham	VIC
"STENBERG, Andrew"	NLP		La Trobe	VIC
"STEPHEN, Sarah"			Denison	TAS
"STEVENAGE, Paul"	LP		Moore	WA
"STEVENS, Mark A"	DEM		Fowler	NSW
"STEVENS, Mike"	ALP		Wakefield	SA
"STICKELS, Georgi"	LP		Maribyrnong	VIC
"STOCK, Sue"	GRN		Sydney	NSW
"STONE, David"	NP		Griffith	QLD
"STONE, Judith"	ALP		Gippsland	VIC
"STONE, Robert"	DEM		Wills	VIC
"STONE, Sharman Nancy"	LP		Murray	VIC
"STREET, Colleen"	IND		Macarthur	NSW
"SULLIVAN, Kathy Martin"	LP		Moncrieff	QLD
"SUMMERS, Lynda"	ALP		Farrer	NSW
"SWAN, Wayne"	ALP		Lilley	QLD
"SYMINGTON, Bob"	DEM		Paterson	NSW
"SYNNOTT, David"	IND		Wentworth	NSW

"TANNER, Lindsay James"	ALP		Melbourne	VIC
"TANNER, Richard J"	IND		North Sydney	NSW
"TAYLOR, Bill"	LP		Groom	QLD
"TAYLOR, Ian"	ALP		Kalgoorlie	WA
"TAYLOR, Mark"	GRN		Brisbane	QLD
"TAYLOR, Pamela"	CTA		Bendigo	VIC
"TENNANT-WOOD, Robin"	GRN		Eden-Monaro	NSW
"THACKRAH, David"	DEM		Kalgoorlie	WA
"THEOPHANOUS, Andrew Charles"	ALP		Calwell	VIC
"THOMPSON, Clare"	TG		Braddon	TAS
"THOMPSON, Don"	IND		Banks	NSW
"THOMSON, Andrew"	LP		Wentworth	NSW
"THOMSON, Kelvin"	ALP		Wills	VIC
"THORN, Andrew"	LP		Werriwa	NSW
"THORNBY, Colin John"	DEM		McMillan	VIC
"THORPE, Mindy Kaye"	DEM		Richmond	NSW
"THURLOW, Valerie"	NLP		Ryan	QLD
"TICKNER, Robert"	ALP		Hughes	NSW
"TILLER, Mick"	LP		Fremantle	WA
"TOBIAS, Paul Francis"	AFI		Jagajaga	VIC
"TOOLE, Trevor"	NP		Calare	NSW
"TOOMEY, Mark"	NLP		Bradfield	NSW
"TOON, Theoron"	IND		Dickson	QLD
"TOWNSEND, Matthew David"	DEM		Chisholm	VIC
"TOWNSEND, Vince"	AFI		Werriwa	NSW
"TREWIN, Ilse"	DEM		Tangney	WA
"TRUSS, Warren"	NP		Wide Bay	QLD
"TUCAK, John"	IND		Swan	WA
"TUCKER-LEE, Cathi"	DEM		Mayo	SA
"TUCKEY, Wilson"	LP		O'Connor	WA
"TULL, Bevan"	AIP		Capricornia	QLD
"TWOMEY, Chris"	GWA		Canning	WA
"TYLER, Warwick"	AFI		Macquarie	NSW
"TYMUKAS, Julia"	GRN		Grey	SA

"VAILE, Mark"	NP		Lyne	NSW
"VALE, Danna"	LP		Hughes	NSW
"VALENTINE, Jo"	GRN		Kennedy	QLD
"VAN DEN BERG, Helen"	IND		Maribyrnong	VIC
"VAN DER MEULEN, Luke"	AGV		McMillan	VIC
"VAN OOSTVEEN, Lucia"	NLP		Fowler	NSW
"VAN ROOYEN, Jenny"	DEM		Bowman	QLD
"VAN WYK, Steve Martin"	AFI		Berowra	NSW
"VANCO, George"	ALP		Sturt	SA
"VASSIS, Chris"	IND		Jagajaga	VIC
"VAUGHAN, Jenny"	GRN		Hunter	NSW
"VOIGT, Wolf"	CTA		La Trobe	VIC

"WADE, Linda"	DEM		North Sydney	NSW
"WAKELIN, Barry"	LP		Grey	SA
"WALDEN, Clarence"	AIP		Kennedy	QLD
"WALKER, Angela"	AFI		Isaacs	VIC
"WALKER, Frank"	ALP		Robertson	NSW
"WALKER, John"	NP		Murray	VIC
"WALTON, Malcolm"	NP		Brand	WA
"WANJURRI-NUNGALA, Mingli"	GWA		Swan	WA
"WAPNAH, Lawrence"	DEM		Stirling	WA
"WARD, Ian"	AGV		Flinders	VIC
"WARD, Julie Ellen"	DEM		Pearce	WA
"WATCHIRS, Kevin Vernon"	GRN		Hume	NSW
"WATKINS, Janet"	AFI		Macarthur	NSW
"WATKINS, Len"	AFI		Bradfield	NSW
"WATKINSON, Ian"	ALP		Flinders	VIC
"WATSON, Charlie"	AIP		Wide Bay	QLD
"WATSON, Diane"	DEM		Ryan	QLD
"WATSON, John"	IND		Kingston	SA
"WATSON, Len"	AIP		Dawson	QLD
"WATSON, Leonie"	DEM		Leichhardt	QLD
"WATSON, Liz"	GWA		Curtin	WA
"WEATE, John"	ALP		Lyne	NSW
"WEATHERLAKE, Ian Andrew"	AFI		Warringah	NSW
"WEBB, Debbie"	DEM		Kingston	SA
"WELDRICK, Karen"	TG		Denison	TAS
"WELLS, Chris"	NLP		Barker	SA
"WELSH, Ivan"	LP		Newcastle	NSW
"WEST, Andrea G"	LP		Bowman	QLD
"WEST, Gregg"	AFI		Banks	NSW
"WESTBURY, Kaye"	DEM		Shortland	NSW
"WHAITE, Roy"	AFI		Robertson	NSW
"WHITE, David"	IND		Deakin	VIC
"WHITEHALL, James"	ACH		Werriwa	NSW
"WHITEHEAD, Adrian"	AGV		Chisholm	VIC
"WHITFIELD, Peter Clarence"	IND		Farrer	NSW
"WILCOCK, Paul"	IND		Cunningham	NSW
"WILCOX, Gwen"	LP		Canberra	ACT
"WILKINS, Craig"	GRN		Sturt	SA
"WILKINSON, Mike"	LP		Capricornia	QLD
"WILLIAMS, Daryl"	LP		Tangney	WA
"WILLIAMS, Philip"	LP		Cunningham	NSW
"WILLIAMS, Tony"	LP		Holt	VIC
"WILLIAMSON, Greg"	LP		Dawson	QLD
"WILLIAMSON, Jane P"	LP		Brisbane	QLD
"WILLIS, Bill"	LP		Calwell	VIC
"WILLIS, Ralph"	ALP		Gellibrand	VIC
"WILSON, Annette"	GRN		Moreton	QLD
"WILSON, Barry G"	GRN		Griffith	QLD
"WILSON, Geoff"	NLP		Dickson	QLD
"WILSON, John A."	DEM		Lindsay	NSW
"WILTON, Greg"	ALP		Isaacs	VIC
"WISE, Aaron"	GRN		Forde	QLD
"WISE, Damian"	DEM		Aston	VIC
"WOOD, Katie"	CTA		Lowe	NSW
"WOODGER, Edwin"	RARI		Werriwa	NSW
"WOODGER, Janey"	RARI		Cook	NSW
"WOODS, Harry"	ALP		Page	NSW
"WOODS, Peter"	IND		Lowe	NSW
"WOOLDRIDGE, Michael Richard Lewis"	LP		Chisholm	VIC
"WORTH, Trish"	LP		Adelaide	SA
"WREN, Ingrid"	LP		Denison	TAS
"WRIGHT, Richard"	GRN		Bradfield	NSW
"WYATT, Cedric"	LP		Kalgoorlie	WA
"WYLES, Carl"			Oxley	QLD
"WYNTER, Coral"	IND		Griffith	QLD

"XENOS, John"	LP		Kingsford-Smith	NSW

"YORK, Leah"	ALP		Barker	SA
"YOULTEN, Wayne"	LP		Batman	VIC

"ZAMMIT, Paul"	LP		Lowe	NSW
"ZEMDEGS, David"	DEM		McEwen	VIC
