House of Representatives -1996 Election 				
National List of Candidates				

Candidate	Party		Division	State
"BURNS, Des"	ALP		Casey	VIC
"BUSHBY, Peter"	IND		Sydney	NSW
"BUTLER, Debbie"	DEM		Bass	TAS
"BUTLER, Kate"	IND		Grayndler	NSW
"BUTLER, Kevin"	NAN		Grayndler	NSW

"CADMAN, Alan"	LP		Mitchell	NSW
"CAIRNS, Chris"	GRN		Mackellar	NSW
"CALDWELL, Alex"	IND		Herbert	QLD
"CALVERT, Kip"	ALP		Goldstein	VIC
"CALVERT, Michelle"	NAN		Lowe	NSW
"CAMERON, Eoin"	LP		Stirling	WA
"CAMERON, Ron"	LP		Prospect	NSW
"CAMERON, Ross"	LP		Parramatta	NSW
"CAMPBELL, Bob"	IND		Kingston	SA
"CAMPBELL, Graeme"	IND		Kalgoorlie	WA
"CANNON, Cheryl"	AIP		Ryan	QLD
"CARBERRY, Kareen"	ALP		Stirling	WA
"CAREW, Mark"	DEM		Groom	QLD
"CAREY, Dan Thomas"	IND		Adelaide	SA
"CAREY, Garth Eric Cecil"	NP		Forde	QLD
"CARR, Tim"	NLP		Bennelong	NSW
"CARRICK, Trevor David"	CTA		Paterson	NSW
"CARTER, Angela"	DEM		Menzies	VIC
"CARTER, George Alexander"	GRN		North Sydney	NSW
"CASLEY, John"	AFI		Hotham	VIC
"CASWELL, Allan"	DEM		New England	NSW
"CAUSLEY, Ian"	NP		Page	NSW
"CENATIEMPO, Stephen"	LP		Fowler	NSW
"CHAPLIN, Maryan"	NLP		Canberra	ACT
"CHAPMAN, Bill"	AIP		Oxley	QLD
"CHAPPELL, Charles"	CTA		Gilmore	NSW
"CHARLES, Bob"	LP		La Trobe	VIC
"CHARLWOOD, Jan"	NLP		Flinders	VIC
"CHIDIAC, Joseph"	IND		Parramatta	NSW
"CHILTON, Mark"	DEM		Cunningham	NSW
"CHUNG, Craig"	DEM		Barton	NSW
"CHYNOWETH, Bob"	ALP		Dunkley	VIC
"CLAIRS, Elspeth"	NLP		Swan	WA
"CLANCY, Bill"	DEM		Greenway	NSW
"CLANCY, John R"	DEM		Farrer	NSW
"CLARKE, Larry"	NLP		Melbourne	VIC
"CLEARY, Phil"	IND		Wills	VIC
"CLEELAND, Peter"	ALP		McEwen	VIC
"CLOTHIER, Noel C"	GRN		Lilley	QLD
"COBB, Michael"	NP		Parkes	NSW
"COCKING, David"	CTA		Ballarat	VIC
"COELLI, Paul"	AFI		Deakin	VIC
"COGGER, John"	NLP		Parramatta	NSW
"COGGER, Linda"	NLP		Prospect	NSW
"COLE, Mick"	ALP		O'Connor	WA
"COLEMAN, Misha"	AGV		Melbourne Ports	VIC
"COLEMAN, Susan"	AGV		Jagajaga	VIC
"COLLIGAN, Rob"	ALP		Riverina	NSW
"COLLINS, John"	DEM		Riverina	NSW
"CONDER, Raymond Noble"	IND		Perth	WA
"CONNOLLY, Christopher"	GRN		Berowra	NSW
"CONSANDINE, Peter"	RPA		Dickson	QLD
"COOK, Edna Joan"	IND		Parkes	NSW
"COOK, Terry"			Shortland	NSW
"COOKSLEY, Terry"	AFI		Lindsay	NSW
"COOMBE, Anthony M."	NLP		Mayo	SA
"CORDON, John"	NLP		Hotham	VIC
"COROWA, Robert I"	RCG		Richmond	NSW
"COSTELLO, Peter"	LP		Higgins	VIC
"COURT, Ken"	LP		Curtin	WA
"COURTICE, Brian William"	ALP		Hinkler	QLD
"COX, Dave"	DEM		Hume	NSW
"COYLE, Annette"	GRN		Richmond	NSW
"COYNE, Sue"	DEM		Cowan	WA
"CRAIG, Graham"	IND		Mayo	SA
"CRAIG, Peter"	LP		Charlton	NSW
"CRANNY, Jillian"	GRN		Cowper	NSW
"CRAWFORD, Mary"	ALP		Forde	QLD
"CREAN, Simon"	ALP		Hotham	VIC
"CRISP, Denis"	ALP		Grey	SA
"CROSIO, Janice"	ALP		Prospect	NSW
