House of Representatives - 1996 Election							
Two Party Preferred Statistics							
By Division							


National Summary							
			Coalition				
State	ALP		(LP/NP/CLP)		Total	Swing	Exh
	Votes	%	Votes	%			
Capricornia	36153	46.38	41801	53.62	77954	-6.4	143
Dawson	31744	40.08	47461	59.92	79205	-5.96	141
Dickson	36051	46.83	40933	53.17	76984	-5.72	174
Fadden	22662	32.16	47796	67.84	70458	-12.68	176
Fairfax	23010	31.91	49109	68.09	72119	-8.05	290
Fisher	20286	29.66	48107	70.34	68393	-10.02	173
Forde	27735	40.3	41087	59.7	68822	-9.44	186
Griffith	36761	48.53	38981	51.47	75742	-7.37	226
Groom	22117	28.72	54894	71.28	77011	-7.16	198
Herbert	32852	43.41	42826	56.59	75678	-9.9	208
Hinkler	31023	39.64	47233	60.36	78256	-10.39	164
Kennedy	26673	35.51	48440	64.49	75113	-11.95	122
Leichhardt	34102	45.82	40332	54.18	74434	-5.51	184
Lilley	38429	49.27	39564	50.73	77993	-6.91	197
Longman	27374	38.41	43894	61.59	71268	-8.13	237
McPherson	22803	33	46298	67	69101	-8.56	148
Maranoa	18526	24.27	57792	75.73	76318	-7.59	100
Moncrieff	19731	29.75	46599	70.25	66330	-7.34	165
Moreton	35051	44.91	42997	55.09	78048	-5.3	199
Oxley	31622	45.34	38129	54.66	69751	-19.31	116
Petrie	31651	42.3	43172	57.7	74823	-9.85	163
Rankin	36278	51.35	34371	48.65	70649	-11.69	168
Ryan	25620	33.13	51712	66.87	77332	-6.15	374
Wide Bay	23037	31.47	50157	68.53	73194	-9.74	144
State Total	765019	39.78	1158122	60.22	1923141	-8.65	5029


Western Australia							

Division	ALP		LP		Total	Swing	Exh
	Votes	%	Votes	%			
Brand	42379	50.23	41992	49.77	84371	-3.47	362
Canning	34388	49.31	35356	50.69	69744	-0.88	353
Cowan	35788	47.61	39385	52.39	75173	-1.46	375
Curtin	24584	35.95	43804	64.05	68388	1.17	615
Forrest	27320	36.36	47821	63.64	75141	-1.91	428
