State;Division;Enrolment;Formal Vote;Informal Vote;Total Vote;Formal Pc;Formal Swing;Informal Pc;Informal Swing;Turnout;Turnout Swing;ALP TPP Vote;Coalition TPP Vote;TPP Exhausted;ALP TPP Pc;ALP Swing
NSW;Banks;78925;73190;3246;76436;95.75;-0.85;4.25;0.85;96.85;0.40;37442;35391;357;51.41;-9.13
NSW;Barton;80179;74291;3328;77619;95.71;-0.25;4.29;0.25;96.81;0.50;40250;33817;224;54.34;-5.05
NSW;Bennelong;81033;75404;2994;78398;96.18;-1.04;3.82;1.04;96.75;0.42;29918;45128;358;39.87;-6.95
NSW;Berowra;82360;77321;2233;79554;97.19;-0.26;2.81;0.26;96.59;0.26;24268;52526;527;31.60;-6.20
NSW;Blaxland;78692;70590;5005;75595;93.38;-1.59;6.62;1.59;96.06;0.55;44328;26056;206;62.98;-9.12
NSW;Bradfield;79617;74536;2252;76788;97.07;-0.38;2.93;0.38;96.45;0.20;17908;55986;642;24.23;-2.72
NSW;Calare;78088;73919;1687;75606;97.77;-0.40;2.23;0.40;96.82;-0.11;34538;38800;581;47.09;-6.97
NSW;Charlton;82294;77334;2767;80101;96.55;-0.22;3.45;0.22;97.34;0.11;45646;31298;390;59.32;-7.78
NSW;Chifley;81170;73858;4098;77956;94.74;-0.50;5.26;0.50;96.04;0.63;47513;26109;236;64.54;-8.04
NSW;Cook;80004;75501;1922;77423;97.52;0.01;2.48;-0.01;96.77;-0.02;28343;46791;367;37.72;-8.81
NSW;Cowper;77170;72519;1709;74228;97.70;-0.13;2.30;0.13;96.19;0.37;27766;44465;288;38.44;-7.50
NSW;Cunningham;76150;70859;2651;73510;96.39;-0.27;3.61;0.27;96.53;0.16;44302;26122;435;62.91;-5.00
NSW;Dobell;78239;73462;2224;75686;97.06;-0.87;2.94;0.87;96.74;-0.27;36675;36558;229;50.08;-6.74
NSW;Eden-Monaro;77496;72147;2223;74370;97.01;-0.53;2.99;0.53;95.97;0.33;32487;39318;342;45.24;-9.03
NSW;Farrer;76772;71200;2517;73717;96.59;-0.63;3.41;0.63;96.02;-0.19;20439;50611;150;28.77;-3.80
NSW;Fowler;84398;74369;6531;80900;91.93;-2.87;8.07;2.87;95.86;0.90;50648;23544;177;68.27;-3.73
NSW;Gilmore;75734;71784;1730;73514;97.65;-0.18;2.35;0.18;97.07;0.05;31317;40243;224;43.76;-6.69
NSW;Grayndler;82756;74529;4286;78815;94.56;-0.86;5.44;0.86;95.24;1.54;48910;24776;843;66.38;-6.43
NSW;Greenway;81151;73926;4138;78064;94.70;-1.55;5.30;1.55;96.20;-0.08;39299;34305;322;53.39;-10.03
NSW;Gwydir;73855;69613;1817;71430;97.46;0.17;2.54;-0.17;96.72;0.67;21856;47552;205;31.49;-8.24
NSW;Hughes;82293;78021;2192;80213;97.27;-0.12;2.73;0.12;97.47;0.29;35072;42669;280;45.11;-11.31
NSW;Hume;75978;71741;1912;73653;97.40;-0.48;2.60;0.48;96.94;0.00;27345;44174;222;38.23;-8.07
NSW;Hunter;76509;72273;1976;74249;97.34;-0.30;2.66;0.30;97.05;0.52;41003;30976;294;56.97;-6.95
NSW;Kingsford-Smith;79741;71930;3825;75755;94.95;-0.70;5.05;0.70;95.00;0.07;43028;28511;391;60.15;-5.09
NSW;Lindsay;80732;74818;2778;77596;96.42;-0.45;3.58;0.45;96.12;-0.52;36088;38442;288;48.42;-11.80
NSW;Lowe;79599;72763;4016;76779;94.77;-0.85;5.23;0.85;96.46;0.64;34405;37978;380;47.53;-7.48
NSW;Lyne;79314;74867;1927;76794;97.49;-0.44;2.51;0.44;96.82;0.33;25776;48801;290;34.56;-11.20
NSW;Macarthur;82226;76742;2799;79541;96.48;-0.64;3.52;0.64;96.73;0.60;30034;46372;336;39.31;-11.97
NSW;Mackellar;80181;74801;2547;77348;96.71;-0.29;3.29;0.29;96.47;0.69;24827;49341;633;33.47;-5.37
NSW;Macquarie;78888;73187;3004;76191;96.06;-1.44;3.94;1.44;96.58;0.53;31780;41045;362;43.64;-6.48
NSW;Mitchell;76394;71986;2214;74200;97.02;-0.67;2.98;0.67;97.13;0.29;18410;53293;283;25.68;-5.66
NSW;Newcastle;76670;72089;2105;74194;97.16;0.11;2.84;-0.11;96.77;0.31;43807;27780;502;61.19;-5.69
NSW;New England;74896;70313;1649;71962;97.71;-0.17;2.29;0.17;96.08;-0.54;21551;48381;381;30.82;-8.98
NSW;North Sydney;85921;79660;2081;81741;97.45;-0.51;2.55;0.51;95.14;0.57;27244;51851;565;34.44;-6.03
NSW;Page;80428;76170;1513;77683;98.05;0.11;1.95;-0.11;96.59;0.31;34657;41190;323;45.69;-4.44
