State;Ticket;Group;Ballot Position;Member;Candidate;Party;Gender;Order Elected;Term Expires
NSW;A;RARI;1;;KITSON, David;RARI;M;0;
NSW;A;RARI;2;;O'CALLAGHAN, Carolyn;RARI;F;0;
NSW;B;LNP;1;#;WOODS, Bob;LP;M;1;30-06-2002
NSW;B;LNP;2;#;BROWNHILL, David;NP;M;3;30-06-2002
NSW;B;LNP;3;#;COONAN, Helen;LP;F;5;30-06-2002
NSW;B;LNP;4;;CONSTANTIN, Abraham;LP;M;0;
NSW;C;GRN;1;;SPERLING, Karla;GRN;F;0;
NSW;C;GRN;2;;DENTON, Peter;GRN;M;0;
NSW;C;GRN;3;;ELIX, Jane;GRN;F;0;
NSW;C;GRN;4;;MATSON, Murray;GRN;M;0;
NSW;D;NAN;1;;NASH, Chris;NAN;M;0;
NSW;D;NAN;2;;HALE, Sylvia;NAN;F;0;
NSW;E;SEN;1;;EVANS, Beryl;SEN;F;0;
NSW;E;SEN;2;;WELSH, Lorraine;SEN;F;0;
NSW;F;AFI;1;;PHILLIPS, John;AFI;M;0;
NSW;F;AFI;2;;O'REGAN, Bevan;AFI;M;0;
NSW;G;ALP;1;#;WEST, Sue;ALP;F;2;30-06-2002
NSW;G;ALP;2;#;CHILDS, Bruce;ALP;M;4;30-06-2002
NSW;G;ALP;3;;WHEELWRIGHT, Tom;ALP;M;0;
NSW;G;ALP;4;;BARGHOUT, Rima;ALP;F;0;
NSW;H;DEM;1;#;BOURNE, Vicki;DEM;F;6;30-06-2002
NSW;H;DEM;2;;CHESTERFIELD-EVANS, Arthur;DEM;M;0;
NSW;H;DEM;3;;LARCOS, Andrew;DEM;M;0;
NSW;H;DEM;4;;ANDERSON, Troy;DEM;M;0;
NSW;I;;1;;SCHOLLBACH, Robert Frederick;;M;0;
NSW;I;;2;;STIRLING, Amanda Jane;;F;0;
NSW;J;ASP;1;;SIMS, Richard;ASP;M;0;
NSW;J;ASP;2;;BOURKE, Robyn;ASP;F;0;
NSW;J;ASP;3;;REDFERN, Daniel;ASP;M;0;
NSW;J;ASP;4;;FRANICH, Rodney;ASP;M;0;
NSW;K;;1;;GALATI, Tony;;M;0;
NSW;K;;2;;GALATI, Sam;;M;0;
NSW;L;AWP;1;;DUNCAN, Darelle;AWP;F;0;
NSW;L;AWP;2;;THEW, Sarah;AWP;F;0;
NSW;M;;1;;BUTLER, Robert H;;M;0;
NSW;M;;2;;COSGROVE, Lindsay D;;M;0;
NSW;N;RBR;1;;BREEN, Peter;ABR;M;0;
NSW;N;RBR;2;;MCNALLY, Kerry;RPA;M;0;
NSW;N;RBR;3;;HOUSEGO, Valerie;ABR;F;0;
NSW;N;RBR;4;;BEKELE, Assefa;ABR;M;0;
NSW;N;RBR;5;;FAHEY, Antoinette;ABR;F;0;
NSW;O;GRY;1;;VERHEYEN, John;GRY;M;0;
NSW;O;GRY;2;;HETTERSCHEID, Theo;GRY;M;0;
NSW;O;GRY;3;;SEGERSTROM, Bob;GRY;M;0;
NSW;O;GRY;4;;PICKERING, Olga;GRY;F;0;
NSW;P;NLP;1;;KNOLES, Catherine;NLP;F;0;
NSW;P;NLP;2;;JUDD, Ines;NLP;F;0;
NSW;Q;ABF;1;;FINDLAY-BARNES, Teresa;ABF;F;0;
NSW;Q;ABF;2;;TRIBE, David;ABF;M;0;
NSW;R;CTA;1;;WEBSTER, Alasdair;CTA;M;0;
NSW;R;CTA;2;;WEBSTER, Elaine;CTA;F;0;
NSW;R;CTA;3;;MCLENNAN, Graham Clarke;CTA;M;0;
NSW;R;CTA;4;;BIRD, Bill;CTA;M;0;
NSW;R;CTA;5;;COLEMAN, Bruce;CTA;M;0;
NSW;UG;;1;;JONES, Morris;IND;M;0;
NSW;UG;;2;;IVOR, F;IND;M;0;
NSW;UG;;3;;BARBARA, John;IND;M;0;
NSW;UG;;4;;HURLEY, Jade;IND;M;0;
NSW;UG;;5;;PINNIGER, Gretel;IND;F;0;
NSW;UG;;6;;UNDERWOOD, Dian;IND;F;0;
NSW;UG;;7;;PATTERSON, Ray;IND;M;0;
NSW;UG;;8;;PIGGIN, David;IND;M;0;
NSW;UG;;9;;BRADLEY, Bill;IND;M;0;
VIC;A;CIR;1;;BORZATTI, Will;CIR;M;0;
VIC;A;CIR;2;;MCKAY, Neil;CIR;M;0;
VIC;B;AGV;1;;SINGER, Peter;AGV;M;0;
VIC;B;AGV;2;;ALEXANDER, Karen;AGV;F;0;
VIC;B;AGV;3;;LUCAS, Helen;AGV;F;0;
VIC;C;DLP;1;;MULHOLLAND, John;DLP;M;0;
VIC;C;DLP;2;;CAHILL, Paul;DLP;M;0;
VIC;C;DLP;3;;ROWE, Michael;DLP;M;0;
VIC;C;DLP;4;;CREA, Pat;DLP;M;0;
VIC;C;DLP;5;;CODY, Matthew;DLP;M;0;
