House of Representatives:  Election 2001 - National				
List of Candidates				
				
Candidate	Party		Division	State
"LEY, Sussan"	LP		Farrer	NSW
"LIGHT, Inge"	GRN		McPherson	QLD
"LILLEY, Helen"	DEM		Bendigo	VIC
"LINDSAY, Peter"	LP		Herbert	QLD
"LINDSAY-HENDERSON, Steve"	IND		Lindsay	NSW
"LIVERMORE, Kirsten"	ALP		Capricornia	QLD
"LIVESAY, Robert"	DEM		Calwell	VIC
"LLEWELLYN, Paul"	GWA		Forrest	WA
"LLOYD, Daniel"	GRN		Rankin	QLD
"LLOYD, Jim"	LP		Robertson	NSW
"LODWICK, Bill"	IND		McEwen	VIC
"LUCAS, Michael"	LFF		Tangney	WA
"LUMSDAINE, Aaron"	HAN		Tangney	WA
"LUTZ, Geoff"	DEM		Burke	VIC
"LYGO, Iain"	GRN		Corangamite	VIC
"LYLE, Mary"	NP		Kennedy	QLD
"LYNCH, Jackie"			Batman	VIC
"LYSSA, Alison"	GRN		Wentworth	NSW

"MACAULAY, Rob"	NP		Hunter	NSW
"MACDONALD, John"	CEC		Canning	WA
"MACDONALD, Lisa"			Reid	NSW
"MACDONALD, Peter"	IND		Warringah	NSW
"MACFARLANE, Ian"	LP		Groom	QLD
"MACKELLAR, Jim"	HAN		Fairfax	QLD
"MACKENZIE, Mark"	HAN		Rankin	QLD
"MACKLEY, Bob"	HAN		Mallee	VIC
"MACKLIN, Jenny"	ALP		Jagajaga	VIC
"MACLEOD, Andrew"	ALP		McEwen	VIC
"MAGUIRE, John"	LEF		Cowper	NSW
"MAHONEY, John"	HAN		Bonython	SA
"MAJOROS, Les"	DEM		Macquarie	NSW
"MAKIN, Simon"	CLA		Swan	WA
"MALESIC, Steve"	LP		Corio	VIC
"MANFIELD, William"			Boothby	SA
"MANN, Sue"	DEM		Adelaide	SA
"MANSKEY, Karen"	DEM		Franklin	TAS
"MARKHAM, Peter"	DEM		Hasluck	WA
"MARSH, Peter"	NCP		Bennelong	NSW
"MARSHALL, Don"	DEM		Calare	NSW
"MARTIN, Felicity"	GRN		Grey	SA
"MARTIN, Ken"	CEC		Robertson	NSW
"MARTIN, Stephen"	ALP		Cunningham	NSW
"MASINA, Paul"	LP		Werriwa	NSW
"MATHEW, Marie"	HAN		Page	NSW
"MATTHEWS, Aaron"	DEM		Canberra	ACT
"MAWHINNEY, Brian"	DEM		Scullin	VIC
"MAXWELL, Steve"	GRN		Reid	NSW
"MAY, George"	IND		Mackellar	NSW
"MAY, Margaret"	LP		McPherson	QLD
"MCALLISTER, Jenny"	ALP		Richmond	NSW
"MCARTHUR, Stewart"	LP		Corangamite	VIC
"MCCARTHY, Annette"	ALP		New England	NSW
"MCCARTHY, Brian"	CEC		Brand	WA
"MCCLELLAND, Robert"	ALP		Barton	NSW
"MCCLUNG, Jean"	CEC		Gilmore	NSW
"MCCONNELL, David V"	LP		Lalor	VIC
"MCCORMACK, Charlie"	HAN		Kingston	SA
"MCCUBBIN, Jo"	DEM		Gippsland	VIC
"MCCUMSTIE, Peter"	NP		Kalgoorlie	WA
"MCCUTCHEON, Paul"	DEM		Swan	WA
"MCDERMOTT, Colin"	DEM		Blaxland	NSW
"MCDONALD, Karen"	CTA		Curtin	WA
"MCDONALD, Leigh"	IND		Wannon	VIC
"MCDONOUGH, Rod"	DEM		Lilley	QLD
"MCENCROE, Keith John"	CTA		Stirling	WA
"MCFARLANE, Jann"	ALP		Stirling	WA
"MCGAURAN, Peter"	NP		Gippsland	VIC
"MCGUIRE, Bryan"	DEM		North Sydney	NSW
"MCINTOSH, Nelson"	IND		Indi	VIC
"MCKAY, Sonya"	GRN		Blaxland	NSW
"MCKENNA, Brent"	DEM		Melbourne	VIC
"MCKENZIE, David"	ALP		Casey	VIC
"MCKENZIE, Neal R"	DEM		Blair	QLD
"MCKEON, John"	GRN		Oxley	QLD
"MCLAREN, John"	DEM		Mayo	SA
"MCLEAN, Ron"	HAN		O'Connor	WA
"MCLEAN, Ronnie"	CEC		Hasluck	WA
"MCLEAY, Leo"	ALP		Watson	NSW
"MCLEOD, Paul"	UNI		Gilmore	NSW
"MCLEOD, Tony"	GRN		Fisher	QLD
"MCLORINAN, Andrew"	LP		Melbourne Ports	VIC
"MCMAHON, Edmund Gavin"	HAN		Griffith	QLD
"MCMULLAN, Bob"	ALP		Fraser	ACT
"MCNABB, Alistair"	CTA		O'Connor	WA
"MCNICHOL, Mark"	HAN		Maranoa	QLD
"MCSHANE, John"	ALP		Mitchell	NSW
"MEEHAN, Sue"	GRN		Lilley	QLD
"MELHAM, Daryl"	ALP		Banks	NSW
"MELVILLE, Peter"	IND		Hinkler	QLD
"MENDELSSOHN, David"	DEM		Fowler	NSW
"MENHEERE-THOMPSON, Erica"	DEM		Corio	VIC
"MERLEHAN, Ray"	ALP		Fadden	QLD
"MERRIMAN, Jan"	ALP		Hume	NSW
"METCALF, Sue"	NP		Cowan	WA
"METCALFE, Jonathan"	GRN		Leichhardt	QLD
"MILLAR, Lesley"	HAN		Moncrieff	QLD
"MILLEN, Frank"	ALP		Farrer	NSW
"MILLER, John"	CTA		Canberra	ACT
"MILLER, Juanita"	GWA		Pearce	WA
"MILLER, Laurie"	GWA		Kalgoorlie	WA
"MILLER, Louise"	DEM		Barker	SA
"MITCHELL, Doug"	CEC		Aston	VIC
"MITCHELL, Graham"	IND		Lindsay	NSW
"MONSOUR, Seb"	LP		Brisbane	QLD
"MOODY, Tom"	AFI		Mackellar	NSW
"MOORE, Catherine"	GRN		Riverina	NSW
"MORAN, Trish"	ALP		Robertson	NSW
"MORGAN, Polly"	DEM		Holt	VIC
"MORRIS, Tim"	GRN		Lyons	TAS
"MORROW, Richard"	ALP		Wannon	VIC
"MOSS, Katie"	DEM		Higgins	VIC
"MOSSFIELD, Frank"	ALP		Greenway	NSW
"MOTT, Trevor"	IND		Cunningham	NSW
"MOYLAN, Judi"	LP		Pearce	WA
"MUDGEE, David"	AFI		Mitchell	NSW
"MUIR, Bob"	GRN		Capricornia	QLD
"MULDOON, Graeme"	CEC		Lyne	NSW
"MULLOY, Art"	HAN		Franklin	TAS
"MUNN, Alasdair"	IND		Robertson	NSW
"MURDOCH, Barbara"	ALP		Indi	VIC
"MURNAIN, Anne"	ALP		Gwydir	NSW
"MURPHY, Jim"	ALP		Boothby	SA
"MURPHY, John"	ALP		Lowe	NSW
"MURPHY, John Joseph"	IND		Capricornia	QLD
"MURPHY, Lynne"	UNI		Banks	NSW
"MURRAY, John"	NGST		Chisholm	VIC
"MYATT, Barry Robert"	HAN		Bowman	QLD

"NAIRN, Gary"	LP		Eden-Monaro	NSW
"NAM, Ken"	UNI		Watson	NSW
"NANNELLI, Owen"	CTA		Berowra	NSW
"NATHAN, Julie"	IND		Richmond	NSW
"NEILAN, Alan"	ALP		Kennedy	QLD
"NEILSON, Carolyn"	ALP		Wentworth	NSW
"NELSON, Brendan"	LP		Bradfield	NSW
"NELSON, Chris"	NP		Pearce	WA
"NEMETH, Noel"	GRN		Maranoa	QLD
"NEUSS, Phillip"	LP		Cowper	NSW
"NEVILLE, Paul"	NP		Hinkler	QLD
"NEWELL, Michaela Clare"	DEM		Goldstein	VIC
"NEWMAN, Michael"	DEM		Cunningham	NSW
"NGAHOORO, Alice"	HAN		Forde	QLD
"NIELSEN, Richard"	GRN		Brisbane	QLD
"NIXON, Bill"	HAN		Lindsay	NSW
"NIXON, Terry"	HAN		Calare	NSW
"NOONE, Brian"	GRN		Port Adelaide	SA
"NORRIS, Wayne David"	HAN		Lingiari	NT
"NOTLEY-SMITH, Bruce"	LP		Kingsford Smith	NSW

"O'BRIEN, Larry"	GRN		Hunter	NSW
"O'BRIEN, Robert"	IND		Wannon	VIC
"O'BYRNE, Michelle"	ALP		Bass	TAS
"O'CALLAGHAN, Ben"	GRN		Fraser	ACT
"O'CONNOR, Brendan"	ALP		Burke	VIC
"O'CONNOR, Gavan"	ALP		Corio	VIC
"O'CONNOR, Kane"	HAN		Grayndler	NSW
"O'CONNOR, Shane"	HAN		Reid	NSW
"O'DONNELL, Ray"	ALP		Fisher	QLD
"O'LEARY, Ken"	AFI		Banks	NSW
"O'NEILL, Con"	ALP		Grey	SA
"O'REGAN, Bevan"	IND		Gwydir	NSW
"O'SULLIVAN, Caroline"	CTA		Fraser	ACT
"OAKLEY, Shirly"	IND		Isaacs	VIC
"OATES, Garry A"	AFI		Prospect	NSW
"OATES, Meg"	ALP		Macarthur	NSW
"OFFIELD, Karen"	DEM		Dawson	QLD
"OLIVER, Clive"	DEM		Moore	WA
"OLVER, Pat"	DEM		Stirling	WA
"OSBORN, Lynne"	GRN		Adelaide	SA
"OSMOND, Les"	LP		Blaxland	NSW
"OZ, Susan"	HAN		Hughes	NSW

"PACKER, Amanda Elise"	DEM		Wannon	VIC
"PAGE, Geoff"	LP		Lyons	TAS
"PANOPOULOS, Sophie"	LP		Indi	VIC
"PANTANO, Kim"	GRN		Petrie	QLD
"PAPE, Andrea"	GRN		Mackellar	NSW
"PARER, Kevin"	LP		Oxley	QLD
"PARKER, Jamie"	GRN		Sydney	NSW
"PASQUARELLI, John"	IND		Bendigo	VIC
"PATERSON, Brett"	DEM		Farrer	NSW
"PATERSON, Lindsay"	LP		Charlton	NSW
"PATRICK, Bronwyn"	DEM		Longman	QLD
"PATRINOS, Theos"	GRN		Holt	VIC
"PATTISON, Alan"	LP		Braddon	TAS
"PAULGER, Shane Peter Stanley"	IND		Fairfax	QLD
"PAYNE, Callum"	CEC		Kalgoorlie	WA
"PEACOCK, Lee"	HAN		Adelaide	SA
"PEACOCK, Thomas"	DEM		Prospect	NSW
"PEARCE, Chris"	LP		Aston	VIC
"PENDLEBURY, Mark Hamilton"	ALP		O'Connor	WA
"PENHALIGON, John"	IND		Richmond	NSW
"PENIAZEV, Alexander"	NCP		Richmond	NSW
"PERKINS, Gareth"	LP		Prospect	NSW
"PERREM, Brian"	LP		Shortland	NSW
"PERROTT, Margaret"			Throsby	NSW
"PERTH, Michael"			Port Adelaide	SA
"PESTANA, Carole"	DEM		O'Connor	WA
"PETERS-POWER, Cathy"	GRN		Cook	NSW
"PETERSON, Janne"	CTA		Blaxland	NSW
"PETTETT, Jeff"	LP		Sydney	NSW
"PETTITT, Tony"	HAN		Greenway	NSW
"PHILLIPS, Andrew"	HAN		Port Adelaide	SA
"PHILLIPS, Barry"	PLP		Robertson	NSW
"PHILLIPS, Frank"	CTA		Eden-Monaro	NSW
"PHILLIPS, John"	CTA		Lindsay	NSW
"PICKFORD, Steve"	HAN		Braddon	TAS
"PIECHNICK, Daniel"	HAN		Boothby	SA
"PINK, J Edwin"	NGST		Cunningham	NSW
"PITT, A R"	IND		Wide Bay	QLD
"PLIBERSEK, Tanya"	ALP		Sydney	NSW
"PLOOY, Arnold"	LP		Watson	NSW
"PLUMB, Noel"	SAS		Bennelong	NSW
"POLLARD-O'HARA, Kathryn"	IND		Page	NSW
"POLLOCK, David"	GRN		Solomon	NT
"POSTA, Christine"	DEM		Makin	SA
"POULARAS, Manny"	CTA		Fowler	NSW
"POULOS, Patricia"			Cook	NSW
"POULSEN, Ronald"			Watson	NSW
"POWNING, Rachel"	ALP		Goldstein	VIC
"PRATT, Graham"	DEM		Kingston	SA
"PRELL, Charlie"	HAN		Hume	NSW
"PRICE, Roger"	ALP		Chifley	NSW
"PRIDE, Jo"	DEM		Boothby	SA
"PROSSER, Geoff"	LP		Forrest	WA
"PRSA, Ivan"	HAN		Throsby	NSW
"PUGH, Rata Hami"	IND		Leichhardt	QLD
"PUKALLUS, Jan"	CEC		Dawson	QLD
"PUSZKA, Teresa"	GRN		Goldstein	VIC
"PYNE, Christopher"	LP		Sturt	SA

"QUICK, Harry"	ALP		Franklin	TAS

"RANDALL, Don"	LP		Canning	WA
"RANKE, Aina"	GRN		Paterson	NSW
"READ, Keith"	GWA		Canning	WA
"REARDON, Chris"	DEM		New England	NSW
"REDFERN, Bob"	HAN		Parkes	NSW
"REEVES, Allon"	GRN		Makin	SA
"REINER, Michelle"	GRN		New England	NSW
"RENDELL, David"	DEM		Griffith	QLD
"RESEIGH, Marcus"	DEM		Wakefield	SA
"REYNOLDS, Chris"	HAN		Fremantle	WA
"RICHARDS, Brian"	HAN		Sturt	SA
"RICHARDS, Rachel"	DEM		Gellibrand	VIC
"RICHTER, Dennis"	IND		Riverina	NSW
"RIGNEY, Matt"	GRN		Barker	SA
"RINGROSE, Joy"	GRN		Fairfax	QLD
"RIPOLL, Bernie"	ALP		Oxley	QLD
"RIVAS, Cherie"	GRN		Kennedy	QLD
"RIVENDELL, Bruce"	GRN		Bendigo	VIC
"RIVENDELL, Julie"	GRN		Mallee	VIC
"ROBBIE, Steve"	HAN		Brand	WA
"ROBERTS, David"	NP		McMillan	VIC
"ROBERTS, Madeleine"	DEM		Throsby	NSW
"ROBERTS, Samantha"	GRN		Jagajaga	VIC
"ROBERTSON, Gil John"	DEM		Grey	SA
"ROBINSON, Phillip"	IND		Gippsland	VIC
"ROBINSON, Rob"	HAN		Dawson	QLD
"ROBYNS, Shaun"	DEM		Bruce	VIC
"ROGERS, Colin"	HAN		Gwydir	NSW
"ROLFE, Dell"	HAN		Richmond	NSW
"ROLLS, Cindy"	CEC		Maranoa	QLD
"ROMAGNESI, Jim"	GRN		McEwen	VIC
"ROOKE, Joseph"			Griffith	QLD
"ROSS, David"	LP		Lilley	QLD
"ROSSO, Oscar"	HAN		Fowler	NSW
"ROWBOTTOM, Tim"	ALP		Wakefield	SA
"ROXBURGH, James"	DEM		Hume	NSW
"ROXON, Nicola"	ALP		Gellibrand	VIC
"ROY, Andrew"	GWA		Moore	WA
"RUDD, Kevin"	ALP		Griffith	QLD
"RUDDOCK, Philip Maxwell"	LP		Berowra	NSW
"RUFFOLO, Priscilla"	LP		Hotham	VIC
"RYAN, Dan"	IND		Blair	QLD
"RYAN, Michael"	DEM		Menzies	VIC
"RYAN, Steve"	CTA		Gilmore	NSW
"RYAN, Terry"	CTA		Hasluck	WA
"RYAN, William"	CTA		Hughes	NSW
"RYAN-JAPARTA, Maurie"	IND		Solomon	NT
"RYDSTRAND, David"	HAN		Barton	NSW

"SALIER, Harold"	DEM		Leichhardt	QLD
"SALMON, Paul"	CTA		Cowan	WA
"SALTER, Alan A"	HAN		McEwen	VIC
"SANDERS, Eric"	NCP		Macarthur	NSW
"SARA, Dane William"	IND		Lyne	NSW
"SATCHWELL, John M"	HAN		Parramatta	NSW
"SAWFORD, Rod"	ALP		Port Adelaide	SA
"SAYEGH, Peter"	IND		Blaxland	NSW
"SCHMIDT, Olive"	HAN		Wannon	VIC
"SCHOREL-HLAVKA, Gary"	IND		Jagajaga	VIC
"SCHUBACK, Peter"	IND		Capricornia	QLD
"SCHULTZ, Alby"	LP		Hume	NSW
"SCIACCA, Con"	ALP		Bowman	QLD
"SCOPES, Eve"	GRN		Longman	QLD
"SCOTT, Bruce"	NP		Maranoa	QLD
"SCOTT, June"	HAN		La Trobe	VIC
"SCOTT, Robin"	HAN		Kalgoorlie	WA
"SEARLE, Adam"	ALP		Macquarie	NSW
"SECKER, Patrick"	LP		Barker	SA
"SELBY, Donna"	LFF		O'Connor	WA
"SERCOMBE, Bob"	ALP		Maribyrnong	VIC
"SEYMOUR, Philip John"	CTA		Indi	VIC
"SHANNON, Andre"	LP		Cowan	WA
"SHARKEY, Maurie"	LP		Bendigo	VIC
"SHARP, Ari"	DEM		Kooyong	VIC
"SHAVE, Michelle"	CTA		Fremantle	WA
"SHAW, Ian"	NP		Paterson	NSW
"SHAW, Jimmy"	GRN		Bennelong	NSW
"SHEARING, Dave"	NP		Calare	NSW
"SHEPHERDSON, Michael"	LP		Isaacs	VIC
"SHEPPARD, Elwyn"	CTA		Macarthur	NSW
"SHERWOOD, Ted"	AFI		Greenway	NSW
"SHORT, Leonie"	ALP		Ryan	QLD
"SIDEBOTTOM, Sid"	ALP		Braddon	TAS
"SIMMONS, Lindsay"	ALP		Sturt	SA
"SIMPSON, David"	CEC		Calare	NSW
"SIMPSON, Rob"	IND		Richmond	NSW
"SKINNER, Paul"	CTA		Cunningham	NSW
"SLATER, Richard"	ALP		Berowra	NSW
"SLIPPER, Peter"	LP		Fisher	QLD
"SMITH, Althea"	DEM		Wide Bay	QLD
"SMITH, Brian"	CEC		Swan	WA
"SMITH, Chad"	DEM		Bowman	QLD
"SMITH, Craig"	GRN		La Trobe	VIC
"SMITH, Fay Mary"	GRN		Bowman	QLD
"SMITH, Malcolm"	CTA		Cook	NSW
"SMITH, Neil H"	HAN		Bendigo	VIC
"SMITH, Neville"	IND		Kalgoorlie	WA
"SMITH, Stephen"	ALP		Perth	WA
"SMITH, Stuart"	CEC		Pearce	WA
"SMITH, Tony"	LP		Casey	VIC
"SMITH, Tresslyn"	ALP		Forrest	WA
"SMITH, Val"	ALP		Forde	QLD
"SMYTH, Louise"	LP		Fremantle	WA
"SNOWDON, Warren"	ALP		Lingiari	NT
"SOBEY, Chris"	GRN		Farrer	NSW
"SOMLYAY, Alex"	LP		Fairfax	QLD
"SOULOS, Mersina"	GRN		Lowe	NSW
"SOUTHCOTT, Andrew"	LP		Boothby	SA
"SPARKS, Philip"	DEM		Berowra	NSW
"SPRAGG, Bill"	IND		Mayo	SA
"ST. CLAIR, Stuart"	NP		New England	NSW
"STAINDL, Philip"	ALP		La Trobe	VIC
"STANFIELD, Lynn"	HAN		Lyne	NSW
"STANLEY, Tim"	ALP		Adelaide	SA
"STANTON, Heather"	CEC		Isaacs	VIC
"STANWIX, Ben"	GWA		Tangney	WA
"STARLING, Paul"	IND		Boothby	SA
"STASSE, Mike"	GRN		Ryan	QLD
"STEEL, Mike"	GRN		North Sydney	NSW
"STEEL, Reg"	LP		Bruce	VIC
"STEGLEY, Kristin"	IND		Goldstein	VIC
"STEPHENS, Katie"	ALP		Higgins	VIC
"STEVEN, Tony"	LP		Denison	TAS
"STEVENS, Pat"	ALP		Lyne	NSW
"STEWART, Mervyn James"	HAN		Solomon	NT
"STOKES, Allan"	HAN		Cowper	NSW
"STONE, Robert"	DEM		Wills	VIC
"STONE, Sharman"	LP		Murray	VIC
"STORY, Elsa"	GRN		Throsby	NSW
"STRACHAN, Neil"	GRN		Gwydir	NSW
"STRANG, Graeme"	IND		Cook	NSW
"STRAUSS, Nigel"	LFF		Corangamite	VIC
"SUTTON, John"	GRN		Newcastle	NSW
"SWAN, Wayne"	ALP		Lilley	QLD
"SWIFT, Matthew"	IND		Eden-Monaro	NSW
"SWIFT, Rod"	DEM		Fremantle	WA

"TAI, Kek"	UNI		Prospect	NSW
"TAN, Greg"	CTA		Werriwa	NSW
"TANDA, Amarjit Singh"	IND		Greenway	NSW
"TANKEY, Howard"	GRN		Chisholm	VIC
"TANN, Christopher"	LP		Gellibrand	VIC
"TANNER, Lindsay James"	ALP		Melbourne	VIC
"TANNOCK, Bruce"	HAN		Fisher	QLD
"TAPLEY, Colleen"	CTA		Swan	WA
"TAYLOR, Cindy"	GRN		Mitchell	NSW
"TAYLOR, Elizabeth Mary"	DEM		Murray	VIC
"TAYLOR, Lea"	LP		Capricornia	QLD
"TAYLOR, Lenore"	GRN		Moreton	QLD
"TAYLOR, Sue"	IND		Farrer	NSW
"TEIRNEY, Fran"	ALP		North Sydney	NSW
"THEOPHANOUS, Andrew"	IND		Calwell	VIC
"THOMAS, Margaret"	LP		Brand	WA
"THOMAS, Mike"	HAN		Mayo	SA
"THOMPSON, Cameron P"	LP		Blair	QLD
"THOMPSON, Clare"	GRN		Braddon	TAS
"THOMSON, Kelvin"	ALP		Wills	VIC
"THOROGOOD, Keith"	HAN		Stirling	WA
"THORPE, John"	UNI		Charlton	NSW
"THORPE, Marjorie"	IND		Gippsland	VIC
"TICEHURST, Ken"	LP		Dobell	NSW
"TIRKOT, Herbert Georg"	HAN		Corio	VIC
"TOBIAS, Josephine"	IND		Moncrieff	QLD
"TOLLNER, David"	CLP		Solomon	NT
"TONGSUMRITH, Somchai"	UNI		Parramatta	NSW
"TREASURE, Doug"	IND		Gippsland	VIC
"TREMLIN, Russ"	ALP		Wide Bay	QLD
"TREZISE, Matt"	ALP		Leichhardt	QLD
"TRIGGER, Kellie"	ALP		McPherson	QLD
"TRUSS, Warren"	NP		Wide Bay	QLD
"TUCKEY, Wilson"	LP		O'Connor	WA
"TURNER, Gary"	HAN		Blair	QLD
"TURNER, Neil"	HAN		Riverina	NSW
"TURNER, Shayne"	DEM		Dickson	QLD

"URI, John"	UNI		Werriwa	NSW
"URQUHART, Steve"	IND		Eden-Monaro	NSW

"VAILE, Mark"	NP		Lyne	NSW
"VALASINAVICIUS, Vytautas Charles"	LP		Wills	VIC
"VALE, Danna"	LP		Hughes	NSW
"VAMVAKINOU, Maria"	ALP		Calwell	VIC
"VAN BLADEL, Paul"	IND		Cowper	NSW
"VAN DE WEG, Bruce"	DEM		Hughes	NSW
"VASILOPOULOS, Olga"	ALP		Menzies	VIC
"VASSILOPOULOS, James"			Fraser	ACT
"VASTA, Ross"	LP		Griffith	QLD
"VINCIULLO, Sandra"	HAN		Swan	WA
"VINNICOMBE, Bob"	HAN		Blaxland	NSW
"VLATKO, Tony"	GRN		Greenway	NSW
"VLUG, Peter"	NCP		Eden-Monaro	NSW
"VOIGT, Wolfgang"	CTA		La Trobe	VIC

"WAKELIN, Barry"	LP		Grey	SA
"WALKER, Stephen"	NCP		Lindsay	NSW
"WALKER, Steve"	GWA		Curtin	WA
"WALL, David"	DEM		McMillan	VIC
"WALL, Jo"	DEM		Kennedy	QLD
"WAN, Guang Hua"	UNI		Grayndler	NSW
"WARD, Colin"	CTA		North Sydney	NSW
"WARD, Geoff"	DEM		Parkes	NSW
"WARD, Marcus"	GRN		Burke	VIC
"WARDLE, Michael"	GRN		Indi	VIC
"WARREN, Robert"	SAS		Macquarie	NSW
"WASHER, Mal"	LP		Moore	WA
"WATCHIRS, Kevin"	GRN		Hume	NSW
"WATERS, Geraldine"	DEM		Lindsay	NSW
"WATKINS, Len"	HAN		Macarthur	NSW
"WATSON, Barry"	GRN		Menzies	VIC
"WATSON, Craig"	CTA		Tangney	WA
"WATSON, Glenn"	LP		Fowler	NSW
"WATSON, Stuart"	IND		Farrer	NSW
"WATSON, Will"	NCP		Parramatta	NSW
"WATTS, Ian"	GRN		Calare	NSW
"WATZLAFF, Marcus"	LP		Banks	NSW
"WEBB, Rod"	LP		Perth	WA
"WEBECK, John"	HAN		Bradfield	NSW
"WEBECK, Robert"	HAN		Bennelong	NSW
"WEBER, Harry"	LEF		Gwydir	NSW
"WEEDON, Barry"	HAN		Moreton	QLD
"WEIL, Anthony John"	HAN		Herbert	QLD
"WENDT, Wayne"	ALP		Blair	QLD
"WEYRICH, Tom"	IND		Farrer	NSW
"WHAN, Steve"	ALP		Eden-Monaro	NSW
"WHITE, Lisa"	DEM		Hinkler	QLD
"WHITE, Russell V"	DEM		McPherson	QLD
"WHITNEY, Wayne"	HAN		Dickson	QLD
"WICKS, Graeme"	IND		Wide Bay	QLD
"WIGG, Peter"	DEM		Jagajaga	VIC
"WILCOX, David"	GRN		Banks	NSW
"WILKIE, Kim"	ALP		Swan	WA
"WILKINSON, Max"	HAN		Farrer	NSW
"WILLEY, John"	IND		Cowper	NSW
"WILLIAMS, Charles"	DEM		Maribyrnong	VIC
"WILLIAMS, Daryl"	LP		Tangney	WA
"WILLIAMS, David M"	LP		Newcastle	NSW
"WILLIAMS, Frank"	CEC		Gippsland	VIC
"WILLIAMS, Harry"	PLP		Newcastle	NSW
"WILLIAMS, Leigh"	GRN		Macquarie	NSW
"WILLS, Kevin"	IND		Robertson	NSW
"WILSON, Earle"	IND		Flinders	VIC
"WILSON, Rhonda"	DEM		Maranoa	QLD
"WILSON, Rob"	GRN		Griffith	QLD
"WILSON, Tom"	ALP		Kooyong	VIC
"WIMBORNE, Fleur"	DEM		Fraser	ACT
"WINDSOR, Tony"	IND		New England	NSW
"WISZNIEWSKI, Witold"	CTA		Bradfield	NSW
"WITNEY, Ricky"	LEF		Wannon	VIC
"WITTEN, Richard"	CEC		Gwydir	NSW
"WONG, Ernest"	UNI		Lowe	NSW
"WOOD, G"	LFF		Curtin	WA
"WOOD, Jason"	LP		Holt	VIC
"WOOD, Paul John"	LP		Rankin	QLD
"WOODGER, Janey"	AFI		Werriwa	NSW
"WOODHOUSE, Ian"	DEM		Dunkley	VIC
"WOODMAN, Julie"	ALP		Makin	SA
"WOOLFORD, Julian"	GRN		Fadden	QLD
"WOOLLARD, Keith"	LFF		Brand	WA
"WORTH, Trish"	LP		Adelaide	SA
"WRIGHT, Dona"	HAN		Barker	SA
"WRIGHT, Wayne"			Lingiari	NT
"WUERSCHING, Barbara"	NP		Groom	QLD
"WYLIE, Alison"	DEM		Forrest	WA
"WYNESS, Joseph"	CTA		Chifley	NSW

"XAMON, Alison"	GWA		Perth	WA

"YOHANNA, Sleiman"	CEC		Calwell	VIC
"YOUNG, Kim"	ALP		Moore	WA
"YOUNG, Peri"	ALP		Cook	NSW
"YUSUF, Irfan"	LP		Reid	NSW

"ZAHRA, Christian"	ALP		McMillan	VIC
"ZAKRZEWSKI, Peter"	DEM		Kingsford Smith	NSW
"ZEGERS, Karel"	IND		Bendigo	VIC
"ZIGOURAS, John"	ALP		Mallee	VIC
