House of Representatives:  Election 2001 - National				
List of Candidates				
				
Candidate	Party		Division	State
"BUCKINGHAM, Helen"	ALP		Deakin	VIC
"BUCKLE, Ashley"	DEM		Curtin	WA
"BUCKLEY, Ben"	IND		Gippsland	VIC
"BUCKLEY, Wayne"	HAN		Macquarie	NSW
"BUJEYA, Darren"	GRN		Isaacs	VIC
"BULLER, Darren"	LP		Calwell	VIC
"BURKE, Anna"	ALP		Chisholm	VIC
"BURKE, Stephen"	IND		Mitchell	NSW
"BURNETT, Jerry"	HAN		Kennedy	QLD
"BURRIDGE, Nina"	DEM		Warringah	NSW
"BURT, Ian"	CLA		Kalgoorlie	WA
"BUSH, Simon"	IND		Murray	VIC
"BUTLER, Lindsey"	AFI		Chifley	NSW
"BUTSON, Clark"	IND		Kalgoorlie	WA
"BYRNE, Anthony"	ALP		Holt	VIC
"BYRNE, Peter"	DEM		Bradfield	NSW

"CADMAN, Alan"	LP		Mitchell	NSW
"CALDER, Alan"	ALP		Murray	VIC
"CALDWELL, Charles"	NP		Forrest	WA
"CAMERON, Ross"	LP		Parramatta	NSW
"CAMPBELL, Nicole"	ALP		Bennelong	NSW
"CAMPBELL, Peter"	GRN		Kooyong	VIC
"CAMPBELL, Trudy"	CEC		Scullin	VIC
"CANALES, Judy"	HMP		Page	NSW
"CANDLISH, Iris"	HAN		Shortland	NSW
"CARDEN, Tony"	DEM		McEwen	VIC
"CARMAN, Marina"			Kingsford Smith	NSW
"CARPENTIER, Ben"	ALP		Mackellar	NSW
"CARROLL, Maurie"	IND		Moncrieff	QLD
"CARTWRIGHT, Michael"	HAN		Dunkley	VIC
"CARY, Paul"	HAN		Paterson	NSW
"CASHEL, Deb"	GRN		Hindmarsh	SA
"CAUSLEY, Ian"	NP		Page	NSW
"CHALONER, Tracy"	DEM		Cowan	WA
"CHAMAS, Habib"	UNI		Reid	NSW
"CHAMBERS, Don"	NP		Indi	VIC
"CHAN, Bethwyn"	LP		Hasluck	WA
"CHAPMAN, Linda"	DEM		Eden-Monaro	NSW
"CHARLES, Bob"	LP		La Trobe	VIC
"CHATTERJEE, Victoria"	ALP		Moncrieff	QLD
"CHELLEW, Linda"	DEM		Lingiari	NT
"CHILTON, Philip"			Perth	WA
"CHIPP, Greg"	DEM		Melbourne Ports	VIC
"CHOI, Daniel"	UNI		Berowra	NSW
"CHOMEL, Brenton"	LP		Bonython	SA
"CHUCK, Robert"	DEM		Indi	VIC
"CHUNG, Steve"	UNI		Fowler	NSW
"CIOBO, Steven"	LP		Moncrieff	QLD
"CLACK, S J"	DEM		Chifley	NSW
"CLARK, Anthony"	DEM		Parramatta	NSW
"CLARK, Dave"	GRN		Mayo	SA
"CLARKE, Herb"	HAN		Capricornia	QLD
"CLOWES, Ros"	LP		Chisholm	VIC
"CLYNE, Rose"	GRN		Forde	QLD
"COBB, John"	NP		Parkes	NSW
"COCHRAN, Peter"	IND		Eden-Monaro	NSW
"COLE, Stephen"	DEM		Banks	NSW
"COLGRAVE, Sancia"	DEM		Bass	TAS
"COLLINGS, Margaret"	DEM		Wentworth	NSW
"COLLINS, Charles"	LP		Ballarat	VIC
"COLLINS, Denis"	HAN		Bass	TAS
"COLLINS, Ken"	HAN		Pearce	WA
"COLLIS, David"	GRN		Bruce	VIC
"COMANS, Tracy Anne"	DEM		Moreton	QLD
"CONROY, Mark"	ALP		Dunkley	VIC
"COOMBE, Howie F"	IND		Mayo	SA
"COOPER, Craig"	DEM		Braddon	TAS
"COOPER, Tom"	IND		Page	NSW
"CORBETT, David"	IND		Farrer	NSW
"CORCORAN, Ann"	ALP		Isaacs	VIC
"CORIC, Danii"	DEM		Ballarat	VIC
"CORKILL, John"	GRN		Page	NSW
"CORNISH, Philip"	IND		Barker	SA
"COSGROVE, Lindsay David"	CEC		Blair	QLD
"COSTELLO, Liam"	ALP		Pearce	WA
"COSTELLO, Peter"	LP		Higgins	VIC
"COTTER, Neil"	DEM		Fadden	QLD
"COURTNEY, Anthony David"	IND		Lindsay	NSW
"COX, Barry"	HAN		Canberra	ACT
"COX, David"	ALP		Kingston	SA
"COYLE, Chris"	HAN		Fadden	QLD
"CRAIG, Peter"	IND		Shortland	NSW
"CRANNY, Jillian"	GRN		Cowper	NSW
"CREAN, Simon"	ALP		Hotham	VIC
"CRITICOS, Harry"	IND		Newcastle	NSW
"CROCKER, Geoff"	HAN		Gilmore	NSW
"CRONIN, Bob"	LP		Stirling	WA
"CROSIO, Janice"	ALP		Prospect	NSW
"CULLEN, Mark"	GRN		Sturt	SA
"CUNNINGHAM, David"	GRN		Chifley	NSW
"CURR, Pamela"	GRN		Melbourne	VIC
"CURTIS, John"	HAN		Cunningham	NSW
"CUTHBERTSON, Peter"	HAN		Mackellar	NSW

"DACHEFF, Angelo"	HAN		Canning	WA
"DALGLEISH, David"	IND		Wide Bay	QLD
"DAMJANOVIC, Joe"	HAN		Chifley	NSW
"DANBY, Michael"	ALP		Melbourne Ports	VIC
"DANCEY, Russell Francis"	CTA		Riverina	NSW
"DANIELS, Michael"	CLA		Hasluck	WA
"DAVIES, John"	LP		Batman	VIC
"DAVIES, Sharon"	DEM		Paterson	NSW
"DAVIS, Fletcher"	IND		Dunkley	VIC
"DAVIS, Kate"	GWA		Brand	WA
"DAVIS, Sandy"	GWA		O'Connor	WA
"DAWE, Chris"	LP		Burke	VIC
"DAWSON, John"	IND		Bennelong	NSW
"DE RANGO, David"	GRN		Flinders	VIC
"DEAN, Frank"	IND		La Trobe	VIC
"DELVES, Robert"	GWA		Fremantle	WA
"DENNIS, Mark A"	DEM		Bonython	SA
"DERRICK, Kari"	DEM		Moncrieff	QLD
"DERVISH, D"	IND		Calwell	VIC
"DETCHON, David"	ALP		Barker	SA
"DEWAR, Damian"	DEM		Brisbane	QLD
"DI NATALE, Richard"	GRN		Wills	VIC
"DICKSON, Alan"	DEM		Forde	QLD
"DICKSON, Lynne"	CTA		Holt	VIC
"DIMOND, Vicki"	DEM		Mackellar	NSW
"DOBSON, Darryl"	DEM		Rankin	QLD
"DOCKRAY, Margy"	LFF		Bass	TAS
