House of Representatives - 2001 Election: Western Australia																																																																								
First Preference Votes and TCP																																																																								
By Candidate by Polling Place																																																																								

O'Connor (83118)																																																																								
		# TUCKEY			MCNABB			PESTANA			GYORGY			BROWN			DAVIS			ITURBIDE			MCLEAN			SELBY			PENDLEBURY			FORMAL			INFORMAL			TOTAL																																		
		Wilson			Alistair			Carole			Stephan			Vicki			Sandy			Terry Kay			Ron			Donna			Mark Hamilton												Two Candidate Preferred																															
		LP			CTA			DEM			IND			NP			GWA			CEC			HAN			LFF			ALP												# TUCKEY LP			 PENDLEBURY ALP																												
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																											
	Cape Burney	100	46.51		0	0.00		6	2.79		1	0.47		4	1.86		10	4.65		0	0.00		35	16.28		5	2.33		54	25.12		215	91.88		19	8.12		234	0.30		132	61.40		83	38.60																											
	Carnamah	187	70.30		0	0.00		1	0.38		2	0.75		9	3.38		1	0.38		0	0.00		41	15.41		3	1.13		22	8.27		266	90.17		29	9.83		295	0.37		225	84.59		41	15.41																											
	Centennial Park	825	49.08		86	5.12		43	2.56		14	0.83		89	5.29		85	5.06		20	1.19		185	11.01		26	1.55		308	18.32		1681	93.60		115	6.40		1796	2.27		1184	70.43		497	29.57																											
	Cervantes	157	54.70		0	0.00		2	0.70		0	0.00		15	5.23		10	3.48		0	0.00		37	12.89		0	0.00		66	23.00		287	91.99		25	8.01		312	0.39		201	70.03		86	29.97																											
	Coomberdale	34	64.15		0	0.00		1	1.89		0	0.00		7	13.21		1	1.89		0	0.00		5	9.43		0	0.00		5	9.43		53	98.15		1	1.85		54	0.07		45	84.91		8	15.09																											
	Coorow	145	64.73		2	0.89		1	0.45		2	0.89		16	7.14		5	2.23		2	0.89		37	16.52		2	0.89		12	5.36		224	94.51		13	5.49		237	0.30		196	87.50		28	12.50																											
	Corrigin	320	54.33		3	0.51		9	1.53		1	0.17		123	20.88		11	1.87		0	0.00		51	8.66		5	0.85		66	11.21		589	95.00		31	5.00		620	0.78		492	83.53		97	16.47																											
	Cranbrook	132	37.93		27	7.76		4	1.15		5	1.44		51	14.66		9	2.59		0	0.00		64	18.39		1	0.29		55	15.80		348	94.05		22	5.95		370	0.47		231	66.38		117	33.62																											
	Cunderdin	306	62.32		8	1.63		9	1.83		6	1.22		31	6.31		11	2.24		0	0.00		38	7.74		1	0.20		81	16.50		491	94.24		30	5.76		521	0.66		372	75.76		119	24.24																											
	Dalwallinu	201	60.00		3	0.90		2	0.60		1	0.30		32	9.55		7	2.09		2	0.60		47	14.03		3	0.90		37	11.04		335	95.99		14	4.01		349	0.44		285	85.07		50	14.93																											
	Dandaragan	166	66.94		0	0.00		1	0.40		2	0.81		18	7.26		9	3.63		0	0.00		17	6.85		2	0.81		33	13.31		248	95.38		12	4.62		260	0.33		200	80.65		48	19.35																											
	Darkan	183	70.38		3	1.15		6	2.31		2	0.77		33	12.69		4	1.54		0	0.00		12	4.62		1	0.38		16	6.15		260	92.53		21	7.47		281	0.35		232	89.23		28	10.77																											
	Denmark	584	35.10		23	1.38		44	2.64		11	0.66		64	3.85		281	16.89		5	0.30		130	7.81		122	7.33		400	24.04		1664	94.81		91	5.19		1755	2.22		849	51.02		815	48.98																											
	Dinninup	59	50.86		2	1.72		0	0.00		1	0.86		15	12.93		5	4.31		0	0.00		14	12.07		0	0.00		20	17.24		116	93.55		8	6.45		124	0.16		86	74.14		30	25.86																											
	Dongara	826	55.07		6	0.40		32	2.13		11	0.73		81	5.40		38	2.53		3	0.20		201	13.40		15	1.00		287	19.13		1500	93.87		98	6.13		1598	2.02		1091	72.73		409	27.27																											
	Doodlakine	51	60.00		0	0.00		2	2.35		0	0.00		17	20.00		0	0.00		0	0.00		4	4.71		0	0.00		11	12.94		85	96.59		3	3.41		88	0.11		69	81.18		16	18.82																											
	Dowerin	267	62.82		7	1.65		7	1.65		2	0.47		52	12.24		10	2.35		0	0.00		34	8.00		3	0.71		43	10.12		425	93.00		32	7.00		457	0.58		357	84.00		68	16.00																											
	Dudinin	43	55.84		0	0.00		0	0.00		0	0.00		20	25.97		0	0.00		0	0.00		11	14.29		0	0.00		3	3.90		77	93.90		5	6.10		82	0.10		72	93.51		5	6.49																											
	Dumbleyung	113	48.09		0	0.00		3	1.28		3	1.28		58	24.68		6	2.55		1	0.43		32	13.62		3	1.28		16	6.81		235	93.63		16	6.37		251	0.32		195	82.98		40	17.02																											
	Duranillin	93	59.62		3	1.92		0	0.00		1	0.64		16	10.26		5	3.21		0	0.00		26	16.67		0	0.00		12	7.69		156	95.12		8	4.88		164	0.21		138	88.46		18	11.54																											
	Elleker	100	26.18		28	7.33		8	2.09		5	1.31		18	4.71		37	9.69		3	0.79		64	16.75		11	2.88		108	28.27		382	95.50		18	4.50		400	0.50		204	53.40		178	46.60																											
	Emu Point	196	52.41		5	1.34		3	0.80		0	0.00		11	2.94		23	6.15		4	1.07		66	17.65		9	2.41		57	15.24		374	93.97		24	6.03		398	0.50		276	73.80		98	26.20																											
	Eneabba	92	49.73		1	0.54		4	2.16		2	1.08		9	4.86		6	3.24		0	0.00		35	18.92		3	1.62		33	17.84		185	94.87		10	5.13		195	0.25		134	72.43		51	27.57																											
	Fitzgerald	25	62.50		0	0.00		0	0.00		0	0.00		5	12.50		1	2.50		0	0.00		6	15.00		1	2.50		2	5.00		40	95.24		2	4.76		42	0.05		36	90.00		4	10.00																											
	Forest Hill	60	57.14		1	0.95		4	3.81		1	0.95		14	13.33		3	2.86		0	0.00		14	13.33		0	0.00		8	7.62		105	96.33		4	3.67		109	0.14		83	79.05		22	20.95																											
	Frankland	109	53.96		8	3.96		2	0.99		0	0.00		38	18.81		7	3.47		0	0.00		18	8.91		2	0.99		18	8.91		202	96.19		8	3.81		210	0.27		162	80.20		40	19.80																											
	Gairdner River	39	61.90		3	4.76		1	1.59		0	0.00		13	20.63		0	0.00		0	0.00		7	11.11		0	0.00		0	0.00		63	94.03		4	5.97		67	0.08		58	92.06		5	7.94																											
	Geraldton	959	51.56		32	1.72		52	2.80		15	0.81		50	2.69		96	5.16		2	0.11		188	10.11		37	1.99		429	23.06		1860	94.99		98	5.01		1958	2.47		1245	66.94		615	33.06																											
	Geraldton Central	460	44.10		31	2.97		39	3.74		6	0.58		11	1.05		60	5.75		0	0.00		117	11.22		15	1.44		304	29.15		1043	92.22		88	7.78		1131	1.43		602	57.72		441	42.28																											
	Geraldton Regional Hospital	90	45.45		8	4.04		4	2.02		4	2.02		2	1.01		11	5.56		0	0.00		27	13.64		2	1.01		50	25.25		198	94.29		12	5.71		210	0.27		124	62.63		74	37.37																											
	Geraldton St John of God Hospital	267	58.30		6	1.31		9	1.97		5	1.09		7	1.53		5	1.09		0	0.00		55	12.01		5	1.09		99	21.62		458	91.60		42	8.40		500	0.63		320	69.87		138	30.13																											
