House of Representatives - 2001 Election: Western Australia							
Swing to ALP							
By Division by Polling Place							
							
Brand							
							
Polling Place	Formal	BEAZLEY		THOMAS		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Special Hospital Team 5	8	5	62.50	3	37.50	-30.36
Special Hospital Team 6	2	1	50.00	1	50.00	-49.99
Special Hospital Team 7	11	6	54.54	5	45.45	17.05
Tardun	51	12	23.53	39	76.47	12.10
Telfer	4	3	75.00	1	25.00	18.24
Tom Price	1192	618	51.85	574	48.15	3.62	
Useless Loop	41	16	39.02	25	60.98	-3.28	
Wangkatjungka	56	41	73.21	15	26.79	-1.07	
Warmun	157	136	86.62	21	13.38	-5.38	
Westonia	75	7	9.33	68	90.67	-13.74	
Wickham	729	313	42.94	416	57.06	-4.31	
Wiluna	121	71	58.68	50	41.32	-9.61	
Wyndham	356	233	65.45	123	34.55	-3.88	
Yalgoo	50	29	58.00	21	42.00	-4.00	
Yandeyarra	74	67	90.54	7	9.46	34.54	
Yuna	126	8	6.35	118	93.65	-2.98	
ABSENT	5284	2223	42.07	3061	57.93	-	
POSTAL	2447	671	27.42	1776	72.58	-	
PRE POLL	3547	1504	42.40	2043	57.60	-	
PROVISIONAL	178	105	58.99	73	41.01	-	
Division Total	67635	30880	45.66	36755	54.34	-2.24	
							
							
Moore							
							
Polling Place	Formal	YOUNG		WASHER		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Beldon	2096	1111	53.01	985	46.99	-1.63	
Burns Beach	279	118	42.29	161	57.71	-9.69	
Connolly	2044	792	38.75	1252	61.25	-2.17	
Craigie	3298	1874	56.82	1424	43.18	-1.66	
Currambine	2468	1176	47.65	1292	52.35	0.66	
Duncraig	2938	1268	43.16	1670	56.84	1.71	
Duncraig East (Moore)	1816	586	32.27	1230	67.73	3.84	
Duncraig North	2243	893	39.81	1350	60.19	3.59	
Duncraig South	2050	683	33.32	1367	66.68	3.17	
Edgewater	2518	1115	44.28	1403	55.72	-2.76	
Heathridge	2311	1283	55.52	1028	44.48	-0.77
Heathridge East	1252	742	59.27	510	40.73	-2.54
Hillarys	2791	1196	42.85	1595	57.15	-0.28
Hillarys North	1690	498	29.47	1192	70.53	0.08
Joondalup	2834	1386	48.91	1448	51.09	-0.37
Kallaroo	2992	1147	38.34	1845	61.66	-0.79
Kinross	2619	1273	48.61	1346	51.39	-1.39
Marmion	1740	671	38.56	1069	61.44	2.91
Mullaloo	2769	1312	47.38	1457	52.62	-0.04
North Beach Central (Moore)	447	162	36.24	285	63.76	2.91
Ocean Reef	2921	1219	41.73	1702	58.27	-3.04
Ocean Reef North	2255	913	40.49	1342	59.51	-3.20
Padbury	2537	1382	54.47	1155	45.53	-0.69
Padbury South	2519	1204	47.80	1315	52.20	-0.84
Perth (Moore)	128	74	57.81	54	42.19	10.49
Rottnest (Moore)	117	49	41.88	68	58.12	4.92
Sorrento	1363	500	36.68	863	63.32	3.04	
Sorrento Beach	2670	798	29.89	1872	70.11	-1.59	
Special Hospital Team 1	137	64	46.72	73	53.28	-2.97	
ABSENT	5184	2412	46.53	2772	53.47	-	
POSTAL	2000	729	36.45	1271	63.55	-	
PRE POLL	2677	1108	41.39	1569	58.61	-	
PROVISIONAL	279	148	53.05	131	46.95	-	
Division Total	67982	29886	43.96	38096	56.04	-0.42	
							
							
O'Connor							
							
Polling Place	Formal	PENDLEBURY		TUCKEY		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Albany	1116	491	44.00	625	56.00	-5.49	
Albany Central	1211	516	42.61	695	57.39	1.99	
Albany Regional Hospital	449	184	40.98	265	59.02	-2.12
Ardath	56	3	5.36	53	94.64	-0.61
Arthur River	136	15	11.03	121	88.97	5.99
Badgebup	59	6	10.17	53	89.83	-5.22
Badgingarra	177	19	10.73	158	89.27	-6.11
Ballidu	159	17	10.69	142	89.31	-3.49
Bayonet Head	976	332	34.02	644	65.98	-6.39
Beachlands	766	390	50.91	376	49.09	-8.58
Beacon	151	14	9.27	137	90.73	-1.29
Bencubbin	165	25	15.15	140	84.85	1.99
Bindi Bindi	55	6	10.91	49	89.09	-0.05
Bluff Point	1946	666	34.22	1280	65.78	-3.93
Bolgart	118	18	15.25	100	84.75	-2.10
Borden	127	16	12.60	111	87.40	0.03
Bornholm	367	143	38.96	224	61.04	-3.85
Boscabel	66	9	13.64	57	86.36	6.23
Boxwood Hill	66	8	12.12	58	87.88	10.81
Boyup Brook	563	145	25.75	418	74.25	1.82
Bremer Bay	236	69	29.24	167	70.76	8.40
Broomehill	216	51	23.61	165	76.39	-5.34
Bruce Rock	421	84	19.95	337	80.05	-3.40
Bullaring	58	4	6.90	54	93.10	-2.33
Bulyee	33	0	0.00	33	100.00	-7.84
Buntine	73	6	8.22	67	91.78	3.77
Cadoux	110	8	7.27	102	92.73	0.96
Calingiri	164	28	17.07	136	82.93	-3.06
Cape Burney	215	83	38.60	132	61.40	-2.95
Carnamah	266	41	15.41	225	84.59	-5.42
Centennial Park	1681	497	29.57	1184	70.43	-8.91
Cervantes	287	86	29.97	201	70.03	-2.97
Coomberdale	53	8	15.09	45	84.91	0.55
Coorow	224	28	12.50	196	87.50	-3.00
Corrigin	589	97	16.47	492	83.53	-4.43
Cranbrook	348	117	33.62	231	66.38	3.00
Cunderdin	491	119	24.24	372	75.76	-0.37
Dalwallinu	335	50	14.93	285	85.07	-5.14
Dandaragan	248	48	19.35	200	80.65	4.80
Darkan	260	28	10.77	232	89.23	-7.12
Denmark	1664	815	48.98	849	51.02	1.14
Dinninup	116	30	25.86	86	74.14	5.31
Dongara	1500	409	27.27	1091	72.73	-3.05
Doodlakine	85	16	18.82	69	81.18	-10.51
Dowerin	425	68	16.00	357	84.00	-6.96
Dudinin	77	5	6.49	72	93.51	-2.40
Dumbleyung	235	40	17.02	195	82.98	2.68
Duranillin	156	18	11.54	138	88.46	1.24
Elleker	382	178	46.60	204	53.40	-7.43
Emu Point	374	98	26.20	276	73.80	-11.26
Eneabba	185	51	27.57	134	72.43	4.66
Fitzgerald	40	4	10.00	36	90.00	7.30
Forest Hill	105	22	20.95	83	79.05	4.29
Frankland	202	40	19.80	162	80.20	7.14
Gairdner River	63	5	7.94	58	92.06	-3.91
Geraldton	1860	615	33.06	1245	66.94	-5.20
Geraldton Central	1043	441	42.28	602	57.72	3.45
Geraldton Regional Hospital	198	74	37.37	124	62.63	-8.84
Geraldton St John of God Hospita	458	138	30.13	320	69.87	-7.62
Gnowangerup	406	109	26.85	297	73.15	-6.18
Goomalling	410	103	25.12	307	74.88	-0.25
Hopetoun	262	58	22.14	204	77.86	-7.35
Hyden	253	30	11.86	223	88.14	-2.82
Jennacubbine	74	12	16.22	62	83.78	-10.67
Jerdacuttup	62	11	17.74	51	82.26	8.31
Jerramungup	263	31	11.79	232	88.21	-1.52
Jingalup	82	11	13.41	71	86.59	8.15
Jurien	701	145	20.68	556	79.32	-3.43
Kalannie	157	12	7.64	145	92.36	-1.96
Karlgarin	81	8	9.88	73	90.12	2.28
Katanning	1650	587	35.58	1063	64.42	-5.31
Katanning District Hospital	223	80	35.87	143	64.13	-12.07
Kellerberrin	543	161	29.65	382	70.35	-5.83
Kendenup	374	131	35.03	243	64.97	2.58
King River	337	113	33.53	224	66.47	1.33
Kojonup	814	145	17.81	669	82.19	-2.21
Kondinin	196	44	22.45	152	77.55	0.23
Koorda	304	55	18.09	249	81.91	-7.32
Kukerin	122	16	13.11	106	86.89	3.50
Kulin	303	53	17.49	250	82.51	-2.68
Kununoppin	62	14	22.58	48	77.42	-1.78
Lake Grace	413	54	13.08	359	86.92	-4.76
Lake King	125	12	9.60	113	90.40	-0.16
Latham	61	5	8.20	56	91.80	-0.14
Leeman	409	116	28.36	293	71.64	-9.33
Little Grove	1092	409	37.45	683	62.55	-6.64
Lockyer	2401	1064	44.31	1337	55.69	-7.38
Lower Kalgan	255	69	27.06	186	72.94	-8.17
Lower King	738	256	34.69	482	65.31	-8.50
Manypeaks	188	40	21.28	148	78.72	-1.68
Mayanup	118	11	9.32	107	90.68	0.63
Meckering	134	32	23.88	102	76.12	-4.90
Middleton Beach	1099	354	32.21	745	67.79	-4.67
Miling	117	8	6.84	109	93.16	-0.06
Mingenew	307	69	22.48	238	77.52	1.18
Mogumber	66	12	18.18	54	81.82	1.23
Moonyoonooka	206	31	15.05	175	84.95	-8.93
Moora	906	256	28.26	650	71.74	-1.14
Morawa	409	90	22.00	319	78.00	-1.58
Mount Barker	1373	455	33.14	918	66.86	0.48
Mount Tarcoola	1739	527	30.30	1212	69.70	-2.56
Mount Walker	54	6	11.11	48	88.89	2.66
Mukinbudin	366	41	11.20	325	88.80	-4.01
Munglinup (O'Connor)	68	16	23.53	52	76.47	11.25
Muradup	183	20	10.93	163	89.07	0.40
Napier	154	44	28.57	110	71.43	-0.30
Narembeen	350	60	17.14	290	82.86	1.85
Narrikup	211	39	18.48	172	81.52	4.07
New Norcia	115	18	15.65	97	84.35	4.22
Newdegate	245	27	11.02	218	88.98	-0.83
Nungarin	134	21	15.67	113	84.33	-2.36
Nyabing	160	20	12.50	140	87.50	-0.46
Ongerup	162	28	17.28	134	82.72	4.49
Parryville	177	81	45.76	96	54.24	5.29
Perenjori	185	42	22.70	143	77.30	4.85
Perth (O'Connor)	72	28	38.89	44	61.11	18.89
Pingaring	80	6	7.50	74	92.50	-0.91
Pingrup	113	16	14.16	97	85.84	0.24
Pithara	81	14	17.28	67	82.72	-8.05
Porongurup	125	38	30.40	87	69.60	3.29
Prison Mobile Team 1	0	0	0.00	0	0.00	-
Prison Mobile Team 2	1	1	99.99	0	0.00	-
Quairading	563	78	13.85	485	86.15	-4.80
Rangeway	1933	912	47.18	1021	52.82	-10.70
Ravensthorpe	341	77	22.58	264	77.42	-6.13
Redmond	127	30	23.62	97	76.38	0.09
Rocky Gully	88	24	27.27	64	72.73	8.04
Rottnest (O'Connor)	15	2	13.33	13	86.67	-10.20
Scotsdale	211	75	35.55	136	64.45	-9.02
Shackleton	83	14	16.87	69	83.13	-8.13
Spalding	821	357	43.48	464	56.52	-6.71
Special Hospital Team 1	120	36	30.00	84	70.00	-20.00
Special Hospital Team 2	58	33	56.90	25	43.10	-
Special Hospital Team 3	13	2	15.38	11	84.61	-
Special Hospital Team 4	6	0	0.00	6	100.00	-
Special Hospital Team 5	13	2	15.38	11	84.61	-
Spencer Park	1858	812	43.70	1046	56.30	-1.60
Tambellup	349	77	22.06	272	77.94	8.23
Tammin	208	51	24.52	157	75.48	2.08
Three Springs	346	60	17.34	286	82.66	-4.59
Tincurrin	68	4	5.88	64	94.12	-1.49
Tingledale	169	64	37.87	105	62.13	-3.36
Trayning	164	33	20.12	131	79.88	0.66
Varley	65	3	4.62	62	95.38	2.32
Waggrakine	1412	522	36.97	890	63.03	-5.26
Wagin	932	205	22.00	727	78.00	-4.37
Walkaway	326	86	26.38	240	73.62	-4.34
Watheroo	127	21	16.54	106	83.46	-1.65
Wellstead	117	21	17.95	96	82.05	-10.42
Wickepin	239	28	11.72	211	88.28	-3.88
Wongan Hills	613	106	17.29	507	82.71	-4.60
Wonthella	1760	728	41.36	1032	58.64	-2.45
Woodanilling	146	34	23.29	112	76.71	-10.05
Wubin	119	12	10.08	107	89.92	-3.10
Wyalkatchem	313	69	22.04	244	77.96	-9.12
Yakamia	1610	614	38.14	996	61.86	-2.94
Yealering	95	20	21.05	75	78.95	1.43
Yerecoin	107	16	14.95	91	85.05	4.75
Yorkrakine	49	4	8.16	45	91.84	6.16
ABSENT	7562	2401	31.75	5161	68.25	-
POSTAL	1762	559	31.73	1203	68.27	-
PRE POLL	2036	698	34.28	1338	65.72	-
PROVISIONAL	495	234	47.27	261	52.73	-	
Division Total	74515	23031	30.91	51484	69.09	-2.52	
							
							
Pearce							
							
Polling Place	Formal	COSTELLO		MOYLAN		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Bakers Hill	548	238	43.43	310	56.57	-2.81	
Beverley	767	262	34.16	505	65.84	-1.89	
Bindoon	783	243	31.03	540	68.97	-5.47	
Boddington	624	227	36.38	397	63.62	-0.87	
Brookton	479	115	24.01	364	75.99	0.37	
Bullsbrook	1628	648	39.80	980	60.20	2.23	
Carmel	348	106	30.46	242	69.54	0.08	
Chidlow	872	388	44.50	484	55.50	-8.86	
Clarkson	2012	1215	60.39	797	39.61	2.96
Cuballing	253	83	32.81	170	67.19	10.98
Darlington	1956	829	42.38	1127	57.62	-0.87
Ellenbrook	2371	1101	46.44	1270	53.56	-1.45
Gidgegannup	1177	445	37.81	732	62.19	0.84
Gingin	660	202	30.61	458	69.39	-6.42
Glen Forrest	1602	670	41.82	932	58.18	-3.23
Grass Valley	168	44	26.19	124	73.81	3.97
Greenhills	94	17	18.09	77	81.91	-3.97
Greenmount	1639	754	46.00	885	54.00	-1.43
Guilderton	257	102	39.69	155	60.31	0.24
Helena Valley (Pearce)	452	205	45.35	247	54.65	-2.12
Henley Brook	1013	326	32.18	687	67.82	-0.65
Herne Hill	1181	546	46.23	635	53.77	-4.54
Highbury	123	26	21.14	97	78.86	-0.55
Lancelin	578	243	42.04	335	57.96	3.11
Ledge Point	120	26	21.67	94	78.33	-11.38
Lower Chittering	217	69	31.80	148	68.20	-3.42
Mahogany Creek	592	262	44.26	330	55.74	-1.94
Merriwa	2562	1313	51.25	1249	48.75	0.89
Midland (Pearce)	424	207	48.82	217	51.18	2.17
Mindarie	1980	787	39.75	1193	60.25	-2.47
Mount Helena	1296	582	44.91	714	55.09	-2.82
Muchea	350	129	36.86	221	63.14	-1.50
Mundaring	2066	950	45.98	1116	54.02	1.87
Narrogin	2047	721	35.22	1326	64.78	-1.84
Narrogin Regional Hospital	286	111	38.81	175	61.19	1.27
Northam	1820	801	44.01	1019	55.99	-3.79
Northam East	930	417	44.84	513	55.16	-0.94
Northam North	593	362	61.05	231	38.95	-7.68
Parkerville	979	411	41.98	568	58.02	0.75
Perth (Pearce)	105	52	49.52	53	50.48	10.75
Pickering Brook	327	105	32.11	222	67.89	-2.67
Pingelly	602	183	30.40	419	69.60	1.59
Popanyinning	123	33	26.83	90	73.17	1.42
Prison Mobile Team 1	0	0	0.00	0	0.00	-
Quindanning	99	25	25.25	74	74.75	-1.18
Quinns Rock	2700	1313	48.63	1387	51.37	0.81
Rottnest (Pearce)	36	11	30.56	25	69.44	-12.30
Sawyers Valley	502	224	44.62	278	55.38	-6.54
Seabird	70	26	37.14	44	62.86	-4.13
Special Hospital Team 1	37	12	32.43	25	67.57	-17.29
Special Hospital Team 2	33	18	54.55	15	45.45	-
Special Hospital Team 3	58	22	37.93	36	62.07	-
Special Hospital Team 4	28	16	57.14	12	42.86	-
Stoneville	968	383	39.57	585	60.43	-6.36
Stratton	2094	1161	55.44	933	44.56	-2.94
Swan View (Pearce)	4123	2124	51.52	1999	48.48	-4.28
Toodyay	1492	621	41.62	871	58.38	-3.95	
Two Rocks	869	431	49.60	438	50.40	1.97	
Upper Swan	1622	539	33.23	1083	66.77	-4.42	
Walliston (Pearce)	431	144	33.41	287	66.59	-1.53	
Wandering	183	32	17.49	151	82.51	-0.41	
West Dale	115	13	11.30	102	88.70	-5.74	
Williams	412	80	19.42	332	80.58	-2.22	
Woodridge	379	157	41.42	222	58.58	-6.40	
Wooroloo	362	155	42.82	207	57.18	-4.40	
Wundowie	535	289	54.02	246	45.98	-5.70	
Yanchep	1045	514	49.19	531	50.81	2.18	
York	1480	573	38.72	907	61.28	-1.24	
ABSENT	6893	2987	43.33	3906	56.67	-	
POSTAL	2084	737	35.36	1347	64.64	-	
PRE POLL	2264	958	42.31	1306	57.69	-	
PROVISIONAL	363	181	49.86	182	50.14	-	
Division Total	70281	30302	43.12	39979	56.88	-1.70	
							
							
Perth							
							
Polling Place	Formal	SMITH		WEBB		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Ashfield	1104	729	66.03	375	33.97	-4.33	
Bassendean	2034	1336	65.68	698	34.32	0.41	
Bassendean South	2472	1522	61.57	950	38.43	0.34	
Bayswater	2766	1799	65.04	967	34.96	-2.97	
Bayswater North	2271	1429	62.92	842	37.08	-4.08	
Bedford Park	1335	825	61.80	510	38.20	-4.46	
Bedford West	1247	785	62.95	462	37.05	-1.22	
Beechboro	1975	1426	72.20	549	27.80	-0.85	
Beechboro East	1916	1317	68.74	599	31.26	-1.75	
Beechboro West	1663	1118	67.23	545	32.77	3.08
Coolbinia	949	422	44.47	527	55.53	-1.55
Dianella	947	540	57.02	407	42.98	0.74
Dianella Central	1981	1084	54.72	897	45.28	-1.29
Dianella North	1265	726	57.39	539	42.61	2.60
East Perth	848	403	47.52	445	52.48	-5.25
Eden Hill	2699	1822	67.51	877	32.49	-3.05
Embleton	1665	1064	63.90	601	36.10	-7.81
Hampton Park	2095	1208	57.66	887	42.34	-0.82
Highgate	2095	1478	70.55	617	29.45	-2.74
Inglewood	1213	772	63.64	441	36.36	-3.39
Inglewood North	2253	1320	58.59	933	41.41	-1.06
Kiara	1452	963	66.32	489	33.68	-3.31
Lockridge	1724	1345	78.02	379	21.98	-2.71
Maylands	2993	1905	63.65	1088	36.35	-1.82
Maylands East	1512	883	58.40	629	41.60	-3.77
Menora	376	187	49.73	189	50.27	-2.00
Menora South	830	323	38.92	507	61.08	0.47
Mercy Hospital	427	219	51.29	208	48.71	-2.09
Morley	2230	1326	59.46	904	40.54	-4.22
Morley North	904	483	53.43	421	46.57	-0.90
Morley South	2902	1797	61.92	1105	38.08	-3.17
Mount Lawley	2569	1383	53.83	1186	46.17	3.35
Mount Lawley East	713	381	53.44	332	46.56	-1.55
Mount Lawley South	633	407	64.30	226	35.70	3.96
Mount Lawley West	583	386	66.21	197	33.79	0.38
Noranda West (Perth)	487	264	54.21	223	45.79	2.16
North Perth	807	457	56.63	350	43.37	-0.31
North Perth Central	1956	1277	65.29	679	34.71	0.39
Northbridge	182	119	65.38	63	34.62	5.71
Perth (Perth)	694	437	62.97	257	37.03	-2.71
Rottnest (Perth)	70	30	42.86	40	57.14	-15.84
Royal Perth Hospital	246	156	63.41	90	36.59	-0.66	
Special Hospital Team 1	116	53	45.69	63	54.31	-4.31	
Special Hospital Team 2	219	102	46.58	117	53.42	-	
Special Hospital Team 3	231	133	57.58	98	42.42	-	
West Perth (Perth)	300	170	56.67	130	43.33	-5.88	
ABSENT	6696	3861	57.66	2835	42.34	-	
POSTAL	2431	1404	57.75	1027	42.25	-	
PRE POLL	2400	1360	56.67	1040	43.33	-	
PROVISIONAL	437	303	69.34	134	30.66	-	
Division Total	73913	45239	61.21	28674	38.79	-1.33	
							
							
Stirling							
							
Polling Place	Formal	McFARLANE		CRONIN		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Balcatta	2165	1283	59.26	882	40.74	0.54
Balcatta Central	3097	1734	55.99	1363	44.01	-1.76
Balcatta East	416	252	60.58	164	39.42	2.87
Balcatta North	1868	1028	55.03	840	44.97	-1.72
Balga	2302	1683	73.11	619	26.89	2.64
Balga North	1660	1164	70.12	496	29.88	-1.73
Carine	3397	1246	36.68	2151	63.32	3.20
Deanmore	1504	700	46.54	804	53.46	2.94
Dianella Heights	1857	762	41.03	1095	58.97	1.38
Dianella West	1448	625	43.16	823	56.84	2.86
Doubleview (Stirling)	3352	1444	43.08	1908	56.92	-0.57
Doubleview North	1951	1022	52.38	929	47.62	0.34
Duncraig East (Stirling)	263	88	33.46	175	66.54	5.71
Hamersley	2018	924	45.79	1094	54.21	-0.32
Hamersley East	1081	537	49.68	544	50.32	2.05
Innaloo North	2683	1414	52.70	1269	47.30	-3.71
Karrinyup	2354	879	37.34	1475	62.66	-0.14
Lake Gwelup	1936	806	41.63	1130	58.37	-0.59
Mirrabooka	2210	1481	67.01	729	32.99	0.54
Mirrabooka Central	1664	1262	75.84	402	24.16	-0.49
Mirrabooka East	1645	1222	74.29	423	25.71	2.24
Nollamara	2049	1293	63.10	756	36.90	-1.47
Nollamara North	500	358	71.60	142	28.40	-3.84
Noranda West (Stirling)	2253	969	43.01	1284	56.99	4.72
North Beach	1915	826	43.13	1089	56.87	0.78
North Beach Central (Stirling)	350	136	38.86	214	61.14	-0.11
Osborne	1598	926	57.95	672	42.05	-0.94
Osborne East	918	470	51.20	448	48.80	-0.06
Osborne Park	846	443	52.36	403	47.64	1.65
Perth (Stirling)	182	99	54.40	83	45.60	6.07
Rottnest (Stirling)	117	45	38.46	72	61.54	-8.21
Scarborough	1124	492	43.77	632	56.23	-2.60
Scarborough Central	1497	671	44.82	826	55.18	-0.24	
Special Hospital Team 1	451	180	39.91	271	60.09	-10.21	
Trigg	839	328	39.09	511	60.91	6.32	
Tuart Hill (Stirling)	2157	1224	56.75	933	43.25	0.53	
Westminster	1877	1238	65.96	639	34.04	-2.84	
Yokine	1469	754	51.33	715	48.67	-1.27	
Yokine North	1679	807	48.06	872	51.94	-1.13	
Yokine West	1253	656	52.35	597	47.65	4.96	
ABSENT	6866	3408	49.64	3458	50.36	-	
POSTAL	2861	1297	45.33	1564	54.67	-	
PRE POLL	2885	1265	43.85	1620	56.15	-	
PROVISIONAL	494	299	60.53	195	39.47	-	
Division Total	77051	39740	51.58	37311	48.42	-0.58	
							
							
Swan							
							
Polling Place	Formal	WILKIE		BRENNAN		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Beckenham	2432	1504	61.84	928	38.16	0.53	
Belmont	1290	647	50.16	643	49.84	-7.03	
Bentley	1383	779	56.33	604	43.67	-1.96	
Bentley South	843	575	68.21	268	31.79	0.67	
Bentley West	853	539	63.19	314	36.81	-0.68	
Cannington	1786	1076	60.25	710	39.75	1.55	
Cannington East	2151	1305	60.67	846	39.33	-2.19	
Carlisle	1271	753	59.24	518	40.76	-3.62	
Cloverdale	1118	715	63.95	403	36.05	-0.79	
Cloverdale North	2605	1617	62.07	988	37.93	-2.44	
Cloverdale West	2559	1594	62.29	965	37.71	-2.99	
Como	3139	1131	36.03	2008	63.97	-0.69	
Como North	609	263	43.19	346	56.81	2.00	
Como South	1167	401	34.36	766	65.64	-1.60
Kensington	2187	1037	47.42	1150	52.58	1.18
Kewdale	1672	1006	60.17	666	39.83	-1.29
Kewdale West	2542	1455	57.24	1087	42.76	-0.95
Lathlain	1827	953	52.16	874	47.84	-2.08
Manning	3224	1295	40.17	1929	59.83	-0.43
Manning North	1329	717	53.95	612	46.05	-2.78
Millen	1285	759	59.07	526	40.93	-0.68
Perth (Swan)	223	135	60.54	88	39.46	-3.48
Perth Domestic Airport	37	23	62.16	14	37.84	22.95
Perth International Airport	34	17	50.00	17	50.00	6.90
Prison Mobile Team 1	0	0	0.00	0	0.00	-
Queens Park	1033	634	61.37	399	38.63	-4.17
Redcliffe	1141	616	53.99	525	46.01	-1.75
Rivervale	693	393	56.71	300	43.29	-3.12
Rivervale North	1703	989	58.07	714	41.93	-0.94
Rottnest (Swan)	74	33	44.59	41	55.41	-8.04
Rowethorpe	270	126	46.67	144	53.33	4.73
South Perth	3212	1186	36.92	2026	63.08	3.54
South Perth Central	1657	640	38.62	1017	61.38	4.01
South Perth North	958	310	32.36	648	67.64	-0.42
Special Hospital Team 1	175	72	41.14	103	58.86	-8.96
Special Hospital Team 2	446	195	43.72	251	56.28	-
Special Hospital Team 3	144	76	52.78	68	47.22	-
Swan Cottage Homes	613	277	45.19	336	54.81	3.35
Victoria Park	2669	1402	52.53	1267	47.47	-1.89
Victoria Park Central	2400	1371	57.12	1029	42.87	0.95
Victoria Park East	2044	1217	59.54	827	40.46	3.48
Wilson	2203	1138	51.66	1065	48.34	-0.86
ABSENT	5988	2969	49.58	3019	50.42	-
POSTAL	2549	1285	50.41	1264	49.59	-
PRE POLL	2817	1359	48.24	1458	51.76	-
PROVISIONAL	448	260	58.04	188	41.96	-	
Division Total	70803	36844	52.04	33959	47.96	-0.72	
							
							
Tangney							
							
Polling Place	Formal	GOWEGATI		WILLIAMS		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Applecross	3274	843	25.75	2431	74.25	-1.41	
Ardross	838	286	34.13	552	65.87	-2.66	
Ardross West	1186	443	37.35	743	62.65	-2.05	
Attadale	2738	802	29.29	1936	70.71	0.43	
Bateman	1964	846	43.08	1118	56.92	-0.15	
Booragoon	2511	927	36.92	1584	63.08	-1.76	
Brentwood	2813	1012	35.98	1801	64.02	-1.78	
Bull Creek	1832	749	40.88	1083	59.12	-0.51	
Bull Creek East	1452	570	39.26	882	60.74	-1.16
Bull Creek North	1252	466	37.22	786	62.78	0.13
Ferndale	917	488	53.22	429	46.78	1.90
Ferndale East	1545	815	52.75	730	47.25	-4.73
Kardinya (Tangney)	1664	869	52.22	795	47.78	-3.10
Langford	1905	1339	70.29	566	29.71	-5.07
Leeming	2291	956	41.73	1335	58.27	-1.38
Leeming East	1803	649	36.00	1154	64.00	-0.55
Leeming West	2075	822	39.61	1253	60.39	2.31
Lynwood	1272	656	51.57	616	48.43	-3.49
Melville (Tangney)	888	394	44.37	494	55.63	-5.92
Melville East	2141	979	45.73	1162	54.27	-1.41
Melville South	974	439	45.07	535	54.93	3.59
Mt Pleasant	2730	868	31.79	1862	68.21	-1.03
Parkwood	3841	2185	56.89	1656	43.11	-0.25
Perth (Tangney)	112	53	47.32	59	52.68	1.40
Riverton	2056	905	44.02	1151	55.98	-2.30	
Rossmoyne	1942	685	35.27	1257	64.73	1.08	
Rottnest (Tangney)	167	54	32.34	113	67.66	-8.93	
Shelley	1566	539	34.42	1027	65.58	-3.39	
Special Hospital Team 1	321	84	26.17	237	73.83	-23.83	
Special Hospital Team 2	237	81	34.18	156	65.82	-	
Willetton	2788	1177	42.22	1611	57.78	-1.19	
Willetton East	3308	1645	49.73	1663	50.27	-1.42	
Willetton North	1359	606	44.59	753	55.41	-1.15	
Willetton South	3142	1473	46.88	1669	53.12	3.39	
Winthrop	3794	1524	40.17	2270	59.83	-0.25	
ABSENT	5555	2441	43.94	3114	56.06	-	
POSTAL	2142	760	35.48	1382	64.52	-	
PRE POLL	3269	1346	41.17	1923	58.83	-	
PROVISIONAL	317	158	49.84	159	50.16	-	
Division Total	75981	31934	42.03	44047	57.97	-0.93	
						
						
