House of Representatives - 2001 Election: Western Australia							
Swing to ALP							
By Division by Polling Place							
							
Brand							
							
Polling Place	Formal	BEAZLEY		THOMAS		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Landsdale	1907	972	50.97	935	49.03	2.80
Marangaroo	2477	1601	64.63	876	35.37	2.71
Marangaroo Central	2908	1978	68.02	930	31.98	4.21
Noranda	1827	998	54.63	829	45.37	-0.11
Noranda West (Cowan)	873	404	46.28	469	53.72	-0.46
Perth (Cowan)	122	67	54.92	55	45.08	-6.88
Rottnest (Cowan)	72	35	48.61	37	51.39	3.45
Special Hospital Team 1	329	135	41.03	194	58.97	-8.97
Tapping	945	448	47.41	497	52.59	-6.19
Wanneroo	3878	1968	50.75	1910	49.25	-1.96
Wanneroo East	3198	1599	50.00	1599	50.00	0.66
Wanneroo West	607	303	49.92	304	50.08	0.11
Warwick	1244	671	53.94	573	46.06	0.47
Warwick West	977	475	48.62	502	51.38	5.60
Woodvale	2034	908	44.64	1126	55.36	3.18
Woodvale North	3305	1508	45.63	1797	54.37	5.76	
ABSENT	5743	3083	53.68	2660	46.32	-	
POSTAL	1785	900	50.42	885	49.58	-	
PRE POLL	2285	1149	50.28	1136	49.72	-	
PROVISIONAL	329	217	65.96	112	34.04	-	
Division Total	72672	40341	55.51	32331	44.49	2.40	
							
							
Curtin							
							
Polling Place	Formal	FOWLER		BISHOP		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Churchlands	1158	342	29.53	816	70.47	1.41	
City Beach	1976	494	25.00	1482	75.00	1.11	
City Beach North	1630	368	22.58	1262	77.42	-2.05	
Claremont	2588	722	27.90	1866	72.10	4.85	
Claremont East	798	274	34.34	524	65.66	4.38
Cottesloe	2445	727	29.73	1718	70.27	-1.92
Cottesloe East	1839	546	29.69	1293	70.31	-1.45
Cottesloe South	1013	239	23.59	774	76.41	0.23
Dalkeith	2320	472	20.34	1848	79.66	2.38
Doubleview (Curtin)	616	219	35.55	397	64.45	-5.64
Floreat	2078	595	28.63	1483	71.37	-1.06
Floreat East	1618	523	32.32	1095	67.68	0.61
Graylands	2788	866	31.06	1922	68.94	-2.35
Jolimont	1291	514	39.81	777	60.19	0.25
Joondanna	1683	861	51.16	822	48.84	-1.28
King Edward Memorial Hospital	439	191	43.51	248	56.49	-1.49
Leederville	981	499	50.87	482	49.13	-1.20
Leederville North	1251	662	52.92	589	47.08	-1.67
Leederville West	1797	758	42.18	1039	57.82	-0.58
Mosman Park	2370	1006	42.45	1364	57.55	-0.44
Mosman Park South	852	277	32.51	575	67.49	-5.63
Mount Hawthorn	1751	946	54.03	805	45.97	-2.21
Mount Hawthorn East	1118	576	51.52	542	48.48	-2.70
Mount Hawthorn West	852	427	50.12	425	49.88	-2.51
Nedlands Central	604	302	50.00	302	50.00	0.76
Nedlands East	1406	387	27.52	1019	72.48	0.81
Nedlands North	1330	516	38.80	814	61.20	1.27
Nedlands South	1868	630	33.73	1238	66.27	2.43
Peppermint Grove	484	86	17.77	398	82.23	-4.53
Perth (Curtin)	237	127	53.59	110	46.41	-4.88
Rottnest (Curtin)	206	58	28.16	148	71.84	-1.73
Shenton Park East	808	379	46.91	429	53.09	3.43
Shenton Park West	1456	685	47.05	771	52.95	1.98
Sir Charles Gairdner Hospital	162	72	44.44	90	55.56	-0.20
Special Hospital Team 1	109	32	29.36	77	70.64	-20.64
Special Hospital Team 2	159	58	36.48	101	63.52	-
Special Hospital Team 3	328	39	11.89	289	88.11	-
Special Hospital Team 4	280	62	22.14	218	77.86	-
Special Hospital Team 5	117	38	32.48	79	67.52	-
Special Hospital Team 6	321	70	21.81	251	78.19	-
Special Hospital Team 7	11	5	45.45	6	54.54	-
Subiaco	2455	1043	42.48	1412	57.52	-0.53
Subiaco North	456	207	45.39	249	54.61	-9.25
Swanbourne	1656	492	29.71	1164	70.29	-2.51
Tuart Hill (Curtin)	209	102	48.80	107	51.20	-4.32
Wembley Central	784	256	32.65	528	67.35	-2.79
Wembley Downs	2316	736	31.78	1580	68.22	-1.66
Wembley North	1807	845	46.76	962	53.24	-5.63
Wembley South	621	218	35.10	403	64.90	-2.20
Wembley West	2215	904	40.81	1311	59.19	0.17
