Senate - 2001 Election: Western Australia																																																		5														
First Preference Votes by Group 																																																																
By Polling Place																																																																
Forrest (82248)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Busselton West		1	0.04		2	0.08		3	0.11		24	0.90		4	0.15		1249	46.87		81	3.04		1	0.04		249	9.34		79	2.96		1	0.04		4	0.15		0	0.00		16	0.60		107	4.02		699	26.23		143	5.37		2	0.08		2665	96.52		96	3.48		2761	3.50
	Capel		2	0.15		1	0.07		0	0.00		5	0.37		2	0.15		629	46.25		28	2.06		2	0.15		137	10.07		30	2.21		1	0.07		5	0.37		0	0.00		8	0.59		52	3.82		370	27.21		88	6.47		0	0.00		1360	96.73		46	3.27		1406	1.78
	Carbunup River		0	0.00		0	0.00		0	0.00		6	1.80		1	0.30		177	52.99		23	6.89		0	0.00		19	5.69		6	1.80		1	0.30		1	0.30		0	0.00		1	0.30		15	4.49		49	14.67		35	10.48		0	0.00		334	96.25		13	3.75		347	0.44
	Carey Park		10	0.48		1	0.05		1	0.05		13	0.63		0	0.00		646	31.12		43	2.07		0	0.00		201	9.68		44	2.12		2	0.10		2	0.10		0	0.00		16	0.77		50	2.41		918	44.22		127	6.12		2	0.10		2076	95.19		105	4.81		2181	2.76
	Carey Park South		4	0.37		0	0.00		1	0.09		6	0.55		1	0.09		396	36.33		23	2.11		0	0.00		121	11.10		25	2.29		1	0.09		2	0.18		0	0.00		11	1.01		30	2.75		424	38.90		44	4.04		1	0.09		1090	96.12		44	3.88		1134	1.44
	Clifton Park		0	0.00		2	0.30		0	0.00		11	1.64		2	0.30		341	50.74		8	1.19		0	0.00		43	6.40		17	2.53		0	0.00		3	0.45		0	0.00		2	0.30		30	4.46		180	26.79		33	4.91		0	0.00		672	98.10		13	1.90		685	0.87
	Collie		3	0.36		0	0.00		1	0.12		2	0.24		2	0.24		176	21.08		23	2.75		0	0.00		131	15.69		12	1.44		1	0.12		4	0.48		0	0.00		10	1.20		20	2.40		422	50.54		27	3.23		1	0.12		835	96.31		32	3.69		867	1.10
	Collie Central		1	0.07		0	0.00		2	0.13		9	0.59		4	0.26		288	18.93		21	1.38		2	0.13		212	13.94		19	1.25		2	0.13		9	0.59		0	0.00		21	1.38		49	3.22		839	55.16		43	2.83		0	0.00		1521	94.30		92	5.70		1613	2.04
	Collie East		0	0.00		0	0.00		0	0.00		1	0.15		2	0.30		166	24.96		13	1.95		0	0.00		94	14.14		9	1.35		1	0.15		4	0.60		0	0.00		2	0.30		18	2.71		342	51.43		12	1.80		1	0.15		665	93.66		45	6.34		710	0.90
	Collie North		7	0.79		0	0.00		1	0.11		3	0.34		1	0.11		182	20.54		13	1.47		0	0.00		112	12.64		15	1.69		0	0.00		3	0.34		0	0.00		14	1.58		19	2.14		498	56.21		17	1.92		1	0.11		886	94.16		55	5.84		941	1.19
