			 A 												 B 												 C Taxi Operators Political Service (Oceania)												 D Christian Democratic Party (Fred Nile Group)												 E Citizens Electoral Council of Australia												 F Liberal Party (W.A. Division) Inc.																								 G National Party of Australia (WA) Inc												 H Unity - Say No To Hanson												 I Pauline Hanson's One Nation																		 J liberals for forests												 K 												 L Curtin Labor Alliance												 M 												 N Progressive Labour Party												 O Australian Democrats															 P Australian Labor Party (Western Australian Branch)																		 Q The Greens (WA) Inc																		Ungrouped													
	    		TICKET VOTES			DALTON			DALTON			Group Total			TICKET VOTES			TAYLOR			SHEIL			Group Total			TICKET VOTES			BATESON			KENNEDY			Group Total			TICKET VOTES			MOSELEY			WATTERSON			Group Total			TICKET VOTES			ROBINSON			WATSON			Group Total			TICKET VOTES			# EGGLESTON			# JOHNSTON			# LIGHTFOOT			CRANE			KEOGH			HALLETT			Group Total			TICKET VOTES			COWAN			DAY			Group Total			TICKET VOTES			HWANG			CHIN			Group Total			TICKET VOTES			CAMPBELL			KENWORTHY			DANIELS			DAVID			Group Total			TICKET VOTES			DAVENPORT			HARRIS			Group Total			TICKET VOTES			NESCI			SCHNEIDER			Group Total			TICKET VOTES			BENNETT			BENNETT			Group Total			TICKET VOTES			ISAACS			WATSON			Group Total			TICKET VOTES			LUPI			WHOOLEY			Group Total			TICKET VOTES			# MURRAY			HODGSON			MEYER			Group Total			TICKET VOTES			# BISHOP			# WEBBER			CUOMO			WAUGH			Group Total			TICKET VOTES			SIEWERT			BELL			SMITH			ZED			Group Total			LEE			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
	    					Jim			Kate									Geoff			Henry									Alan			Ramon									Justin			Kerry									Jean			John									Alan			David			Ross			Winston			Kim			Nigel									Hendy			Margaret									Eddie			Nicholas									Graeme			Gerry			Marye			Peter									Liz			Arthur									Frank			Renu									Adrian			June									Clarrie			Daniel									Mary			Helen									Andrew			Helen			Damian									Mark			Ruth			Mark			Gavin Bruce									Rachel			Lee			Paul			Jenna						Jennifer													
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Ballidu		2	1.30		0	0.00		0	0.00		2	1.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.65		0	0.00		0	0.00		1	0.65		0	0.00		0	0.00		0	0.00		0	0.00		95	61.69		2	1.30		0	0.00		0	0.00		1	0.65		0	0.00		0	0.00		98	63.64		19	12.34		6	3.90		0	0.00		25	16.23		0	0.00		0	0.00		0	0.00		0	0.00		14	9.09		2	1.30		0	0.00		0	0.00		0	0.00		16	10.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	5.19		1	0.65		0	0.00		0	0.00		0	0.00		9	5.84		1	0.65		2	1.30		0	0.00		0	0.00		0	0.00		3	1.95		0	0.00		0	0.00		154	95.65		7	4.35		161	0.20
	Bayonet Head		7	0.69		1	0.10		0	0.00		8	0.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		27	2.68		5	0.50		1	0.10		33	3.27		0	0.00		0	0.00		0	0.00		0	0.00		423	41.96		5	0.50		1	0.10		3	0.30		1	0.10		0	0.00		0	0.00		433	42.96		80	7.94		10	0.99		0	0.00		90	8.93		0	0.00		0	0.00		0	0.00		0	0.00		100	9.92		15	1.49		0	0.00		0	0.00		1	0.10		116	11.51		10	0.99		1	0.10		0	0.00		11	1.09		1	0.10		0	0.00		0	0.00		1	0.10		0	0.00		0	0.00		1	0.10		1	0.10		0	0.00		0	0.00		0	0.00		0	0.00		4	0.40		0	0.00		0	0.00		4	0.40		24	2.38		8	0.79		0	0.00		0	0.00		32	3.17		231	22.92		6	0.60		1	0.10		1	0.10		0	0.00		239	23.71		32	3.17		8	0.79		0	0.00		0	0.00		0	0.00		40	3.97		0	0.00		0	0.00		1008	97.58		25	2.42		1033	1.30
	Beachlands		2	0.26		2	0.26		0	0.00		4	0.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	1.03		0	0.00		0	0.00		8	1.03		2	0.26		1	0.13		0	0.00		3	0.39		301	38.79		4	0.52		0	0.00		0	0.00		1	0.13		0	0.00		1	0.13		307	39.56		11	1.42		1	0.13		0	0.00		12	1.55		0	0.00		0	0.00		0	0.00		0	0.00		82	10.57		3	0.39		0	0.00		0	0.00		0	0.00		85	10.95		9	1.16		1	0.13		0	0.00		10	1.29		1	0.13		0	0.00		0	0.00		1	0.13		5	0.64		1	0.13		0	0.00		6	0.77		0	0.00		0	0.00		0	0.00		0	0.00		5	0.64		0	0.00		0	0.00		5	0.64		16	2.06		1	0.13		1	0.13		0	0.00		18	2.32		273	35.18		3	0.39		0	0.00		0	0.00		0	0.00		276	35.57		34	4.38		5	0.64		1	0.13		1	0.13		0	0.00		41	5.28		0	0.00		0	0.00		776	97.00		24	3.00		800	1.01
	Beacon		1	0.65		0	0.00		0	0.00		1	0.65		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.31		0	0.00		0	0.00		2	1.31		0	0.00		0	0.00		0	0.00		0	0.00		75	49.02		4	2.61		0	0.00		1	0.65		2	1.31		0	0.00		0	0.00		82	53.59		34	22.22		2	1.31		0	0.00		36	23.53		0	0.00		0	0.00		0	0.00		0	0.00		16	10.46		0	0.00		0	0.00		0	0.00		0	0.00		16	10.46		3	1.96		0	0.00		0	0.00		3	1.96		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.31		0	0.00		0	0.00		0	0.00		2	1.31		6	3.92		2	1.31		0	0.00		0	0.00		0	0.00		8	5.23		2	1.31		1	0.65		0	0.00		0	0.00		0	0.00		3	1.96		0	0.00		0	0.00		153	99.35		1	0.65		154	0.19
	Bencubbin		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.59		0	0.00		0	0.00		1	0.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		79	46.47		1	0.59		0	0.00		1	0.59		3	1.76		0	0.00		0	0.00		84	49.41		31	18.24		3	1.76		0	0.00		34	20.00		0	0.00		0	0.00		0	0.00		0	0.00		21	12.35		3	1.76		0	0.00		0	0.00		0	0.00		24	14.12		2	1.18		2	1.18		0	0.00		4	2.35		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	1.76		0	0.00		1	0.59		0	0.00		4	2.35		15	8.82		0	0.00		0	0.00		0	0.00		0	0.00		15	8.82		4	2.35		0	0.00		0	0.00		0	0.00		0	0.00		4	2.35		0	0.00		0	0.00		170	97.70		4	2.30		174	0.22
	Bindi Bindi		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		25	45.45		0	0.00		0	0.00		0	0.00		13	23.64		0	0.00		0	0.00		38	69.09		3	5.45		1	1.82		0	0.00		4	7.27		0	0.00		0	0.00		0	0.00		0	0.00		5	9.09		1	1.82		0	0.00		0	0.00		0	0.00		6	10.91		3	5.45		0	0.00		0	0.00		3	5.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	3.64		0	0.00		0	0.00		0	0.00		2	3.64		2	3.64		0	0.00		0	0.00		0	0.00		0	0.00		2	3.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		55	96.49		2	3.51		57	0.07
	Bluff Point		9	0.46		1	0.05		0	0.00		10	0.51		0	0.00		0	0.00		0	0.00		0	0.00		2	0.10		1	0.05		0	0.00		3	0.15		19	0.97		2	0.10		0	0.00		21	1.08		3	0.15		0	0.00		0	0.00		3	0.15		927	47.47		10	0.51		2	0.10		0	0.00		17	0.87		0	0.00		0	0.00		956	48.95		44	2.25		4	0.20		0	0.00		48	2.46		1	0.05		0	0.00		0	0.00		1	0.05		260	13.31		15	0.77		1	0.05		0	0.00		0	0.00		276	14.13		22	1.13		0	0.00		0	0.00		22	1.13		1	0.05		0	0.00		0	0.00		1	0.05		4	0.20		0	0.00		0	0.00		4	0.20		0	0.00		0	0.00		0	0.00		0	0.00		5	0.26		0	0.00		0	0.00		5	0.26		54	2.76		7	0.36		0	0.00		0	0.00		61	3.12		457	23.40		7	0.36		0	0.00		0	0.00		2	0.10		466	23.86		63	3.23		12	0.61		0	0.00		0	0.00		0	0.00		75	3.84		1	0.05		1	0.05		1953	94.85		106	5.15		2059	2.59
	Bolgart		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		65	55.08		0	0.00		0	0.00		0	0.00		4	3.39		0	0.00		0	0.00		69	58.47		6	5.08		0	0.00		0	0.00		6	5.08		0	0.00		0	0.00		0	0.00		0	0.00		22	18.64		0	0.00		0	0.00		0	0.00		0	0.00		22	18.64		3	2.54		0	0.00		0	0.00		3	2.54		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.85		0	0.00		1	0.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	9.32		0	0.00		0	0.00		0	0.00		0	0.00		11	9.32		5	4.24		1	0.85		0	0.00		0	0.00		0	0.00		6	5.08		0	0.00		0	0.00		118	93.65		8	6.35		126	0.16
	Borden		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.53		0	0.00		0	0.00		2	1.53		0	0.00		0	0.00		0	0.00		0	0.00		55	41.98		0	0.00		0	0.00		0	0.00		2	1.53		1	0.76		0	0.00		58	44.27		21	16.03		5	3.82		1	0.76		27	20.61		0	0.00		0	0.00		0	0.00		0	0.00		18	13.74		0	0.00		0	0.00		0	0.00		0	0.00		18	13.74		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	9.16		1	0.76		0	0.00		0	0.00		13	9.92		8	6.11		1	0.76		0	0.00		0	0.00		0	0.00		9	6.87		2	1.53		2	1.53		0	0.00		0	0.00		0	0.00		4	3.05		0	0.00		0	0.00		131	97.04		4	2.96		135	0.17
	Bornholm		2	0.54		1	0.27		0	0.00		3	0.81		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	1.08		1	0.27		0	0.00		5	1.34		2	0.54		0	0.00		0	0.00		2	0.54		134	36.02		7	1.88		0	0.00		2	0.54		2	0.54		0	0.00		0	0.00		145	38.98		31	8.33		6	1.61		0	0.00		37	9.95		0	0.00		0	0.00		0	0.00		0	0.00		42	11.29		5	1.34		0	0.00		0	0.00		0	0.00		47	12.63		4	1.08		2	0.54		0	0.00		6	1.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.27		0	0.00		0	0.00		1	0.27		9	2.42		3	0.81		0	0.00		0	0.00		12	3.23		42	11.29		1	0.27		0	0.00		1	0.27		0	0.00		44	11.83		62	16.67		8	2.15		0	0.00		0	0.00		0	0.00		70	18.82		0	0.00		0	0.00		372	97.64		9	2.36		381	0.48
