Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Stirling (85975)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Mirrabooka East		8	0.47		3	0.18		0	0.00		12	0.71		0	0.00		345	20.34		7	0.41		3	0.18		67	3.95		11	0.65		0	0.00		7	0.41		2	0.12		44	2.59		67	3.95		1061	62.56		59	3.48		0	0.00		1696	94.80		93	5.20		1789	2.18
	Nollamara		11	0.54		2	0.10		0	0.00		27	1.33		3	0.15		582	28.71		10	0.49		3	0.15		124	6.12		19	0.94		1	0.05		8	0.39		0	0.00		25	1.23		136	6.71		958	47.26		116	5.72		2	0.10		2027	92.68		160	7.32		2187	2.67
	Nollamara North		4	0.77		0	0.00		1	0.19		5	0.96		0	0.00		117	22.50		2	0.38		0	0.00		28	5.38		5	0.96		2	0.38		1	0.19		0	0.00		7	1.35		8	1.54		311	59.81		28	5.38		1	0.19		520	94.20		32	5.80		552	0.67
	Noranda West (Stirling)		10	0.44		2	0.09		0	0.00		13	0.57		2	0.09		1139	49.87		26	1.14		0	0.00		74	3.24		11	0.48		0	0.00		8	0.35		0	0.00		5	0.22		139	6.09		766	33.54		87	3.81		2	0.09		2284	96.37		86	3.63		2370	2.89
	North Beach		7	0.36		1	0.05		0	0.00		30	1.56		0	0.00		846	43.88		51	2.65		0	0.00		75	3.89		34	1.76		0	0.00		3	0.16		0	0.00		5	0.26		167	8.66		538	27.90		170	8.82		1	0.05		1928	97.03		59	2.97		1987	2.42
	North Beach Central (Stirling)		1	0.28		0	0.00		0	0.00		2	0.56		0	0.00		187	52.53		5	1.40		0	0.00		18	5.06		2	0.56		0	0.00		0	0.00		0	0.00		1	0.28		15	4.21		93	26.12		32	8.99		0	0.00		356	97.27		10	2.73		366	0.45
	Osborne		4	0.25		1	0.06		2	0.12		15	0.93		0	0.00		562	34.95		15	0.93		3	0.19		71	4.42		23	1.43		0	0.00		5	0.31		0	0.00		22	1.37		106	6.59		695	43.22		78	4.85		6	0.37		1608	93.38		114	6.62		1722	2.10
	Osborne East		9	0.97		0	0.00		0	0.00		8	0.87		1	0.11		354	38.31		8	0.87		1	0.11		46	4.98		6	0.65		3	0.32		2	0.22		0	0.00		7	0.76		74	8.01		348	37.66		55	5.95		2	0.22		924	94.48		54	5.52		978	1.19
	Osborne Park		11	1.30		0	0.00		1	0.12		9	1.06		1	0.12		345	40.68		7	0.83		1	0.12		26	3.07		4	0.47		2	0.24		4	0.47		0	0.00		10	1.18		47	5.54		340	40.09		39	4.60		1	0.12		848	92.98		64	7.02		912	1.11
	Perth (Stirling)		2	1.10		0	0.00		1	0.55		1	0.55		0	0.00		65	35.71		5	2.75		0	0.00		2	1.10		5	2.75		1	0.55		1	0.55		0	0.00		2	1.10		14	7.69		67	36.81		16	8.79		0	0.00		182	96.81		6	3.19		188	0.23
