Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Canning (76632)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Huntingdale (Canning)		4	0.25		0	0.00		1	0.06		48	2.95		1	0.06		633	38.91		10	0.61		1	0.06		103	6.33		17	1.04		2	0.12		2	0.12		0	0.00		12	0.74		83	5.10		658	40.44		51	3.13		1	0.06		1627	96.50		59	3.50		1686	2.30
	Jarrahdale		3	0.80		2	0.53		0	0.00		8	2.12		0	0.00		142	37.67		4	1.06		0	0.00		37	9.81		3	0.80		0	0.00		3	0.80		0	0.00		4	1.06		16	4.24		120	31.83		34	9.02		1	0.27		377	94.96		20	5.04		397	0.54
	Karragullen		3	1.27		0	0.00		0	0.00		4	1.69		0	0.00		139	58.65		4	1.69		0	0.00		13	5.49		3	1.27		0	0.00		0	0.00		0	0.00		1	0.42		11	4.64		46	19.41		13	5.49		0	0.00		237	93.68		16	6.32		253	0.34
	Kelmscott		4	0.21		1	0.05		1	0.05		66	3.41		0	0.00		609	31.46		17	0.88		0	0.00		155	8.01		14	0.72		0	0.00		4	0.21		0	0.00		14	0.72		97	5.01		862	44.52		91	4.70		1	0.05		1936	95.79		85	4.21		2021	2.76
	Kelmscott East		11	0.52		5	0.24		1	0.05		91	4.28		0	0.00		908	42.69		18	0.85		0	0.00		160	7.52		38	1.79		1	0.05		5	0.24		0	0.00		8	0.38		141	6.63		595	27.97		145	6.82		0	0.00		2127	96.81		70	3.19		2197	3.00
	Kelmscott North		2	0.14		1	0.07		0	0.00		31	2.24		4	0.29		537	38.88		15	1.09		0	0.00		118	8.54		10	0.72		1	0.07		1	0.07		0	0.00		4	0.29		69	5.00		519	37.58		68	4.92		1	0.07		1381	97.12		41	2.88		1422	1.94
	Lake Clifton		1	0.38		1	0.38		0	0.00		1	0.38		1	0.38		106	39.85		2	0.75		0	0.00		25	9.40		2	0.75		0	0.00		0	0.00		0	0.00		2	0.75		9	3.38		89	33.46		27	10.15		0	0.00		266	97.08		8	2.92		274	0.37
	Mundijong		5	0.51		0	0.00		1	0.10		13	1.33		0	0.00		441	45.05		13	1.33		0	0.00		109	11.13		8	0.82		0	0.00		7	0.72		1	0.10		4	0.41		35	3.58		283	28.91		56	5.72		3	0.31		979	96.74		33	3.26		1012	1.38
	North Dandalup		0	0.00		2	0.62		0	0.00		0	0.00		0	0.00		154	47.38		12	3.69		0	0.00		35	10.77		4	1.23		0	0.00		1	0.31		0	0.00		2	0.62		12	3.69		80	24.62		23	7.08		0	0.00		325	96.15		13	3.85		338	0.46
	Oakford		4	0.51		0	0.00		0	0.00		3	0.38		0	0.00		385	48.61		12	1.52		2	0.25		73	9.22		9	1.14		1	0.13		5	0.63		0	0.00		1	0.13		24	3.03		231	29.17		42	5.30		0	0.00		792	97.42		21	2.58		813	1.11
	Perth (Canning)		0	0.00		0	0.00		0	0.00		2	2.44		1	1.22		30	36.59		1	1.22		0	0.00		4	4.88		2	2.44		0	0.00		0	0.00		0	0.00		1	1.22		6	7.32		30	36.59		5	6.10		0	0.00		82	100.00		0	0.00		82	0.11
	Pinjarra		7	0.45		1	0.06		1	0.06		29	1.87		3	0.19		658	42.34		22	1.42		0	0.00		193	12.42		18	1.16		0	0.00		5	0.32		0	0.00		11	0.71		41	2.64		496	31.92		68	4.38		1	0.06		1554	95.34		76	4.66		1630	2.22
	Roleystone		8	0.26		4	0.13		1	0.03		45	1.44		6	0.19		1374	43.87		42	1.34		0	0.00		204	6.51		42	1.34		1	0.03		5	0.16		0	0.00		7	0.22		244	7.79		883	28.19		261	8.33		5	0.16		3132	98.12		60	1.88		3192	4.35
	Rottnest (Canning)		1	2.13		0	0.00		1	2.13		0	0.00		0	0.00		19	40.43		1	2.13		1	2.13		3	6.38		0	0.00		0	0.00		0	0.00		0	0.00		1	2.13		2	4.26		15	31.91		3	6.38		0	0.00		47	100.00		0	0.00		47	0.06
	Serpentine		5	0.47		0	0.00		2	0.19		20	1.88		0	0.00		522	48.97		17	1.59		0	0.00		128	12.01		11	1.03		0	0.00		1	0.09		0	0.00		3	0.28		41	3.85		269	25.23		46	4.32		1	0.09		1066	96.04		44	3.96		1110	1.51
	Strawberry Fields		5	0.20		1	0.04		1	0.04		78	3.19		6	0.25		689	28.17		16	0.65		3	0.12		263	10.75		18	0.74		1	0.04		11	0.45		0	0.00		36	1.47		129	5.27		1108	45.30		79	3.23		2	0.08		2446	96.57		87	3.43		2533	3.45
	Thornlie (Canning)		0	0.00		0	0.00		1	0.14		13	1.83		0	0.00		258	36.29		3	0.42		2	0.28		25	3.52		8	1.13		0	0.00		6	0.84		0	0.00		8	1.13		54	7.59		312	43.88		20	2.81		1	0.14		711	95.31		35	4.69		746	1.02
	Thornlie South (Canning)		5	0.20		1	0.04		1	0.04		43	1.71		2	0.08		1065	42.33		11	0.44		1	0.04		143	5.68		16	0.64		0	0.00		1	0.04		0	0.00		13	0.52		148	5.88		992	39.43		73	2.90		1	0.04		2516	97.41		67	2.59		2583	3.52
	Waroona		11	0.77		2	0.14		0	0.00		22	1.54		5	0.35		699	48.98		29	2.03		0	0.00		128	8.97		14	0.98		1	0.07		4	0.28		0	0.00		9	0.63		43	3.01		404	28.31		55	3.85		1	0.07		1427	94.32		86	5.68		1513	2.06
	Westfield		7	0.53		1	0.08		0	0.00		41	3.11		1	0.08		399	30.23		8	0.61		0	0.00		125	9.47		6	0.45		0	0.00		6	0.45		0	0.00		6	0.45		57	4.32		606	45.91		56	4.24		1	0.08		1320	96.14		53	3.86		1373	1.87
	Westfield South		9	0.54		1	0.06		0	0.00		43	2.56		1	0.06		466	27.72		3	0.18		0	0.00		183	10.89		14	0.83		1	0.06		6	0.36		0	0.00		13	0.77		85	5.06		782	46.52		74	4.40		0	0.00		1681	95.67		76	4.33		1757	2.40
	Yunderup		8	0.87		0	0.00		0	0.00		1	0.11		0	0.00		483	52.39		16	1.74		0	0.00		101	10.95		13	1.41		0	0.00		2	0.22		0	0.00		2	0.22		18	1.95		259	28.09		19	2.06		0	0.00		922	96.34		35	3.66		957	1.30
	Yunderup North		2	0.57		0	0.00		0	0.00		4	1.14		0	0.00		172	49.14		2	0.57		0	0.00		47	13.43		6	1.71		0	0.00		0	0.00		0	0.00		3	0.86		8	2.29		90	25.71		14	4.00		2	0.57		350	94.59		20	5.41		370	0.50
	Special Hospitals		0	0.00		0	0.00		0	0.00		1	0.54		0	0.00		69	37.30		1	0.54		1	0.54		8	4.32		5	2.70		0	0.00		2	1.08		0	0.00		5	2.70		3	1.62		87	47.03		3	1.62		0	0.00		185	97.37		5	2.63		190	0.26
	Prison Mobiles		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
	Total Ordinary		211	0.35		81	0.14		26	0.04		1416	2.37		82	0.14		24779	41.56		622	1.04		31	0.05		4756	7.98		627	1.05		19	0.03		172	0.29		3	0.01		396	0.66		2774	4.65		20921	35.09		2675	4.49		32	0.05		59623	96.35		2259	3.65		61882	84.37
	ABSENT		20	0.31		6	0.09		5	0.08		110	1.73		12	0.19		2382	37.36		73	1.15		3	0.05		587	9.21		80	1.25		2	0.03		24	0.38		1	0.02		59	0.93		395	6.20		2204	34.57		405	6.35		7	0.11		6375	97.48		165	2.52		6540	8.92
	POSTAL		4	0.21		2	0.11		3	0.16		32	1.68		2	0.11		879	46.19		23	1.21		0	0.00		184	9.67		33	1.73		0	0.00		4	0.21		0	0.00		4	0.21		74	3.89		586	30.79		70	3.68		3	0.16		1903	99.06		18	0.94		1921	2.62
	PRE_POLL		10	0.44		5	0.22		0	0.00		29	1.28		6	0.26		962	42.34		31	1.36		3	0.13		183	8.05		33	1.45		2	0.09		2	0.09		1	0.04		14	0.62		128	5.63		764	33.63		95	4.18		4	0.18		2272	98.74		29	1.26		2301	3.14
	PROVISIONAL		3	0.44		1	0.15		0	0.00		12	1.77		0	0.00		266	39.23		6	0.88		1	0.15		66	9.73		5	0.74		0	0.00		3	0.44		0	0.00		7	1.03		23	3.39		249	36.73		35	5.16		1	0.15		678	97.13		20	2.87		698	0.95
	Division Summary		248	0.35		95	0.13		34	0.05		1599	2.26		102	0.14		29268	41.31		755	1.07		38	0.05		5776	8.15		778	1.1		23	0.03		205	0.29		5	0.01		480	0.68		3394	4.79		24724	34.9		3280	4.63		47	0.07		70851	96.6		2491	3.4		73342	95.71
