Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
O'Connor (83118)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Bremer Bay		3	1.26		0	0.00		0	0.00		4	1.67		0	0.00		108	45.19		36	15.06		0	0.00		40	16.74		1	0.42		0	0.00		0	0.00		0	0.00		0	0.00		2	0.84		37	15.48		8	3.35		0	0.00		239	96.76		8	3.24		247	0.31
	Broomehill		0	0.00		0	0.00		0	0.00		4	1.80		1	0.45		94	42.34		35	15.77		0	0.00		36	16.22		0	0.00		2	0.90		0	0.00		0	0.00		2	0.90		12	5.41		32	14.41		4	1.80		0	0.00		222	97.80		5	2.20		227	0.29
	Bruce Rock		2	0.47		1	0.24		1	0.24		7	1.65		0	0.00		166	39.06		125	29.41		0	0.00		36	8.47		5	1.18		0	0.00		1	0.24		0	0.00		3	0.71		8	1.88		64	15.06		6	1.41		0	0.00		425	94.44		25	5.56		450	0.57
	Bullaring		0	0.00		0	0.00		0	0.00		2	3.45		1	1.72		27	46.55		22	37.93		0	0.00		2	3.45		0	0.00		0	0.00		0	0.00		0	0.00		1	1.72		0	0.00		2	3.45		1	1.72		0	0.00		58	95.08		3	4.92		61	0.08
	Bulyee		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		18	47.37		17	44.74		0	0.00		2	5.26		1	2.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		38	95.00		2	5.00		40	0.05
	Buntine		0	0.00		1	1.33		0	0.00		2	2.67		0	0.00		43	57.33		17	22.67		0	0.00		7	9.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.33		4	5.33		0	0.00		0	0.00		75	98.68		1	1.32		76	0.10
	Cadoux		1	0.88		0	0.00		0	0.00		0	0.00		0	0.00		62	54.87		29	25.66		0	0.00		14	12.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.88		4	3.54		2	1.77		0	0.00		113	97.41		3	2.59		116	0.15
	Calingiri		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		86	51.81		32	19.28		0	0.00		29	17.47		2	1.20		0	0.00		0	0.00		0	0.00		0	0.00		3	1.81		12	7.23		2	1.20		0	0.00		166	93.79		11	6.21		177	0.22
	Cape Burney		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		93	40.79		6	2.63		0	0.00		43	18.86		9	3.95		0	0.00		0	0.00		0	0.00		2	0.88		6	2.63		59	25.88		9	3.95		1	0.44		228	97.85		5	2.15		233	0.29
	Carnamah		3	1.06		0	0.00		0	0.00		0	0.00		0	0.00		162	57.04		29	10.21		0	0.00		57	20.07		2	0.70		0	0.00		1	0.35		0	0.00		1	0.35		3	1.06		22	7.75		4	1.41		0	0.00		284	96.27		11	3.73		295	0.37
	Centennial Park		7	0.41		0	0.00		0	0.00		77	4.46		5	0.29		815	47.25		93	5.39		1	0.06		228	13.22		16	0.93		1	0.06		0	0.00		1	0.06		9	0.52		61	3.54		328	19.01		81	4.70		2	0.12		1725	95.83		75	4.17		1800	2.26
	Cervantes		1	0.33		0	0.00		0	0.00		0	0.00		0	0.00		146	48.83		14	4.68		0	0.00		47	15.72		1	0.33		0	0.00		3	1.00		0	0.00		1	0.33		3	1.00		76	25.42		7	2.34		0	0.00		299	95.53		14	4.47		313	0.39
	Coomberdale		3	5.66		0	0.00		0	0.00		0	0.00		0	0.00		26	49.06		12	22.64		0	0.00		7	13.21		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.89		4	7.55		0	0.00		0	0.00		53	98.15		1	1.85		54	0.07
	Coorow		3	1.30		0	0.00		0	0.00		1	0.43		0	0.00		129	56.09		28	12.17		0	0.00		47	20.43		1	0.43		1	0.43		0	0.00		0	0.00		0	0.00		1	0.43		12	5.22		7	3.04		0	0.00		230	97.05		7	2.95		237	0.30
	Corrigin		4	0.67		0	0.00		0	0.00		2	0.33		0	0.00		233	38.96		193	32.27		0	0.00		67	11.20		4	0.67		0	0.00		3	0.50		0	0.00		2	0.33		10	1.67		70	11.71		10	1.67		0	0.00		598	96.45		22	3.55		620	0.78
	Cranbrook		7	1.99		0	0.00		0	0.00		19	5.41		0	0.00		125	35.61		36	10.26		0	0.00		78	22.22		6	1.71		0	0.00		0	0.00		1	0.28		1	0.28		7	1.99		60	17.09		11	3.13		0	0.00		351	95.12		18	4.88		369	0.46
	Cunderdin		3	0.60		0	0.00		0	0.00		5	0.99		0	0.00		267	53.08		62	12.33		0	0.00		47	9.34		5	0.99		1	0.20		2	0.40		0	0.00		4	0.80		13	2.58		89	17.69		5	0.99		0	0.00		503	96.36		19	3.64		522	0.66
	Dalwallinu		1	0.29		1	0.29		0	0.00		4	1.17		1	0.29		171	49.85		42	12.24		0	0.00		66	19.24		3	0.87		0	0.00		1	0.29		0	0.00		0	0.00		6	1.75		38	11.08		9	2.62		0	0.00		343	98.00		7	2.00		350	0.44
	Dandaragan		1	0.39		0	0.00		0	0.00		0	0.00		0	0.00		154	59.92		29	11.28		0	0.00		21	8.17		0	0.00		0	0.00		0	0.00		0	0.00		1	0.39		4	1.56		37	14.40		10	3.89		0	0.00		257	98.85		3	1.15		260	0.33
	Darkan		3	1.17		0	0.00		0	0.00		3	1.17		0	0.00		144	56.03		55	21.40		0	0.00		21	8.17		2	0.78		0	0.00		1	0.39		0	0.00		1	0.39		9	3.50		14	5.45		4	1.56		0	0.00		257	91.46		24	8.54		281	0.35
	Denmark		2	0.12		2	0.12		2	0.12		23	1.36		1	0.06		586	34.67		62	3.67		1	0.06		158	9.35		52	3.08		0	0.00		0	0.00		0	0.00		6	0.36		78	4.62		393	23.25		323	19.11		1	0.06		1690	96.41		63	3.59		1753	2.20
	Dinninup		1	0.84		0	0.00		0	0.00		2	1.68		0	0.00		59	49.58		16	13.45		0	0.00		15	12.61		0	0.00		0	0.00		0	0.00		0	0.00		1	0.84		2	1.68		18	15.13		5	4.20		0	0.00		119	95.97		5	4.03		124	0.16
	Dongara		9	0.59		2	0.13		1	0.07		12	0.79		1	0.07		784	51.55		80	5.26		0	0.00		234	15.38		13	0.85		0	0.00		1	0.07		0	0.00		5	0.33		41	2.70		302	19.86		36	2.37		0	0.00		1521	95.60		70	4.40		1591	2.00
	Doodlakine		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		35	42.17		23	27.71		0	0.00		10	12.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	2.41		13	15.66		0	0.00		0	0.00		83	95.40		4	4.60		87	0.11
	Dowerin		8	1.86		0	0.00		0	0.00		4	0.93		0	0.00		192	44.65		101	23.49		0	0.00		52	12.09		1	0.23		0	0.00		0	0.00		0	0.00		3	0.70		9	2.09		51	11.86		9	2.09		0	0.00		430	94.09		27	5.91		457	0.57
