Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
O'Connor (83118)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Lake King		0	0.00		0	0.00		0	0.00		1	0.79		0	0.00		65	51.59		35	27.78		0	0.00		20	15.87		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.59		2	1.59		1	0.79		0	0.00		126	98.44		2	1.56		128	0.16
	Latham		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		36	56.25		6	9.38		0	0.00		18	28.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	6.25		0	0.00		0	0.00		64	96.97		2	3.03		66	0.08
	Leeman		4	0.96		0	0.00		0	0.00		2	0.48		0	0.00		210	50.60		17	4.10		0	0.00		73	17.59		5	1.20		0	0.00		0	0.00		0	0.00		4	0.96		11	2.65		77	18.55		12	2.89		0	0.00		415	96.29		16	3.71		431	0.54
	Little Grove		10	0.90		0	0.00		1	0.09		23	2.06		4	0.36		477	42.78		52	4.66		1	0.09		147	13.18		22	1.97		0	0.00		1	0.09		0	0.00		0	0.00		47	4.22		215	19.28		115	10.31		0	0.00		1115	97.21		32	2.79		1147	1.44
	Lockyer		21	0.84		0	0.00		0	0.00		128	5.14		9	0.36		841	33.78		73	2.93		2	0.08		390	15.66		34	1.37		0	0.00		10	0.40		1	0.04		27	1.08		68	2.73		752	30.20		133	5.34		1	0.04		2490	95.26		124	4.74		2614	3.29
	Lower Kalgan		0	0.00		1	0.38		0	0.00		11	4.18		0	0.00		108	41.06		27	10.27		0	0.00		45	17.11		9	3.42		0	0.00		0	0.00		0	0.00		0	0.00		5	1.90		29	11.03		28	10.65		0	0.00		263	99.62		1	0.38		264	0.33
	Lower King		4	0.53		0	0.00		0	0.00		14	1.84		2	0.26		310	40.74		28	3.68		0	0.00		161	21.16		10	1.31		0	0.00		1	0.13		0	0.00		5	0.66		24	3.15		131	17.21		70	9.20		1	0.13		761	97.94		16	2.06		777	0.98
	Manypeaks		1	0.51		0	0.00		0	0.00		2	1.02		1	0.51		113	57.36		20	10.15		0	0.00		28	14.21		0	0.00		0	0.00		0	0.00		0	0.00		1	0.51		3	1.52		21	10.66		7	3.55		0	0.00		197	98.99		2	1.01		199	0.25
	Mayanup		2	1.69		0	0.00		0	0.00		2	1.69		0	0.00		61	51.69		26	22.03		0	0.00		23	19.49		1	0.85		0	0.00		0	0.00		0	0.00		0	0.00		1	0.85		1	0.85		1	0.85		0	0.00		118	95.93		5	4.07		123	0.15
	Meckering		2	1.43		0	0.00		0	0.00		2	1.43		1	0.71		80	57.14		11	7.86		0	0.00		13	9.29		1	0.71		1	0.71		2	1.43		0	0.00		0	0.00		3	2.14		23	16.43		1	0.71		0	0.00		140	98.59		2	1.41		142	0.18
	Middleton Beach		8	0.71		1	0.09		1	0.09		23	2.04		2	0.18		556	49.29		84	7.45		0	0.00		100	8.87		20	1.77		1	0.09		2	0.18		0	0.00		4	0.35		47	4.17		190	16.84		89	7.89		0	0.00		1128	96.99		35	3.01		1163	1.46
	Miling		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		84	70.59		15	12.61		0	0.00		13	10.92		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	3.36		2	1.68		1	0.84		0	0.00		119	94.44		7	5.56		126	0.16
	Mingenew		2	0.64		0	0.00		0	0.00		5	1.59		2	0.64		165	52.55		31	9.87		0	0.00		44	14.01		2	0.64		0	0.00		0	0.00		0	0.00		1	0.32		5	1.59		48	15.29		9	2.87		0	0.00		314	93.45		22	6.55		336	0.42
	Mogumber		1	1.59		0	0.00		0	0.00		0	0.00		0	0.00		35	55.56		2	3.17		0	0.00		15	23.81		1	1.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	12.70		1	1.59		0	0.00		63	94.03		4	5.97		67	0.08
	Moonyoonooka		1	0.46		0	0.00		0	0.00		4	1.85		1	0.46		115	53.24		17	7.87		0	0.00		50	23.15		1	0.46		0	0.00		0	0.00		0	0.00		0	0.00		2	0.93		23	10.65		2	0.93		0	0.00		216	99.54		1	0.46		217	0.27
	Moora		8	0.86		0	0.00		0	0.00		7	0.76		0	0.00		473	51.14		65	7.03		1	0.11		122	13.19		4	0.43		0	0.00		2	0.22		0	0.00		12	1.30		23	2.49		196	21.19		11	1.19		1	0.11		925	94.29		56	5.71		981	1.23
	Morawa		3	0.72		0	0.00		0	0.00		3	0.72		2	0.48		242	58.17		21	5.05		0	0.00		58	13.94		1	0.24		0	0.00		1	0.24		0	0.00		2	0.48		15	3.61		60	14.42		8	1.92		0	0.00		416	96.97		13	3.03		429	0.54
	Mount Barker		12	0.86		1	0.07		1	0.07		35	2.52		4	0.29		563	40.53		141	10.15		0	0.00		200	14.40		21	1.51		0	0.00		3	0.22		0	0.00		4	0.29		53	3.82		281	20.23		68	4.90		2	0.14		1389	94.04		88	5.96		1477	1.86
	Mount Tarcoola		10	0.55		2	0.11		1	0.06		18	1.00		1	0.06		1008	55.88		39	2.16		2	0.11		198	10.98		26	1.44		0	0.00		2	0.11		0	0.00		11	0.61		60	3.33		368	20.40		58	3.22		0	0.00		1804	97.15		53	2.85		1857	2.34
	Mount Walker		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		17	32.08		20	37.74		0	0.00		10	18.87		1	1.89		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	9.43		0	0.00		0	0.00		53	89.83		6	10.17		59	0.07
	Mukinbudin		1	0.27		0	0.00		0	0.00		24	6.49		3	0.81		181	48.92		72	19.46		0	0.00		50	13.51		4	1.08		0	0.00		0	0.00		0	0.00		2	0.54		4	1.08		23	6.22		6	1.62		0	0.00		370	97.11		11	2.89		381	0.48
	Munglinup (O'Connor)		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		44	61.97		5	7.04		0	0.00		8	11.27		0	0.00		0	0.00		0	0.00		0	0.00		1	1.41		0	0.00		11	15.49		2	2.82		0	0.00		71	100.00		0	0.00		71	0.09
	Muradup		1	0.55		0	0.00		0	0.00		1	0.55		0	0.00		99	54.40		32	17.58		1	0.55		31	17.03		2	1.10		0	0.00		1	0.55		0	0.00		1	0.55		0	0.00		11	6.04		2	1.10		0	0.00		182	97.33		5	2.67		187	0.24
	Napier		2	1.29		0	0.00		0	0.00		4	2.58		0	0.00		69	44.52		26	16.77		0	0.00		15	9.68		3	1.94		0	0.00		0	0.00		0	0.00		0	0.00		5	3.23		24	15.48		7	4.52		0	0.00		155	96.88		5	3.13		160	0.20
	Narembeen		1	0.29		0	0.00		0	0.00		5	1.43		1	0.29		130	37.25		115	32.95		0	0.00		44	12.61		0	0.00		0	0.00		2	0.57		0	0.00		1	0.29		1	0.29		44	12.61		4	1.15		1	0.29		349	94.32		21	5.68		370	0.47
	Narrikup		4	1.75		0	0.00		0	0.00		14	6.11		0	0.00		98	42.79		37	16.16		0	0.00		35	15.28		5	2.18		0	0.00		0	0.00		0	0.00		0	0.00		10	4.37		17	7.42		9	3.93		0	0.00		229	97.45		6	2.55		235	0.30
	Newdegate		2	0.78		0	0.00		1	0.39		1	0.39		1	0.39		123	48.24		62	24.31		0	0.00		39	15.29		3	1.18		0	0.00		0	0.00		0	0.00		0	0.00		1	0.39		17	6.67		5	1.96		0	0.00		255	97.70		6	2.30		261	0.33
	New Norcia		1	0.85		0	0.00		1	0.85		1	0.85		0	0.00		74	63.25		6	5.13		0	0.00		12	10.26		3	2.56		0	0.00		1	0.85		0	0.00		0	0.00		4	3.42		12	10.26		2	1.71		0	0.00		117	97.50		3	2.50		120	0.15
	Nungarin		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		46	33.09		46	33.09		0	0.00		23	16.55		2	1.44		0	0.00		0	0.00		0	0.00		0	0.00		2	1.44		18	12.95		2	1.44		0	0.00		139	97.20		4	2.80		143	0.18
	Nyabing		1	0.63		0	0.00		0	0.00		1	0.63		0	0.00		85	53.13		28	17.50		0	0.00		30	18.75		0	0.00		0	0.00		1	0.63		0	0.00		0	0.00		2	1.25		9	5.63		3	1.88		0	0.00		160	97.56		4	2.44		164	0.21
	Ongerup		2	1.22		0	0.00		0	0.00		1	0.61		3	1.83		75	45.73		33	20.12		0	0.00		32	19.51		2	1.22		0	0.00		0	0.00		0	0.00		0	0.00		1	0.61		11	6.71		4	2.44		0	0.00		164	97.04		5	2.96		169	0.21
	Parryville		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		66	36.67		6	3.33		0	0.00		31	17.22		5	2.78		0	0.00		0	0.00		0	0.00		0	0.00		1	0.56		29	16.11		42	23.33		0	0.00		180	93.75		12	6.25		192	0.24
	Perenjori		0	0.00		1	0.54		0	0.00		0	0.00		0	0.00		95	51.08		17	9.14		0	0.00		39	20.97		5	2.69		0	0.00		1	0.54		0	0.00		0	0.00		5	2.69		21	11.29		2	1.08		0	0.00		186	96.88		6	3.13		192	0.24
	Perth (O'Connor)		1	1.39		0	0.00		0	0.00		0	0.00		0	0.00		34	47.22		5	6.94		0	0.00		6	8.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	5.56		16	22.22		6	8.33		0	0.00		72	97.30		2	2.70		74	0.09
	Pingaring		0	0.00		0	0.00		0	0.00		0	0.00		3	3.61		29	34.94		38	45.78		0	0.00		11	13.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	2.41		0	0.00		0	0.00		83	97.65		2	2.35		85	0.11
	Pingrup		0	0.00		0	0.00		0	0.00		1	0.87		0	0.00		57	49.57		23	20.00		0	0.00		21	18.26		0	0.00		0	0.00		1	0.87		0	0.00		1	0.87		1	0.87		10	8.70		0	0.00		0	0.00		115	99.14		1	0.86		116	0.15
	Pithara		1	1.20		0	0.00		0	0.00		1	1.20		0	0.00		39	46.99		17	20.48		0	0.00		16	19.28		1	1.20		0	0.00		0	0.00		0	0.00		2	2.41		0	0.00		5	6.02		1	1.20		0	0.00		83	98.81		1	1.19		84	0.11
	Porongurup		1	0.77		0	0.00		1	0.77		1	0.77		1	0.77		44	33.85		24	18.46		0	0.00		22	16.92		2	1.54		0	0.00		0	0.00		0	0.00		0	0.00		2	1.54		14	10.77		18	13.85		0	0.00		130	97.01		4	2.99		134	0.17
	Quairading		2	0.35		0	0.00		0	0.00		2	0.35		2	0.35		272	47.64		153	26.80		0	0.00		65	11.38		4	0.70		0	0.00		0	0.00		0	0.00		1	0.18		11	1.93		52	9.11		7	1.23		0	0.00		571	95.97		24	4.03		595	0.75
	Rangeway		16	0.80		0	0.00		1	0.05		24	1.20		5	0.25		734	36.65		40	2.00		1	0.05		318	15.88		19	0.95		1	0.05		8	0.40		0	0.00		18	0.90		61	3.05		707	35.30		50	2.50		0	0.00		2003	95.52		94	4.48		2097	2.64
	Ravensthorpe		2	0.57		0	0.00		0	0.00		4	1.15		1	0.29		168	48.14		41	11.75		0	0.00		56	16.05		6	1.72		0	0.00		0	0.00		0	0.00		1	0.29		11	3.15		52	14.90		6	1.72		1	0.29		349	98.03		7	1.97		356	0.45
	Redmond		1	0.76		0	0.00		0	0.00		13	9.85		0	0.00		55	41.67		11	8.33		0	0.00		20	15.15		4	3.03		0	0.00		1	0.76		0	0.00		1	0.76		3	2.27		20	15.15		3	2.27		0	0.00		132	97.78		3	2.22		135	0.17
	Rocky Gully		0	0.00		0	0.00		0	0.00		1	1.16		0	0.00		42	48.84		13	15.12		0	0.00		11	12.79		2	2.33		0	0.00		1	1.16		0	0.00		0	0.00		2	2.33		7	8.14		7	8.14		0	0.00		86	97.73		2	2.27		88	0.11
	Rottnest (O'Connor)		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	68.75		3	18.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	12.50		0	0.00		16	100.00		0	0.00		16	0.02
	Scotsdale		1	0.45		0	0.00		0	0.00		2	0.90		0	0.00		87	39.37		23	10.41		0	0.00		33	14.93		6	2.71		0	0.00		0	0.00		0	0.00		2	0.90		9	4.07		28	12.67		29	13.12		1	0.45		221	99.10		2	0.90		223	0.28
	Shackleton		2	2.38		0	0.00		0	0.00		0	0.00		0	0.00		32	38.10		26	30.95		0	0.00		13	15.48		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.19		7	8.33		3	3.57		0	0.00		84	95.45		4	4.55		88	0.11
	Spalding		5	0.59		0	0.00		0	0.00		11	1.30		0	0.00		332	39.10		16	1.88		1	0.12		142	16.73		5	0.59		1	0.12		1	0.12		0	0.00		11	1.30		19	2.24		293	34.51		12	1.41		0	0.00		849	95.07		44	4.93		893	1.12
	Spencer Park		27	1.42		1	0.05		0	0.00		75	3.95		6	0.32		733	38.60		69	3.63		1	0.05		208	10.95		26	1.37		1	0.05		8	0.42		0	0.00		16	0.84		67	3.53		573	30.17		85	4.48		3	0.16		1899	95.24		95	4.76		1994	2.51
	Tambellup		3	0.86		0	0.00		1	0.29		9	2.57		3	0.86		138	39.43		88	25.14		0	0.00		30	8.57		2	0.57		0	0.00		2	0.57		0	0.00		4	1.14		7	2.00		58	16.57		5	1.43		0	0.00		350	97.77		8	2.23		358	0.45
	Tammin		1	0.49		0	0.00		0	0.00		0	0.00		2	0.97		77	37.38		60	29.13		0	0.00		25	12.14		0	0.00		0	0.00		0	0.00		0	0.00		2	0.97		0	0.00		36	17.48		3	1.46		0	0.00		206	94.06		13	5.94		219	0.28
	Three Springs		0	0.00		0	0.00		0	0.00		5	1.35		1	0.27		205	55.26		28	7.55		1	0.27		69	18.60		6	1.62		0	0.00		2	0.54		0	0.00		3	0.81		7	1.89		35	9.43		9	2.43		0	0.00		371	96.11		15	3.89		386	0.49
	Tincurrin		1	1.47		0	0.00		0	0.00		0	0.00		1	1.47		20	29.41		36	52.94		0	0.00		5	7.35		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	5.88		1	1.47		0	0.00		0	0.00		68	97.14		2	2.86		70	0.09
	Tingledale		0	0.00		0	0.00		0	0.00		2	1.17		0	0.00		78	45.61		5	2.92		0	0.00		23	13.45		2	1.17		0	0.00		0	0.00		0	0.00		0	0.00		1	0.58		33	19.30		27	15.79		0	0.00		171	96.07		7	3.93		178	0.22
	Trayning		0	0.00		0	0.00		0	0.00		2	1.20		0	0.00		78	46.71		35	20.96		1	0.60		19	11.38		1	0.60		0	0.00		1	0.60		0	0.00		3	1.80		2	1.20		18	10.78		7	4.19		0	0.00		167	95.43		8	4.57		175	0.22
	Varley		1	1.49		0	0.00		0	0.00		0	0.00		0	0.00		40	59.70		18	26.87		0	0.00		7	10.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.49		0	0.00		0	0.00		67	98.53		1	1.47		68	0.09
	Waggrakine		9	0.61		1	0.07		1	0.07		20	1.36		1	0.07		667	45.22		37	2.51		0	0.00		254	17.22		14	0.95		1	0.07		3	0.20		0	0.00		6	0.41		38	2.58		362	24.54		61	4.14		0	0.00		1475	96.41		55	3.59		1530	1.92
	Wagin		9	0.95		1	0.11		0	0.00		10	1.05		2	0.21		433	45.48		148	15.55		1	0.11		140	14.71		13	1.37		0	0.00		7	0.74		0	0.00		9	0.95		15	1.58		143	15.02		18	1.89		3	0.32		952	94.92		51	5.08		1003	1.26
	Walkaway		2	0.60		0	0.00		0	0.00		3	0.90		0	0.00		163	48.66		16	4.78		0	0.00		80	23.88		2	0.60		0	0.00		0	0.00		0	0.00		3	0.90		2	0.60		52	15.52		12	3.58		0	0.00		335	96.82		11	3.18		346	0.44
	Watheroo		1	0.79		0	0.00		0	0.00		0	0.00		0	0.00		71	56.35		26	20.63		0	0.00		8	6.35		0	0.00		0	0.00		0	0.00		0	0.00		2	1.59		2	1.59		11	8.73		5	3.97		0	0.00		126	99.21		1	0.79		127	0.16
	Wellstead		0	0.00		0	0.00		0	0.00		0	0.00		1	0.83		42	34.71		27	22.31		0	0.00		33	27.27		1	0.83		0	0.00		0	0.00		0	0.00		0	0.00		3	2.48		13	10.74		1	0.83		0	0.00		121	98.37		2	1.63		123	0.15
	Wickepin		1	0.42		0	0.00		0	0.00		0	0.00		0	0.00		122	51.05		54	22.59		1	0.42		37	15.48		2	0.84		0	0.00		1	0.42		0	0.00		1	0.42		3	1.26		12	5.02		5	2.09		0	0.00		239	93.00		18	7.00		257	0.32
	Wongan Hills		3	0.47		0	0.00		3	0.47		3	0.47		0	0.00		390	60.94		56	8.75		0	0.00		78	12.19		4	0.63		0	0.00		2	0.31		0	0.00		2	0.31		12	1.88		76	11.88		11	1.72		0	0.00		640	96.24		25	3.76		665	0.84
	Wonthella		9	0.49		0	0.00		1	0.05		32	1.76		0	0.00		771	42.32		34	1.87		0	0.00		304	16.68		26	1.43		0	0.00		11	0.60		0	0.00		9	0.49		48	2.63		521	28.59		55	3.02		1	0.05		1822	96.35		69	3.65		1891	2.38
	Woodanilling		0	0.00		0	0.00		0	0.00		7	4.83		0	0.00		54	37.24		23	15.86		0	0.00		32	22.07		0	0.00		0	0.00		2	1.38		0	0.00		2	1.38		6	4.14		15	10.34		3	2.07		1	0.69		145	96.03		6	3.97		151	0.19
	Wubin		0	0.00		0	0.00		0	0.00		1	0.83		1	0.83		68	56.67		22	18.33		0	0.00		15	12.50		2	1.67		0	0.00		1	0.83		0	0.00		0	0.00		0	0.00		8	6.67		2	1.67		0	0.00		120	96.77		4	3.23		124	0.16
	Wyalkatchem		2	0.64		0	0.00		0	0.00		1	0.32		1	0.32		128	40.76		78	24.84		0	0.00		50	15.92		2	0.64		0	0.00		2	0.64		0	0.00		1	0.32		3	0.96		45	14.33		1	0.32		0	0.00		314	96.02		13	3.98		327	0.41
	Yakamia		18	1.08		0	0.00		0	0.00		62	3.73		9	0.54		680	40.96		52	3.13		1	0.06		234	14.10		10	0.60		1	0.06		6	0.36		0	0.00		9	0.54		58	3.49		421	25.36		98	5.90		1	0.06		1660	96.34		63	3.66		1723	2.17
	Yealering		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		50	52.08		13	13.54		0	0.00		17	17.71		1	1.04		0	0.00		0	0.00		0	0.00		0	0.00		1	1.04		11	11.46		3	3.13		0	0.00		96	96.00		4	4.00		100	0.13
	Yerecoin		1	0.93		0	0.00		0	0.00		1	0.93		0	0.00		62	57.41		14	12.96		0	0.00		19	17.59		1	0.93		0	0.00		2	1.85		0	0.00		0	0.00		2	1.85		6	5.56		0	0.00		0	0.00		108	99.08		1	0.92		109	0.14
	Yorkrakine		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		13	26.53		29	59.18		0	0.00		3	6.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	2.04		1	2.04		2	4.08		0	0.00		49	98.00		1	2.00		50	0.06
	Special Hospitals		2	0.93		0	0.00		0	0.00		5	2.31		0	0.00		114	52.78		13	6.02		0	0.00		4	1.85		2	0.93		0	0.00		0	0.00		0	0.00		1	0.46		7	3.24		67	31.02		1	0.46		0	0.00		216	96.43		8	3.57		224	0.28
	Prison Mobiles		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		1	100.00		0	0.00		1	0.00
	Total Ordinary		432	0.67		25	0.04		35	0.05		1231	1.92		152	0.24		28796	44.92		5984	9.33		29	0.05		8914	13.90		762	1.19		26	0.04		168	0.26		4	0.01		357	0.56		1770	2.76		12520	19.53		2871	4.48		35	0.05		64111	96.01		2667	3.99		66778	83.97
	ABSENT		26	0.32		8	0.10		6	0.07		109	1.36		15	0.19		3509	43.81		802	10.01		3	0.04		892	11.14		111	1.39		1	0.01		22	0.27		3	0.04		46	0.57		359	4.48		1562	19.50		532	6.64		4	0.05		8010	97.89		173	2.11		8183	10.29
	POSTAL		7	0.41		1	0.06		0	0.00		22	1.28		7	0.41		745	43.26		201	11.67		0	0.00		255	14.81		24	1.39		1	0.06		5	0.29		0	0.00		5	0.29		53	3.08		324	18.82		71	4.12		1	0.06		1722	98.74		22	1.26		1744	2.19
	PRE_POLL		10	0.47		1	0.05		0	0.00		31	1.47		3	0.14		959	45.47		115	5.45		0	0.00		284	13.47		29	1.38		0	0.00		2	0.09		0	0.00		6	0.28		86	4.08		411	19.49		171	8.11		1	0.05		2109	98.74		27	1.26		2136	2.69
	PROVISIONAL		3	0.45		1	0.15		1	0.15		5	0.75		1	0.15		230	34.48		22	3.30		0	0.00		113	16.94		9	1.35		0	0.00		1	0.15		0	0.00		4	0.60		18	2.70		207	31.03		51	7.65		1	0.15		667	97.23		19	2.77		686	0.86
	Division Summary		478	0.62		36	0.05		42	0.05		1398	1.82		178	0.23		34239	44.69		7124	9.3		32	0.04		10458	13.65		935	1.22		28	0.04		198	0.26		7	0.01		418	0.55		2286	2.98		15024	19.61		3696	4.82		42	0.05		76619	96.34		2908	3.66		79527	95.68
