Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Kalgoorlie (82534)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Denham		2	0.57		0	0.00		0	0.00		5	1.43		1	0.29		183	52.29		6	1.71		0	0.00		41	11.71		5	1.43		0	0.00		2	0.57		0	0.00		3	0.86		4	1.14		86	24.57		12	3.43		0	0.00		350	97.22		10	2.78		360	0.50
	Derby		1	0.08		1	0.08		1	0.08		7	0.59		0	0.00		378	31.74		30	2.52		0	0.00		113	9.49		8	0.67		0	0.00		5	0.42		0	0.00		13	1.09		40	3.36		542	45.51		51	4.28		1	0.08		1191	96.36		45	3.64		1236	1.72
	Esperance		4	0.17		0	0.00		0	0.00		18	0.78		5	0.22		1101	47.48		150	6.47		1	0.04		247	10.65		35	1.51		0	0.00		7	0.30		0	0.00		14	0.60		89	3.84		513	22.12		133	5.74		2	0.09		2319	96.75		78	3.25		2397	3.33
	Exmouth		2	0.19		1	0.09		1	0.09		5	0.47		0	0.00		515	48.86		9	0.85		0	0.00		107	10.15		12	1.14		0	0.00		2	0.19		0	0.00		2	0.19		40	3.80		284	26.94		71	6.74		3	0.28		1054	97.14		31	2.86		1085	1.51
	Fitzroy Crossing		4	1.04		1	0.26		2	0.52		1	0.26		1	0.26		77	19.95		3	0.78		0	0.00		11	2.85		1	0.26		1	0.26		1	0.26		0	0.00		19	4.92		13	3.37		243	62.95		8	2.07		0	0.00		386	94.38		23	5.62		409	0.57
	Gascoyne Junction		0	0.00		0	0.00		0	0.00		1	1.96		0	0.00		25	49.02		2	3.92		0	0.00		10	19.61		1	1.96		0	0.00		0	0.00		0	0.00		2	3.92		0	0.00		8	15.69		2	3.92		0	0.00		51	98.08		1	1.92		52	0.07
	Gibson		0	0.00		0	0.00		0	0.00		2	1.13		0	0.00		89	50.28		23	12.99		0	0.00		22	12.43		3	1.69		0	0.00		1	0.56		0	0.00		3	1.69		1	0.56		33	18.64		0	0.00		0	0.00		177	95.68		8	4.32		185	0.26
	Grass Patch		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		55	55.00		19	19.00		0	0.00		17	17.00		1	1.00		0	0.00		0	0.00		0	0.00		1	1.00		1	1.00		5	5.00		1	1.00		0	0.00		100	93.46		7	6.54		107	0.15
	Halls Creek		2	0.42		0	0.00		0	0.00		5	1.04		1	0.21		97	20.25		6	1.25		1	0.21		35	7.31		2	0.42		0	0.00		8	1.67		0	0.00		16	3.34		12	2.51		277	57.83		17	3.55		0	0.00		479	95.42		23	4.58		502	0.70
	Horrocks		0	0.00		0	0.00		0	0.00		1	1.11		1	1.11		42	46.67		7	7.78		0	0.00		18	20.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		20	22.22		1	1.11		0	0.00		90	94.74		5	5.26		95	0.13
	Jigalong		0	0.00		0	0.00		0	0.00		1	1.15		2	2.30		21	24.14		4	4.60		1	1.15		2	2.30		0	0.00		0	0.00		0	0.00		0	0.00		5	5.75		1	1.15		48	55.17		2	2.30		0	0.00		87	96.67		3	3.33		90	0.13
	Kalbarri		1	0.15		0	0.00		1	0.15		3	0.45		1	0.15		348	52.02		21	3.14		1	0.15		83	12.41		5	0.75		0	0.00		4	0.60		0	0.00		1	0.15		13	1.94		163	24.36		24	3.59		0	0.00		669	96.68		23	3.32		692	0.96
	Kalgoorlie		7	0.26		2	0.07		2	0.07		21	0.78		2	0.07		1122	41.82		56	2.09		2	0.07		365	13.60		29	1.08		1	0.04		10	0.37		1	0.04		24	0.89		190	7.08		762	28.40		86	3.21		1	0.04		2683	95.34		131	4.66		2814	3.91
	Kalgoorlie East		0	0.00		0	0.00		0	0.00		1	0.53		0	0.00		39	20.63		2	1.06		0	0.00		14	7.41		0	0.00		0	0.00		1	0.53		0	0.00		6	3.17		2	1.06		117	61.90		7	3.70		0	0.00		189	98.44		3	1.56		192	0.27
	Kalgoorlie Eastern Goldfields		1	0.13		0	0.00		0	0.00		10	1.33		0	0.00		279	37.20		15	2.00		0	0.00		111	14.80		8	1.07		0	0.00		6	0.80		0	0.00		4	0.53		30	4.00		266	35.47		20	2.67		0	0.00		750	96.15		30	3.85		780	1.08
	Kalgoorlie Halfway		3	0.18		0	0.00		5	0.30		7	0.42		1	0.06		635	38.48		28	1.70		1	0.06		223	13.52		16	0.97		2	0.12		7	0.42		0	0.00		26	1.58		74	4.48		570	34.55		51	3.09		1	0.06		1650	96.38		62	3.62		1712	2.38
	Kalgoorlie Hannans		3	0.36		2	0.24		0	0.00		11	1.33		1	0.12		406	48.92		13	1.57		0	0.00		60	7.23		6	0.72		0	0.00		0	0.00		0	0.00		7	0.84		49	5.90		245	29.52		27	3.25		0	0.00		830	98.57		12	1.43		842	1.17
	Kalgoorlie North		4	0.26		1	0.06		3	0.19		6	0.39		1	0.06		674	43.43		27	1.74		2	0.13		187	12.05		15	0.97		0	0.00		5	0.32		0	0.00		11	0.71		101	6.51		469	30.22		46	2.96		0	0.00		1552	96.46		57	3.54		1609	2.24
	Kalgoorlie Regional Hospital		2	0.29		0	0.00		1	0.14		5	0.72		1	0.14		314	45.18		12	1.73		0	0.00		72	10.36		2	0.29		0	0.00		2	0.29		0	0.00		6	0.86		54	7.77		203	29.21		21	3.02		0	0.00		695	97.07		21	2.93		716	1.00
	Kalgoorlie Somerville		0	0.00		0	0.00		0	0.00		7	0.94		0	0.00		323	43.47		10	1.35		0	0.00		71	9.56		1	0.13		0	0.00		4	0.54		0	0.00		6	0.81		50	6.73		250	33.65		21	2.83		0	0.00		743	98.28		13	1.72		756	1.05
	Kalgoorlie Wallace Park		1	0.23		0	0.00		0	0.00		9	2.08		1	0.23		188	43.52		6	1.39		1	0.23		51	11.81		3	0.69		0	0.00		0	0.00		0	0.00		2	0.46		28	6.48		129	29.86		13	3.01		0	0.00		432	99.08		4	0.92		436	0.61
	Kambalda		3	0.83		1	0.28		0	0.00		1	0.28		0	0.00		103	28.61		3	0.83		0	0.00		65	18.06		0	0.00		1	0.28		5	1.39		0	0.00		5	1.39		15	4.17		151	41.94		7	1.94		0	0.00		360	97.83		8	2.17		368	0.51
	Kambalda West		1	0.13		0	0.00		1	0.13		4	0.50		0	0.00		262	32.96		10	1.26		1	0.13		135	16.98		3	0.38		0	0.00		1	0.13		0	0.00		10	1.26		31	3.90		307	38.62		28	3.52		1	0.13		795	96.83		26	3.17		821	1.14
	Karratha		4	0.28		1	0.07		0	0.00		13	0.90		1	0.07		557	38.60		14	0.97		0	0.00		163	11.30		13	0.90		0	0.00		3	0.21		0	0.00		8	0.55		71	4.92		537	37.21		58	4.02		0	0.00		1443	97.37		39	2.63		1482	2.06
	Karratha West		15	0.54		8	0.29		0	0.00		10	0.36		3	0.11		1248	44.89		38	1.37		0	0.00		221	7.95		26	0.94		2	0.07		5	0.18		0	0.00		18	0.65		144	5.18		902	32.45		139	5.00		1	0.04		2780	97.58		69	2.42		2849	3.96
	Kununurra		5	0.32		2	0.13		1	0.06		17	1.10		0	0.00		722	46.52		40	2.58		2	0.13		128	8.25		17	1.10		0	0.00		3	0.19		0	0.00		9	0.58		69	4.45		469	30.22		67	4.32		1	0.06		1552	98.29		27	1.71		1579	2.20
