Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Swan (78991)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Millen		7	0.55		1	0.08		5	0.39		14	1.10		3	0.24		404	31.74		14	1.10		0	0.00		77	6.05		7	0.55		1	0.08		9	0.71		1	0.08		4	0.31		89	6.99		523	41.08		113	8.88		1	0.08		1273	94.51		74	5.49		1347	1.80
	Perth (Swan)		1	0.43		1	0.43		0	0.00		3	1.28		1	0.43		72	30.77		1	0.43		0	0.00		8	3.42		2	0.85		0	0.00		1	0.43		1	0.43		3	1.28		26	11.11		84	35.90		30	12.82		0	0.00		234	97.10		7	2.90		241	0.32
	Perth Domestic Airport		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		13	34.21		0	0.00		0	0.00		2	5.26		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	7.89		17	44.74		3	7.89		0	0.00		38	100.00		0	0.00		38	0.05
	Perth International Airport		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		14	38.89		0	0.00		0	0.00		2	5.56		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	8.33		14	38.89		3	8.33		0	0.00		36	97.30		1	2.70		37	0.05
	Queens Park		6	0.58		2	0.19		0	0.00		25	2.40		2	0.19		296	28.41		9	0.86		3	0.29		66	6.33		12	1.15		1	0.10		5	0.48		0	0.00		16	1.54		64	6.14		499	47.89		34	3.26		2	0.19		1042	93.96		67	6.04		1109	1.48
	Redcliffe		7	0.61		1	0.09		2	0.17		20	1.73		3	0.26		394	34.08		15	1.30		1	0.09		117	10.12		18	1.56		0	0.00		4	0.35		0	0.00		10	0.87		65	5.62		452	39.10		47	4.07		0	0.00		1156	94.60		66	5.40		1222	1.63
	Rivervale		3	0.44		2	0.29		0	0.00		5	0.73		1	0.15		241	34.98		12	1.74		1	0.15		52	7.55		5	0.73		1	0.15		5	0.73		0	0.00		3	0.44		42	6.10		278	40.35		38	5.52		0	0.00		689	94.38		41	5.62		730	0.97
	Rivervale North		6	0.35		0	0.00		4	0.23		13	0.75		4	0.23		537	31.17		15	0.87		0	0.00		136	7.89		21	1.22		0	0.00		5	0.29		0	0.00		17	0.99		124	7.20		755	43.82		84	4.88		2	0.12		1723	95.72		77	4.28		1800	2.40
	Rottnest (Swan)		0	0.00		0	0.00		0	0.00		2	2.70		0	0.00		33	44.59		3	4.05		0	0.00		1	1.35		2	2.70		0	0.00		0	0.00		0	0.00		1	1.35		9	12.16		20	27.03		3	4.05		0	0.00		74	92.50		6	7.50		80	0.11
	Rowethorpe		2	0.77		0	0.00		0	0.00		5	1.92		1	0.38		121	46.36		6	2.30		0	0.00		4	1.53		2	0.77		0	0.00		0	0.00		0	0.00		3	1.15		17	6.51		94	36.02		6	2.30		0	0.00		261	89.08		32	10.92		293	0.39
	South Perth		8	0.25		4	0.12		1	0.03		13	0.40		6	0.19		1697	52.75		87	2.70		2	0.06		73	2.27		64	1.99		0	0.00		3	0.09		1	0.03		5	0.16		287	8.92		719	22.35		245	7.62		2	0.06		3217	97.93		68	2.07		3285	4.39
	South Perth Central		2	0.12		3	0.18		0	0.00		14	0.84		4	0.24		867	52.10		44	2.64		1	0.06		59	3.55		46	2.76		1	0.06		3	0.18		1	0.06		4	0.24		120	7.21		385	23.14		108	6.49		2	0.12		1664	96.97		52	3.03		1716	2.29
	South Perth North		2	0.21		4	0.41		1	0.10		3	0.31		2	0.21		544	56.14		42	4.33		0	0.00		41	4.23		6	0.62		0	0.00		2	0.21		1	0.10		4	0.41		59	6.09		221	22.81		37	3.82		0	0.00		969	98.18		18	1.82		987	1.32
	Swan Cottage Homes		5	0.82		1	0.16		0	0.00		2	0.33		1	0.16		286	47.12		5	0.82		0	0.00		39	6.43		10	1.65		0	0.00		6	0.99		0	0.00		3	0.49		24	3.95		217	35.75		8	1.32		0	0.00		607	92.67		48	7.33		655	0.87
	Victoria Park		17	0.63		3	0.11		0	0.00		20	0.74		1	0.04		1007	37.43		34	1.26		2	0.07		119	4.42		20	0.74		8	0.30		7	0.26		2	0.07		11	0.41		317	11.78		923	34.31		198	7.36		1	0.04		2690	95.80		118	4.20		2808	3.75
	Victoria Park Central		2	0.08		4	0.16		2	0.08		24	0.99		2	0.08		797	32.83		50	2.06		4	0.16		84	3.46		24	0.99		8	0.33		8	0.33		1	0.04		14	0.58		283	11.66		879	36.20		239	9.84		3	0.12		2428	96.54		87	3.46		2515	3.36
