Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Moore (74103)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Ocean Reef		13	0.44		10	0.34		0	0.00		23	0.78		4	0.14		1429	48.36		38	1.29		0	0.00		160	5.41		22	0.74		3	0.10		8	0.27		0	0.00		22	0.74		184	6.23		896	30.32		143	4.84		0	0.00		2955	96.25		115	3.75		3070	4.32
	Ocean Reef North		8	0.35		6	0.26		3	0.13		20	0.87		0	0.00		1168	50.72		23	1.00		1	0.04		104	4.52		15	0.65		0	0.00		2	0.09		0	0.00		6	0.26		123	5.34		744	32.31		80	3.47		0	0.00		2303	97.96		48	2.04		2351	3.31
	Padbury		7	0.27		14	0.54		1	0.04		32	1.24		1	0.04		905	35.01		26	1.01		0	0.00		170	6.58		29	1.12		0	0.00		5	0.19		0	0.00		15	0.58		186	7.20		1044	40.39		148	5.73		2	0.08		2585	97.36		70	2.64		2655	3.74
	Padbury South		11	0.43		5	0.19		1	0.04		30	1.17		0	0.00		1062	41.36		29	1.13		0	0.00		140	5.45		39	1.52		1	0.04		4	0.16		0	0.00		16	0.62		184	7.17		909	35.40		136	5.30		1	0.04		2568	97.05		78	2.95		2646	3.72
	Perth (Moore)		1	0.77		0	0.00		0	0.00		1	0.77		0	0.00		42	32.31		2	1.54		0	0.00		9	6.92		3	2.31		0	0.00		1	0.77		0	0.00		1	0.77		10	7.69		50	38.46		10	7.69		0	0.00		130	97.01		4	2.99		134	0.19
	Rottnest (Moore)		1	0.85		0	0.00		0	0.00		2	1.71		0	0.00		61	52.14		1	0.85		0	0.00		3	2.56		2	1.71		1	0.85		0	0.00		0	0.00		0	0.00		12	10.26		27	23.08		7	5.98		0	0.00		117	95.90		5	4.10		122	0.17
	Sorrento		6	0.44		11	0.80		0	0.00		21	1.54		0	0.00		722	52.82		22	1.61		0	0.00		53	3.88		23	1.68		1	0.07		1	0.07		0	0.00		2	0.15		98	7.17		333	24.36		74	5.41		0	0.00		1367	97.09		41	2.91		1408	1.98
	Sorrento Beach		9	0.33		9	0.33		2	0.07		21	0.78		1	0.04		1624	60.10		42	1.55		3	0.11		110	4.07		41	1.52		0	0.00		1	0.04		0	0.00		5	0.19		133	4.92		553	20.47		147	5.44		1	0.04		2702	97.44		71	2.56		2773	3.90
	Special Hospitals		3	2.17		0	0.00		0	0.00		1	0.72		0	0.00		57	41.30		0	0.00		0	0.00		6	4.35		5	3.62		0	0.00		0	0.00		0	0.00		0	0.00		7	5.07		55	39.86		4	2.90		0	0.00		138	96.50		5	3.50		143	0.20
	Total Ordinary		211	0.36		182	0.31		21	0.04		650	1.11		33	0.06		27167	46.26		656	1.12		18	0.03		3021	5.14		675	1.15		25	0.04		106	0.18		7	0.01		293	0.50		3860	6.57		18761	31.95		3020	5.14		21	0.04		58727	97.39		1573	2.61		60300	84.86
	ABSENT		13	0.24		15	0.27		5	0.09		51	0.93		2	0.04		2375	43.10		62	1.13		3	0.05		292	5.30		57	1.03		5	0.09		17	0.31		0	0.00		44	0.80		445	8.07		1699	30.83		421	7.64		5	0.09		5511	98.15		104	1.85		5615	7.90
	POSTAL		3	0.15		4	0.20		1	0.05		21	1.07		2	0.10		1025	52.35		30	1.53		2	0.10		128	6.54		22	1.12		0	0.00		2	0.10		0	0.00		8	0.41		121	6.18		497	25.38		90	4.60		2	0.10		1958	99.24		15	0.76		1973	2.78
	PRE_POLL		5	0.18		7	0.26		2	0.07		16	0.58		3	0.11		1338	48.85		18	0.66		0	0.00		166	6.06		37	1.35		2	0.07		3	0.11		0	0.00		11	0.40		188	6.86		790	28.84		151	5.51		2	0.07		2739	98.85		32	1.15		2771	3.90
	PROVISIONAL		1	0.26		0	0.00		0	0.00		3	0.78		0	0.00		143	36.95		3	0.78		0	0.00		29	7.49		3	0.78		0	0.00		2	0.52		0	0.00		6	1.55		27	6.98		144	37.21		25	6.46		1	0.26		387	97.24		11	2.76		398	0.56
	Division Summary		233	0.34		208	0.3		29	0.04		741	1.07		40	0.06		32048	46.23		769	1.11		23	0.03		3636	5.25		794	1.15		32	0.05		130	0.19		7	0.01		362	0.52		4641	6.69		21891	31.58		3707	5.35		31	0.04		69322	97.56		1735	2.44		71057	95.89
